,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
11,29,ў,Belarusian,ADP,2,no,-6.5856,11.7243,-9.6371,0.0961,0.8853,0.1268,1.4819,-14.2909,9.3786,1,1,1,1,in
2,5,у,Belarusian,ADP,3,no,-6.9678,12.066,-9.9895,0.0751,0.8971,0.1107,1.7125,-14.76,9.7629,1,1,1,1,in
47,165,на,Belarusian,ADP,4,no,-4.5269,10.061,-7.7177,0.2095,0.8277,0.2146,0.2758,-11.6848,7.2284,1,1,1,1,on
15,38,з,Belarusian,ADP,5,no,-5.3978,7.5938,-5.1784,0.1615,0.7423,0.3306,2.2717,-9.4353,4.9665,1,1,1,1,with
52,179,не,Belarusian,PART,6,no,-4.69,8.126,-6.5201,0.2005,0.7607,0.2693,1.203,-9.7281,5.8866,1,1,1,1,no
173,498,за,Belarusian,ADP,8,no,-3.4037,4.2244,-5.3096,0.2713,0.6257,0.3246,1.3937,-5.5397,4.7008,1,1,1,1,for
128,372,а,Belarusian,CCONJ,9,no,-4.7096,5.6861,-4.2612,0.1994,0.6763,0.3725,2.2234,-7.2278,3.9381,1,1,1,1,a
50,175,да,Belarusian,ADP,10,no,-4.4585,7.0111,-4.1113,0.2133,0.7222,0.3794,1.7272,-8.3149,3.7525,1,1,1,1,yes
28,69,па,Belarusian,ADP,11,no,0.3151,2.7413,-0.3765,0.4761,0.5743,0.5501,-1.0757,-2.4821,-0.2073,4,3,2,2,by
142,405,пра,Belarusian,ADP,12,no,-1.1539,3.3433,-2.8343,0.3952,0.5952,0.4377,-0.1414,-3.7726,2.2378,4,3,2,2,about
8,23,беларусі,Belarusian,PROPN,13,no,-5.4507,5.3162,-2.8681,0.1586,0.6635,0.4362,3.2653,-6.9324,2.7622,1,1,1,1,Belarusians
126,368,але,Belarusian,CCONJ,14,no,-3.1275,1.154,-4.1071,0.2865,0.5194,0.3796,2.2028,-2.4602,3.7741,1,1,1,1,but
48,171,ён,Belarusian,PRON,16,no,-0.6162,0.4734,-2.7366,0.4248,0.4958,0.4422,0.1802,-0.7345,2.3834,4,3,2,2,he
16,42,і,Belarusian,PART,17,no,-8.3316,15.0371,-12.412,0.0,1.0,0.0,1.7345,-17.8771,12.099,1,1,1,1,and
74,245,і,Belarusian,PART,17,no,-3.4063,6.2489,-4.5283,0.2712,0.6958,0.3603,0.8627,-7.3578,3.8698,1,1,1,1,and
246,720,ад,Belarusian,ADP,18,no,-0.0965,4.5423,-1.3374,0.4534,0.6367,0.5062,-1.2058,-4.4374,0.5121,4,3,2,2,from
59,209,што,Belarusian,PRON,20,no,-5.2552,4.9307,-4.5079,0.1694,0.6501,0.3613,2.9193,-6.6003,4.32,1,1,1,1,what
104,328,што,Belarusian,PRON,20,no,-2.9681,3.1591,-3.4577,0.2953,0.5888,0.4093,1.441,-4.3742,3.1135,1,1,1,1,what
