,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2
0,1,в,Bulgarian,ADP,5,no,-1.0056,13.6786,7.2288,0.3933,0.7605,0.7074,-0.2602,-13.9181,6.916,3,2,2,2
1,5,ще,Bulgarian,AUX,13,no,1.5856,3.6744,2.699,0.5224,0.4597,0.5267,-1.7034,-3.5623,2.6117,5,4,3,2
2,2054,продължи,Bulgarian,VERB,416,no,-2.0013,-0.3977,0.4708,0.3437,0.3372,0.4378,2.1297,0.2492,0.4444,5,4,3,2
3,6,се,Bulgarian,PRON,4,no,2.853,2.866,1.683,0.5856,0.4353,0.4861,-2.9035,-2.6132,1.7181,5,4,3,2
4,9,въпроси,Bulgarian,NOUN,250,no,-0.166,1.4991,0.4694,0.4352,0.3942,0.4377,0.0148,-1.5416,0.4422,5,4,3,2
5,12,път,Bulgarian,NOUN,94,no,-1.6433,1.9886,1.5608,0.3616,0.409,0.4813,1.614,-2.1967,1.3192,5,4,3,2
6,13,изглежда,Bulgarian,VERB,176,no,-0.4277,0.9524,-0.6928,0.4221,0.3778,0.3914,0.3118,-1.0016,-0.7061,5,4,3,2
7,14,го,Bulgarian,PRON,17,no,2.5573,1.535,0.2911,0.5708,0.3953,0.4306,-2.5532,-1.2967,0.3503,2,1,1,1
8,15,беше,Bulgarian,AUX,24,no,0.8245,1.7605,0.786,0.4845,0.4021,0.4503,-0.8369,-1.6322,0.6757,5,4,3,2
9,4112,армия,Bulgarian,NOUN,150,no,-5.8944,0.1882,-0.1273,0.1498,0.3548,0.4139,5.7892,-0.7303,-0.2567,4,3,3,2
10,17,за,Bulgarian,ADP,6,no,-1.1641,13.8245,8.849,0.3854,0.7649,0.772,-0.0201,-14.1112,8.4515,3,2,2,2
11,19,той,Bulgarian,PRON,15,no,0.1179,5.1042,2.9449,0.4493,0.5026,0.5365,-0.387,-5.1383,2.7856,5,4,3,2
12,20,не,Bulgarian,PART,9,no,0.6401,6.4308,3.1202,0.4753,0.5425,0.5435,-1.1027,-6.3225,2.827,5,4,3,2
13,2070,своя,Bulgarian,DET,392,no,5.9208,-5.2059,3.5602,0.7384,0.1926,0.561,-5.3147,5.5762,3.6853,1,1,1,1
14,23,наистина,Bulgarian,ADV,144,no,4.8071,-0.8579,-0.2183,0.6829,0.3234,0.4103,-4.6679,1.3131,-0.0072,2,1,1,1
15,24,това,Bulgarian,DET,55,no,-3.2637,5.57,2.6718,0.2808,0.5167,0.5256,2.8595,-5.8308,2.2488,5,4,3,2
16,26,ние,Bulgarian,PRON,63,no,-0.7566,1.3423,-1.1899,0.4057,0.3895,0.3715,0.5111,-1.3815,-1.229,5,4,3,2
17,27,разбира,Bulgarian,VERB,218,no,-1.5699,1.3836,0.2755,0.3652,0.3908,0.43,1.5562,-1.4998,0.1186,5,4,3,2
18,28,можем,Bulgarian,VERB,375,no,-1.6305,-1.3638,1.496,0.3622,0.3082,0.4787,1.8108,1.2414,1.5504,5,4,3,2
19,29,да,Bulgarian,AUX,3,no,0.9942,6.8563,4.05,0.493,0.5553,0.5806,-1.4137,-6.8185,3.9076,5,4,3,2
20,31,с,Bulgarian,ADP,10,no,-0.8497,8.0166,3.6663,0.4011,0.5902,0.5653,0.1553,-8.2121,3.4831,5,4,3,2
21,2082,една,Bulgarian,NUM,139,no,-2.653,0.5482,0.574,0.3113,0.3656,0.4419,2.6381,-0.8409,0.4568,5,4,3,2
