,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
12,20,de,Catalan,ADP,1,no,-2.0326,25.0953,-23.0342,0.4384,1.0,0.0,-0.6109,-26.934,18.5978,3,2,2,2,of
5,11,a,Catalan,ADP,4,no,-1.9305,17.4134,-13.9512,0.4435,0.7861,0.3143,-1.0406,-18.4172,11.3544,3,2,2,2,a
9,17,i,Catalan,CCONJ,5,no,-1.9451,13.6946,-10.1203,0.4427,0.6826,0.4469,-1.2384,-14.4536,8.2256,3,2,2,2,i
8,14,d',Catalan,ADP,7,no,-2.4269,10.3755,-6.1946,0.4186,0.5902,0.5828,-1.9314,-10.7932,4.9393,3,2,2,2,of
16,24,per,Catalan,ADP,9,no,-1.9674,11.2561,-6.7885,0.4416,0.6147,0.5622,-1.455,-11.6919,5.4574,3,2,2,2,for
31,43,en,Catalan,ADP,10,no,-1.1423,9.7276,-5.9449,0.483,0.5722,0.5914,-0.7023,-10.1032,4.8029,3,2,2,2,in
28,39,les,Catalan,DET,12,no,-5.2029,4.164,0.3742,0.2793,0.4173,0.8101,-5.163,-4.2183,-0.2008,2,1,1,1,the
24,34,que,Catalan,SCONJ,13,no,-4.1301,3.8468,-0.426,0.3331,0.4085,0.7824,-3.6804,-4.1064,-0.1447,5,4,3,2,what
66,119,que,Catalan,SCONJ,13,no,-0.1453,4.541,-0.938,0.533,0.4278,0.7647,0.1609,-4.7561,0.5206,5,4,3,2,what
27,38,amb,Catalan,ADP,15,no,-1.6968,5.1482,-3.4579,0.4552,0.4447,0.6775,-1.4921,-5.4675,3.1441,5,4,3,2,with
114,221,es,Catalan,PRON,18,no,-4.8331,0.6184,-0.2831,0.2979,0.3186,0.7873,-4.5732,-1.0602,0.2717,2,1,1,1,is
