,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
11,15,的,Chinese,PART,1,no,8.3581,-19.4201,-25.0484,1.0,0.0,0.0,0.6041,-26.7086,18.1235,4,3,3,2,no trans
130,316,年,Chinese,NOUN,2,no,5.7471,-13.4446,-7.942,0.8974,0.1942,0.5605,0.9259,-16.0348,2.3244,4,3,3,2,no trans
4,8,一,Chinese,NUM,3,no,2.1299,-5.8777,-5.1784,0.7553,0.4401,0.6511,0.8096,-7.1263,3.9922,5,4,3,2,no trans
86,171,個,Chinese,NOUN,8,no,5.7475,-6.2674,-6.6393,0.8974,0.4274,0.6032,-2.1672,-9.4405,3.0923,4,3,3,2,no trans
56,103,有,Chinese,VERB,9,no,6.2004,-13.5639,-15.1085,0.9152,0.1903,0.3257,0.304,-17.9993,10.0243,4,3,3,2,no trans
138,334,月,Chinese,NOUN,10,no,1.9656,-6.4315,-1.1516,0.7488,0.4221,0.783,1.3277,-6.4098,0.2424,5,4,3,2,no trans
29,51,在,Chinese,VERB,11,no,3.6481,-8.3996,-9.1283,0.8149,0.3581,0.5217,0.4883,-10.8423,5.5001,4,3,3,2,no trans
70,136,在,Chinese,VERB,11,no,3.2123,-5.6375,-4.4863,0.7978,0.4479,0.6738,-0.2806,-7.2253,3.3072,5,4,3,2,no trans
139,336,他,Chinese,PRON,12,no,0.4054,-3.9243,-2.3979,0.6875,0.5035,0.7422,1.4946,-4.0305,1.7627,5,4,3,2,no trans
37,60,於,Chinese,ADP,17,no,2.38,0.2589,-0.2984,0.7651,0.6395,0.811,-2.127,-0.9374,0.15,5,4,3,2,no trans
151,363,於,Chinese,ADP,17,no,-1.8917,-1.1988,-1.8478,0.5972,0.5921,0.7602,2.1792,-0.3666,2.3339,5,4,3,2,no trans
53,98,被,Chinese,VERB,20,no,2.2818,5.0212,-2.3474,0.7612,0.7942,0.7439,-4.1744,2.8635,3.2643,1,1,1,1,no trans
12,16,是,Chinese,VERB,22,no,4.0832,-1.7154,-3.6423,0.832,0.5753,0.7014,-2.6145,-4.164,2.8228,5,4,3,2,no trans
2,5,是,Chinese,VERB,22,no,3.2599,-8.619,-8.799,0.7997,0.351,0.5324,0.9504,-10.7909,5.1886,4,3,3,2,no trans
55,101,也,Chinese,ADV,23,no,0.0649,0.102,-3.9983,0.6741,0.6344,0.6898,-0.0093,-0.7281,4.1548,5,4,3,2,no trans
67,128,而,Chinese,ADV,24,no,-1.1918,0.6672,-2.5806,0.6247,0.6527,0.7362,0.812,0.6298,2.9859,5,4,3,2,no trans
100,222,兩,Chinese,NUM,26,no,2.7185,-0.6265,0.1266,0.7784,0.6107,0.8249,-1.9301,-1.7476,-0.4481,5,4,3,2,no trans
109,260,等,Chinese,NOUN,27,no,4.7066,-0.9218,-1.2707,0.8565,0.6011,0.7791,-3.512,-3.2694,0.5406,5,4,3,2,no trans
