,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
31,36,也,Classical_Chinese,PART,1,no,-12.5885,9.0853,-6.3844,0.0771,0.9118,0.3443,-3.0615,-15.1325,8.514,3,2,2,2,no trans
9,11,不,Classical_Chinese,ADV,2,no,-9.9654,4.3462,-4.4498,0.1704,0.7522,0.4197,-4.5598,-9.4366,5.2629,3,2,2,2,no trans
5,7,曰,Classical_Chinese,VERB,3,no,-7.9599,5.1378,1.2202,0.2417,0.7788,0.6409,-1.4843,-9.7907,-0.7627,4,3,3,2,no trans
15,17,者,Classical_Chinese,PART,7,no,-12.7964,10.2792,-6.2558,0.0697,0.9521,0.3493,-2.2702,-16.5011,8.8941,3,2,2,2,no trans
25,29,人,Classical_Chinese,NOUN,8,no,-12.3838,9.8007,-5.4326,0.0844,0.936,0.3814,-2.2113,-15.8443,8.0325,3,2,2,2,no trans
67,77,有,Classical_Chinese,VERB,11,no,-14.2351,11.7013,-7.0416,0.0186,1.0,0.3186,-2.3489,-18.7,10.6133,3,2,2,2,no trans
144,173,則,Classical_Chinese,ADV,14,no,-6.9897,4.2722,-2.8953,0.2762,0.7497,0.4804,-2.3806,-7.3276,3.4475,3,2,2,2,no trans
29,34,矣,Classical_Chinese,PART,15,no,-5.7907,2.9106,-2.5621,0.3189,0.7038,0.4934,-2.4455,-5.507,2.648,3,2,2,2,no trans
89,103,天,Classical_Chinese,NOUN,16,no,-1.2686,1.3531,0.1829,0.4797,0.6513,0.6005,0.0204,-1.7373,-0.1505,2,1,1,1,no trans
90,104,下,Classical_Chinese,NOUN,21,no,-3.4496,2.6601,-1.6267,0.4021,0.6953,0.5299,-0.7247,-3.9631,1.7521,3,2,2,2,no trans
40,45,道,Classical_Chinese,NOUN,22,no,-4.9058,4.712,-2.5695,0.3503,0.7645,0.4931,-0.4182,-6.3627,3.3807,3,2,2,2,no trans
62,70,以,Classical_Chinese,ADV,23,no,-4.5348,0.8442,-2.2517,0.3635,0.6341,0.5055,-3.2393,-3.0267,1.929,4,3,3,2,no trans
17,19,以,Classical_Chinese,ADV,23,no,-9.1795,6.5891,-4.5413,0.1984,0.8277,0.4162,-2.3146,-10.7895,6.1997,3,2,2,2,no trans
473,1527,孟子,Classical_Chinese,PROPN,24,no,-1.5298,-3.4792,-2.776,0.4704,0.4885,0.485,-3.9314,1.7885,1.8539,4,3,3,2,no trans
113,134,吾,Classical_Chinese,PRON,25,no,-2.7879,1.9277,-2.9559,0.4256,0.6707,0.478,-1.0515,-2.6959,2.8122,3,2,2,2,no trans
218,315,民,Classical_Chinese,NOUN,27,no,-4.3759,3.8145,-1.8285,0.3692,0.7342,0.522,-0.7212,-5.2959,2.2792,3,2,2,2,no trans
37,42,所,Classical_Chinese,PART,28,no,-5.0465,1.5261,-1.5157,0.3453,0.6571,0.5342,-2.8733,-4.0286,1.2365,4,3,3,2,no trans
153,191,君,Classical_Chinese,NOUN,30,no,-4.2161,3.4519,-2.2076,0.3749,0.722,0.5072,-0.7585,-5.0821,2.6369,3,2,2,2,no trans
59,67,我,Classical_Chinese,PRON,31,no,-2.5929,3.6435,-3.011,0.4326,0.7285,0.4759,0.2204,-3.7481,3.2662,2,1,1,1,no trans
13,15,知,Classical_Chinese,VERB,32,no,-6.1177,5.2335,-2.8859,0.3072,0.7821,0.4807,-0.9561,-7.6379,3.8444,3,2,2,2,no trans
46,51,君子,Classical_Chinese,NOUN,33,no,-2.2161,3.583,-1.3802,0.446,0.7264,0.5395,0.7116,-3.6625,1.6427,2,1,1,1,no trans
118,140,謂,Classical_Chinese,VERB,35,no,-6.0556,4.3842,-0.1874,0.3094,0.7534,0.586,-1.124,-7.289,0.9672,3,2,2,2,no trans
23,27,能,Classical_Chinese,AUX,36,no,-1.9093,3.1293,-2.8689,0.4569,0.7111,0.4814,0.4399,-3.0501,3.0757,2,1,1,1,no trans
61,69,見,Classical_Chinese,VERB,37,no,-5.4148,4.5601,-2.6641,0.3322,0.7594,0.4894,-0.8612,-6.714,3.3697,3,2,2,2,no trans
57,63,必,Classical_Chinese,ADV,38,no,-2.1277,1.5206,-1.4203,0.4491,0.6569,0.5379,-0.7577,-2.1343,1.3095,2,1,1,1,no trans
260,419,孔子,Classical_Chinese,PROPN,41,no,-0.4013,1.9149,-1.6386,0.5105,0.6702,0.5294,0.7615,-1.2704,1.5463,2,1,1,1,no trans
60,68,未,Classical_Chinese,ADV,43,no,-1.4963,0.7154,-1.7846,0.4716,0.6298,0.5237,-1.0667,-0.9358,1.5708,2,1,1,1,no trans
64,73,使,Classical_Chinese,VERB,49,no,-5.2319,4.6574,-2.0725,0.3387,0.7626,0.5125,-0.61,-6.7064,2.8879,3,2,2,2,no trans
164,215,哉,Classical_Chinese,PART,50,no,-2.1072,1.3933,-1.5977,0.4499,0.6526,0.531,-0.8933,-1.9209,1.4439,2,1,1,1,no trans
140,169,三,Classical_Chinese,NUM,52,no,-1.0747,1.6164,1.4258,0.4866,0.6602,0.6489,0.5196,-1.9465,-1.2065,2,1,1,1,no trans
68,78,一,Classical_Chinese,NUM,53,no,-1.8418,2.1315,0.0066,0.4593,0.6775,0.5936,0.2463,-2.6908,0.1404,2,1,1,1,no trans
238,354,後,Classical_Chinese,NOUN,54,no,-1.4789,2.8077,-1.1719,0.4722,0.7003,0.5476,0.712,-2.6786,1.2767,2,1,1,1,no trans
79,91,聞,Classical_Chinese,VERB,55,no,-4.4158,3.7078,-1.0617,0.3678,0.7306,0.5519,-0.6429,-5.3987,1.4633,3,2,2,2,no trans
210,300,亦,Classical_Chinese,ADV,56,no,-2.7809,1.9585,-0.8663,0.4259,0.6717,0.5595,-0.905,-2.8593,0.6746,2,1,1,1,no trans
321,559,舜,Classical_Chinese,PROPN,57,no,0.3863,2.4934,-1.8059,0.5385,0.6897,0.5229,1.7935,-1.2175,1.8625,2,1,1,1,no trans
82,95,士,Classical_Chinese,NOUN,60,no,-3.0619,3.2771,0.313,0.4159,0.7161,0.6055,0.1627,-4.2708,0.1434,3,2,2,2,no trans
102,122,國,Classical_Chinese,NOUN,61,no,-3.4221,2.223,-0.9195,0.4031,0.6806,0.5575,-1.01,-3.6816,1.0053,3,2,2,2,no trans
0,2,仁,Classical_Chinese,VERB,62,no,-1.0159,2.8646,-1.7787,0.4887,0.7022,0.5239,1.0415,-2.35,1.8892,2,1,1,1,no trans
14,16,仁,Classical_Chinese,VERB,62,no,-0.4115,2.5616,-2.5649,0.5102,0.692,0.4933,1.111,-1.625,2.5857,2,1,1,1,no trans
147,177,言,Classical_Chinese,NOUN,63,no,-3.8336,4.0635,-2.0561,0.3885,0.7426,0.5131,-0.0746,-5.2479,2.5696,3,2,2,2,no trans
151,185,言,Classical_Chinese,NOUN,63,no,-0.3266,2.6279,-1.9566,0.5132,0.6942,0.517,1.3446,-1.7051,2.0269,2,1,1,1,no trans
258,417,公,Classical_Chinese,NOUN,64,no,-3.4803,3.3059,2.162,0.401,0.7171,0.6777,0.291,-4.986,-1.6418,3,2,2,2,no trans
207,294,今,Classical_Chinese,NOUN,65,no,-0.2701,2.119,-0.8541,0.5152,0.6771,0.56,1.1765,-1.449,0.8453,2,1,1,1,no trans
107,127,禮,Classical_Chinese,NOUN,66,no,0.1478,2.3082,-0.4724,0.53,0.6835,0.5749,1.6863,-1.3771,0.58,2,1,1,1,no trans
130,156,父,Classical_Chinese,NOUN,67,no,-2.3194,3.2239,0.2686,0.4423,0.7143,0.6038,0.6644,-3.7417,0.1616,3,2,2,2,no trans
277,457,心,Classical_Chinese,NOUN,68,no,-1.0826,2.9563,-0.492,0.4863,0.7053,0.5741,1.1954,-2.5755,0.6827,2,1,1,1,no trans
138,165,在,Classical_Chinese,VERB,69,no,-4.4581,3.7418,-0.0635,0.3663,0.7318,0.5908,-0.473,-5.5937,0.6132,3,2,2,2,no trans
481,1562,此,Classical_Chinese,PRON,71,no,1.6375,2.0809,1.5295,0.583,0.6758,0.653,2.7674,-0.4108,-1.1286,2,1,1,1,no trans
253,399,子,Classical_Chinese,PRON,72,no,-0.8048,1.3343,-3.1654,0.4962,0.6507,0.4698,-0.0672,-1.0089,2.9547,2,1,1,1,no trans
4,6,子,Classical_Chinese,PRON,72,no,-6.1249,4.993,-1.9334,0.307,0.7739,0.5179,-1.0053,-7.52,2.8839,3,2,2,2,no trans
414,1030,受,Classical_Chinese,VERB,74,no,-3.4721,3.6293,-0.6595,0.4013,0.728,0.5676,0.0036,-4.7129,1.0918,3,2,2,2,no trans
205,290,予,Classical_Chinese,PRON,75,no,-0.174,3.1961,0.2239,0.5186,0.7134,0.6021,2.2225,-2.3506,-0.0622,2,1,1,1,no trans
69,79,日,Classical_Chinese,NOUN,76,no,-5.2991,1.0488,-0.6625,0.3363,0.641,0.5675,-3.053,-4.1431,0.4763,4,3,3,2,no trans
339,632,皆,Classical_Chinese,ADV,78,no,-1.3638,0.9397,-0.1979,0.4763,0.6374,0.5856,-0.4764,-1.3863,0.012,2,1,1,1,no trans
24,28,好,Classical_Chinese,VERB,79,no,-3.3369,2.4516,-0.8818,0.4061,0.6883,0.5589,-0.7567,-3.677,0.9886,3,2,2,2,no trans
30,35,無,Classical_Chinese,ADV,80,no,-3.4671,-0.4713,-1.3156,0.4015,0.5898,0.542,-3.1606,-1.531,0.8131,4,3,3,2,no trans
51,56,無,Classical_Chinese,ADV,80,no,-7.5029,5.7484,-4.1683,0.258,0.7994,0.4307,-1.7352,-8.8366,5.3793,3,2,2,2,no trans
221,324,居,Classical_Chinese,VERB,83,no,-3.3905,1.9671,-1.3494,0.4042,0.672,0.5407,-1.1877,-3.4067,1.3835,3,2,2,2,no trans
165,216,若,Classical_Chinese,VERB,85,no,-1.6963,2.9803,-1.8671,0.4645,0.7061,0.5205,0.5474,-2.8052,2.0288,2,1,1,1,no trans
158,204,中,Classical_Chinese,NOUN,87,no,-0.9388,0.8958,-0.0117,0.4914,0.6359,0.5929,0.0327,-1.2412,0.006,2,1,1,1,no trans
227,342,齊,Classical_Chinese,PROPN,89,no,-1.2866,0.5291,0.4414,0.479,0.6235,0.6105,-0.5356,-1.1689,-0.3658,2,1,1,1,no trans
104,124,政,Classical_Chinese,NOUN,90,no,0.2733,1.6105,-1.7624,0.5345,0.66,0.5246,1.1053,-0.6498,1.6168,2,1,1,1,no trans
96,111,小,Classical_Chinese,VERB,91,no,4.2583,0.4879,-0.4656,0.6762,0.6221,0.5752,3.3454,2.617,0.6948,1,1,1,1,no trans
103,123,從,Classical_Chinese,VERB,93,no,-1.7044,3.2409,-2.2063,0.4642,0.7149,0.5073,0.7639,-3.0679,2.3884,2,1,1,1,no trans
200,274,敢,Classical_Chinese,AUX,94,no,-0.4535,-0.4755,-2.2048,0.5087,0.5897,0.5073,-1.2812,0.7416,1.9862,2,1,1,1,no trans
296,503,將,Classical_Chinese,ADV,95,no,-2.7833,0.0565,-0.3131,0.4258,0.6076,0.5811,-2.2995,-1.5708,-0.0074,4,3,3,2,no trans
