,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2
0,6,u,Croatian,ADP,2,no,-1.1496,13.3422,-5.5197,0.4808,0.6627,0.3772,-0.4593,-13.3972,6.8525,5,4,3,2
1,7,makedoniji,Croatian,PROPN,122,no,-5.3371,-0.443,1.3996,0.2986,0.2668,0.6543,5.2558,-0.0334,-0.9244,4,4,3,2
2,8,neki,Croatian,DET,221,no,4.5986,-0.172,1.896,0.7308,0.2746,0.6741,-4.5599,0.2846,-2.2755,2,2,2,2
3,10,da,Croatian,SCONJ,11,no,-0.6452,5.12,-3.3906,0.5027,0.4266,0.4624,0.1906,-4.939,3.3833,3,3,3,2
4,11,je,Croatian,AUX,1,no,-2.6762,10.6064,-6.7781,0.4143,0.5841,0.3268,1.2028,-10.6195,7.7953,5,4,3,2
5,16,na,Croatian,ADP,4,no,-0.1726,9.4937,-3.0603,0.5233,0.5522,0.4756,-0.7545,-9.4225,3.6838,5,4,3,2
6,18,medija,Croatian,NOUN,225,no,-5.2763,-2.0894,2.7423,0.3012,0.2196,0.708,5.3526,1.3739,-2.1791,1,1,1,1
7,20,dok,Croatian,SCONJ,70,no,5.0793,0.4818,4.7291,0.7518,0.2934,0.7876,-4.7494,-0.2478,-5.0705,3,3,3,2
8,21,drugi,Croatian,ADJ,176,no,-7.8192,-2.4423,3.0958,0.1906,0.2094,0.7222,7.9592,1.8197,-2.2251,1,1,1,1
9,22,kako,Croatian,ADV,117,no,-1.3355,4.272,-5.6223,0.4727,0.4022,0.373,0.7672,-4.1072,5.6737,5,4,3,2
10,24,o,Croatian,ADP,13,no,4.2399,2.14,-0.9377,0.7152,0.341,0.5607,-4.4069,-1.8705,0.7049,2,2,2,2
11,6176,festival,Croatian,NOUN,207,no,6.2367,0.6682,2.1278,0.8021,0.2987,0.6834,-6.1425,-0.5138,-2.337,2,2,2,2
12,37,godina,Croatian,NOUN,53,no,-1.2109,6.4304,-0.6514,0.4781,0.4642,0.5721,0.6436,-6.507,1.1124,5,4,3,2
13,2085,posto,Croatian,ADV,69,no,-0.9126,5.5881,-2.5475,0.4911,0.44,0.4962,0.414,-5.5411,2.7034,5,4,3,2
14,2087,godini,Croatian,NOUN,183,no,-0.8074,0.2331,1.864,0.4956,0.2863,0.6729,0.6148,-0.3385,-1.8178,3,3,3,2
15,39,zbog,Croatian,ADP,46,no,3.2262,1.3862,0.2254,0.6711,0.3194,0.6072,-3.2713,-1.1245,-0.6078,3,3,3,2
16,4137,2007.,Croatian,ADJ,306,no,1.9695,-7.511,-4.7776,0.6165,0.0639,0.4069,-2.0237,7.5225,4.3499,2,2,2,2
17,42,i,Croatian,PART,404,no,-4.8736,25.0906,-14.9368,0.3187,1.0,0.0,1.2387,-25.296,18.3656,5,4,3,2
