,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
58,129,v,Czech,ADP,2,no,0.2206,-4.9022,3.9273,0.4462,0.3632,0.6025,-1.9305,-5.1383,3.2745,3,3,2,2,in
15,34,na,Czech,ADP,3,no,-5.3316,-12.5716,9.964,0.1706,0.1154,0.914,0.423,-14.7302,10.5254,3,3,2,2,on
85,193,že,Czech,SCONJ,7,no,-4.1118,-3.6582,2.4414,0.2312,0.4034,0.5259,2.8536,-4.8442,2.7196,3,3,2,2,that
38,74,i,Czech,CCONJ,9,no,-3.5685,-8.7413,5.4102,0.2582,0.2392,0.679,0.4662,-10.0589,5.5905,3,3,2,2,and
54,110,z,Czech,ADP,10,no,-1.5094,-5.1869,3.9816,0.3604,0.354,0.6053,-0.3857,-5.8348,3.6519,3,3,2,2,of
48,95,pro,Czech,ADP,11,no,-0.9735,-4.5625,3.7881,0.387,0.3742,0.5954,-0.7641,-5.06,3.3451,3,3,2,2,for
24,55,za,Czech,ADP,13,no,-1.5246,-6.4415,2.7942,0.3596,0.3135,0.5441,-0.4547,-6.8722,2.565,3,3,2,2,for
88,202,k,Czech,ADP,14,no,1.5597,-5.5588,-1.3532,0.5127,0.342,0.3301,-2.2739,-4.743,-2.0675,2,2,1,1,to
105,267,do,Czech,ADP,15,no,-0.641,-3.2492,2.2581,0.4035,0.4166,0.5164,-0.4159,-3.5918,1.8553,3,3,2,2,to
63,137,by,Czech,AUX,16,no,1.0867,-0.112,1.3173,0.4892,0.5179,0.4679,-1.2518,0.0957,0.6374,2,2,1,1,would
40,73,ale,Czech,CCONJ,17,no,-4.0031,-1.6401,1.6988,0.2366,0.4686,0.4876,3.2189,-2.6866,1.7691,4,4,3,2,but
29,60,ve,Czech,ADP,19,no,1.6522,-1.8747,1.8203,0.5173,0.461,0.4938,-2.2441,-1.5098,0.9909,2,2,1,1,in
130,337,nebo,Czech,CCONJ,20,no,-0.7847,-1.7977,2.0165,0.3963,0.4635,0.504,0.0003,-2.1608,1.7031,4,4,3,2,or
18,38,při,Czech,ADP,21,no,2.7042,-1.4072,1.661,0.5695,0.4761,0.4856,-3.1975,-0.6359,0.7099,2,2,1,1,at
141,365,které,Czech,DET,22,no,-3.7289,0.7918,2.084,0.2502,0.5471,0.5074,3.3202,-0.4562,2.6088,4,4,3,2,which
107,270,u,Czech,ADP,23,no,0.8937,-0.558,1.1052,0.4796,0.5035,0.4569,-1.1444,-0.4125,0.7728,2,2,1,1,at
