,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
4,8,i,Danish,ADP,1,no,-6.9239,10.447,-9.1088,0.0447,1.0,0.1645,0.3955,-15.1468,6.4504,1,1,1,1,in
13,24,og,Danish,CCONJ,2,no,-6.8322,8.5116,-11.0279,0.0492,0.9264,0.075,0.6146,-13.836,8.9708,1,1,1,1,and
0,1,på,Danish,ADP,7,no,-5.5088,6.8363,-6.3621,0.1142,0.8627,0.2926,0.9697,-10.392,4.2959,1,1,1,1,on
6,11,af,Danish,ADP,8,no,-3.393,4.2527,-3.2706,0.2181,0.7645,0.4368,0.69,-6.127,2.0983,3,2,1,1,of
7,12,at,Danish,SCONJ,12,no,-3.9619,2.4735,-5.9856,0.1901,0.6968,0.3102,1.2103,-5.3972,5.0965,3,2,1,1,to
84,154,at,Danish,SCONJ,12,no,-1.7751,2.2208,-3.7165,0.2975,0.6872,0.416,-0.3743,-3.4677,2.718,3,2,1,1,to
52,89,ikke,Danish,ADV,13,no,-5.8544,5.8659,-7.9875,0.0972,0.8258,0.2168,1.1633,-9.9957,6.1728,1,1,1,1,does not
100,186,jeg,Danish,PRON,17,no,-3.9248,2.0164,-5.8791,0.192,0.6794,0.3151,1.3616,-4.9043,5.1084,3,2,1,1,I
51,88,han,Danish,PRON,18,no,-2.8412,2.3147,-3.8502,0.2452,0.6908,0.4097,0.6397,-4.1239,2.9321,3,2,1,1,he
49,86,men,Danish,CCONJ,21,no,-3.2775,2.2844,-4.7693,0.2237,0.6896,0.3669,0.907,-4.5714,3.8766,3,2,1,1,but
170,347,der,Danish,PRON,23,no,-0.7795,1.8478,-2.8873,0.3464,0.673,0.4547,-0.8077,-2.5015,2.0972,3,2,1,1,there
83,152,der,Danish,PRON,23,no,-1.1921,1.7319,-3.1846,0.3262,0.6686,0.4408,-0.4734,-2.6087,2.4135,3,2,1,1,there
26,46,det,Danish,DET,24,no,1.3416,3.8844,-0.3666,0.4506,0.7505,0.5722,-2.9092,-2.7051,-0.7545,5,4,3,2,that
21,36,det,Danish,DET,24,no,-7.8336,8.402,-12.6352,0.0,0.9222,0.0,1.2307,-14.6926,10.5666,1,1,1,1,that
61,113,kan,Danish,AUX,25,no,-1.4013,0.6867,-3.5091,0.3159,0.6289,0.4257,-0.0753,-1.7451,2.9027,3,2,1,1,able to
96,182,de,Danish,PRON,27,no,-3.1103,2.9995,-3.9505,0.232,0.7168,0.4051,0.6358,-5.0099,2.9228,3,2,1,1,the
10,18,de,Danish,PRON,27,no,3.3355,4.8825,-0.4635,0.5485,0.7884,0.5677,-4.8298,-2.827,-1.1771,5,4,3,2,the
153,299,vi,Danish,PRON,28,no,-2.2913,1.7743,-4.4667,0.2722,0.6702,0.381,0.1813,-3.5192,3.5755,3,2,1,1,we
200,449,er,Danish,VERB,29,no,-7.7655,9.2502,-11.1102,0.0033,0.9545,0.0711,1.0673,-14.9679,8.7363,1,1,1,1,is
33,60,er,Danish,VERB,29,no,-4.0799,5.3793,-5.4361,0.1843,0.8073,0.3358,0.3665,-7.996,3.8386,3,2,1,1,is
138,264,fra,Danish,ADP,30,no,-2.482,3.0115,-0.3479,0.2628,0.7173,0.5731,0.8982,-3.8289,-0.557,3,2,1,1,from
108,199,man,Danish,PRON,31,no,-2.207,0.03,-3.5253,0.2763,0.6039,0.4249,0.9344,-1.6476,3.4205,3,2,1,1,you
80,149,sig,Danish,PRON,34,no,-2.5213,1.0968,-2.0724,0.2609,0.6445,0.4927,1.1479,-2.548,1.5507,3,2,1,1,themselves
134,257,også,Danish,ADV,35,no,-4.1224,1.6019,-3.5736,0.1823,0.6637,0.4227,2.2413,-4.1549,3.1074,3,2,1,1,also
42,72,år,Danish,NOUN,37,no,-5.1882,7.7063,-5.1154,0.1299,0.8958,0.3507,0.7123,-10.7672,2.9875,1,1,1,1,year
40,70,hun,Danish,PRON,40,no,-2.0571,0.5358,-2.4269,0.2837,0.6231,0.4761,0.9658,-1.8739,2.0656,3,2,1,1,she
1,3,har,Danish,VERB,42,no,-2.0692,1.4202,-1.8873,0.2831,0.6568,0.5013,0.7401,-2.5013,1.3951,3,2,1,1,have
29,56,har,Danish,VERB,42,no,-6.7402,7.1563,-7.8083,0.0537,0.8749,0.2251,1.5914,-11.6447,5.7613,1,1,1,1,have
107,198,hvor,Danish,ADV,43,no,-1.25,0.614,-1.1699,0.3233,0.6261,0.5348,0.4956,-1.3024,0.8764,3,2,1,1,where
152,298,nu,Danish,ADV,44,no,-3.6301,0.956,-2.4267,0.2064,0.6391,0.4761,2.1822,-2.9618,1.9858,3,2,1,1,now
74,134,siger,Danish,VERB,45,no,-4.664,2.5644,-3.5455,0.1557,0.7003,0.424,2.2894,-5.2268,2.7059,3,2,1,1,say
43,75,sin,Danish,DET,47,no,6.2453,2.853,-0.4194,0.6914,0.7112,0.5698,-6.754,0.4646,-0.86,5,4,3,2,his
65,118,den,Danish,PRON,48,no,2.5862,4.3837,-0.4474,0.5117,0.7694,0.5685,-4.0231,-2.7451,-0.8943,5,4,3,2,the
36,66,den,Danish,PRON,48,no,-2.8797,0.4945,-2.0854,0.2433,0.6216,0.4921,1.8024,-2.1661,1.9189,3,2,1,1,the
11,22,eller,Danish,CCONJ,49,no,-1.7596,0.621,0.7722,0.2983,0.6264,0.6253,1.3967,-1.1225,-0.6759,3,2,1,1,or
123,230,ud,Danish,ADV,50,no,-2.9656,0.8093,-2.3446,0.2391,0.6335,0.48,1.6318,-2.4274,1.9718,3,2,1,1,out
177,363,blev,Danish,AUX,51,no,6.1966,2.4944,-1.6118,0.689,0.6976,0.5142,-6.9346,0.471,0.1783,5,4,3,2,became
202,466,op,Danish,ADV,52,no,0.008,1.2839,-2.8052,0.3851,0.6516,0.4585,-1.3159,-1.636,1.9641,3,2,1,1,up
199,448,to,Danish,NUM,53,no,-0.1421,1.5032,2.034,0.3777,0.6599,0.6842,0.1274,-0.9345,-2.0594,2,2,1,1,thaw
203,468,alle,Danish,ADJ,54,no,-2.3969,0.5784,-0.8839,0.267,0.6248,0.5481,1.5972,-1.7358,0.7123,3,2,1,1,all
112,212,kunne,Danish,AUX,56,no,0.8877,-0.5809,-2.5671,0.4283,0.5807,0.4696,-1.4567,0.6892,2.3597,3,2,1,1,could
57,100,når,Danish,SCONJ,59,no,-0.8685,-0.1429,-0.6335,0.3421,0.5973,0.5598,0.387,-0.1987,0.5069,3,2,1,1,when
346,1032,hvad,Danish,PRON,60,no,-2.4296,0.1338,-3.2876,0.2654,0.6078,0.436,1.3202,-1.8782,3.0533,3,2,1,1,what
187,395,mig,Danish,PRON,61,no,-5.4261,0.0982,-1.0003,0.1182,0.6065,0.5427,4.6283,-3.0004,0.8086,2,2,1,1,me
248,612,mange,Danish,ADJ,62,no,-1.6792,1.3003,-0.5687,0.3022,0.6522,0.5628,0.8814,-1.9732,0.2814,3,2,1,1,many
191,409,var,Danish,VERB,63,no,0.0928,2.4846,-1.2183,0.3893,0.6972,0.5325,-1.4815,-2.2522,0.3681,3,2,1,1,was
211,491,var,Danish,VERB,63,no,-4.5767,4.2814,-4.2285,0.1599,0.7656,0.3921,1.3481,-6.8742,2.8099,3,2,1,1,was
122,229,få,Danish,VERB,64,no,-5.033,2.7782,-5.6827,0.1375,0.7084,0.3243,2.139,-6.1835,4.8217,3,2,1,1,few
9,17,ind,Danish,ADV,66,no,-3.3283,-1.7577,-1.0168,0.2213,0.5359,0.5419,3.376,-0.1467,1.6582,3,2,1,1,in
383,1214,du,Danish,PRON,67,no,-0.8629,-0.8675,-3.0843,0.3423,0.5698,0.4455,0.2414,-0.1049,3.035,3,2,1,1,you
206,472,får,Danish,VERB,69,no,-4.61,3.3869,-3.7091,0.1583,0.7315,0.4163,1.9383,-6.0099,2.6631,3,2,1,1,sheep
233,558,kr.,Danish,NOUN,70,no,-2.7821,1.0939,1.5137,0.2481,0.6444,0.6599,2.3783,-1.9329,-1.5024,3,2,1,1,DKK
201,463,end,Danish,ADP,71,no,-2.6815,-0.4062,-0.0372,0.253,0.5873,0.5876,2.51,-0.9153,0.3408,3,2,1,1,than
194,426,ham,Danish,PRON,72,no,-3.8152,0.3396,-1.3401,0.1973,0.6157,0.5268,2.9507,-2.3728,1.208,3,2,1,1,him
101,187,må,Danish,AUX,73,no,2.4744,-0.9319,-2.7787,0.5062,0.5673,0.4597,-2.7516,1.7854,2.6709,5,4,3,2,must
289,791,deres,Danish,DET,74,no,4.5528,1.8835,-0.0653,0.6083,0.6744,0.5863,-4.8989,0.489,-0.6752,5,4,3,2,their
126,235,hvis,Danish,SCONJ,75,no,-3.1365,-1.9773,-2.1237,0.2307,0.5276,0.4903,3.0541,-0.0867,2.668,3,2,1,1,whose
287,770,store,Danish,ADJ,76,no,1.7317,1.9294,-0.2013,0.4697,0.6761,0.5799,-2.3388,-0.8883,-0.4049,2,2,1,1,large
208,479,danske,Danish,ADJ,79,no,2.5378,0.4337,0.2587,0.5093,0.6192,0.6014,-2.3229,0.9078,-0.358,2,2,1,1,Danish
91,170,dem,Danish,PRON,80,no,-4.2672,0.2148,-1.1026,0.1751,0.6109,0.5379,3.4195,-2.4205,1.1951,3,2,1,1,them
284,745,helt,Danish,ADV,81,no,-0.853,1.1254,1.5857,0.3428,0.6456,0.6633,0.5194,-0.9172,-1.7148,2,2,1,1,quite
420,1432,sammen,Danish,ADV,82,no,-2.5677,-1.2096,-1.1354,0.2586,0.5568,0.5364,2.4913,-0.2675,1.5206,3,2,1,1,together
178,372,her,Danish,ADV,83,no,-3.0838,-0.3367,-1.0858,0.2333,0.59,0.5387,2.5135,-1.2431,1.2591,3,2,1,1,here
166,339,mod,Danish,ADP,84,no,4.3927,3.1133,0.3877,0.6004,0.7211,0.6074,-5.1327,-0.5343,-1.6429,5,4,3,2,against
215,496,kun,Danish,ADV,85,no,-2.2338,-6.0134,-1.1949,0.275,0.3741,0.5336,4.4142,3.8169,3.1834,3,2,1,1,only
64,117,tid,Danish,NOUN,86,no,-5.1775,4.2588,-0.9433,0.1304,0.7647,0.5453,2.8043,-6.6012,-0.4963,2,2,1,1,time
212,492,flere,Danish,ADJ,87,no,0.6477,3.2673,1.4136,0.4165,0.727,0.6553,-1.6638,-2.158,-2.2454,2,2,1,1,more
354,1070,fordi,Danish,SCONJ,88,no,-2.1194,-2.488,1.0351,0.2806,0.5082,0.6376,3.0345,1.5007,0.0402,3,2,1,1,because
142,273,jo,Danish,ADV,90,no,-1.6715,-0.538,-0.7009,0.3026,0.5823,0.5566,1.2697,-0.2669,0.8821,3,2,1,1,yes
310,887,gang,Danish,NOUN,91,no,-3.9625,2.3211,-0.1043,0.1901,0.691,0.5845,2.6099,-3.9109,-0.556,3,2,1,1,walk
231,543,nye,Danish,ADJ,92,no,0.0762,0.3779,2.039,0.3884,0.6171,0.6844,0.2468,0.2332,-1.7395,2,2,1,1,new
69,122,denne,Danish,DET,93,no,4.2248,1.9346,-0.6455,0.5922,0.6763,0.5592,-4.7762,0.315,-0.2247,5,4,3,2,this
24,45,hele,Danish,ADJ,94,no,4.4715,4.7038,1.3749,0.6043,0.7816,0.6535,-5.5827,-1.6251,-3.3171,5,4,3,2,all
313,902,lige,Danish,ADV,95,no,-2.5919,1.2925,-0.143,0.2574,0.6519,0.5827,1.5972,-2.2395,-0.2522,3,2,1,1,just
32,58,tre,Danish,NUM,98,no,-0.6201,0.6779,2.9187,0.3543,0.6285,0.7255,1.0077,-0.1629,-2.562,2,2,1,1,three
137,261,hans,Danish,DET,99,no,8.2644,0.4389,-1.7529,0.7906,0.6194,0.5076,-7.4876,3.8826,1.6048,5,4,3,2,his
470,1793,kommer,Danish,VERB,100,no,-4.8402,3.156,-2.858,0.147,0.7228,0.456,2.3647,-5.6928,1.9912,3,2,1,1,coming
98,185,sagde,Danish,VERB,101,no,-4.5046,0.8092,-0.867,0.1635,0.6335,0.5489,3.4301,-3.0067,0.6893,3,2,1,1,said
147,278,blevet,Danish,AUX,102,no,12.0157,2.0096,-0.4141,0.9748,0.6792,0.57,-10.5809,3.4812,-0.9096,5,4,3,2,became
226,524,se,Danish,VERB,103,no,-4.4316,1.7386,-3.5013,0.1671,0.6689,0.426,2.4403,-4.3638,2.9118,3,2,1,1,see
50,87,fik,Danish,VERB,105,no,-3.2037,2.4724,-2.2465,0.2274,0.6968,0.4846,1.226,-4.0923,1.3778,3,2,1,1,got
343,1016,folk,Danish,NOUN,106,no,-3.6506,-1.129,0.817,0.2054,0.5598,0.6274,3.8998,-0.5069,-0.1887,3,2,1,1,people
27,51,med,Danish,ADV,107,no,-4.4619,4.2505,-3.7805,0.1656,0.7644,0.413,1.5364,-6.7945,2.7237,3,2,1,1,with
23,44,med,Danish,ADV,107,no,-4.0646,-0.0755,-2.7029,0.1851,0.5999,0.4633,3.0959,-2.5158,2.6742,3,2,1,1,with
377,1184,mellem,Danish,ADP,108,no,-0.7925,0.2446,2.1997,0.3458,0.6121,0.6919,1.1661,-0.0601,-1.8175,2,2,1,1,between
361,1106,komme,Danish,VERB,111,no,-5.2408,1.504,-3.037,0.1273,0.6599,0.4477,3.3389,-4.4427,2.6141,3,2,1,1,come
139,265,sidste,Danish,ADJ,113,no,-0.9474,-1.0423,3.3833,0.3382,0.5631,0.7471,2.1007,1.1947,-2.4593,3,2,1,1,last
22,37,under,Danish,ADP,114,no,-1.2835,-0.1334,4.7505,0.3217,0.5977,0.8109,2.4291,0.504,-4.1443,3,2,1,1,below
468,1778,dag,Danish,NOUN,116,no,-0.3893,2.5927,2.6645,0.3656,0.7013,0.7136,-0.1729,-1.7114,-3.0764,2,2,1,1,day
223,519,samme,Danish,ADJ,117,no,-1.8631,-0.9598,1.0873,0.2932,0.5663,0.64,2.3727,0.2067,-0.5028,3,2,1,1,same
121,223,skulle,Danish,AUX,119,no,2.0905,-2.2122,-3.5584,0.4874,0.5186,0.4234,-2.0936,2.5313,3.8013,5,4,3,2,should
173,355,selv,Danish,ADV,120,no,-0.009,-3.212,-0.3929,0.3843,0.4806,0.571,1.0728,2.8416,1.5897,3,2,1,1,self
31,57,selv,Danish,ADV,120,no,-1.1093,-4.6835,-1.745,0.3302,0.4247,0.5079,2.3761,3.3458,3.3645,3,2,1,1,self
469,1782,dansk,Danish,ADJ,121,no,2.278,-3.35,1.1844,0.4966,0.4754,0.6446,-0.1055,4.4624,0.258,2,2,1,1,danish
124,231,min,Danish,DET,122,no,4.6675,0.1473,-0.1062,0.6139,0.6084,0.5844,-4.2423,2.1421,-0.0557,5,4,3,2,mine
99,2234,altid,Danish,ADV,123,no,-3.407,-4.5573,-1.6024,0.2174,0.4295,0.5146,4.5905,2.0135,3.045,3,2,1,1,always
58,107,hendes,Danish,DET,124,no,7.4638,2.3318,0.0051,0.7512,0.6914,0.5896,-7.416,1.5285,-1.1104,5,4,3,2,hers
75,136,gå,Danish,VERB,125,no,-4.8353,3.04,-3.8286,0.1472,0.7184,0.4108,2.2809,-5.8739,2.937,3,2,1,1,go
229,530,lidt,Danish,ADV,127,no,-1.0358,1.0782,1.1756,0.3338,0.6438,0.6442,0.6041,-1.1184,-1.3164,2,2,1,1,little
246,606,sine,Danish,DET,128,no,2.1066,-0.9737,1.0073,0.4882,0.5657,0.6363,-1.2362,2.159,-0.3257,2,2,1,1,his
454,1651,os,Danish,PRON,129,no,-1.158,-0.8412,0.2013,0.3278,0.5708,0.5987,1.1185,0.3201,0.1895,3,2,1,1,U.S
402,1304,aldrig,Danish,ADV,130,no,2.152,2.0607,-1.0627,0.4904,0.6811,0.5398,-3.3703,-0.7648,-0.1215,3,2,1,1,never
184,384,hende,Danish,PRON,131,no,-2.3371,1.9228,0.3387,0.2699,0.6759,0.6051,1.2799,-2.6301,-0.8929,3,2,1,1,her
338,982,gør,Danish,VERB,132,no,-4.691,1.0909,-1.7179,0.1543,0.6442,0.5092,3.2696,-3.4376,1.3096,3,2,1,1,do
162,329,først,Danish,ADV,134,no,-1.1447,0.2037,-1.169,0.3285,0.6105,0.5348,0.5304,-0.95,0.8738,3,2,1,1,first
265,661,blandt,Danish,ADP,135,no,-0.8325,-0.1238,1.3221,0.3438,0.5981,0.651,0.8566,0.188,-1.1565,3,2,1,1,among
218,500,del,Danish,NOUN,136,no,-3.1539,1.0724,-0.1701,0.2298,0.6435,0.5814,2.2753,-2.369,-0.0198,3,2,1,1,share
45,81,ville,Danish,AUX,138,no,2.2369,-0.5463,-2.811,0.4946,0.582,0.4582,-2.7871,1.227,2.4907,5,4,3,2,would
46,82,mand,Danish,NOUN,139,no,-2.8618,1.8345,1.8836,0.2442,0.6725,0.6772,2.1911,-2.458,-2.3478,3,2,1,1,male
296,2884,vores,Danish,DET,140,no,12.0362,1.7724,-0.3704,0.9758,0.6702,0.5721,-10.4742,3.6303,-0.8301,5,4,3,2,our
272,698,havde,Danish,VERB,141,no,-3.6255,1.7794,-1.3669,0.2067,0.6704,0.5256,2.1034,-3.4907,0.6645,3,2,1,1,had
216,497,havde,Danish,VERB,141,no,1.2817,0.0403,-1.7827,0.4476,0.6043,0.5062,-1.6685,0.3587,1.488,3,2,1,1,had
60,112,nok,Danish,ADV,142,no,-2.7373,-1.1594,-0.3717,0.2503,0.5587,0.572,2.595,-0.1049,0.843,3,2,1,1,enough
342,995,omkring,Danish,ADP,143,no,-3.1585,-3.7587,3.6311,0.2296,0.4598,0.7587,5.1494,2.4942,-1.7444,3,2,1,1,around
56,96,bare,Danish,ADV,144,no,-3.3813,-2.0985,0.2311,0.2187,0.523,0.6001,3.9074,0.3134,0.6467,3,2,1,1,just
154,300,fået,Danish,VERB,145,no,-4.211,1.5505,-2.8253,0.1779,0.6617,0.4576,2.4123,-3.9168,2.2482,3,2,1,1,got
340,988,danmark,Danish,PROPN,146,no,-2.4912,-0.2191,1.0089,0.2624,0.5944,0.6364,2.4501,-0.694,-0.6406,3,2,1,1,Denmark
148,286,nogle,Danish,DET,147,no,3.2553,1.4561,1.8422,0.5446,0.6581,0.6753,-3.1166,0.7079,-2.0367,2,2,1,1,some
281,733,derfor,Danish,ADV,148,no,-1.8816,-3.3131,1.4929,0.2923,0.4768,0.659,3.1943,2.4389,-0.0676,3,2,1,1,Therefore
309,886,endnu,Danish,ADV,150,no,-2.6351,-2.4901,1.1038,0.2553,0.5081,0.6408,3.5859,1.2389,-0.0517,3,2,1,1,yet
28,52,børn,Danish,NOUN,151,no,-3.4065,1.265,-0.1206,0.2174,0.6509,0.5837,2.4924,-2.7151,-0.1747,3,2,1,1,children
