,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
7,12,the,English,DET,1,no,-1.3586,-14.4149,-5.2821,0.4492,0.1848,0.1597,-1.7392,-14.2445,7.952,4,3,3,2,the
66,107,and,English,CCONJ,2,no,0.5151,-19.7603,-8.0429,0.5341,0.0,0.0,-0.0776,-19.4643,12.164,4,3,3,2,and
15,27,a,English,DET,5,no,-2.7861,-5.4444,-3.6197,0.3844,0.4949,0.2559,-2.6732,-5.1046,4.0903,5,4,3,2,a
81,132,it,English,PRON,10,no,-0.2254,-7.4342,-4.3871,0.5005,0.4261,0.2115,-0.2174,-7.0778,5.2927,5,4,3,2,it
73,121,i,English,PRON,11,no,0.8192,-4.3101,-3.4109,0.5479,0.5341,0.268,0.9778,-3.9807,3.5488,5,4,3,2,i
20,31,be,English,AUX,16,no,-3.2702,-3.5668,-0.756,0.3625,0.5598,0.4216,-3.1699,-3.3675,0.8886,5,4,3,2,be
60,96,you,English,PRON,19,no,1.3487,-3.2264,-5.7918,0.5719,0.5716,0.1303,1.569,-2.79,5.7348,5,4,3,2,you
62,99,he,English,PRON,21,no,-0.1044,-2.1776,-3.5101,0.506,0.6079,0.2623,0.1157,-1.8733,3.3417,5,4,3,2,he
31,45,they,English,PRON,23,no,0.2688,-2.0833,-3.5579,0.5229,0.6111,0.2595,0.4756,-1.7886,3.2263,5,4,3,2,they
59,93,an,English,DET,27,no,-4.696,-0.8762,-0.3542,0.2978,0.6529,0.4449,-4.5557,-0.7494,0.2823,2,1,1,1,an
169,384,or,English,CCONJ,28,no,0.432,-5.6348,1.5137,0.5304,0.4884,0.553,0.272,-5.675,-0.92,5,4,3,2,or
9,14,at,English,ADP,29,no,-2.3685,-1.8978,2.2703,0.4034,0.6175,0.5967,-2.375,-1.9934,-2.2708,2,1,1,1,at
139,321,but,English,CCONJ,30,no,-0.1285,-3.2532,-3.1977,0.5049,0.5707,0.2804,0.0225,-2.9453,3.229,5,4,3,2,but
110,238,have,English,VERB,32,no,-2.9345,0.2206,-3.2539,0.3777,0.6908,0.2771,-2.6055,0.5801,2.7925,2,1,1,1,have
152,353,have,English,VERB,32,no,0.8843,-14.9042,-6.5081,0.5509,0.1679,0.0888,0.4923,-14.6447,9.0025,4,3,3,2,have
65,103,his,English,PRON,34,no,-3.295,-0.0437,-1.7077,0.3613,0.6816,0.3666,-3.0939,0.128,1.3567,2,1,1,1,his
18,30,will,English,AUX,35,no,1.8306,-2.517,-3.0131,0.5938,0.5961,0.291,1.9706,-2.2663,2.8087,5,4,3,2,will
212,488,we,English,PRON,36,no,0.6773,-1.0074,-3.6057,0.5415,0.6483,0.2567,0.9208,-0.6836,3.2169,5,4,3,2,we
0,1,al,English,PROPN,38,no,3.0389,0.1932,2.8867,0.6486,0.6898,0.6324,2.8423,-0.0583,-2.6536,3,2,2,2,al
85,139,who,English,PRON,39,no,0.9074,-1.6948,-2.1544,0.5519,0.6246,0.3407,1.1027,-1.4781,1.7233,5,4,3,2,who
52,74,would,English,AUX,40,no,0.5795,-0.7617,-4.7405,0.537,0.6568,0.1911,0.8833,-0.3865,4.1927,5,4,3,2,would
391,1206,bush,English,PROPN,41,no,0.8716,-3.4329,-0.6129,0.5503,0.5645,0.4299,0.8353,-3.385,0.7243,5,4,3,2,bush
111,239,been,English,AUX,42,no,-4.4822,1.0804,-2.8024,0.3075,0.7205,0.3032,-4.2125,1.367,2.3237,2,1,1,1,been
213,489,can,English,AUX,43,no,-1.2496,-0.5348,-2.6794,0.4541,0.6647,0.3103,-0.9649,-0.2713,2.1601,5,4,3,2,can
