,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2
0,6,aina,Finnish,ADV,79,no,-2.564,1.5318,-1.1773,0.4231,0.6319,0.5962,1.6959,-2.5763,0.5381,5,4,3,2
1,2055,meille,Finnish,PRON,149,no,-0.168,-0.5997,-1.7638,0.5345,0.5601,0.5727,-0.1609,0.0042,1.5021,5,4,3,2
2,8,ja,Finnish,CCONJ,1,no,-11.6576,12.4658,-16.0949,0.0,1.0,0.0,2.8899,-20.148,14.0613,4,4,3,2
3,8200,koskevan,Finnish,VERB,467,no,5.5667,2.587,0.7016,0.8013,0.6674,0.6713,-5.6406,0.0667,-2.236,2,2,1,1
4,13,vähän,Finnish,ADV,78,no,-5.8305,0.4133,-0.0618,0.2711,0.5942,0.6408,5.0902,-2.5951,0.8012,5,4,3,2
5,2063,suuri,Finnish,ADJ,422,no,3.0541,2.4065,-0.0303,0.6844,0.6613,0.642,-3.2961,-0.9952,-1.4307,2,2,1,1
6,16,kuin,Finnish,ADV,339,no,-2.0686,2.9412,-2.2397,0.4461,0.6793,0.5537,0.4832,-4.0007,1.2544,5,4,3,2
7,17,silloin,Finnish,ADV,114,no,-0.5123,0.2471,-1.8952,0.5185,0.5886,0.5675,-0.0258,-0.9358,1.2572,5,4,3,2
8,19,kun,Finnish,SCONJ,8,no,-3.6206,3.4348,-3.6222,0.3739,0.696,0.4985,1.5244,-5.3426,2.4296,5,4,3,2
9,2071,teemme,Finnish,VERB,483,no,-6.3848,-2.2072,1.201,0.2453,0.506,0.6912,6.8581,-0.0102,0.7612,3,3,2,2
10,23,kerran,Finnish,ADV,127,no,-1.8335,2.0582,-0.8087,0.457,0.6496,0.6109,0.9789,-2.5913,0.0685,5,4,3,2
11,27,kuinka,Finnish,ADV,112,no,-1.984,-2.3641,2.1852,0.45,0.5007,0.7306,2.962,2.0308,-0.8918,5,4,3,2
12,2078,valo,Finnish,NOUN,322,no,3.1471,2.2303,2.453,0.6887,0.6554,0.7413,-2.7848,0.0233,-3.41,2,2,1,1
13,32,vaikka,Finnish,ADV,453,no,-0.8964,-2.7386,-0.13,0.5006,0.4881,0.638,1.3454,2.0268,1.1428,5,4,3,2
14,2082,emme,Finnish,AUX,95,no,-1.9933,-2.9613,-0.4816,0.4496,0.4806,0.624,2.2904,2.0283,1.608,5,4,3,2
15,36,on,Finnish,VERB,169,no,-7.7393,6.2953,-9.5044,0.1823,0.7923,0.2634,2.7149,-11.3576,8.3447,4,4,3,2
16,2085,koskaan,Finnish,ADV,106,no,-2.7058,-1.0239,0.1778,0.4165,0.5459,0.6503,2.799,0.1122,0.2277,5,4,3,2
17,38,se,Finnish,PRON,5,no,-8.2954,6.0037,-8.1166,0.1564,0.7824,0.3189,3.8394,-10.8116,7.2397,4,4,3,2
18,41,että,Finnish,CCONJ,206,no,-8.0588,6.1232,-11.5294,0.1674,0.7865,0.1825,2.6478,-11.9392,10.474,4,4,3,2
