,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
0,1,de,Galician,ADP,1,no,5.732,-29.7764,18.8448,0.8,0.0,1.0,-0.7804,-30.2611,20.5391,3,3,3,2,of
22,34,en,Galician,ADP,4,no,4.2989,-16.9101,9.8594,0.7452,0.3037,0.684,-1.2805,-17.0558,10.2356,3,3,3,2,in
13,16,e,Galician,CCONJ,5,no,4.4076,-14.6259,8.4048,0.7493,0.3576,0.6328,-1.7898,-14.9332,8.6086,3,3,3,2,e
25,37,as,Galician,DET,9,no,3.2326,-3.6702,-0.2607,0.7043,0.6162,0.3281,-2.5317,-4.1435,-0.1409,4,4,3,2,ace
64,134,por,Galician,ADP,11,no,2.5986,-6.9303,2.9807,0.6801,0.5392,0.4421,-1.2862,-7.1305,3.2294,4,4,3,2,by
37,68,que,Galician,SCONJ,12,no,1.9926,-3.6081,1.1184,0.6569,0.6176,0.3766,-1.2985,-3.9752,1.0618,4,4,3,2,what
16,22,que,Galician,SCONJ,12,no,1.4683,-6.0709,0.5089,0.6368,0.5595,0.3552,-0.3818,-6.1902,0.7259,4,4,3,2,what
29,45,para,Galician,ADP,15,no,5.5688,-4.0635,2.6456,0.7938,0.6069,0.4303,-4.6205,-4.857,2.7994,4,4,3,2,stop
67,146,con,Galician,ADP,16,no,5.6143,-5.0426,3.8178,0.7955,0.5838,0.4715,-4.468,-5.8296,3.9939,4,4,3,2,with
167,414,non,Galician,PART,17,no,0.7448,-2.2937,0.2882,0.6091,0.6486,0.3474,-0.279,-2.4318,0.2371,5,4,3,2,no
115,261,ou,Galician,CCONJ,18,no,1.8758,-3.5215,2.5772,0.6524,0.6197,0.4279,-1.1023,-3.7291,2.5601,4,4,3,2,or
32,56,máis,Galician,ADV,21,no,0.7625,-2.8423,0.084,0.6098,0.6357,0.3402,-0.1947,-2.9502,0.0653,5,4,3,2,more
26,41,súa,Galician,DET,22,no,5.517,-0.7595,2.0502,0.7918,0.6849,0.4094,-5.0125,-1.6711,1.9868,4,4,3,2,his
165,412,este,Galician,DET,23,no,4.4317,-1.5964,2.1186,0.7503,0.6651,0.4118,-3.8943,-2.2413,2.0552,4,4,3,2,this one
23,35,esta,Galician,DET,24,no,0.4704,-1.2753,1.172,0.5986,0.6727,0.3785,-0.1247,-1.2983,1.0186,5,4,3,2,this
6,9,entre,Galician,ADP,25,no,6.4945,-0.9942,0.319,0.8292,0.6793,0.3485,-6.0316,-2.0479,0.4206,1,1,1,1,between
81,189,galicia,Galician,PROPN,26,no,0.0324,-2.498,0.8878,0.5818,0.6438,0.3685,0.5299,-2.4174,0.8153,5,4,3,2,Galicia
19,29,sobre,Galician,ADP,27,no,1.1267,-1.7413,1.331,0.6237,0.6617,0.3841,-0.7208,-1.8662,1.2624,5,4,3,2,about
206,504,seu,Galician,DET,28,no,4.8025,-0.4969,2.7789,0.7644,0.6911,0.435,-4.4484,-1.3168,2.5623,4,4,3,2,his
80,187,son,Galician,AUX,29,no,1.0213,-1.0135,-0.5259,0.6197,0.6789,0.3188,-0.8328,-1.1922,-0.5479,5,4,3,2,are
219,540,tamén,Galician,ADV,30,no,6.2112,1.2467,-0.6325,0.8184,0.7322,0.315,-6.1174,0.0418,-0.5821,1,1,1,1,also
170,420,así,Galician,ADV,31,no,0.7973,-1.44,-1.0074,0.6111,0.6688,0.3018,-0.5056,-1.6002,-0.9367,4,4,3,2,like that
293,774,ás,Galician,NOUN,32,no,2.0642,-4.7038,-0.4454,0.6596,0.5918,0.3216,-1.1675,-4.8976,-1.1126,5,4,3,2,wings
74,160,cada,Galician,DET,33,no,5.3375,0.3604,2.3135,0.7849,0.7113,0.4186,-5.0386,-0.5539,2.2238,4,4,3,2,every
295,779,ano,Galician,NOUN,34,no,1.0068,-5.2879,-0.7576,0.6191,0.578,0.3106,-0.0726,-5.2608,-0.5085,4,4,3,2,anus
417,1335,maior,Galician,ADJ,35,no,-0.0422,-1.2759,2.5012,0.5789,0.6727,0.4252,0.4134,-1.1684,2.3333,5,4,3,2,greater
166,413,caso,Galician,NOUN,36,no,1.4222,-4.1597,-1.2786,0.635,0.6046,0.2923,-0.7044,-4.307,-1.1355,4,4,3,2,case
311,835,sen,Galician,ADP,37,no,5.8698,1.4592,-0.1769,0.8053,0.7372,0.331,-5.9488,0.3633,-0.093,1,1,1,1,without
87,206,ter,Galician,VERB,38,no,1.6692,-5.7113,-0.8402,0.6445,0.568,0.3077,-0.6275,-5.8764,-0.6472,4,4,3,2,to have
98,228,anos,Galician,NOUN,39,no,0.2875,-3.3498,0.1827,0.5916,0.6237,0.3437,0.3279,-3.3491,0.1991,5,4,3,2,years
17,24,xa,Galician,ADV,40,no,3.5281,-0.1532,-1.9573,0.7157,0.6992,0.2684,-3.4363,-0.8549,-1.9593,4,4,3,2,already
118,269,parte,Galician,NOUN,41,no,1.5246,-4.7385,0.2538,0.6389,0.5909,0.3462,-0.5813,-4.8318,0.413,4,4,3,2,part
45,90,número,Galician,NOUN,42,no,0.5944,-2.4173,2.3188,0.6033,0.6457,0.4188,-0.0758,-2.4417,2.179,5,4,3,2,number
242,607,empresas,Galician,NOUN,44,no,1.2899,-3.1331,-0.0983,0.63,0.6288,0.3338,-0.7078,-3.3728,-0.098,5,4,3,2,companies
184,463,lei,Galician,NOUN,45,no,0.1289,-2.4436,1.1998,0.5855,0.6451,0.3795,0.3438,-2.3979,1.1699,5,4,3,2,law
143,345,outros,Galician,DET,46,no,5.8873,0.9318,0.8071,0.806,0.7248,0.3656,-5.8325,-0.1826,0.7681,1,1,1,1,others
275,715,tanto,Galician,ADV,47,no,-0.0234,-0.2515,0.3156,0.5797,0.6968,0.3484,0.0839,-0.3277,0.2493,4,4,3,2,so much
160,400,á,Galician,NOUN,48,no,0.8252,-3.4226,1.0727,0.6122,0.622,0.375,-0.132,-3.3755,1.113,5,4,3,2,wing
42,81,cando,Galician,PRON,49,no,-0.8683,-1.1267,-6.8598,0.5473,0.6762,0.096,0.6582,-1.1195,-6.7179,5,4,3,2,when
41,80,aínda,Galician,ADV,50,no,-3.3713,0.6154,0.7779,0.4515,0.7173,0.3646,3.1841,1.114,0.642,5,4,3,2,although
