,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
17,34,ב,Hebrew,ADP,2,no,-7.3888,18.1496,-13.6802,0.1217,0.8986,0.0492,-1.8413,-20.2845,12.6708,2,2,2,2,B
6,6,ו,Hebrew,CCONJ,3,no,-5.4777,14.4501,-10.1273,0.2221,0.7851,0.2157,-1.0054,-15.908,9.1799,2,2,2,2,and
33,71,ש,Hebrew,SCONJ,4,no,-6.0949,8.2207,-5.6257,0.1897,0.594,0.4266,-3.1331,-9.9542,4.5224,2,2,2,2,That
28,63,ל,Hebrew,ADP,5,no,-6.3135,13.5926,-10.0838,0.1782,0.7588,0.2177,-2.0964,-15.3196,9.1113,2,2,2,2,To
21,47,_של_,Hebrew,ADP,6,no,-4.9861,-2.0949,0.5711,0.2479,0.2776,0.7169,-5.0123,0.4292,-0.8861,1,1,1,1,_of_
8,10,_הוא,Hebrew,PRON,7,no,-3.4055,6.0225,-1.6914,0.3309,0.5266,0.6109,-1.3977,-6.8061,1.3785,5,4,3,2,_he
18,35,ה_,Hebrew,DET,8,no,-6.186,7.8413,-6.4499,0.1849,0.5824,0.388,-3.7517,-9.5437,6.2399,2,2,2,2,God_
37,79,של,Hebrew,ADP,9,no,-6.0186,10.1047,-5.9663,0.1937,0.6518,0.4106,-2.7492,-11.6373,5.0225,2,2,2,2,of
26,56,את,Hebrew,ADP,10,no,-5.5143,10.2122,-6.6636,0.2201,0.6551,0.378,-2.2996,-11.5912,5.7708,2,2,2,2,You
41,90,מ,Hebrew,ADP,11,no,-4.5569,10.1329,-6.4308,0.2704,0.6527,0.3889,-1.3416,-11.1969,5.4944,2,2,2,2,M
19,38,על,Hebrew,ADP,12,no,-5.688,8.316,-4.6848,0.211,0.5969,0.4707,-2.8186,-9.7139,3.6003,2,2,2,2,On
31,68,לא,Hebrew,ADV,13,no,-4.5727,5.5955,-2.2747,0.2696,0.5135,0.5836,-2.5164,-6.854,1.9386,5,4,3,2,No
22,48,_הם,Hebrew,PRON,14,no,-2.6447,6.2547,-1.148,0.3709,0.5337,0.6364,-0.6068,-6.7859,0.8406,5,4,3,2,_they
190,516,_היא,Hebrew,PRON,16,no,-1.8188,4.6564,1.2293,0.4143,0.4847,0.7478,-0.331,-4.8947,-1.5241,5,4,3,2,_She
49,101,כ,Hebrew,ADP,17,no,-3.8453,2.3923,-2.3188,0.3078,0.4152,0.5815,-2.8072,-3.497,2.1452,5,4,3,2,about
96,212,ה,Hebrew,SCONJ,18,no,-6.8375,-2.9659,-0.1168,0.1506,0.2509,0.6847,-7.2097,0.6087,-0.1861,1,1,1,1,God
0,1,ה,Hebrew,SCONJ,18,no,-8.0478,21.4564,-14.7306,0.0871,1.0,0.0,-1.4979,-23.7264,13.6851,2,2,2,2,God
13,21,ל_,Hebrew,ADP,19,no,-4.5861,-1.7719,0.2637,0.2689,0.2875,0.7025,-4.534,0.2378,-0.5268,1,1,1,1,To_
