,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2
0,1,यह,Hindi,PRON,32,no,6.4244,0.3906,1.1402,0.7388,0.594,0.4821,-6.0764,-2.0038,0.3394,1,1,1,1
1,2049,लिया,Hindi,VERB,232,no,-6.4451,11.2068,7.8193,0.1323,1.0,0.885,1.5775,12.7655,8.1285,2,2,2,2
2,3,की,Hindi,VERB,29,no,6.3011,-8.683,5.9742,0.7329,0.2534,0.7737,-3.1379,-10.6331,5.4825,5,4,3,2
3,4,सबसे,Hindi,ADV,101,no,10.5933,0.7802,-6.3335,0.9352,0.6086,0.0312,-9.2502,-2.9916,-7.6321,1,1,1,1
4,5,बड़ी,Hindi,ADJ,208,no,7.4586,1.3178,-4.3637,0.7875,0.6288,0.15,-6.6528,-1.3474,-5.0281,1,1,1,1
5,7,में,Hindi,ADP,2,no,6.749,-7.1374,4.8375,0.754,0.3114,0.7051,-3.9926,-9.2874,4.2774,5,4,3,2
6,8,से,Hindi,ADP,6,no,5.6198,-6.9877,4.9566,0.7008,0.317,0.7123,-3.0342,-8.7538,4.488,5,4,3,2
7,9,एक,Hindi,NUM,17,no,4.6935,-2.7872,1.5556,0.6572,0.4747,0.5071,-3.3941,-4.3702,1.2102,5,4,3,2
8,10,है,Hindi,VERB,42,no,2.4434,-6.8369,4.7732,0.5512,0.3227,0.7012,-0.3538,-7.5704,4.7196,5,4,3,2
9,12,इसे,Hindi,PRON,132,no,-3.3949,1.2967,1.1694,0.276,0.628,0.4838,2.3192,2.3298,1.4974,3,2,2,2
10,15,ने,Hindi,ADP,7,no,6.6887,-3.0502,1.9176,0.7512,0.4648,0.529,-5.0473,-5.2289,1.0963,5,4,3,2
11,17,था,Hindi,VERB,327,no,-1.5928,-0.9411,1.2247,0.361,0.544,0.4872,1.4853,-0.4372,1.4405,5,4,3,2
12,18,इसका,Hindi,PRON,226,no,9.5233,5.0277,0.1667,0.8848,0.7681,0.4233,-10.5701,1.3487,-1.0611,1,1,1,1
13,21,दो,Hindi,NUM,79,no,4.6201,-0.4999,-0.9251,0.6537,0.5606,0.3575,-3.8007,-1.9162,-1.2184,1,1,1,1
14,23,जिसमें,Hindi,PRON,325,no,-4.859,2.561,1.4562,0.2071,0.6755,0.5011,3.2283,4.055,1.9704,3,2,2,2
