,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2
0,1,fögnuður,Icelandic,NOUN,450,no,-3.3618,-2.2754,2.64,0.2354,0.4835,0.6758,4.0585,1.5857,-1.5946,2,2,1,1
1,2,verður,Icelandic,VERB,182,no,-4.2541,2.1716,-0.4297,0.1944,0.5881,0.5081,3.5626,-2.9763,1.0627,2,2,1,1
2,3,þessa,Icelandic,DET,57,no,0.3279,2.12,0.2349,0.405,0.5869,0.5444,-0.5971,-1.972,-0.9015,2,2,1,1
3,4,heims,Icelandic,NOUN,98,no,-0.9652,1.3233,2.054,0.3455,0.5681,0.6438,1.0637,-1.4156,-1.8821,2,2,1,1
4,5,sá,Icelandic,VERB,303,no,-2.5961,4.4981,-2.625,0.2706,0.6428,0.3882,1.0116,-4.8929,2.8811,1,1,1,1
5,2054,börn,Icelandic,NOUN,460,no,-2.9853,-0.6601,4.5686,0.2527,0.5215,0.7811,3.9283,0.1434,-3.3893,2,2,1,1
6,7,er,Icelandic,AUX,8,no,-3.3959,9.7603,-7.5839,0.2338,0.7665,0.1173,-0.1665,-10.2491,8.4196,1,1,1,1
7,9,maður,Icelandic,NOUN,88,no,-2.2479,1.5116,-0.2747,0.2866,0.5726,0.5166,1.7334,-1.8991,0.3369,2,2,1,1
8,11,engla,Icelandic,NOUN,246,no,-1.881,1.0593,3.0094,0.3035,0.5619,0.696,2.1104,-1.3233,-2.4949,2,2,1,1
9,13,á,Icelandic,VERB,500,no,-1.7902,4.5024,-0.5547,0.3076,0.6429,0.5013,0.8327,-4.6975,1.2485,1,1,1,1
10,15,sinni,Icelandic,PRON,126,no,6.3718,0.5841,0.2136,0.6828,0.5508,0.5433,-5.8723,0.6629,-1.248,3,3,2,2
11,19,menn,Icelandic,NOUN,40,no,-3.19,4.0083,-1.1736,0.2433,0.6313,0.4675,2.021,-4.5051,1.6462,1,1,1,1
12,20,þeir,Icelandic,DET,453,no,5.2687,-0.4925,1.3607,0.6321,0.5254,0.6059,-4.6921,1.6093,-2.1306,3,3,2,2
13,22,bera,Icelandic,VERB,291,no,-3.896,2.2647,-1.5566,0.2108,0.5903,0.4466,2.8607,-3.0331,1.8975,1,1,1,1
14,24,og,Icelandic,ADV,46,no,-6.2586,19.6896,-9.7319,0.1023,1.0,0.0,0.6157,-20.7449,12.987,1,1,1,1
