,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
17,26,dan,Indonesian,CCONJ,1,no,-1.0332,18.7662,-7.1376,0.3286,1.0,0.1105,-0.5616,-17.0663,12.077,2,2,2,2,and
3,5,yang,Indonesian,PRON,2,no,0.491,12.6265,-3.9006,0.3937,0.8038,0.2626,-1.4369,-11.6319,6.5919,2,2,2,2,which
27,46,pada,Indonesian,ADP,5,no,1.3876,7.0353,-1.2918,0.432,0.625,0.3852,-1.815,-6.6116,2.6269,5,4,3,2,on
23,36,ini,Indonesian,DET,6,no,-0.4012,8.0279,-3.6363,0.3556,0.6568,0.275,-0.2059,-7.278,4.9892,5,4,3,2,this
35,57,dari,Indonesian,ADP,7,no,0.5796,11.7295,-3.215,0.3975,0.7751,0.2948,-1.4319,-10.8304,5.5995,2,2,2,2,from
0,2,adalah,Indonesian,AUX,8,no,0.897,6.8027,-2.3021,0.4111,0.6176,0.3377,-1.4119,-6.2899,3.4308,5,4,3,2,is
44,76,dalam,Indonesian,ADP,10,no,0.2481,6.1065,-2.275,0.3833,0.5954,0.339,-0.7234,-5.6329,3.1859,5,4,3,2,in
28,47,tahun,Indonesian,NOUN,11,no,-1.5295,17.3721,-4.5915,0.3073,0.9554,0.2301,0.1748,-16.1171,9.4932,2,2,2,2,year
25,38,oleh,Indonesian,ADP,12,no,1.0126,3.827,-0.6233,0.416,0.5225,0.4166,-1.2241,-3.6751,1.0221,5,4,3,2,by
72,128,sebagai,Indonesian,ADP,13,no,1.918,2.462,-1.9443,0.4547,0.4789,0.3545,-2.1141,-2.0869,1.596,5,4,3,2,as
137,279,ia,Indonesian,PRON,15,no,-2.0378,3.5828,-2.0967,0.2856,0.5147,0.3473,1.7242,-3.2372,2.8299,5,4,3,2,he
11,15,indonesia,Indonesian,PROPN,16,no,-1.9693,4.8382,-1.3112,0.2885,0.5548,0.3842,1.7062,-4.5469,2.2545,5,4,3,2,Indonesia
