,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2
0,1,as,Irish,ADP,35,no,-0.5006,-2.7456,0.7387,0.522,0.6072,0.4814,0.0556,-2.8742,-0.4459,5,4,3,2
1,2,lár,Irish,NOUN,326,no,-1.8148,-0.2971,1.2658,0.4729,0.6858,0.5074,-1.4106,-0.6751,-1.3901,5,4,3,2
2,3,na,Irish,DET,5,no,-7.9052,-1.4695,2.8131,0.2455,0.6482,0.5837,-7.0174,-3.3307,-3.2598,2,1,1,1
3,5,is,Irish,SCONJ,216,no,-4.0701,-3.9583,-1.2545,0.3887,0.5682,0.3831,-3.4345,-4.3192,1.3668,2,1,1,1
4,6,ea,Irish,PRON,311,no,0.3411,-1.093,4.4603,0.5534,0.6603,0.665,1.188,-1.5588,-3.7473,5,4,3,2
5,2054,té,Irish,NOUN,476,no,4.136,1.6187,0.9355,0.6951,0.7474,0.4911,3.9157,2.184,-0.5054,3,2,2,2
6,8,an,Irish,AUX,396,no,-5.1193,-9.503,-2.9856,0.3495,0.3901,0.2978,-3.7153,-9.8832,4.3864,5,4,3,2
7,2056,dom,Irish,ADP,215,no,2.7464,2.8535,0.2378,0.6432,0.7871,0.4567,2.1161,3.1448,-0.3797,3,2,2,2
8,10,sula,Irish,SCONJ,312,no,-7.3653,1.8407,2.4616,0.2657,0.7545,0.5664,-7.1323,0.1871,-3.1123,2,1,1,1
9,12,sí,Irish,PRON,45,no,2.3329,-1.4825,-1.2993,0.6278,0.6478,0.3809,2.3019,-0.7834,1.373,5,4,3,2
10,13,a,Irish,PRON,362,no,-0.8851,-4.6905,-1.5189,0.5076,0.5447,0.3701,-0.2874,-4.5356,2.0155,5,4,3,2
11,15,san,Irish,PRON,415,no,-6.4468,1.3429,-0.6151,0.3,0.7385,0.4147,-6.5902,0.2668,-0.5617,2,1,1,1
12,17,thiar,Irish,ADV,344,no,0.5272,1.9484,2.2979,0.5604,0.758,0.5583,0.5052,1.562,-2.2513,3,2,2,2
13,18,ó,Irish,SCONJ,379,no,-1.1847,-0.3754,-0.7652,0.4964,0.6833,0.4073,-1.228,-0.5312,0.4101,5,4,3,2
14,20,anuas,Irish,ADV,242,no,2.1006,1.4984,1.5558,0.6191,0.7435,0.5217,1.9167,1.4789,-1.5585,3,2,2,2
15,23,ní,Irish,AUX,74,no,-1.1903,-1.5252,5.2204,0.4962,0.6464,0.7025,-0.2223,-2.4086,-4.6958,5,4,3,2
16,24,bheidh,Irish,VERB,102,no,-0.7156,-6.1631,0.2957,0.514,0.4974,0.4596,0.4194,-5.9093,0.5501,5,4,3,2
17,25,ar,Irish,VERB,284,no,-3.7165,-10.4968,-1.9864,0.4019,0.3582,0.3471,-2.0249,-10.6665,3.8088,5,4,3,2
18,26,fáil,Irish,NOUN,106,no,3.0901,-2.9463,1.4006,0.6561,0.6007,0.5141,3.8606,-2.1257,-0.4555,5,4,3,2
19,27,ach,Irish,SCONJ,15,no,-0.6247,-5.8593,-2.1325,0.5174,0.5072,0.3399,0.1338,-5.5218,3.0177,5,4,3,2
20,28,oiread,Irish,NOUN,182,no,3.3738,-1.8065,0.624,0.6666,0.6374,0.4758,3.687,-1.2564,-0.0653,5,4,3,2
21,29,hoíche,Irish,NOUN,499,no,-4.093,2.4469,-0.7304,0.3878,0.774,0.409,-4.4501,1.5585,-0.1233,2,1,1,1
22,30,nó,Irish,CCONJ,26,no,-1.0311,-3.9176,-0.1268,0.5022,0.5695,0.4388,-0.3329,-3.8082,0.5854,5,4,3,2
23,31,mar,Irish,SCONJ,49,no,1.8217,-2.7848,-1.0051,0.6087,0.6059,0.3954,2.1364,-2.1774,1.4713,5,4,3,2
24,35,ansin,Irish,ADV,118,no,1.3042,-0.9348,1.1624,0.5894,0.6654,0.5023,1.5421,-0.9103,-0.9806,5,4,3,2
25,36,nach,Irish,AUX,136,no,-3.7417,1.0199,-2.1388,0.401,0.7282,0.3395,-4.1748,0.6997,1.27,2,1,1,1
26,37,deas,Irish,ADJ,405,no,-4.467,2.1967,-2.2104,0.3739,0.766,0.336,-4.9481,1.6483,1.0964,2,1,1,1
27,38,mar,Irish,SCONJ,49,no,3.1661,-1.0952,-2.3406,0.6589,0.6602,0.3296,2.9021,-0.1271,2.5386,5,4,3,2
28,39,bheadh,Irish,VERB,119,no,0.8199,-4.7655,-2.2692,0.5713,0.5423,0.3331,1.2829,-3.994,2.9492,5,4,3,2
29,40,scéal,Irish,NOUN,125,no,1.5776,-2.9371,0.4611,0.5996,0.601,0.4678,2.0945,-2.697,-0.0158,5,4,3,2
30,2089,chonaic,Irish,VERB,297,no,0.9049,-2.6983,-0.3568,0.5745,0.6087,0.4274,1.2821,-2.2249,0.6623,5,4,3,2
31,2085,mbun,Irish,NOUN,331,no,-5.0317,7.9392,-5.1262,0.3528,0.9505,0.1922,-6.4976,7.2904,3.6441,1,1,1,1
32,44,é,Irish,PRON,14,no,-1.0302,-6.8605,-2.4658,0.5022,0.475,0.3234,-0.1358,-6.53,3.5574,5,4,3,2
33,2092,úd,Irish,DET,334,no,-8.7084,2.4071,4.0412,0.2155,0.7727,0.6443,-8.1276,0.0242,-4.7132,2,1,1,1
34,46,is,Irish,SCONJ,216,no,-3.0051,-1.2465,0.953,0.4285,0.6553,0.492,-2.5634,-1.8871,-1.1807,5,4,3,2
35,48,i,Irish,ADP,6,no,-4.6058,-6.5104,0.2291,0.3687,0.4862,0.4563,-3.2854,-7.2507,0.4628,5,4,3,2
36,2098,deireadh,Irish,NOUN,203,no,3.1005,-0.5977,-0.0266,0.6564,0.6762,0.4437,3.1585,-0.01,0.3178,3,2,2,2
37,50,leis,Irish,ADP,18,no,-1.3626,-4.4357,-2.1151,0.4898,0.5529,0.3407,-0.8526,-4.2373,2.493,5,4,3,2
38,52,ag,Irish,ADP,7,no,-2.2117,-3.9004,-1.9256,0.4581,0.5701,0.3501,-1.7772,-3.8118,2.0581,5,4,3,2
39,2099,seachtaine,Irish,NOUN,381,no,-2.5127,0.2705,-0.6508,0.4469,0.7041,0.4129,-2.5222,-0.1318,0.1838,2,1,1,1
40,54,m',Irish,DET,376,no,-9.9462,6.3305,-2.4602,0.1693,0.8988,0.3237,-10.9212,4.3217,0.6089,1,1,1,1
41,56,go,Irish,NOUN,419,no,-2.4361,-1.9425,2.3441,0.4497,0.633,0.5606,-1.7837,-2.5343,-2.1343,5,4,3,2
42,57,raibh,Irish,VERB,23,no,-2.4593,-15.5631,-5.1358,0.4488,0.1954,0.1917,-0.3672,-14.8421,8.3041,4,3,3,2
43,58,sin,Irish,DET,24,no,0.4409,-6.3831,-2.4251,0.5571,0.4903,0.3254,1.2446,-5.6672,3.5925,5,4,3,2
44,62,d',Irish,ADP,79,no,-7.3017,2.7294,-2.8261,0.268,0.7831,0.3056,-7.9474,1.7347,1.3533,2,1,1,1
45,63,fhág,Irish,VERB,404,no,2.0805,-1.3972,2.0426,0.6184,0.6505,0.5457,2.4937,-1.2437,-1.6562,5,4,3,2
46,64,tú,Irish,PRON,155,no,1.6223,0.526,-0.7778,0.6013,0.7123,0.4067,1.327,0.9944,0.7156,5,4,3,2
47,65,agus,Irish,SCONJ,53,no,-2.2079,-16.4822,-6.5145,0.4582,0.1659,0.1238,-0.1442,-15.8113,10.209,4,3,3,2
48,66,chuaigh,Irish,VERB,172,no,-0.1462,-3.6574,-0.2399,0.5352,0.5779,0.4332,0.4388,-3.5511,0.681,5,4,3,2
49,67,le,Irish,ADP,9,no,-2.5521,-5.1255,-1.1556,0.4454,0.5307,0.388,-1.778,-5.277,1.6368,5,4,3,2
50,2116,mura,Irish,SCONJ,460,no,2.3603,2.8943,2.3875,0.6288,0.7884,0.5628,2.1461,2.9503,-1.8476,3,2,2,2
51,71,áit,Irish,NOUN,109,no,3.3727,-1.5426,-0.7118,0.6666,0.6458,0.4099,3.4352,-0.8636,1.0295,3,2,2,2
52,2120,beirt,Irish,NOUN,386,no,4.211,0.8135,1.7084,0.6979,0.7215,0.5293,4.1324,1.2349,-1.3518,3,2,2,2
53,73,don,Irish,ADP,63,no,-6.2719,0.7464,-0.6685,0.3065,0.7194,0.412,-6.3715,-0.2888,-0.4062,2,1,1,1
