,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
13,21,di,Italian,ADP,1,no,-1.7765,26.6702,17.2285,0.3792,1.0,1.0,-0.1836,-26.5816,18.0798,3,3,2,2,from
27,57,il,Italian,DET,2,no,-2.2005,7.9071,4.6685,0.3589,0.4533,0.4882,-1.6834,-7.9771,4.9493,3,3,2,2,the
6,9,a,Italian,ADP,4,no,-2.1066,16.6291,9.6093,0.3634,0.7074,0.6895,-1.0506,-16.5825,10.0158,3,3,2,2,to
14,25,in,Italian,ADP,5,no,-2.4295,9.8837,6.5387,0.3479,0.5109,0.5644,-1.7794,-9.9965,6.81,3,3,2,2,in
25,51,e,Italian,CCONJ,6,no,-2.1472,12.1026,7.4565,0.3614,0.5755,0.6018,-1.2433,-12.1515,7.4652,3,3,2,2,And
16,30,i,Italian,DET,7,no,-3.6926,3.8189,0.4144,0.2876,0.3342,0.3149,-3.3794,-4.0505,0.6548,5,4,3,2,the
1,4,da,Italian,ADP,10,no,-2.3341,11.2133,6.6675,0.3525,0.5496,0.5697,-1.6118,-11.2946,6.7524,3,3,2,2,from
54,127,un,Italian,DET,11,no,-3.346,4.578,2.0056,0.3041,0.3563,0.3797,-3.0232,-4.7442,2.1933,3,3,2,2,a
145,300,non,Italian,ADV,14,no,-2.2203,4.9721,4.1879,0.3579,0.3678,0.4686,-1.6615,-5.171,3.9622,3,3,2,2,Not
33,72,si,Italian,PRON,15,no,-1.9983,1.2701,1.2161,0.3686,0.2599,0.3475,-1.6445,-1.5135,0.8043,5,4,3,2,yes
11,19,per,Italian,ADP,16,no,-2.6257,8.1098,4.3068,0.3386,0.4592,0.4735,-2.0099,-8.2095,4.4685,3,3,2,2,for
43,103,con,Italian,ADP,19,no,-3.2981,4.8781,1.9998,0.3064,0.365,0.3795,-2.8148,-5.0723,2.0257,3,3,2,2,with
148,311,su,Italian,ADP,21,no,-0.3594,4.348,2.4834,0.4469,0.3496,0.3992,-0.065,-4.3864,2.5422,2,2,1,1,on
156,332,ma,Italian,CCONJ,22,no,-1.8592,2.3011,3.4174,0.3752,0.2899,0.4372,-1.4707,-2.4078,3.17,5,4,3,2,but
119,247,più,Italian,ADV,25,no,0.112,7.3282,1.9328,0.4694,0.4364,0.3767,0.8132,-7.189,1.7744,3,3,2,2,more
155,328,anche,Italian,ADV,26,no,-3.0856,4.643,2.3454,0.3166,0.3582,0.3935,-2.5786,-4.8368,2.3174,3,3,2,2,also
35,77,anni,Italian,NOUN,27,no,0.1527,9.6289,1.735,0.4714,0.5035,0.3687,0.9323,-9.5085,1.847,3,3,2,2,years
