,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
50,65,est,Latin,AUX,1,no,-4.4174,-25.5641,1.7119,0.2543,0.0,0.5517,-1.0372,-23.9249,15.5693,3,3,2,2,it is
22,32,non,Latin,PART,2,no,-2.7376,-15.1207,0.9502,0.3075,0.3072,0.517,-0.6064,-14.0521,7.8074,3,3,2,2,no
18,25,in,Latin,ADP,3,no,-4.4864,-6.7245,-0.1762,0.2521,0.5541,0.4656,-3.1717,-7.013,2.3894,3,3,2,2,in
7,11,autem,Latin,CCONJ,6,no,-1.1389,-7.1595,3.0019,0.3582,0.5413,0.6105,-0.4867,-5.4886,5.4268,3,3,2,2,However
20,30,per,Latin,ADP,7,no,-3.9229,-3.4663,-0.9946,0.2699,0.65,0.4283,-2.938,-4.2825,-0.0416,3,3,2,2,through
84,128,igitur,Latin,ADV,8,no,-0.6085,-4.8079,2.4127,0.375,0.6105,0.5837,-0.2331,-3.4984,3.7285,3,3,2,2,therefore
10,14,ex,Latin,ADP,9,no,-2.7629,-2.7634,-1.74,0.3067,0.6707,0.3943,-1.8733,-3.735,-0.8333,3,3,2,2,from
37,52,ad,Latin,ADP,11,no,-4.1922,-4.593,-0.0899,0.2614,0.6168,0.4696,-3.1856,-4.9703,1.2179,3,3,2,2,to
40,55,quod,Latin,PRON,12,no,-0.1529,-5.8312,2.8458,0.3894,0.5804,0.6034,0.2805,-4.1262,4.5803,3,3,2,2,that
95,149,quod,Latin,PRON,12,no,-0.7415,-6.698,3.1599,0.3708,0.5549,0.6178,-0.2426,-4.961,5.4049,3,3,2,2,that
29,42,enim,Latin,ADV,13,no,-0.6901,-4.334,3.0575,0.3724,0.6245,0.6131,-0.4774,-2.8427,4.0736,3,3,2,2,for
93,145,quae,Latin,PRON,14,no,-0.6037,-4.027,0.8391,0.3751,0.6335,0.5119,-0.0442,-3.3571,1.9813,3,3,2,2,which
67,92,hoc,Latin,DET,16,no,-0.4159,-6.87,2.4649,0.3811,0.5499,0.5861,0.2728,-5.3032,5.0514,3,3,2,2,this
16,23,sit,Latin,AUX,17,no,-2.6176,-11.5273,1.4008,0.3113,0.4129,0.5375,-1.0554,-10.3936,6.4301,3,3,2,2,let it be
197,357,esse,Latin,NOUN,18,no,-1.166,-9.0811,0.7671,0.3573,0.4848,0.5086,0.2032,-8.1004,4.8785,3,3,2,2,to be
4,6,esse,Latin,NOUN,18,no,-2.82,-13.143,0.7154,0.3049,0.3653,0.5063,-0.889,-12.2885,6.3097,3,3,2,2,to be
94,147,potest,Latin,VERB,19,no,-2.0637,-12.8513,2.5175,0.3289,0.3739,0.5885,-0.5162,-11.1647,8.5651,3,3,2,2,can
30,43,sunt,Latin,AUX,20,no,-2.5327,-8.5903,1.1107,0.314,0.4993,0.5243,-1.2805,-7.8343,4.8574,3,3,2,2,they are
64,85,sed,Latin,CCONJ,22,no,-1.5995,-5.5318,1.0019,0.3436,0.5892,0.5193,-0.7586,-4.8648,2.9743,3,3,2,2,but
63,82,secundum,Latin,ADP,23,no,-0.7698,-4.1115,-1.0912,0.3699,0.631,0.4239,0.1471,-4.2012,0.33,3,3,2,2,second
106,177,deus,Latin,PROPN,24,no,2.24,-2.8756,2.4075,0.4652,0.6674,0.5834,2.2559,-1.1102,3.0922,5,4,3,2,god
44,59,uel,Latin,CCONJ,25,no,-1.4427,-4.2471,0.2175,0.3485,0.627,0.4836,-0.7303,-4.0001,1.594,3,3,2,2,or
152,254,si,Latin,SCONJ,26,no,1.7629,-3.0527,2.5724,0.4501,0.6621,0.591,1.6833,-1.3511,3.2796,5,4,3,2,yes
113,186,se,Latin,PRON,27,no,0.3381,-4.7068,1.5218,0.405,0.6135,0.543,0.8045,-3.5402,3.0995,3,3,2,2,himself
108,179,a,Latin,ADP,28,no,-3.7925,-0.9986,-1.3313,0.2741,0.7226,0.4129,-3.1606,-2.2199,-1.3981,1,1,1,1,a
90,140,oportet,Latin,VERB,30,no,-0.4645,-6.3839,2.2138,0.3795,0.5642,0.5746,0.1645,-4.9962,4.549,3,3,2,2,must
168,292,de,Latin,ADP,31,no,-3.7922,-1.1909,0.0198,0.2741,0.7169,0.4746,-3.41,-1.8874,-0.2818,1,1,1,1,about
75,118,ostensum,Latin,VERB,32,no,-0.3459,-7.0001,-0.698,0.3833,0.546,0.4418,0.9076,-6.5847,1.4741,3,3,2,2,shown
430,1491,materia,Latin,NOUN,33,no,0.5359,-4.8788,0.1097,0.4112,0.6084,0.4787,1.354,-4.131,1.971,3,3,2,2,material
123,201,potentia,Latin,NOUN,34,no,0.3895,-5.7345,0.5221,0.4066,0.5833,0.4975,1.2582,-4.7588,2.7529,3,3,2,2,power
48,63,aliquid,Latin,PRON,35,no,0.9644,-4.4589,2.8406,0.4248,0.6208,0.6032,1.1321,-2.6649,4.0501,5,4,3,2,something
36,50,quia,Latin,SCONJ,36,no,0.7531,-2.6846,2.0842,0.4181,0.673,0.5687,0.7934,-1.4112,2.428,5,4,3,2,because
232,454,nisi,Latin,SCONJ,37,no,-3.2614,-2.4348,2.9667,0.2909,0.6803,0.6089,-3.1905,-1.6884,2.9221,1,1,1,1,except
188,338,ab,Latin,ADP,38,no,-2.574,-0.4714,-0.2134,0.3127,0.7381,0.4639,-2.3628,-1.0689,-0.5005,1,1,1,1,from
251,551,causa,Latin,NOUN,39,no,-1.3902,-8.9688,0.4429,0.3502,0.4881,0.4939,0.0196,-8.1796,4.5645,3,3,2,2,cause
103,169,eius,Latin,PRON,40,no,-0.8156,-3.7871,-0.4452,0.3684,0.6405,0.4533,-0.0035,-3.6831,1.0872,3,3,2,2,his
312,867,rerum,Latin,NOUN,41,no,-6.7104,-0.7121,-1.2669,0.1816,0.731,0.4159,-5.9946,-2.5125,-1.4049,2,2,1,1,of things
129,210,etiam,Latin,ADV,42,no,-1.5953,-3.1322,0.335,0.3437,0.6598,0.4889,-0.9832,-2.9541,1.0356,3,3,2,2,also
354,1099,effectus,Latin,NOUN,43,no,0.4302,-3.6256,-0.6956,0.4079,0.6453,0.4419,1.2769,-3.3472,0.8772,3,3,2,2,effects
79,122,qui,Latin,PRON,44,no,2.0878,-0.8809,1.4868,0.4604,0.726,0.5415,1.9977,0.2754,1.5029,5,4,3,2,who
187,336,sic,Latin,ADV,45,no,2.1529,-1.0635,2.8957,0.4625,0.7207,0.6057,1.7212,0.5854,2.7557,5,4,3,2,so
68,98,forma,Latin,NOUN,46,no,-0.2026,-5.3155,-0.8854,0.3878,0.5956,0.4333,0.8593,-5.0893,1.2903,3,3,2,2,form
66,91,propter,Latin,ADP,48,no,-2.0871,0.062,1.2732,0.3281,0.7538,0.5317,-2.2007,0.0637,0.5934,1,1,1,1,because
52,69,ipsum,Latin,DET,49,no,2.0799,-3.0574,-0.2652,0.4602,0.662,0.4616,2.612,-2.2793,0.9231,3,3,2,2,very
65,86,intellectus,Latin,NOUN,50,no,-0.9961,-2.8132,-1.3275,0.3627,0.6692,0.4131,-0.1837,-3.1953,-0.4215,3,3,2,2,understanding
169,293,deo,Latin,PROPN,51,no,1.9385,-0.9358,1.1829,0.4557,0.7244,0.5276,1.8549,0.0505,1.4378,5,4,3,2,God
0,1,unde,Latin,ADV,52,no,2.991,-0.1611,2.5688,0.489,0.7472,0.5908,2.3663,1.4287,2.2127,5,4,3,2,whence
92,144,omnia,Latin,DET,53,no,1.1687,-2.0841,-0.7014,0.4313,0.6906,0.4417,1.5877,-1.8704,0.0793,5,4,3,2,everything
146,241,motus,Latin,NOUN,54,no,0.1365,-4.0559,-1.4876,0.3986,0.6326,0.4058,1.1559,-4.0961,0.3375,3,3,2,2,movement
362,1120,agit,Latin,VERB,55,no,-1.3132,-5.6673,1.8179,0.3526,0.5852,0.5566,-0.6461,-4.6466,3.6607,3,3,2,2,deals
167,289,actu,Latin,NOUN,56,no,4.1217,-0.954,-0.1804,0.5249,0.7239,0.4654,4.239,0.078,0.6101,5,4,3,2,actually
139,227,substantia,Latin,NOUN,57,no,-0.1254,-5.5066,-0.1243,0.3903,0.59,0.468,0.8138,-4.953,2.0431,3,3,2,2,substance
244,541,res,Latin,NOUN,59,no,0.4213,-2.3821,-0.0917,0.4076,0.6819,0.4695,0.8988,-2.0581,0.6967,5,4,3,2,things
179,325,dicitur,Latin,VERB,60,no,-0.2379,-6.1692,0.2707,0.3867,0.5705,0.486,0.7447,-5.4135,2.6699,3,3,2,2,it is said
127,205,habet,Latin,VERB,61,no,-0.6295,-7.5287,2.2481,0.3743,0.5305,0.5762,0.1858,-6.0179,5.1043,3,3,2,2,has
109,181,sua,Latin,DET,62,no,-3.7481,1.244,3.2442,0.2755,0.7885,0.6216,-4.325,1.5193,1.6991,2,2,1,1,his own
363,1121,ens,Latin,NOUN,63,no,0.7572,-6.0536,1.9942,0.4183,0.5739,0.5646,1.3397,-4.4396,4.1555,3,3,2,2,being
212,393,inquantum,Latin,SCONJ,64,no,3.7302,0.1725,1.7413,0.5125,0.757,0.5531,3.1106,1.5824,1.5694,5,4,3,2,as
87,133,omne,Latin,DET,65,no,3.6477,-0.9269,4.3309,0.5099,0.7247,0.6712,2.6652,1.5467,3.8771,5,4,3,2,everything
70,104,dei,Latin,PROPN,66,no,-1.0212,-1.8083,-1.7564,0.3619,0.6987,0.3936,-0.301,-2.4436,-1.0755,3,3,2,2,God
191,347,patet,Latin,VERB,67,no,0.665,-3.9877,-0.6213,0.4153,0.6346,0.4453,1.4158,-3.5582,0.7309,3,3,2,2,it is clear
86,130,adhuc,Latin,ADV,68,no,-5.1798,6.8606,10.6726,0.2301,0.9537,0.9604,-8.4249,9.0199,6.8063,2,2,1,1,still
460,1625,semper,Latin,ADV,69,no,3.4613,0.016,-0.4709,0.504,0.7524,0.4522,3.3754,0.5642,-0.0951,5,4,3,2,always
122,200,modo,Latin,NOUN,70,no,0.8949,-2.1828,-1.3319,0.4226,0.6877,0.4129,1.5446,-2.2009,-0.383,5,4,3,2,only
124,202,nihil,Latin,PRON,71,no,2.194,-1.7641,2.9432,0.4638,0.7,0.6079,1.8747,0.0389,3.0261,5,4,3,2,nothing
184,330,rebus,Latin,NOUN,72,no,0.5385,-1.0943,-0.9612,0.4113,0.7197,0.4298,0.975,-1.1944,-0.4594,5,4,3,2,things
195,353,actus,Latin,NOUN,73,no,0.799,-4.757,-0.6981,0.4196,0.612,0.4418,1.7138,-4.276,1.2372,3,3,2,2,act
177,323,eo,Latin,PRON,74,no,1.2374,-3.0253,2.4039,0.4335,0.6629,0.5833,1.2873,-1.4858,3.0888,5,4,3,2,by him
302,821,causam,Latin,NOUN,75,no,-0.2874,-4.3914,-2.6983,0.3852,0.6228,0.3506,1.0123,-4.924,-0.6696,3,3,2,2,cause
100,162,item,Latin,ADV,76,no,-3.1282,7.2676,11.5419,0.2951,0.9657,1.0,-6.6119,10.2982,7.9187,2,2,1,1,also
24,34,aliud,Latin,DET,77,no,2.1659,-4.0307,3.0194,0.4629,0.6334,0.6113,2.1948,-1.9444,4.2125,5,4,3,2,something else
435,1503,formam,Latin,NOUN,78,no,0.5594,-2.9205,-0.9881,0.412,0.666,0.4286,1.2845,-2.8129,0.1523,5,4,3,2,form
147,243,unum,Latin,NUM,79,no,1.6478,-2.2697,0.78,0.4465,0.6852,0.5092,1.8594,-1.3353,1.5053,5,4,3,2,one
327,945,nam,Latin,ADV,81,no,3.33,0.3418,2.8392,0.4998,0.762,0.6031,2.6072,2.0774,2.4256,5,4,3,2,for
316,878,necessitate,Latin,NOUN,82,no,-1.3948,-1.7446,0.905,0.3501,0.7006,0.5149,-1.1571,-1.5032,1.093,1,1,1,1,by necessity
119,196,impossibile,Latin,ADJ,84,no,2.8631,-2.9997,1.7581,0.485,0.6637,0.5538,2.8228,-1.3664,2.6468,5,4,3,2,impossible
102,166,quo,Latin,PRON,85,no,1.1394,-0.6341,0.8106,0.4304,0.7333,0.5106,1.0651,-0.0726,0.7721,5,4,3,2,where
97,155,diuina,Latin,ADJ,86,no,-5.713,2.0654,4.0346,0.2132,0.8127,0.6576,-6.5934,2.0696,1.772,2,2,1,1,divine
45,60,actio,Latin,NOUN,88,no,-0.8126,-3.5107,0.0332,0.3685,0.6487,0.4752,-0.1215,-3.2673,1.155,3,3,2,2,action
376,1180,substantiae,Latin,NOUN,89,no,-0.5553,-1.8771,-2.5529,0.3767,0.6967,0.3572,0.3753,-2.7159,-1.5191,3,3,2,2,substance
257,561,principium,Latin,NOUN,90,no,0.435,-5.4292,0.7265,0.408,0.5922,0.5068,1.278,-4.3876,2.8603,3,3,2,2,principle
247,546,prima,Latin,ADJ,91,no,1.1658,-0.0941,-0.2701,0.4312,0.7492,0.4613,1.2497,0.0883,-0.1572,5,4,3,2,the first
196,355,deum,Latin,PROPN,92,no,-0.8636,-2.2171,1.3536,0.3669,0.6867,0.5354,-0.5418,-1.5404,1.5735,3,3,2,2,God
57,74,naturae,Latin,NOUN,93,no,-3.9406,-0.8632,-3.1821,0.2694,0.7265,0.3285,-2.9885,-2.7795,-2.9046,1,1,1,1,of nature
