,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,2053,100,Lithuanian,NUM,445,no,4.3605,-0.6417,1.1156,0.7213,0.2571,0.673,5,4,3,2
1,5,vadovų,Lithuanian,NOUN,305,no,-4.6883,0.3798,2.4374,0.3104,0.2868,0.7275,1,1,1,1
2,7,siekiant,Lithuanian,VERB,227,no,0.8542,1.1742,-1.4726,0.5621,0.3099,0.5662,2,2,2,2
3,9,ir,Lithuanian,PART,5,no,-8.685,24.9477,-15.1956,0.129,1.0,0.0,3,2,2,2
4,4107,būtina,Lithuanian,ADJ,165,no,-5.3824,1.6328,-0.7506,0.2789,0.3232,0.596,1,1,1,1
5,2063,vis,Lithuanian,CCONJ,307,no,4.9645,-5.1692,-2.9052,0.7487,0.1257,0.5071,4,3,3,2
6,16,kitų,Lithuanian,PRON,87,no,-5.0523,-0.6856,-0.4627,0.2939,0.2559,0.6079,1,1,1,1
7,19,mokslo,Lithuanian,NOUN,107,no,-4.505,1.8653,1.5143,0.3187,0.3299,0.6894,1,1,1,1
8,22,asmenų,Lithuanian,NOUN,237,no,-4.9594,-0.4574,0.4553,0.2981,0.2625,0.6457,1,1,1,1
9,23,darbo,Lithuanian,NOUN,72,no,-3.2293,0.9543,0.3473,0.3767,0.3035,0.6413,1,1,1,1
10,25,kitas,Lithuanian,PRON,179,no,3.0465,1.3566,-0.177,0.6616,0.3152,0.6196,2,2,2,2
11,6177,straipsnis,Lithuanian,NOUN,299,no,1.2442,4.2709,1.1096,0.5798,0.3998,0.6727,2,2,2,2
12,34,švietimo,Lithuanian,NOUN,378,no,-6.62,-1.8946,0.7925,0.2227,0.2208,0.6596,1,1,1,1
13,35,kultūros,Lithuanian,NOUN,13,no,-3.402,5.2764,-1.1684,0.3688,0.4289,0.5787,3,2,2,2
14,2081,gyventojų,Lithuanian,NOUN,178,no,-0.6344,1.9487,-0.3655,0.4945,0.3323,0.6119,2,2,2,2
15,33,seimo,Lithuanian,NOUN,432,no,8.2721,-3.0953,0.7529,0.8989,0.1859,0.658,5,4,3,2
16,2086,politikos,Lithuanian,NOUN,41,no,-0.3924,4.9179,-1.0736,0.5055,0.4185,0.5826,2,2,2,2
17,2085,viešosios,Lithuanian,ADJ,287,no,3.5532,-1.7384,0.6548,0.6846,0.2253,0.654,5,4,3,2
18,6188,moterų,Lithuanian,NOUN,281,no,-9.2822,-6.5378,2.0063,0.1018,0.086,0.7097,1,1,1,1
19,2102,todėl,Lithuanian,ADV,74,no,-6.9061,-0.494,-1.4877,0.2097,0.2614,0.5656,1,1,1,1
20,2104,pats,Lithuanian,DET,239,no,-1.2037,-0.5207,0.1125,0.4686,0.2607,0.6316,2,2,2,2
21,2106,migracijos,Lithuanian,NOUN,117,no,-0.5627,-1.8385,-1.7421,0.4977,0.2224,0.5551,2,2,2,2
22,59,yra,Lithuanian,VERB,52,no,-0.7602,2.3844,-2.7988,0.4888,0.345,0.5115,2,2,2,2
23,4155,ekspertų,Lithuanian,NOUN,304,no,0.3688,-1.6206,0.8689,0.54,0.2287,0.6628,2,2,2,2
24,60,ypač,Lithuanian,ADV,144,no,3.8696,0.293,2.3324,0.699,0.2843,0.7232,5,4,3,2
25,62,o,Lithuanian,CCONJ,10,no,-1.4645,4.0269,-3.2876,0.4568,0.3927,0.4913,3,2,2,2
26,63,iš,Lithuanian,ADV,76,no,-0.2756,1.0001,-1.4874,0.5108,0.3048,0.5656,2,2,2,2
27,2109,socialinių,Lithuanian,ADJ,192,no,2.9269,2.6982,8.882,0.6562,0.3541,0.9934,2,2,2,2
28,65,jie,Lithuanian,PRON,39,no,-4.0902,-0.2279,-2.1018,0.3376,0.2692,0.5402,2,2,2,2
29,68,nes,Lithuanian,SCONJ,40,no,-2.7384,-0.4553,-1.9039,0.3989,0.2626,0.5484,2,2,2,2
30,69,yra,Lithuanian,VERB,52,no,-4.1551,4.5643,-1.1718,0.3346,0.4083,0.5786,3,2,2,2
