,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
46,74,же,Old_Church_Slavonic,ADV,3,no,4.6448,-8.3446,8.2966,0.7923,0.2943,0.835,1.4619,-9.4451,8.7109,4,4,3,2,no trans
15,26,сѧ,Old_Church_Slavonic,PRON,4,no,-0.2238,-1.0737,1.4669,0.591,0.5747,0.5529,-0.6604,-1.0536,1.031,5,4,3,2,no trans
2,3,въ,Old_Church_Slavonic,ADP,5,no,-2.5118,-7.9138,2.5246,0.4963,0.3109,0.5966,-3.7662,-7.413,1.5314,4,4,3,2,no trans
71,123,не,Old_Church_Slavonic,ADV,6,no,3.7181,-8.425,6.9321,0.754,0.2912,0.7786,1.0411,-9.2577,7.0208,4,4,3,2,no trans
9,15,на,Old_Church_Slavonic,ADP,7,no,-1.8788,-7.5784,1.2535,0.5225,0.3239,0.5441,-2.8401,-7.1816,0.3337,4,4,3,2,no trans
13,21,рече,Old_Church_Slavonic,VERB,10,no,5.251,-12.5796,6.5451,0.8174,0.131,0.7626,1.9014,-13.5506,6.9533,4,4,3,2,no trans
8,12,емоу,Old_Church_Slavonic,PRON,11,no,3.1031,-3.232,1.5868,0.7286,0.4915,0.5578,2.1984,-3.8066,1.8205,5,4,3,2,no trans
29,46,естъ,Old_Church_Slavonic,AUX,12,no,3.7226,-9.6122,5.793,0.7542,0.2454,0.7316,1.0853,-10.3294,5.9509,4,4,3,2,no trans
63,110,его,Old_Church_Slavonic,PRON,13,no,-1.499,-5.6514,2.0147,0.5382,0.3982,0.5755,-2.4232,-5.4496,1.4152,4,4,3,2,no trans
78,140,къ,Old_Church_Slavonic,ADP,14,no,-3.097,-2.5756,1.0704,0.4721,0.5168,0.5365,-3.6178,-2.0606,-0.0022,1,1,1,1,no trans
70,122,имъ,Old_Church_Slavonic,PRON,15,no,3.1951,-1.7297,-0.0069,0.7324,0.5494,0.492,2.7529,-2.2314,0.3501,5,4,3,2,no trans
28,45,бо,Old_Church_Slavonic,ADV,16,no,2.6923,-3.1574,4.8061,0.7116,0.4943,0.6908,1.0331,-3.8015,4.8572,5,4,3,2,no trans
61,107,съ,Old_Church_Slavonic,ADP,18,no,-5.216,-2.9585,-0.7264,0.3845,0.502,0.4623,-5.1742,-2.0357,-1.9412,1,1,1,1,no trans
141,315,о,Old_Church_Slavonic,ADP,19,no,-3.7724,-0.6998,0.9055,0.4442,0.5891,0.5297,-3.8193,0.0326,0.0768,1,1,1,1,no trans
184,452,вамъ,Old_Church_Slavonic,PRON,20,no,2.3291,0.9837,1.6303,0.6966,0.654,0.5596,2.0192,0.4974,1.9931,3,3,2,2,no trans
54,94,по,Old_Church_Slavonic,ADP,22,no,-3.8023,-1.3104,1.2081,0.443,0.5656,0.5422,-4.0277,-0.6445,0.258,1,1,1,1,no trans
4,5,и҃съ,Old_Church_Slavonic,PROPN,23,no,5.254,-1.8138,2.7581,0.8175,0.5461,0.6062,4.1313,-2.7783,3.5048,3,3,2,2,no trans
20,33,вь,Old_Church_Slavonic,ADP,24,no,-3.7645,-3.0489,1.7004,0.4445,0.4985,0.5625,-4.254,-2.4068,0.6958,1,1,1,1,no trans
41,66,г҃ла,Old_Church_Slavonic,VERB,25,no,3.7941,-7.3872,2.7644,0.7571,0.3312,0.6065,1.8448,-7.9986,2.9129,4,4,3,2,no trans
33,54,нъ,Old_Church_Slavonic,CCONJ,27,no,2.0253,-2.9164,3.8323,0.684,0.5036,0.6506,0.7166,-3.3928,3.7426,5,4,3,2,no trans
314,889,бѣ,Old_Church_Slavonic,AUX,28,no,3.79,-3.6068,1.8433,0.757,0.477,0.5684,2.6859,-4.2862,2.2576,5,4,3,2,no trans
194,475,азъ,Old_Church_Slavonic,PRON,31,no,2.2972,-2.5657,0.8884,0.6952,0.5171,0.529,1.5918,-2.9465,1.1156,5,4,3,2,no trans
96,176,бѫдетъ,Old_Church_Slavonic,AUX,32,no,3.7291,-5.5545,3.4015,0.7545,0.4019,0.6328,2.0352,-6.2661,3.6802,5,4,3,2,no trans
121,248,егда,Old_Church_Slavonic,ADV,33,no,0.2736,0.7473,3.4501,0.6115,0.6449,0.6348,-0.5471,0.5855,3.1944,1,1,1,1,no trans
232,579,и,Old_Church_Slavonic,ADV,34,no,0.205,-3.852,3.0715,0.6087,0.4676,0.6192,-0.9499,-3.9939,2.6481,5,4,3,2,no trans
49,77,и,Old_Church_Slavonic,ADV,34,no,5.7518,-15.978,11.8651,0.8381,0.0,0.9824,0.8938,-17.2454,12.5066,4,4,3,2,no trans
137,295,и,Old_Church_Slavonic,ADV,34,no,1.365,-0.7268,0.1962,0.6567,0.5881,0.5004,0.973,-0.8484,0.3041,5,4,3,2,no trans
152,346,оубо,Old_Church_Slavonic,ADV,35,no,4.6967,-0.7522,2.3576,0.7945,0.5871,0.5897,3.7998,-1.5995,2.9468,3,3,2,2,no trans
117,237,бꙑстъ,Old_Church_Slavonic,AUX,36,no,4.6539,-7.06,3.3797,0.7927,0.3439,0.6319,2.8726,-7.8383,3.735,4,4,3,2,no trans
185,454,иже,Old_Church_Slavonic,PRON,37,no,0.3047,-2.2354,0.6707,0.6128,0.5299,0.52,-0.1724,-2.3072,0.3788,5,4,3,2,no trans
37,60,с҃нъ,Old_Church_Slavonic,NOUN,38,no,5.3212,-7.0133,2.7252,0.8203,0.3457,0.6049,3.7127,-7.9078,3.2066,4,4,3,2,no trans
189,466,г҃лѭ,Old_Church_Slavonic,VERB,39,no,3.095,-4.2069,3.2683,0.7282,0.4539,0.6273,1.6648,-4.808,3.4748,5,4,3,2,no trans
72,132,а,Old_Church_Slavonic,CCONJ,40,no,-0.13,-0.6298,2.3229,0.5948,0.5918,0.5882,-0.9104,-0.6634,1.9193,1,1,1,1,no trans
234,588,мѧ,Old_Church_Slavonic,PRON,41,no,4.1391,0.2728,-0.2217,0.7714,0.6266,0.4831,4.1695,-0.479,0.6044,3,3,2,2,no trans
195,477,ѣко,Old_Church_Slavonic,ADV,42,no,4.205,-3.9028,1.5978,0.7741,0.4656,0.5583,3.0572,-4.6115,2.0617,5,4,3,2,no trans
35,57,ѣко,Old_Church_Slavonic,ADV,42,no,3.8215,-7.1898,7.4878,0.7583,0.3389,0.8016,1.0689,-8.148,7.7332,4,4,3,2,no trans
66,114,что,Old_Church_Slavonic,PRON,43,no,2.0195,-1.4955,0.5576,0.6837,0.5584,0.5153,1.665,-1.8502,0.8065,5,4,3,2,no trans
397,1341,и҃с,Old_Church_Slavonic,PROPN,44,no,4.0777,1.3568,4.0674,0.7689,0.6684,0.6603,3.1961,0.5529,4.614,3,3,2,2,no trans
103,202,г҃лѧ,Old_Church_Slavonic,VERB,46,no,5.1402,1.1272,2.0118,0.8128,0.6595,0.5754,4.6007,0.2916,2.8447,3,3,2,2,no trans
51,83,ꙇ҅,Old_Church_Slavonic,CCONJ,47,no,1.6012,-1.0744,3.315,0.6664,0.5746,0.6292,0.5982,-1.5087,3.2065,5,4,3,2,no trans
226,550,еже,Old_Church_Slavonic,PRON,48,no,2.4039,-1.091,0.761,0.6996,0.574,0.5237,1.9833,-1.5044,0.936,5,4,3,2,no trans
79,141,немоу,Old_Church_Slavonic,PRON,49,no,1.3368,-0.5354,1.1176,0.6555,0.5954,0.5385,0.756,-0.744,1.1609,3,3,2,2,no trans
31,50,ли,Old_Church_Slavonic,CCONJ,50,no,-0.6583,-0.5134,1.5104,0.573,0.5963,0.5547,-0.9206,-0.4666,1.177,1,1,1,1,no trans
99,184,ли,Old_Church_Slavonic,CCONJ,50,no,1.3537,-2.0689,1.0432,0.6562,0.5363,0.5354,0.8001,-2.2699,0.9233,5,4,3,2,no trans
162,392,ꙇже,Old_Church_Slavonic,PRON,51,no,1.094,-2.4834,1.2816,0.6455,0.5203,0.5452,0.43,-2.7078,1.1258,5,4,3,2,no trans
157,371,сѫтъ,Old_Church_Slavonic,AUX,52,no,2.5502,-2.086,1.0886,0.7057,0.5356,0.5373,1.8194,-2.4998,1.314,5,4,3,2,no trans
12,20,ихъ,Old_Church_Slavonic,PRON,53,no,1.0178,-1.1715,-2.976,0.6423,0.5709,0.3694,1.5035,-1.2056,-2.6689,3,3,2,2,no trans
252,665,тꙑ,Old_Church_Slavonic,PRON,54,no,0.2313,-1.7815,0.0638,0.6098,0.5474,0.4949,-0.1328,-1.7124,-0.145,5,4,3,2,no trans
200,491,мене,Old_Church_Slavonic,PRON,55,no,1.351,-1.5326,-0.3462,0.6561,0.557,0.478,1.1251,-1.727,-0.2628,5,4,3,2,no trans
253,666,еси,Old_Church_Slavonic,AUX,56,no,-2.291,-1.1596,0.2647,0.5055,0.5714,0.5032,-2.4571,-0.5917,-0.2955,1,1,1,1,no trans
19,32,рѣшѧ,Old_Church_Slavonic,VERB,57,no,3.5324,-7.4143,0.2901,0.7463,0.3302,0.5043,2.2745,-7.8236,0.3816,4,4,3,2,no trans
55,95,мьнѣ,Old_Church_Slavonic,PRON,58,no,5.3316,0.7982,1.019,0.8207,0.6469,0.5344,5.0563,-0.2184,2.038,3,3,2,2,no trans
80,142,оученици,Old_Church_Slavonic,NOUN,59,no,1.7264,-3.0575,-1.0153,0.6716,0.4982,0.4504,1.4407,-3.2443,-0.8827,5,4,3,2,no trans
5,7,приде,Old_Church_Slavonic,VERB,61,no,4.0102,-6.8313,3.8777,0.7661,0.3527,0.6525,2.0152,-7.6255,4.1894,4,4,3,2,no trans
21,34,себѣ,Old_Church_Slavonic,PRON,62,no,1.6805,-1.0067,1.9378,0.6697,0.5773,0.5723,1.1399,-1.4534,1.9784,5,4,3,2,no trans
40,65,тъгда,Old_Church_Slavonic,ADV,66,no,2.4041,2.6713,2.1928,0.6997,0.7191,0.5829,1.9859,2.1437,2.652,3,3,2,2,no trans
148,340,ѣкоже,Old_Church_Slavonic,ADV,67,no,4.944,0.2053,2.6352,0.8047,0.624,0.6011,4.1531,-0.6937,3.3488,3,3,2,2,no trans
186,456,васъ,Old_Church_Slavonic,PRON,68,no,1.4592,-3.0773,0.7922,0.6606,0.4974,0.525,0.8923,-3.3084,0.8178,5,4,3,2,no trans
34,55,да,Old_Church_Slavonic,ADV,69,no,0.4672,0.1826,3.3091,0.6195,0.6231,0.629,-0.2894,-0.0262,3.0535,1,1,1,1,no trans
271,746,да,Old_Church_Slavonic,ADV,69,no,-1.089,1.837,1.6465,0.5552,0.6869,0.5603,-1.2222,1.9389,1.359,1,1,1,1,no trans
202,497,како,Old_Church_Slavonic,ADV,70,no,3.0376,1.2029,0.6716,0.7259,0.6625,0.52,2.8755,0.7412,1.213,3,3,2,2,no trans
282,787,тебѣ,Old_Church_Slavonic,PRON,71,no,0.1341,-1.2009,1.9881,0.6058,0.5698,0.5744,-0.3222,-1.2881,1.7597,5,4,3,2,no trans
198,486,прѣдъ,Old_Church_Slavonic,ADP,72,no,-5.553,-1.9026,-0.82,0.3705,0.5427,0.4584,-5.4274,-0.8238,-1.9521,1,1,1,1,no trans
56,97,немь,Old_Church_Slavonic,PRON,73,no,-0.6468,-1.2263,2.9171,0.5735,0.5688,0.6128,-1.2902,-1.2906,2.4477,5,4,3,2,no trans
140,311,тако,Old_Church_Slavonic,ADV,74,no,5.4175,0.9529,4.3052,0.8243,0.6528,0.6701,4.5817,-0.1297,5.167,3,3,2,2,no trans
52,86,отъ,Old_Church_Slavonic,ADV,75,no,2.4231,-4.6008,-0.8263,0.7004,0.4387,0.4582,1.8619,-4.792,-0.9375,5,4,3,2,no trans
18,30,отъ,Old_Church_Slavonic,ADV,75,no,-3.0338,-6.2541,0.6717,0.4747,0.3749,0.52,-3.7205,-5.7196,-0.1232,4,4,3,2,no trans
326,941,ѩ,Old_Church_Slavonic,PRON,77,no,-2.7578,-1.7476,-1.3742,0.4862,0.5487,0.4355,-2.5961,-1.2082,-2.1094,1,1,1,1,no trans
36,59,иматъ,Old_Church_Slavonic,VERB,78,no,4.4569,-7.9338,2.5892,0.7846,0.3102,0.5992,2.7295,-8.6445,2.8682,4,4,3,2,no trans
