,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2
0,1,за,Old_East_Slavic,ADP,32,no,2.6091,5.3904,-0.3747,0.6703,0.4265,0.6879,-3.2501,-4.9072,0.2626,4,4,3,2
1,4,ѡц҃ь,Old_East_Slavic,NOUN,81,no,-2.3544,7.3421,-0.0684,0.4492,0.4798,0.6996,1.3415,-7.4481,-0.0011,4,4,3,2
2,5,наших,Old_East_Slavic,ADJ,479,no,1.7286,-3.872,-3.3347,0.6311,0.1736,0.5745,-1.0941,3.9686,3.4009,1,1,1,1
3,12,мѧ,Old_East_Slavic,PRON,108,no,1.6462,-5.3151,-2.1925,0.6274,0.1342,0.6183,-0.8019,5.3208,2.3049,1,1,1,1
4,14,своего,Old_East_Slavic,ADJ,146,no,4.4508,0.1828,0.1563,0.7524,0.2843,0.7082,-4.0628,0.4437,-0.3143,2,2,1,1
5,27,море,Old_East_Slavic,NOUN,188,no,-1.2652,-1.878,-2.6038,0.4977,0.228,0.6025,1.5721,1.5329,2.3154,1,1,1,1
6,2080,ходити,Old_East_Slavic,VERB,349,no,4.4224,-0.2954,-0.6662,0.7511,0.2713,0.6767,-4.3351,0.922,0.6662,1,1,1,1
7,2083,бо,Old_East_Slavic,ADV,11,no,-0.5705,3.7774,-3.9059,0.5287,0.3825,0.5526,0.1429,-3.986,3.6052,4,4,3,2
8,2084,б҃а,Old_East_Slavic,NOUN,69,no,-3.0308,1.0897,0.9751,0.419,0.3091,0.7396,2.7975,-1.5015,-0.9078,4,4,3,2
9,39,ѿ,Old_East_Slavic,ADP,8,no,-0.8195,6.0083,-1.1694,0.5176,0.4434,0.6574,-0.0307,-6.1213,1.305,4,4,3,2
10,43,съ,Old_East_Slavic,ADP,25,no,4.1952,2.0434,1.8927,0.741,0.3351,0.7748,-4.2031,-1.4341,-2.019,2,2,1,1
11,44,его,Old_East_Slavic,PRON,36,no,0.5123,2.7324,-0.75,0.5769,0.3539,0.6735,-0.79,-2.7066,0.4962,1,1,1,1
12,6192,сеже,Old_East_Slavic,DET,348,no,1.5428,-2.2189,-0.4345,0.6228,0.2187,0.6856,-1.0214,2.3346,-0.1748,1,1,1,1
13,50,и,Old_East_Slavic,NUM,213,no,-5.4761,26.3948,-18.3309,0.3101,1.0,0.0,1.3336,-27.2481,20.3988,5,4,3,2
14,54,поидох,Old_East_Slavic,VERB,185,no,-8.0442,-3.5679,0.2619,0.1957,0.1819,0.7123,8.1864,2.4908,-0.0504,3,3,2,2
15,55,на,Old_East_Slavic,ADP,5,no,0.7041,9.3069,-4.1857,0.5855,0.5334,0.5419,-1.9552,-9.0919,4.3716,4,4,3,2
16,59,в,Old_East_Slavic,NUM,206,no,1.3673,6.9364,-2.5231,0.615,0.4687,0.6056,-2.2829,-6.7132,2.6133,4,4,3,2
17,60,манастырь,Old_East_Slavic,NOUN,106,no,-4.8644,-0.6946,-0.2016,0.3373,0.2604,0.6945,4.8807,-0.0503,0.1504,3,3,2,2
18,61,къ,Old_East_Slavic,ADP,24,no,5.4283,2.4657,2.2511,0.796,0.3466,0.7885,-5.6398,-1.5835,-2.0355,2,2,1,1
19,4158,роди,Old_East_Slavic,VERB,219,no,-3.2619,3.1355,1.4134,0.4087,0.3649,0.7564,2.8467,-3.3738,-1.608,4,4,3,2
20,4159,с҃тополкъ,Old_East_Slavic,PROPN,231,no,0.8214,-0.9733,-2.4248,0.5907,0.2527,0.6094,-0.5204,0.9788,1.8855,1,1,1,1
21,6210,старець,Old_East_Slavic,NOUN,372,no,0.3209,-1.6723,-0.4489,0.5684,0.2337,0.685,-0.0645,1.5695,0.0648,1,1,1,1
22,70,ѹ,Old_East_Slavic,ADP,104,no,4.0055,-0.9086,-1.2369,0.7326,0.2545,0.6549,-3.4873,1.4621,0.8509,2,2,1,1
23,72,сѧ,Old_East_Slavic,PRON,4,no,-4.074,0.6606,3.3356,0.3726,0.2974,0.83,3.8363,-1.1482,-3.3075,3,3,2,2
24,4168,тѣмь,Old_East_Slavic,ADJ,374,no,-2.1052,-5.4439,-1.2388,0.4603,0.1307,0.6548,2.5681,4.9364,1.2619,1,1,1,1
25,4171,посемь,Old_East_Slavic,ADV,437,no,-5.749,-3.5131,-1.3745,0.2979,0.1834,0.6496,6.0113,2.649,1.6111,3,3,2,2
26,76,ис,Old_East_Slavic,ADP,118,no,7.019,-0.1202,2.6678,0.8668,0.276,0.8045,-7.2017,1.1584,-1.8098,2,2,1,1
27,79,с,Old_East_Slavic,PRON,170,no,3.3737,3.832,0.6885,0.7044,0.384,0.7286,-3.8061,-3.2426,-0.6039,1,1,1,1
