,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2
0,1,o,Portuguese,PRON,55,no,-2.0096,11.7367,5.6146,0.4392,0.5394,0.5472,-2.0774,-11.0561,6.8393,5,4,3,2
1,2,objetivo,Portuguese,NOUN,243,no,-1.1956,1.2625,0.7009,0.4808,0.2553,0.3387,-1.1168,-1.1551,0.63,4,3,3,2
2,3,de,Portuguese,ADP,1,no,0.1357,28.7146,16.2865,0.5488,1.0,1.0,0.0642,-26.7362,18.9463,5,4,3,2
3,2052,informou,Portuguese,VERB,250,no,-3.9994,0.4373,-0.5579,0.3376,0.2329,0.2853,-3.9924,-0.4702,-0.3659,3,2,2,2
4,4,os,Portuguese,DET,6,no,-3.6542,2.5734,1.4832,0.3553,0.2908,0.3719,-3.5818,-2.4289,1.7627,4,3,3,2
5,5,principais,Portuguese,ADJ,214,no,-6.754,-1.0265,-1.0803,0.197,0.1932,0.2631,-6.8034,1.1848,-0.5948,3,2,2,2
6,7,a,Portuguese,PRON,252,no,-1.6362,10.5734,4.6384,0.4583,0.5079,0.5058,-1.7503,-10.0492,5.7706,5,4,3,2
7,8,cidade,Portuguese,NOUN,73,no,3.0474,2.078,0.0412,0.6974,0.2774,0.3107,3.0179,-2.1666,0.0072,1,1,1,1
8,9,é,Portuguese,VERB,25,no,-3.2587,3.383,2.03,0.3754,0.3128,0.3951,-3.1884,-3.1434,2.2549,4,3,3,2
9,2057,nota,Portuguese,NOUN,465,no,5.5523,-0.47,-1.8845,0.8253,0.2083,0.229,5.4554,0.3458,-1.7765,1,1,1,1
10,10,que,Portuguese,ADP,215,no,-0.1508,5.3402,2.6859,0.5341,0.3659,0.4229,-0.0946,-5.155,2.6057,4,3,3,2
11,2061,tinha,Portuguese,VERB,228,no,-2.2124,2.1865,0.1057,0.4289,0.2803,0.3135,-2.1944,-2.1676,0.19,4,3,3,2
12,14,sair,Portuguese,VERB,392,no,1.2377,2.7141,-1.8512,0.605,0.2947,0.2304,1.1578,-2.8599,-2.0097,1,1,1,1
13,16,e,Portuguese,CCONJ,5,no,-2.1205,12.9588,5.3505,0.4336,0.5726,0.536,-2.1183,-12.2505,6.5623,5,4,3,2
14,18,a,Portuguese,PRON,252,no,-0.838,11.7173,5.8683,0.499,0.5389,0.558,-0.9154,-11.0962,7.0248,5,4,3,2
15,19,cada,Portuguese,DET,128,no,-4.1735,-0.6889,1.2761,0.3287,0.2023,0.3631,-4.0359,0.7372,1.2969,3,2,2,2
16,4117,vem,Portuguese,AUX,490,no,-10.6115,-2.4326,-2.7815,0.0,0.155,0.191,-10.8961,2.5645,-2.4248,2,2,2,2
17,23,em,Portuguese,ADP,4,no,-0.5736,18.1603,9.5107,0.5125,0.7137,0.7125,-0.6247,-17.0971,11.3039,5,4,3,2
18,24,uma,Portuguese,PRON,249,no,-3.8286,3.3011,1.8673,0.3463,0.3106,0.3882,-3.8115,-3.0834,2.5175,4,3,3,2
19,25,reunião,Portuguese,NOUN,275,no,3.4806,0.3846,0.0422,0.7196,0.2315,0.3108,3.4813,-0.5535,-0.2628,1,1,1,1
20,26,entre,Portuguese,ADP,29,no,-4.4284,0.7883,0.6416,0.3157,0.2424,0.3362,-4.3729,-0.7193,0.7693,3,2,2,2
21,41,ficou,Portuguese,VERB,196,no,-2.2671,2.2229,-0.8883,0.4261,0.2813,0.2713,-2.2955,-2.2252,-0.8086,4,3,3,2
22,43,25,Portuguese,NUM,260,no,-3.5452,-3.5239,2.6818,0.3608,0.1254,0.4228,-3.2577,3.676,2.0418,3,2,2,2
23,45,12,Portuguese,NUM,201,no,-1.3481,0.2754,2.2475,0.473,0.2285,0.4043,-1.1909,-0.1976,1.9292,3,2,2,2
24,2094,dupla,Portuguese,NOUN,493,no,4.4499,-0.3415,-2.0254,0.7691,0.2118,0.223,4.3078,0.0844,-1.8677,1,1,1,1
25,46,serão,Portuguese,AUX,132,no,-8.9609,-3.8391,0.2861,0.0843,0.1169,0.3211,-8.8755,4.0218,0.1065,2,2,2,2
26,50,outros,Portuguese,DET,100,no,-6.5717,-0.9948,-0.1954,0.2063,0.194,0.3007,-6.5053,1.1167,0.1011,3,2,2,2
27,51,13,Portuguese,NUM,431,no,0.0545,1.622,-0.2406,0.5446,0.265,0.2988,0.0783,-1.7025,-0.3478,4,3,3,2
28,52,devem,Portuguese,AUX,206,no,-4.938,-4.017,2.325,0.2897,0.112,0.4076,-4.5722,4.1054,2.0521,3,2,2,2
29,2101,fazendo,Portuguese,VERB,491,no,-3.7875,3.1883,-6.4298,0.3484,0.3075,0.0362,-4.0354,-3.1808,-5.6573,4,3,3,2
30,54,para,Portuguese,ADP,8,no,-2.6532,8.2236,3.1185,0.4064,0.4441,0.4413,-2.7136,-7.7914,3.961,5,4,3,2
31,56,as,Portuguese,DET,11,no,-5.8022,1.6641,-1.7287,0.2456,0.2662,0.2356,-5.9634,-1.5783,-0.9251,4,3,3,2
32,60,mas,Portuguese,CCONJ,23,no,-2.7514,0.0176,1.8312,0.4013,0.2215,0.3867,-2.5917,0.1367,1.4976,3,2,2,2
33,61,sem,Portuguese,ADP,74,no,-5.5478,-1.7997,1.0784,0.2586,0.1722,0.3547,-5.4283,1.9533,1.4534,3,2,2,2
34,63,com,Portuguese,ADP,12,no,-1.0138,8.209,3.2748,0.4901,0.4437,0.4479,-1.1093,-7.8896,4.0602,5,4,3,2
35,65,tempo,Portuguese,NOUN,84,no,2.5231,3.5115,-1.8933,0.6707,0.3163,0.2286,2.3378,-3.7055,-1.7278,1,1,1,1
36,67,nós,Portuguese,PRON,280,no,-0.628,0.9203,-4.3733,0.5098,0.246,0.1234,-0.8478,-1.005,-4.1403,4,3,3,2
37,68,vamos,Portuguese,AUX,462,no,-4.7575,-2.2792,-0.4789,0.2989,0.1592,0.2887,-4.616,2.3872,-0.7708,3,2,2,2
38,75,manhã,Portuguese,NOUN,152,no,4.5731,-0.846,0.1024,0.7753,0.1981,0.3133,4.5976,0.7792,-0.1552,1,1,1,1
39,2124,base,Portuguese,NOUN,298,no,4.1149,-1.8904,1.2742,0.7519,0.1697,0.363,4.1826,1.8646,0.8537,1,1,1,1
40,77,eles,Portuguese,PRON,101,no,-0.8944,-1.185,1.8276,0.4962,0.1889,0.3865,-0.7645,1.2299,1.396,3,2,2,2
41,78,vão,Portuguese,AUX,387,no,-4.438,-3.7312,3.008,0.3152,0.1198,0.4366,-4.077,3.9349,2.4558,3,2,2,2
42,79,final,Portuguese,NOUN,172,no,2.4644,1.5349,0.7624,0.6677,0.2627,0.3413,2.4565,-1.6676,0.51,1,1,1,1
43,80,tarde,Portuguese,NOUN,223,no,4.935,-1.8408,2.317,0.7938,0.1711,0.4073,5.0722,1.8998,1.9107,1,1,1,1
44,2127,perto,Portuguese,ADV,484,no,3.465,0.2247,-7.2823,0.7188,0.2271,0.0,2.9515,-0.6914,-7.5099,1,1,1,1
45,2128,todos,Portuguese,PRON,305,no,-7.0771,-0.7459,-2.8833,0.1805,0.2008,0.1866,-7.217,0.8008,-2.3578,3,2,2,2
46,2136,me,Portuguese,PRON,244,no,-8.2302,-0.7005,-3.3646,0.1216,0.202,0.1662,-8.423,0.7457,-3.2855,3,2,2,2
47,89,estar,Portuguese,VERB,183,no,0.997,5.0699,-4.4112,0.5927,0.3586,0.1218,0.773,-5.2258,-3.9164,4,3,3,2
48,2139,porque,Portuguese,CCONJ,245,no,-2.957,-3.9562,3.2633,0.3908,0.1137,0.4474,-2.6589,4.2221,2.7707,3,2,2,2
49,91,também,Portuguese,ADV,22,no,-3.383,1.2837,1.5875,0.3691,0.2558,0.3763,-3.2781,-1.1546,1.372,3,2,2,2
50,94,mais,Portuguese,DET,125,no,-0.281,4.5678,-0.8234,0.5275,0.3449,0.274,-0.3929,-4.6007,-0.8051,4,3,3,2
51,96,ainda,Portuguese,ADV,36,no,-2.4762,0.8451,1.2158,0.4154,0.2439,0.3606,-2.3414,-0.7865,0.898,3,2,2,2
52,2147,destaque,Portuguese,NOUN,496,no,2.9009,-1.3958,0.8325,0.69,0.1832,0.3443,2.965,1.1767,0.133,1,1,1,1
53,101,maior,Portuguese,ADJ,65,no,-2.9829,0.8821,-0.4776,0.3895,0.245,0.2887,-2.9635,-0.9031,-0.6255,4,3,3,2
54,102,parte,Portuguese,NOUN,76,no,1.9931,3.9403,-0.3634,0.6436,0.3279,0.2936,1.8814,-4.0243,-0.2568,1,1,1,1
55,106,período,Portuguese,NOUN,217,no,2.4566,2.6841,-0.2083,0.6673,0.2938,0.3001,2.377,-2.8165,-0.1446,1,1,1,1
56,107,segundo,Portuguese,ADJ,130,no,-4.8812,1.484,-2.7965,0.2926,0.2613,0.1903,-5.0832,-1.5614,-2.1059,3,2,2,2
57,2157,sendo,Portuguese,VERB,312,no,-3.5944,2.9948,-5.012,0.3583,0.3023,0.0963,-3.7205,-3.05,-4.6904,4,3,3,2
58,110,2,Portuguese,NUM,149,no,0.4219,2.5042,0.7774,0.5634,0.289,0.342,0.458,-2.4783,0.7383,4,3,3,2
59,111,outubro,Portuguese,PROPN,271,no,2.467,0.0703,1.0152,0.6678,0.2229,0.3521,2.5071,-0.1878,0.6598,1,1,1,1
60,113,10,Portuguese,NUM,168,no,1.3729,-0.4811,2.4723,0.6119,0.208,0.4139,1.5169,0.5339,2.0657,1,1,1,1
61,2163,música,Portuguese,NOUN,442,no,5.2354,0.2743,-2.3702,0.8092,0.2285,0.2084,5.0422,-0.4578,-1.9892,1,1,1,1
62,119,fez,Portuguese,VERB,138,no,-2.1501,2.5157,0.0785,0.432,0.2893,0.3123,-2.1375,-2.4727,0.2819,4,3,3,2
63,122,um,Portuguese,NUM,175,no,-3.7572,3.6023,1.5265,0.35,0.3187,0.3737,-3.7495,-3.3954,2.163,4,3,3,2
64,2171,pedido,Portuguese,NOUN,461,no,4.349,-1.3912,1.4128,0.7639,0.1833,0.3689,4.3566,1.2297,1.2305,1,1,1,1
65,130,novembro,Portuguese,PROPN,227,no,2.8125,-0.3952,1.6087,0.6854,0.2103,0.3772,2.8835,0.2651,1.076,1,1,1,1
66,2182,material,Portuguese,NOUN,341,no,3.8529,-1.124,0.9361,0.7386,0.1905,0.3487,3.8618,0.9418,0.6261,1,1,1,1
67,135,só,Portuguese,ADV,95,no,-3.4066,-0.0933,0.8238,0.3679,0.2185,0.3439,-3.2827,0.1048,0.5519,3,2,2,2
68,142,agora,Portuguese,ADV,116,no,-2.7502,-0.9596,1.1702,0.4014,0.195,0.3586,-2.5823,1.1494,0.8424,3,2,2,2
69,143,equipe,Portuguese,NOUN,117,no,5.7025,-0.2995,-1.3097,0.833,0.2129,0.2534,5.5961,0.1994,-1.0824,1,1,1,1
70,144,está,Portuguese,AUX,161,no,-9.8377,-3.3299,-0.9139,0.0395,0.1307,0.2702,-9.8276,3.5043,-1.0844,2,2,2,2
71,145,se,Portuguese,CCONJ,71,no,-4.0071,-1.0037,-1.6931,0.3372,0.1938,0.2371,-3.9349,1.0989,-1.895,3,2,2,2
72,147,forma,Portuguese,NOUN,118,no,3.0873,2.1517,-0.5454,0.6995,0.2794,0.2858,2.9919,-2.272,-0.4967,1,1,1,1
73,148,time,Portuguese,NOUN,261,no,4.1519,-0.5687,-0.842,0.7538,0.2056,0.2733,4.0976,0.4494,-0.8682,1,1,1,1
74,150,isso,Portuguese,PRON,90,no,0.032,1.6748,-0.6655,0.5435,0.2665,0.2807,0.025,-1.6825,-0.6763,4,3,3,2
75,2200,nova,Portuguese,ADJ,273,no,-7.6367,-1.6986,-0.203,0.1519,0.1749,0.3004,-7.856,1.8226,1.2817,3,2,2,2
76,153,diferença,Portuguese,NOUN,389,no,2.4861,0.0621,1.7078,0.6688,0.2227,0.3814,2.5671,-0.1734,1.2303,1,1,1,1
77,154,muito,Portuguese,ADV,49,no,-6.3973,1.1534,-4.2955,0.2152,0.2523,0.1267,-6.5972,-1.1623,-4.3555,3,2,2,2
78,155,grande,Portuguese,PROPN,472,no,-2.2961,1.3975,-1.9909,0.4246,0.2589,0.2245,-2.3601,-1.4891,-1.977,4,3,3,2
79,2205,nossa,Portuguese,DET,450,no,-6.3973,-1.0424,-0.9705,0.2152,0.1927,0.2678,-6.425,1.1505,-0.3297,3,2,2,2
80,165,terceiro,Portuguese,ADJ,384,no,-7.5988,-2.2271,-0.7155,0.1538,0.1606,0.2786,-7.6814,2.3146,-0.0472,3,2,2,2
81,167,por,Portuguese,ADP,9,no,-0.7012,9.8095,4.9787,0.506,0.4871,0.5202,-0.744,-9.303,5.8641,5,4,3,2
82,173,1,Portuguese,NUM,402,no,3.4623,-1.7404,1.8146,0.7186,0.1738,0.386,3.5576,1.7135,1.194,1,1,1,1
