,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2
0,3,начальник,Russian,NOUN,412,no,3.8191,0.2758,-0.4335,0.6612,0.4852,0.6868,-3.583,1.1087,0.1412,2,2,1,1
1,10244,вкладов,Russian,NOUN,271,no,2.2745,3.7538,3.5774,0.5865,0.611,0.8561,-2.4653,-1.7143,-4.855,2,2,1,1
2,7,семен,Russian,PROPN,68,no,0.0151,3.6664,-0.0008,0.4772,0.6078,0.7051,-0.9535,-3.2111,-1.3338,3,3,2,2
3,8,еремеевич,Russian,PROPN,67,no,7.2397,-2.5409,-1.4386,0.8266,0.3834,0.6444,-6.2525,4.2115,1.4018,1,1,1,1
4,9,был,Russian,VERB,298,no,5.4586,-0.731,-0.888,0.7405,0.4488,0.6676,-5.2386,2.2608,0.8041,2,2,1,1
5,10,человек,Russian,NOUN,54,no,-3.9816,1.5128,1.3236,0.284,0.5299,0.761,3.3916,-2.4836,-1.0769,4,4,3,2
6,14,на,Russian,ADP,3,no,-3.2105,9.176,-7.7841,0.3213,0.807,0.3766,-1.084,-11.2326,5.953,3,3,2,2
7,15,работу,Russian,NOUN,313,no,0.4887,0.4545,3.2846,0.5001,0.4917,0.8437,-0.075,0.325,-3.1396,4,4,3,2
8,16,всегда,Russian,ADV,118,no,-2.6222,-3.8273,-2.5423,0.3497,0.3369,0.5978,3.2283,2.2216,3.3541,5,4,3,2
9,4112,свои,Russian,DET,182,no,8.9354,-0.232,0.5936,0.9086,0.4669,0.7301,-8.0462,3.0181,-1.0855,1,1,1,1
10,19,с,Russian,ADP,5,no,-2.9832,6.6314,-3.7186,0.3323,0.715,0.5481,0.2348,-7.9271,2.3162,3,3,2,2
11,21,за,Russian,ADP,17,no,0.3963,2.7192,-2.6532,0.4957,0.5735,0.5931,-1.5384,-2.8895,1.6125,2,2,1,1
12,22,руку,Russian,NOUN,323,no,-2.8771,-0.9934,1.7006,0.3374,0.4393,0.7769,3.2409,0.2579,-1.0088,4,4,3,2
13,23,и,Russian,PART,13,no,-9.855,14.5156,-16.7059,0.0,1.0,0.0,1.8022,-20.445,14.7191,3,3,2,2
14,25,даже,Russian,PART,61,no,0.0249,0.667,1.1137,0.4777,0.4994,0.7521,0.0425,-0.3428,-1.3434,2,2,1,1
15,27,в,Russian,ADP,1,no,-6.0534,11.9687,-11.4175,0.1838,0.9079,0.2232,0.1216,-15.59,9.4126,3,3,2,2
16,30,под,Russian,ADP,49,no,3.9406,2.908,0.2781,0.6671,0.5804,0.7168,-4.3662,-1.1592,-1.3127,2,2,1,1
17,35,его,Russian,PRON,38,no,0.4031,-0.469,0.8621,0.496,0.4583,0.7415,0.0023,0.8055,-0.9865,2,2,1,1
18,2090,говорит,Russian,VERB,108,no,-4.7167,0.8677,-1.699,0.2484,0.5066,0.6334,3.8152,-2.6926,1.767,3,3,2,2
19,43,а,Russian,CCONJ,9,no,-3.8727,4.7827,-5.9166,0.2893,0.6481,0.4554,1.2183,-6.944,4.6398,3,3,2,2
20,44,и,Russian,PART,13,no,-2.8737,4.3485,-5.191,0.3376,0.6324,0.486,0.4982,-6.0948,4.0359,3,3,2,2
21,2092,огонь,Russian,NOUN,238,no,-0.043,-0.5426,1.6078,0.4744,0.4556,0.7729,0.3058,0.7972,-1.0791,2,2,1,1
22,46,которые,Russian,PRON,46,no,-0.9138,0.1328,1.3927,0.4323,0.48,0.7639,1.0305,-0.0932,-1.5263,2,2,1,1
