,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
8,16,sa,Slovak,PRON,1,no,1.2944,-2.9539,4.2386,0.5986,0.5094,0.7068,-0.1598,-3.4017,3.6141,3,2,1,1,with
20,49,na,Slovak,ADP,3,no,7.2237,-15.7336,8.789,0.9069,0.0,0.9383,1.2204,-17.0385,10.9231,2,2,1,1,on the
46,109,v,Slovak,ADP,5,no,1.6277,-8.4236,3.3969,0.616,0.2914,0.664,-1.2435,-8.5162,3.483,3,2,1,1,in
3,8,to,Slovak,DET,6,no,7.6182,-9.6892,7.7704,0.9274,0.2409,0.8865,3.4985,-11.6072,9.4964,2,2,1,1,that
83,175,že,Slovak,SCONJ,7,no,5.2556,-5.4514,4.3416,0.8046,0.4098,0.7121,3.0469,-6.8444,4.9121,3,2,1,1,that
43,95,do,Slovak,ADP,9,no,2.1859,-9.0828,1.8265,0.645,0.2651,0.5841,-0.7146,-9.463,1.9339,3,2,1,1,to
70,158,o,Slovak,ADP,10,no,2.9948,-6.3987,2.3007,0.687,0.3721,0.6083,0.7742,-6.8989,2.4857,3,2,1,1,about
162,381,s,Slovak,ADP,11,no,1.0484,-3.8843,-4.1659,0.5858,0.4723,0.2793,0.2516,-3.8974,-3.4671,5,4,3,2,with
14,25,z,Slovak,ADP,12,no,1.2487,-7.2461,1.1581,0.5962,0.3383,0.5501,-0.9684,-7.7836,0.2985,3,2,1,1,from
165,399,sme,Slovak,AUX,14,no,-2.8314,-0.1658,0.9786,0.3841,0.6205,0.541,-2.7209,0.723,0.1842,5,4,3,2,we are
227,569,ho,Slovak,PRON,15,no,-1.1824,-0.4846,2.9858,0.4699,0.6078,0.6431,-1.8413,-0.2316,2.0358,5,4,3,2,him
124,285,keď,Slovak,SCONJ,16,no,1.8605,-3.5081,4.2153,0.6281,0.4873,0.7057,0.2603,-4.0969,3.7438,3,2,1,1,when
194,461,mi,Slovak,PRON,17,no,3.0343,1.6212,0.4734,0.6891,0.6917,0.5153,3.1998,0.58,0.5257,3,2,1,1,me
