,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,4,sem,Slovenian,AUX,23,no,-0.1366,-0.8133,-3.7175,0.4176,0.3891,0.4474,5,4,3,2
1,5,preveč,Slovenian,DET,354,no,-8.777,-1.8215,0.3387,0.0037,0.3466,0.635,1,1,1,1
2,2054,gora,Slovenian,NOUN,432,no,-7.8956,0.153,-0.6248,0.0459,0.4299,0.5904,1,1,1,1
3,6151,zakon,Slovenian,NOUN,238,no,1.4381,-5.7666,3.9373,0.493,0.18,0.8014,2,1,1,1
4,8,zgodilo,Slovenian,VERB,274,no,4.4273,-1.9592,-2.8831,0.6362,0.3407,0.486,5,4,3,2
5,9,se,Slovenian,PRON,4,no,-0.245,0.9844,-3.0123,0.4124,0.465,0.48,5,4,3,2
6,10,je,Slovenian,VERB,30,no,6.5842,-6.0963,-9.0461,0.7395,0.1661,0.2009,4,3,3,2
7,12,dni,Slovenian,NOUN,162,no,2.6083,-2.0333,2.3911,0.5491,0.3376,0.7299,5,4,3,2
8,13,po,Slovenian,ADP,17,no,-0.517,-4.1649,-2.2757,0.3994,0.2476,0.514,2,1,1,1
9,14,tem,Slovenian,DET,42,no,3.7388,-1.5677,-0.9986,0.6032,0.3573,0.5731,5,4,3,2
10,15,ko,Slovenian,SCONJ,21,no,4.7052,-2.5587,-0.898,0.6495,0.3154,0.5778,5,4,3,2
11,17,da,Slovenian,SCONJ,6,no,7.5967,-4.3651,-7.3747,0.788,0.2391,0.2782,4,3,3,2
12,18,me,Slovenian,PRON,134,no,-8.2135,-0.8755,-0.3217,0.0307,0.3865,0.6044,1,1,1,1
13,23,v,Slovenian,ADP,2,no,2.3946,-7.2298,-5.6199,0.5388,0.1182,0.3594,4,3,3,2
14,2071,delu,Slovenian,NOUN,119,no,3.4319,0.3869,-0.3694,0.5885,0.4398,0.6022,5,4,3,2
15,25,bila,Slovenian,VERB,310,no,-2.149,-2.7156,0.1056,0.3212,0.3088,0.6242,2,1,1,1
16,29,ob,Slovenian,ADP,36,no,-1.5545,-3.1669,-0.7928,0.3497,0.2897,0.5826,2,1,1,1
17,4128,vlade,Slovenian,NOUN,368,no,-3.8041,-3.8897,1.3632,0.2419,0.2592,0.6823,2,1,1,1
18,34,bi,Slovenian,AUX,11,no,2.7671,-1.5423,-3.8455,0.5567,0.3583,0.4415,5,4,3,2
19,35,jo,Slovenian,PRON,40,no,-0.8998,1.872,-1.9145,0.381,0.5025,0.5308,5,4,3,2
20,39,prišlo,Slovenian,VERB,321,no,4.6312,0.654,-0.1929,0.646,0.4511,0.6104,5,4,3,2
21,40,do,Slovenian,ADP,33,no,-0.5633,-4.1865,-1.1066,0.3971,0.2467,0.5681,2,1,1,1
22,42,in,Slovenian,CCONJ,3,no,10.7533,-9.025,-12.8409,0.9392,0.0424,0.0254,4,3,3,2
23,4139,konec,Slovenian,NOUN,266,no,-7.407,0.944,-1.0632,0.0693,0.4633,0.5701,1,1,1,1
24,44,tega,Slovenian,DET,51,no,4.1727,-2.8662,0.5793,0.624,0.3024,0.6461,5,4,3,2
25,45,sploh,Slovenian,PART,107,no,3.7964,5.2827,0.134,0.606,0.6465,0.6255,3,2,2,2
26,46,nisem,Slovenian,AUX,183,no,-1.6924,1.3877,-2.5004,0.3431,0.4821,0.5037,5,4,3,2
27,8235,okoli,Slovenian,ADP,331,no,-7.8614,-0.2671,-0.7012,0.0476,0.4122,0.5869,1,1,1,1
28,48,kaj,Slovenian,ADV,415,no,3.2926,-0.4022,-2.4828,0.5818,0.4065,0.5045,5,4,3,2
29,49,šele,Slovenian,PART,100,no,-2.3398,-1.4744,-0.072,0.3121,0.3612,0.616,2,1,1,1
30,51,dne,Slovenian,NOUN,278,no,-1.2024,-2.7559,0.6484,0.3665,0.3071,0.6493,2,1,1,1
31,52,iz,Slovenian,ADP,25,no,-1.1967,-5.287,-0.4647,0.3668,0.2002,0.5978,2,1,1,1
32,4147,zvezi,Slovenian,NOUN,473,no,-0.839,0.1186,1.9667,0.3839,0.4285,0.7102,5,4,3,2
33,55,za,Slovenian,ADV,409,no,4.3708,-7.6034,-6.3548,0.6335,0.1024,0.3254,4,3,3,2
34,4156,2000,Slovenian,NUM,262,no,2.3263,1.8012,3.0341,0.5356,0.4995,0.7596,5,4,3,2
35,61,med,Slovenian,ADP,38,no,-1.7592,-4.146,0.9674,0.3399,0.2484,0.664,2,1,1,1
36,64,so,Slovenian,VERB,139,no,0.3829,-2.7718,-2.4228,0.4425,0.3064,0.5072,2,1,1,1
37,68,bistveno,Slovenian,ADV,408,no,-5.9468,-1.4996,-0.0566,0.1393,0.3601,0.6167,2,1,1,1
