,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
36,75,i,Swedish,ADP,1,no,-3.7365,13.0997,9.8165,0.216,0.9468,0.8706,0.5222,-14.8196,8.3513,2,2,2,2,in
20,37,och,Swedish,CCONJ,2,no,-3.7488,12.3736,9.1717,0.2155,0.9223,0.8389,0.7094,-14.0418,7.7101,2,2,2,2,and
23,42,på,Swedish,ADP,3,no,-2.4226,11.4923,8.2152,0.2719,0.8926,0.7919,-0.3362,-12.8094,6.6839,2,2,2,2,on
0,3,av,Swedish,ADP,6,no,-1.3071,7.4956,3.9337,0.3194,0.7579,0.5814,-0.4406,-8.0281,3.07,2,2,2,2,of
45,98,till,Swedish,ADP,9,no,-2.1268,7.8729,5.8588,0.2845,0.7706,0.6761,0.1412,-8.8282,5.0411,2,2,2,2,to
50,111,med,Swedish,ADP,12,no,-3.744,9.1759,7.0547,0.2157,0.8145,0.7348,1.4249,-10.5817,6.0076,2,2,2,2,with
6,15,att,Swedish,SCONJ,13,no,-2.6664,3.3963,3.7355,0.2615,0.6197,0.5717,1.6476,-4.2573,3.3247,5,4,3,2,to
10,20,att,Swedish,SCONJ,13,no,-0.2112,0.8903,2.5568,0.366,0.5352,0.5137,-0.2834,-1.0569,2.4777,3,3,3,2,to
62,141,kan,Swedish,AUX,14,no,0.4439,1.0681,2.485,0.3939,0.5412,0.5102,-0.9646,-1.132,2.2954,3,3,3,2,can
90,198,inte,Swedish,PART,17,no,-1.4978,4.4603,3.9579,0.3113,0.6556,0.5826,0.2963,-5.0983,3.4194,5,4,3,2,not
30,66,eller,Swedish,CCONJ,20,no,-1.8358,4.4802,2.6394,0.2969,0.6562,0.5178,0.7413,-5.0167,2.2129,5,4,3,2,or
147,373,du,Swedish,PRON,22,no,-1.9833,1.8498,2.5404,0.2906,0.5676,0.5129,1.3072,-2.4057,2.3208,5,4,3,2,you
