,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,bayan,Turkish,NOUN,139,no,5.3345,-6.4933,-3.0043,0.6377,0.3128,0.3696,1,1,1,1
1,10,geçen,Turkish,ADJ,129,no,1.9331,-3.9618,-3.0932,0.4717,0.4029,0.3646,4,4,3,2
2,2059,değer,Turkish,NOUN,201,no,-2.0294,0.1015,2.2061,0.2784,0.5475,0.661,5,4,3,2
3,11,yıl,Turkish,NOUN,70,no,-4.3965,5.5591,-2.2536,0.1629,0.7418,0.4116,3,3,3,2
4,2062,içeriyor,Turkish,VERB,258,no,4.3197,0.4903,-1.4543,0.5882,0.5614,0.4563,1,1,1,1
5,15,adet,Turkish,NOUN,284,no,0.3853,1.783,0.2334,0.3962,0.6074,0.5507,5,4,3,2
6,19,inc.,Turkish,PROPN,257,no,0.4286,1.0281,5.6948,0.3983,0.5805,0.8561,5,4,3,2
7,20,3,Turkish,NUM,193,no,-1.918,1.4588,1.6929,0.2838,0.5958,0.6323,5,4,3,2
8,2039,wall,Turkish,PROPN,407,no,8.4744,-2.8095,-0.5008,0.7909,0.4439,0.5096,1,1,1,1
9,23,bir,Turkish,ADJ,266,no,-0.9349,2.0254,-2.8214,0.3318,0.616,0.3798,5,4,3,2
10,26,7,Turkish,NUM,402,no,5.2069,-2.579,-3.0828,0.6314,0.4521,0.3652,1,1,1,1
11,2074,yatırım,Turkish,NOUN,182,no,1.3794,2.1048,2.4618,0.4447,0.6188,0.6753,5,4,3,2
12,28,seviyesinden,Turkish,NOUN,463,no,1.3514,-0.657,-1.6104,0.4433,0.5205,0.4475,4,4,3,2
13,29,10,Turkish,NUM,101,no,-0.1633,1.7422,-1.9801,0.3694,0.6059,0.4269,4,4,3,2
14,32,yeni,Turkish,ADJ,27,no,0.3621,2.9648,0.2899,0.3951,0.6494,0.5538,5,4,3,2
15,33,oran,Turkish,NOUN,346,no,-6.2836,-8.2853,0.7326,0.0708,0.249,0.5786,2,2,2,2
16,34,15,Turkish,NUM,334,no,0.462,0.6565,0.3674,0.3999,0.5673,0.5582,4,4,3,2
17,2083,faiz,Turkish,NOUN,157,no,-1.0951,-2.2876,-0.0338,0.324,0.4625,0.5357,4,4,3,2
18,38,bir,Turkish,ADJ,266,no,-7.3848,12.8143,-9.6131,0.0171,1.0,0.0,3,3,3,2
19,41,henüz,Turkish,ADV,256,no,0.0573,-2.6056,0.0997,0.3802,0.4512,0.5432,2,2,2,2
20,47,gerçekten,Turkish,ADV,417,no,-0.2846,-3.2634,1.3346,0.3635,0.4277,0.6122,2,2,2,2
21,48,bu,Turkish,PRON,14,no,-4.2184,8.1439,-5.9417,0.1716,0.8338,0.2053,3,3,3,2
22,50,pek,Turkish,ADV,329,no,1.9837,-0.3034,-0.0721,0.4742,0.5331,0.5336,5,4,3,2
23,58,bay,Turkish,NOUN,7,no,7.5336,0.1222,1.4732,0.745,0.5482,0.62,1,1,1,1
24,61,şekilde,Turkish,NOUN,26,no,-5.791,3.6096,-2.796,0.0949,0.6724,0.3812,3,3,3,2
25,66,bazıları,Turkish,PRON,197,no,5.3428,1.2848,0.3047,0.6381,0.5896,0.5546,1,1,1,1
26,2116,zaman,Turkish,NOUN,192,no,-4.1737,1.0859,2.2828,0.1738,0.5826,0.6653,5,4,3,2
27,72,daha,Turkish,ADV,6,no,-1.0409,5.2789,-3.7019,0.3266,0.7318,0.3306,3,3,3,2
28,81,tam,Turkish,ADJ,340,no,-2.5049,-3.6695,1.8145,0.2552,0.4133,0.6391,2,2,2,2
29,82,ve,Turkish,CCONJ,2,no,-7.7357,12.3783,-7.5922,0.0,0.9845,0.113,3,3,3,2
30,6235,önce,Turkish,ADP,343,no,1.7832,-2.6603,-2.3605,0.4644,0.4492,0.4056,4,4,3,2
31,92,için,Turkish,ADP,4,no,-2.4303,7.6875,-5.0035,0.2588,0.8175,0.2578,3,3,3,2
32,2139,yen,Turkish,NOUN,414,no,-1.7001,-0.8936,-3.8865,0.2945,0.5121,0.3203,4,4,3,2
33,96,üzerine,Turkish,ADV,231,no,-0.5498,-0.7966,0.4272,0.3506,0.5155,0.5615,5,4,3,2
34,97,bile,Turkish,ADV,66,no,1.8626,1.1291,-1.7693,0.4683,0.5841,0.4387,5,4,3,2
35,100,bunun,Turkish,PRON,81,no,3.1577,1.6012,-0.0186,0.5315,0.6009,0.5366,5,4,3,2
36,2151,tahmin,Turkish,NOUN,171,no,-1.8751,-1.3162,2.0794,0.2859,0.4971,0.6539,5,4,3,2
37,104,olması,Turkish,NOUN,431,no,5.63,1.8111,0.575,0.6521,0.6084,0.5698,1,1,1,1
38,107,bu,Turkish,PRON,14,no,-2.8501,3.7848,-3.8555,0.2384,0.6786,0.322,3,3,3,2
39,114,ne,Turkish,PRON,186,no,-2.6146,-2.9182,-2.0037,0.2498,0.44,0.4256,4,4,3,2
40,115,var,Turkish,ADJ,17,no,-3.533,5.2622,-3.8911,0.205,0.7312,0.32,3,3,3,2
41,2164,ulaşılamadı,Turkish,VERB,255,no,5.565,2.0739,2.8032,0.6489,0.6177,0.6944,1,1,1,1
42,119,mi,Turkish,AUX,361,no,5.1614,0.4067,1.7104,0.6292,0.5584,0.6333,1,1,1,1
43,120,gösteriyor,Turkish,VERB,187,no,-2.9343,0.7276,2.0953,0.2342,0.5698,0.6548,5,4,3,2
44,2169,benzer,Turkish,ADJ,311,no,0.668,-1.4821,1.6626,0.41,0.4911,0.6306,5,4,3,2
45,122,new,Turkish,PROPN,41,no,0.6566,3.6168,0.434,0.4094,0.6726,0.5619,5,4,3,2
46,6269,içerisinde,Turkish,NOUN,459,no,-0.9577,-3.5012,-1.2071,0.3307,0.4193,0.4701,2,2,2,2
47,132,hiç,Turkish,ADV,260,no,-5.2894,-6.7856,1.9257,0.1194,0.3024,0.6453,2,2,2,2
48,133,de,Turkish,CCONJ,9,no,-1.2501,6.7051,-0.8404,0.3164,0.7826,0.4906,3,3,3,2
49,6277,yen'e,Turkish,PROPN,413,no,1.8321,-3.0738,-2.7424,0.4668,0.4345,0.3842,4,4,3,2
50,135,olmayan,Turkish,ADJ,475,no,7.8162,0.93,1.2027,0.7587,0.577,0.6049,1,1,1,1
51,2184,çok,Turkish,ADJ,56,no,-3.704,-0.1085,-2.3553,0.1967,0.54,0.4059,5,4,3,2
52,138,yönelik,Turkish,ADP,60,no,7.9323,1.4892,2.1161,0.7644,0.5969,0.656,1,1,1,1
53,140,da,Turkish,CCONJ,8,no,-2.3066,6.8448,-2.4646,0.2649,0.7875,0.3998,3,3,3,2
54,141,güçlü,Turkish,ADJ,218,no,2.8345,-0.2905,0.3321,0.5157,0.5336,0.5562,1,1,1,1
55,142,bir,Turkish,ADJ,266,no,4.1344,0.052,-0.1314,0.5791,0.5458,0.5303,1,1,1,1
56,2196,yapmayı,Turkish,NOUN,313,no,6.4423,0.3084,0.1458,0.6917,0.5549,0.5458,1,1,1,1
57,151,konusunda,Turkish,NOUN,95,no,-2.4483,-0.0111,0.8529,0.258,0.5435,0.5853,5,4,3,2
58,6310,yen'den,Turkish,PROPN,456,no,0.0321,-3.5487,-2.7165,0.379,0.4176,0.3857,4,4,3,2
59,4265,başkanı,Turkish,NOUN,176,no,-5.1187,2.0669,0.9348,0.1277,0.6175,0.5899,5,4,3,2
60,172,olan,Turkish,ADJ,38,no,-0.63,5.6618,-1.2377,0.3467,0.7454,0.4684,3,3,3,2
61,177,mali,Turkish,ADJ,124,no,-2.1546,1.2299,2.3242,0.2723,0.5877,0.6676,5,4,3,2
62,4280,oluyor,Turkish,VERB,220,no,-2.6833,-0.5933,2.2872,0.2465,0.5228,0.6655,5,4,3,2
63,191,yaptı,Turkish,VERB,287,no,-3.3925,-1.2001,1.1793,0.2119,0.5012,0.6036,5,4,3,2
64,193,menkul,Turkish,ADJ,238,no,8.3783,-2.8123,-0.8824,0.7862,0.4438,0.4883,1,1,1,1
65,194,kıymetler,Turkish,NOUN,82,no,-1.2548,4.3085,4.2133,0.3162,0.6973,0.7732,5,4,3,2
66,196,tüm,Turkish,DET,71,no,-0.4955,1.2308,3.1529,0.3532,0.5877,0.7139,5,4,3,2
67,201,her,Turkish,DET,37,no,-3.2573,-1.2074,-0.7193,0.2185,0.5009,0.4974,5,4,3,2
