,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
13,38,на,Ukrainian,ADP,2,no,7.104,-10.5315,11.4914,0.9387,0.0,1.0,0.616,-14.7757,8.8142,1,1,1,1,on
2,1,у,Ukrainian,ADP,3,no,2.9608,-7.512,6.1415,0.7223,0.1324,0.7165,-1.0427,-9.4879,3.8937,1,1,1,1,in
15,44,з,Ukrainian,ADP,4,no,2.7422,-7.2343,4.9134,0.7109,0.1446,0.6514,-0.8993,-8.5381,2.8143,1,1,1,1,with
43,105,не,Ukrainian,PART,5,no,7.9456,-8.0907,10.0662,0.9827,0.107,0.9245,2.3575,-12.5765,8.1484,1,1,1,1,not
57,176,в,Ukrainian,ADP,6,no,3.6606,-8.4514,6.451,0.7589,0.0912,0.7329,-0.7853,-10.5599,4.014,1,1,1,1,in
32,80,до,Ukrainian,ADP,8,no,3.1519,-6.9182,5.2643,0.7323,0.1584,0.67,-0.5583,-8.5396,3.2426,1,1,1,1,to
109,383,він,Ukrainian,PRON,11,no,2.7327,-2.2195,4.749,0.7104,0.3644,0.6427,0.582,-4.225,3.9571,1,1,1,1,he
27,66,за,Ukrainian,ADP,12,no,2.8822,-3.6572,3.4784,0.7182,0.3014,0.5754,0.7044,-5.2493,2.2828,1,1,1,1,by
183,677,ми,Ukrainian,PRON,13,no,1.1787,-3.3867,3.1665,0.6292,0.3133,0.5588,-0.7281,-4.2119,1.8765,1,1,1,1,we
123,419,я,Ukrainian,PRON,14,no,2.8469,-0.5993,3.6154,0.7164,0.4355,0.5826,1.6339,-2.5211,3.2531,1,1,1,1,I
158,560,й,Ukrainian,CCONJ,19,no,4.5729,-4.3844,3.5405,0.8065,0.2695,0.5786,2.0005,-6.4277,2.3956,1,1,1,1,and
9,25,й,Ukrainian,CCONJ,19,no,-0.1837,-0.9775,1.6178,0.5581,0.4189,0.4768,-0.8701,-1.1988,0.8866,4,4,3,2,and
143,499,для,Ukrainian,ADP,20,no,1.1318,-5.0164,2.6042,0.6268,0.2418,0.529,-1.1214,-5.3421,0.9773,1,1,1,1,for
8,19,від,Ukrainian,ADP,21,no,-0.9212,-3.0101,1.7274,0.5196,0.3298,0.4826,-2.2615,-2.7526,0.4344,1,1,1,1,from
44,109,про,Ukrainian,ADP,22,no,1.7193,-3.0335,0.9789,0.6575,0.3288,0.4429,0.3819,-3.631,0.0162,2,2,1,1,about
23,61,вона,Ukrainian,PRON,23,no,2.3125,-1.1081,-0.4251,0.6885,0.4132,0.3685,1.9945,-1.6385,-0.5983,2,2,1,1,she
141,497,але,Ukrainian,CCONJ,25,no,4.2172,-1.5577,2.8607,0.7879,0.3935,0.5426,2.5894,-3.7456,2.5709,1,1,1,1,but
17,53,і,Ukrainian,PART,26,no,7.4078,-8.9389,9.6818,0.9546,0.0698,0.9041,1.7143,-13.0039,7.4585,1,1,1,1,and
19,56,і,Ukrainian,PART,26,no,4.2333,-4.5499,4.005,0.7888,0.2623,0.6033,1.4562,-6.5407,2.6853,1,1,1,1,and
34,83,вони,Ukrainian,PRON,27,no,2.1295,0.8682,1.249,0.6789,0.4998,0.4572,1.9157,-0.2508,1.778,2,2,1,1,they
285,1131,його,Ukrainian,DET,30,no,-2.7423,-6.0289,-0.1114,0.4245,0.1974,0.3851,-4.2486,-4.0862,-2.2815,2,2,1,1,him
130,473,його,Ukrainian,DET,30,no,-1.2739,-2.5419,-4.0446,0.5012,0.3503,0.1767,-1.0514,-0.5305,-4.72,4,4,3,2,him
55,160,навіть,Ukrainian,PART,31,no,2.2609,-1.2665,0.5382,0.6858,0.4062,0.4195,1.4357,-2.0875,0.1482,2,2,1,1,even
172,621,під,Ukrainian,ADP,32,no,-2.5804,0.6354,1.5601,0.4329,0.4896,0.4737,-2.6545,1.1907,1.1337,4,4,3,2,under
152,527,по,Ukrainian,ADP,35,no,0.1812,-1.4703,-0.8713,0.5772,0.3973,0.3448,-0.1888,-1.0925,-1.3809,4,4,3,2,on
106,373,йому,Ukrainian,PRON,37,no,-0.205,1.0834,1.0846,0.557,0.5093,0.4485,-0.0533,0.8267,1.1975,4,4,3,2,him
218,2897,або,Ukrainian,CCONJ,38,no,-2.7352,-1.8532,1.2554,0.4248,0.3805,0.4575,-3.4568,-0.8892,0.1065,5,4,3,2,or
155,548,вже,Ukrainian,ADV,39,no,2.2139,0.0272,1.891,0.6833,0.463,0.4912,1.5194,-1.3236,1.734,2,2,1,1,already
131,474,можна,Ukrainian,ADV,40,no,7.7642,-5.3775,6.0081,0.9732,0.226,0.7094,3.8853,-9.1158,5.0761,1,1,1,1,you can
163,583,де,Ukrainian,ADV,41,no,4.3441,-1.1603,1.1902,0.7946,0.4109,0.4541,3.3285,-2.9729,1.0205,2,2,1,1,where
87,320,тоді,Ukrainian,ADV,42,no,4.1337,-2.9493,0.5368,0.7836,0.3324,0.4195,2.6579,-4.2301,-0.2638,2,2,1,1,then
296,3244,каже,Ukrainian,VERB,43,no,4.5638,-5.7481,3.1444,0.806,0.2097,0.5577,1.6789,-7.4942,1.576,1,1,1,1,says
193,733,із,Ukrainian,ADP,44,no,-1.5915,-0.4124,-0.2748,0.4846,0.4437,0.3765,-1.546,0.305,-0.6471,4,4,3,2,from
197,767,час,Ukrainian,NOUN,46,no,4.7118,-2.647,0.965,0.8138,0.3457,0.4422,3.1687,-4.5183,0.7354,1,1,1,1,time
10,27,ж,Ukrainian,PART,47,no,2.1956,-5.5988,1.9236,0.6824,0.2163,0.493,-0.256,-6.1689,0.1766,1,1,1,1,same
82,296,бо,Ukrainian,SCONJ,48,no,3.8636,-0.1885,1.9638,0.7695,0.4535,0.4951,2.991,-2.1524,1.9042,1,1,1,1,for
104,370,дуже,Ukrainian,ADV,49,no,2.6861,0.8434,-2.1852,0.708,0.4987,0.2752,3.1073,0.3245,-1.3241,2,2,1,1,very
299,3263,кілька,Ukrainian,DET,51,no,-0.8223,-1.8035,-1.9283,0.5247,0.3827,0.2888,-0.9699,-0.6708,-2.525,4,4,3,2,sprat
260,1021,через,Ukrainian,ADP,52,no,0.7216,-0.4409,1.5082,0.6054,0.4424,0.4709,0.2164,-1.0185,1.1361,4,4,3,2,by
153,541,там,Ukrainian,ADV,53,no,3.8064,-1.385,3.5893,0.7665,0.401,0.5812,2.2464,-3.55,3.1651,1,1,1,1,there
168,593,їх,Ukrainian,PRON,55,no,-4.1326,-0.7253,-0.4807,0.3519,0.43,0.3655,-4.0072,1.1175,-1.4039,4,4,3,2,their
213,829,було,Ukrainian,VERB,56,no,8.2778,-5.3891,8.4361,1.0,0.2255,0.8381,3.8793,-9.9655,7.5091,1,1,1,1,was
62,204,було,Ukrainian,VERB,56,no,2.7626,-2.1926,-0.4375,0.712,0.3656,0.3678,1.9662,-2.8691,-0.7849,2,2,1,1,was
230,896,нас,Ukrainian,PRON,58,no,5.7421,0.525,0.2459,0.8676,0.4848,0.404,5.306,-2.0682,1.0115,2,2,1,1,us
346,1397,які,Ukrainian,DET,59,no,3.9888,4.4969,0.5932,0.776,0.6589,0.4225,4.7347,2.0362,2.3953,3,3,2,2,which
40,97,лише,Ukrainian,PART,60,no,3.0626,-2.7173,-1.1155,0.7276,0.3426,0.3319,2.0542,-3.1515,-1.5178,2,2,1,1,only
42,104,що,Ukrainian,PRON,61,no,5.8178,-3.8144,7.1874,0.8715,0.2945,0.7719,2.4029,-7.4004,6.3454,1,1,1,1,what
112,389,що,Ukrainian,PRON,61,no,3.1886,-2.066,3.1046,0.7342,0.3712,0.5555,1.444,-3.8131,2.4766,1,1,1,1,what
110,387,мене,Ukrainian,PRON,64,no,4.0791,3.9823,2.488,0.7807,0.6364,0.5229,4.5025,0.8892,3.7954,3,3,2,2,me
425,1778,ти,Ukrainian,PRON,65,no,2.1274,2.859,2.2727,0.6788,0.5871,0.5115,2.5854,1.252,3.0062,3,3,2,2,you
201,796,перед,Ukrainian,ADP,67,no,-4.1877,-1.8418,0.3395,0.349,0.381,0.409,-4.4233,-0.0633,-0.9058,5,4,3,2,before
76,262,всі,Ukrainian,DET,68,no,1.8682,-0.8493,-1.0768,0.6653,0.4245,0.334,1.6784,-1.1178,-1.052,2,2,1,1,all
93,351,тільки,Ukrainian,PART,69,no,4.8328,-0.7722,0.0386,0.8201,0.4279,0.3931,4.2044,-2.5412,0.043,2,2,1,1,only
