,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
30,54,نے,Urdu,ADP,3,no,6.852,-3.0932,-1.6762,0.832,0.5381,0.5659,-4.7811,-5.7849,1.12,5,4,3,2,by
16,24,کو,Urdu,ADP,5,no,6.0349,-4.2204,-4.2466,0.7931,0.4988,0.4458,-3.7328,-6.524,3.788,5,4,3,2,To
13,21,اور,Urdu,CCONJ,6,no,3.8537,-7.2341,-5.1195,0.6895,0.3936,0.4049,-0.658,-8.4621,4.6458,5,4,3,2,And
12,19,مےں,Urdu,ADP,8,no,5.7514,-3.1438,-3.3484,0.7797,0.5364,0.4877,-3.9072,-5.3908,2.9535,5,4,3,2,i
58,101,کہ,Urdu,SCONJ,9,no,0.1608,-2.0351,-2.5197,0.5139,0.5751,0.5265,0.4438,-2.0043,2.5591,5,4,3,2,That
8,16,کا,Urdu,ADP,10,no,5.0424,-4.2792,-3.0859,0.746,0.4967,0.5,-2.8113,-6.1467,2.6551,5,4,3,2,of
61,104,پر,Urdu,ADP,11,no,5.1481,-3.3352,-2.7359,0.751,0.5297,0.5164,-3.255,-5.2536,2.395,5,4,3,2,On
89,158,میں,Urdu,ADP,12,no,5.2901,-2.1533,-2.4256,0.7577,0.571,0.5309,-3.8436,-4.2083,2.103,5,4,3,2,I
56,99,کیا,Urdu,VERB,14,no,8.2335,-16.4814,-12.2164,0.8976,0.0707,0.0731,-0.8865,-19.33,10.6534,3,3,3,2,what
177,336,کہا,Urdu,VERB,15,no,4.4474,-7.8759,-4.2406,0.7177,0.3711,0.446,-0.6604,-9.0233,3.9228,5,4,3,2,said
49,85,بھی,Urdu,PART,16,no,5.0299,-3.129,-2.9548,0.7454,0.5369,0.5061,-3.2821,-5.0334,2.6326,5,4,3,2,too
127,245,لیے,Urdu,ADP,18,no,3.6962,-1.7594,-0.8799,0.682,0.5847,0.6031,-2.5649,-3.1095,0.6884,5,4,3,2,Took
57,100,گیا,Urdu,AUX,19,no,-4.797,1.1417,-1.217,0.2783,0.686,0.5874,3.5197,2.8977,1.5044,2,2,2,2,went
73,129,نہیں,Urdu,PART,21,no,-0.4525,-2.0843,-1.6397,0.4848,0.5734,0.5676,1.1133,-1.7076,1.7231,5,4,3,2,no
27,50,کرنے,Urdu,VERB,22,no,6.1791,-11.8228,-7.5458,0.8,0.2333,0.2915,-0.7418,-13.8037,6.4209,3,3,3,2,to do
43,77,اس,Urdu,PRON,24,no,1.5102,-5.2127,-1.1082,0.5781,0.4641,0.5925,0.8709,-5.3442,1.0043,5,4,3,2,This
21,30,اس,Urdu,PRON,24,no,5.8348,0.3888,-1.7613,0.7836,0.6597,0.5619,-5.4228,-2.1619,1.4777,1,1,1,1,This
18,26,ہو,Urdu,VERB,25,no,6.8604,-12.952,-7.5055,0.8324,0.1939,0.2934,-0.7692,-15.0245,6.3218,3,3,3,2,be
3,8,اےک,Urdu,NUM,26,no,5.2555,-3.4088,0.7545,0.7561,0.5271,0.6796,-3.1851,-5.4054,-1.6377,5,4,3,2,one
74,130,کی,Urdu,VERB,27,no,5.9524,-11.2368,-7.0427,0.7892,0.2538,0.315,-0.7203,-13.0445,5.9884,3,3,3,2,Of
6,13,کی,Urdu,VERB,27,no,5.6471,-6.8641,-5.0912,0.7747,0.4065,0.4063,-2.3352,-8.8593,4.5165,5,4,3,2,Of
240,546,تھا,Urdu,AUX,28,no,-2.3991,-0.621,0.0271,0.3923,0.6245,0.6456,2.29,0.4083,0.1582,4,4,3,2,was
166,315,کرتے,Urdu,VERB,29,no,4.794,-8.4154,-4.0329,0.7342,0.3523,0.4557,-0.6061,-9.5171,3.7329,5,4,3,2,would do
214,447,وہ,Urdu,PRON,30,no,-0.7992,-1.5328,-0.9845,0.4683,0.5926,0.5983,1.2102,-1.0432,1.167,5,4,3,2,They
253,612,انہوں,Urdu,PRON,33,no,-5.7147,1.3986,-2.0357,0.2347,0.695,0.5491,4.3219,3.5726,2.3433,2,2,2,2,He
42,76,ہے,Urdu,VERB,35,no,4.2103,-7.1222,-4.3997,0.7064,0.3975,0.4386,-0.8701,-8.3347,4.0286,5,4,3,2,Is
20,28,ہے,Urdu,VERB,35,no,1.6789,-3.0344,-1.8436,0.5861,0.5402,0.5581,-0.3421,-3.4398,1.8005,5,4,3,2,Is
244,570,ایک,Urdu,NUM,36,no,5.2234,1.0528,-0.3028,0.7546,0.6829,0.6301,-5.1925,-1.3572,-0.0139,1,1,1,1,one
87,155,مسٹر,Urdu,PART,37,no,6.0589,1.833,1.4738,0.7943,0.7101,0.7132,-6.1617,-1.0493,-1.9236,1,1,1,1,Mr
102,191,پی,Urdu,PROPN,38,no,1.4273,-3.741,-0.7743,0.5741,0.5155,0.6081,0.3429,-3.8867,0.8277,5,4,3,2,P
199,386,جا,Urdu,AUX,39,no,-3.2706,1.9441,-1.6539,0.3508,0.714,0.567,1.8549,3.0233,1.9188,2,2,2,2,go by
93,166,جس,Urdu,PRON,40,no,0.5801,-3.3884,-1.0496,0.5339,0.5278,0.5952,0.8105,-3.3791,1.0104,5,4,3,2,Which
157,301,حکومت,Urdu,NOUN,41,no,-0.0074,-3.557,-0.4619,0.5059,0.5219,0.6227,1.527,-3.1795,0.4904,5,4,3,2,Government
165,311,اپنے,Urdu,PRON,42,no,5.6889,2.0308,-0.075,0.7767,0.7171,0.6408,-5.9052,-0.5809,-0.199,1,1,1,1,own
203,397,و,Urdu,CCONJ,43,no,6.4967,0.6022,1.8209,0.8151,0.6672,0.7294,-5.8459,-2.0988,-2.1614,1,1,1,1,And
314,849,حاصل,Urdu,NOUN,45,no,-4.1018,-0.0673,-1.8126,0.3113,0.6438,0.5595,3.4408,1.5616,2.0244,2,2,2,2,get
270,667,پولیس,Urdu,NOUN,46,no,-0.5586,-3.9231,-0.1141,0.4797,0.5092,0.639,2.1722,-3.276,0.0699,5,4,3,2,The police
92,165,تھی,Urdu,AUX,47,no,-2.5764,0.1562,0.3647,0.3838,0.6516,0.6613,2.1824,1.2384,-0.1125,4,4,3,2,was
