,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,2051,ἔσχε,Ancient_Greek,VERB,275,no,3.5533,-1.436,-0.1384,0.2843,0.0455,0.1487,5,4,3,2
1,2052,ἀθήνας,Ancient_Greek,PROPN,294,no,-2.2969,0.8004,-0.7108,0.0945,0.1816,0.088,2,2,2,2
2,6,ὡς,Ancient_Greek,ADV,37,no,2.0994,-0.6716,-1.1303,0.2371,0.092,0.0434,5,4,3,2
3,8,τὰ,Ancient_Greek,PRON,64,no,3.0425,0.0299,-0.9543,0.2677,0.1347,0.0621,5,4,3,2
4,10,ἐξ,Ancient_Greek,ADP,69,no,-1.4758,0.2347,-1.1961,0.1211,0.1472,0.0364,2,2,2,2
5,11,ἀνθρώπων,Ancient_Greek,NOUN,180,no,0.8443,-0.5672,-0.5056,0.1964,0.0983,0.1098,3,3,3,2
6,12,τῷ,Ancient_Greek,PRON,79,no,-0.5402,0.2144,-0.2902,0.1515,0.1459,0.1326,3,3,3,2
7,13,χρόνῳ,Ancient_Greek,NOUN,356,no,-0.3488,0.0125,-0.5182,0.1577,0.1336,0.1084,3,3,3,2
8,15,γένηται,Ancient_Greek,VERB,354,no,4.5635,1.2485,0.0395,0.3171,0.2089,0.1676,4,4,3,2
9,8208,ἀρισταγόρης,Ancient_Greek,PROPN,421,no,-3.0436,1.2293,-0.4151,0.0703,0.2077,0.1194,2,2,2,2
10,17,μεγάλα,Ancient_Greek,ADJ,235,no,0.7936,-1.2836,0.153,0.1948,0.0547,0.1797,3,3,3,2
11,18,τε,Ancient_Greek,ADV,462,no,10.6141,2.1722,0.3703,0.5134,0.2651,0.2028,1,1,1,1
12,19,καὶ,Ancient_Greek,NUM,293,no,25.6114,14.2479,3.1926,1.0,1.0,0.5024,1,1,1,1
13,2066,τῇ,Ancient_Greek,ADV,323,no,-0.4569,-0.819,0.209,0.1542,0.083,0.1856,3,3,3,2
14,21,τὰ,Ancient_Greek,PRON,64,no,3.1787,-1.6761,0.252,0.2722,0.0309,0.1902,5,4,3,2
15,22,μὲν,Ancient_Greek,ADV,7,no,13.5674,5.7942,0.7731,0.6092,0.4855,0.2455,1,1,1,1
16,24,δὲ,Ancient_Greek,ADV,1,no,19.919,9.5216,2.2213,0.8153,0.7124,0.3993,1,1,1,1
17,28,τά,Ancient_Greek,DET,456,no,-3.3662,-1.0366,7.6725,0.0598,0.0698,0.9781,3,3,3,2
18,29,ἄλλα,Ancient_Greek,DET,479,no,1.6659,-1.9549,0.9011,0.2231,0.0139,0.2591,3,3,3,2
19,30,δι’,Ancient_Greek,ADP,246,no,-2.329,0.3552,0.9626,0.0935,0.1545,0.2656,3,3,3,2
20,35,περσέων,Ancient_Greek,NOUN,95,no,3.3292,-1.0477,-0.2165,0.277,0.0691,0.1404,5,4,3,2
21,36,μέν,Ancient_Greek,ADV,48,no,2.626,-1.6115,-0.2842,0.2542,0.0348,0.1333,5,4,3,2
22,37,νυν,Ancient_Greek,ADV,52,no,1.7498,-1.954,-0.0488,0.2258,0.0139,0.1583,5,4,3,2
23,38,οἱ,Ancient_Greek,PRON,28,no,2.4439,1.9498,-0.1935,0.2483,0.2515,0.1429,4,4,3,2
24,2087,ἄστυ,Ancient_Greek,NOUN,383,no,-1.1549,0.2312,-1.2245,0.1316,0.1469,0.0334,2,2,2,2
25,42,φασὶ,Ancient_Greek,VERB,410,no,2.7133,-1.5454,0.1111,0.2571,0.0388,0.1752,5,4,3,2
26,43,γενέσθαι,Ancient_Greek,VERB,81,no,8.0494,2.518,0.3789,0.4302,0.2861,0.2037,4,4,3,2
27,44,τῆς,Ancient_Greek,PRON,442,no,-0.3931,0.6852,-1.3637,0.1563,0.1746,0.0186,3,3,3,2
28,46,τούτους,Ancient_Greek,ADJ,110,no,1.3128,-1.4027,-0.3983,0.2116,0.0475,0.1211,5,4,3,2
29,47,γὰρ,Ancient_Greek,ADV,17,no,5.873,-0.4219,-0.0143,0.3596,0.1072,0.1619,5,4,3,2
30,48,ἀπὸ,Ancient_Greek,ADP,38,no,1.0823,0.4309,-0.8843,0.2041,0.1591,0.0695,5,4,3,2
31,2095,τρόπῳ,Ancient_Greek,NOUN,187,no,-3.0532,0.7576,1.0896,0.07,0.179,0.2791,3,3,3,2
32,51,θαλάσσης,Ancient_Greek,NOUN,285,no,-0.6706,-0.1177,-0.4795,0.1473,0.1257,0.1125,3,3,3,2
33,53,ἐπὶ,Ancient_Greek,ADP,20,no,4.7444,2.4238,-0.7284,0.323,0.2804,0.0861,4,4,3,2
34,2101,οἷα,Ancient_Greek,PRON,281,no,-1.1433,-1.1589,2.0371,0.1319,0.0623,0.3797,2,2,2,2
35,55,τὴν,Ancient_Greek,PRON,154,no,2.5614,-0.3765,-0.4903,0.2521,0.11,0.1114,5,4,3,2
36,2102,παίδων,Ancient_Greek,NOUN,327,no,-2.3641,0.5228,1.0224,0.0923,0.1647,0.272,3,3,3,2
37,56,θάλασσαν,Ancient_Greek,NOUN,211,no,-0.5046,0.0155,-1.4652,0.1527,0.1338,0.0079,3,3,3,2
38,58,τοῦτον,Ancient_Greek,ADJ,174,no,-1.1377,-0.7913,1.2649,0.1321,0.0847,0.2977,3,3,3,2
39,59,τὸν,Ancient_Greek,PRON,111,no,2.5679,0.0558,-0.8714,0.2523,0.1363,0.0709,5,4,3,2
40,60,χῶρον,Ancient_Greek,NOUN,264,no,-0.6266,-0.3942,0.2327,0.1487,0.1089,0.1881,3,3,3,2
41,61,τὸν,Ancient_Greek,PRON,111,no,-1.1492,-0.519,0.719,0.1317,0.1013,0.2398,3,3,3,2
42,62,νῦν,Ancient_Greek,ADV,58,no,0.5763,-1.0042,0.0725,0.1877,0.0718,0.1711,3,3,3,2
43,63,οἰκέουσι,Ancient_Greek,VERB,263,no,3.5042,-1.0953,-0.1466,0.2827,0.0662,0.1479,5,4,3,2
44,64,αὐτίκα,Ancient_Greek,ADV,224,no,-3.6619,1.5496,-0.0293,0.0502,0.2272,0.1603,2,2,2,2
45,2113,εἴτε,Ancient_Greek,CCONJ,425,no,-4.9396,3.5119,1.1391,0.0088,0.3466,0.2844,2,2,2,2
46,72,τῇ,Ancient_Greek,ADV,323,no,-2.9997,1.2123,-0.4173,0.0717,0.2067,0.1191,2,2,2,2
47,75,δὴ,Ancient_Greek,ADV,16,no,8.3308,0.6208,0.4996,0.4393,0.1706,0.2165,5,4,3,2
48,76,καὶ,Ancient_Greek,NUM,293,no,12.4689,4.6075,1.2115,0.5736,0.4133,0.2921,1,1,1,1
49,77,ἐς,Ancient_Greek,SCONJ,236,no,7.2071,3.9617,-0.5746,0.4029,0.374,0.1024,4,4,3,2
50,79,τὸ,Ancient_Greek,PRON,136,no,4.8449,0.6929,-0.5542,0.3262,0.175,0.1046,5,4,3,2
51,80,χρόνον,Ancient_Greek,NOUN,86,no,4.2052,-0.539,-0.2857,0.3055,0.1001,0.1331,5,4,3,2
52,83,τῶν,Ancient_Greek,PRON,73,no,2.8034,0.329,-1.0526,0.26,0.1529,0.0517,5,4,3,2
53,84,ἐν,Ancient_Greek,ADP,14,no,1.1226,0.1406,-0.9414,0.2055,0.1414,0.0635,5,4,3,2
54,2133,ὀπίσω,Ancient_Greek,ADV,161,no,-2.7686,1.3092,-0.3611,0.0792,0.2125,0.1251,2,2,2,2
55,2134,ἐνθαῦτα,Ancient_Greek,ADV,103,no,-1.6014,0.1869,-0.9831,0.1171,0.1442,0.059,2,2,2,2
56,89,τοῦτο,Ancient_Greek,DET,214,no,-1.0796,-0.7756,1.2809,0.134,0.0857,0.2994,3,3,3,2
57,2140,χρήματα,Ancient_Greek,NOUN,276,no,1.2055,-1.5368,0.7975,0.2081,0.0393,0.2481,3,3,3,2
58,93,ἢ,Ancient_Greek,ADV,169,no,-0.8593,-0.1823,-0.4567,0.1411,0.1218,0.1149,3,3,3,2
59,96,ἀπ’,Ancient_Greek,ADP,314,no,-2.2736,0.3879,1.0019,0.0953,0.1565,0.2698,3,3,3,2
60,2145,πολλῷ,Ancient_Greek,ADJ,242,no,-1.1273,-0.1669,-0.0991,0.1325,0.1227,0.1529,3,3,3,2
61,98,ἀπίκοντο,Ancient_Greek,VERB,282,no,4.6544,0.6189,0.4497,0.32,0.1705,0.2112,4,4,3,2
62,100,σφι,Ancient_Greek,PRON,30,no,2.1486,-0.6478,-1.1982,0.2387,0.0934,0.0362,5,4,3,2
63,102,πάντων,Ancient_Greek,ADJ,375,no,-1.2773,-0.5216,0.7058,0.1276,0.1011,0.2384,3,3,3,2
64,104,γυναῖκας,Ancient_Greek,NOUN,156,no,2.6634,-2.0982,0.8572,0.2554,0.0052,0.2545,3,3,3,2
65,2153,ἀνὴρ,Ancient_Greek,NOUN,212,no,1.0279,1.466,0.1962,0.2024,0.2221,0.1843,4,4,3,2
66,107,τοῦ,Ancient_Greek,PRON,278,no,-0.318,-0.0264,-0.4994,0.1587,0.1313,0.1104,3,3,3,2
67,108,βασιλέος,Ancient_Greek,NOUN,209,no,-1.1983,-0.7765,1.647,0.1301,0.0856,0.3383,3,3,3,2
68,109,θυγατέρα,Ancient_Greek,NOUN,269,no,2.8487,-1.353,0.1652,0.2615,0.0505,0.181,5,4,3,2
69,110,δέ,Ancient_Greek,ADV,40,no,1.4481,-0.9198,-1.1972,0.216,0.0769,0.0363,5,4,3,2
70,4207,ἅρπαγος,Ancient_Greek,PROPN,370,no,-1.7316,-0.0063,0.1982,0.1128,0.1325,0.1845,3,3,3,2
71,112,οὔνομα,Ancient_Greek,NOUN,53,no,1.1519,-0.3315,-0.7417,0.2064,0.1127,0.0847,5,4,3,2
72,111,οἱ,Ancient_Greek,PRON,28,no,5.1156,-1.0561,0.5338,0.335,0.0686,0.2201,5,4,3,2
73,113,εἶναι,Ancient_Greek,AUX,33,no,5.9926,0.3187,-0.2443,0.3635,0.1523,0.1375,5,4,3,2
74,114,κατὰ,Ancient_Greek,ADP,36,no,3.0324,0.105,-1.1854,0.2674,0.1393,0.0376,5,4,3,2
75,4209,παιδίον,Ancient_Greek,NOUN,371,no,-3.4593,1.8909,0.0755,0.0568,0.248,0.1715,2,2,2,2
76,118,λέγουσι,Ancient_Greek,VERB,72,no,7.1895,-0.1028,0.7497,0.4023,0.1266,0.243,5,4,3,2
77,2171,ἄλλοι,Ancient_Greek,ADJ,417,no,-0.1025,-1.5347,2.2406,0.1657,0.0395,0.4013,3,3,3,2
78,128,τῶν,Ancient_Greek,PRON,73,no,2.1662,-0.7956,-0.2023,0.2393,0.0844,0.142,5,4,3,2
79,129,ἦν,Ancient_Greek,AUX,34,no,5.5186,-0.1187,-0.1761,0.3481,0.1256,0.1447,5,4,3,2
80,131,μάλιστα,Ancient_Greek,ADV,121,no,0.5649,-0.971,-0.1864,0.1874,0.0738,0.1436,3,3,3,2
81,2180,εἶχον,Ancient_Greek,VERB,222,no,4.4746,-0.9576,-0.0028,0.3142,0.0746,0.1631,5,4,3,2
82,132,τοὺς,Ancient_Greek,PRON,116,no,0.3519,-0.1507,-0.8582,0.1804,0.1237,0.0723,3,3,3,2
83,135,ἐπ’,Ancient_Greek,ADP,55,no,1.1454,0.5772,-1.5392,0.2062,0.168,0.0,5,4,3,2
84,137,τὰς,Ancient_Greek,DET,29,no,-2.199,0.9023,-0.8658,0.0977,0.1878,0.0715,2,2,2,2
85,139,γυναικῶν,Ancient_Greek,NOUN,280,no,-0.9277,-0.2507,-0.1012,0.1389,0.1176,0.1527,3,3,3,2
86,141,σὺν,Ancient_Greek,ADP,292,no,-3.1416,1.4849,-0.3657,0.0671,0.2232,0.1246,2,2,2,2
87,4240,τις,Ancient_Greek,DET,411,no,-5.0031,3.5492,1.1411,0.0067,0.3489,0.2846,2,2,2,2
88,148,αἰγύπτου,Ancient_Greek,PROPN,398,no,-1.5886,0.6413,-1.0702,0.1175,0.1719,0.0498,2,2,2,2
89,149,οὕτω,Ancient_Greek,ADV,41,no,3.1875,-1.1737,-0.2059,0.2724,0.0614,0.1416,5,4,3,2
90,150,αἴγυπτον,Ancient_Greek,PROPN,418,no,-1.8377,0.4602,-0.9638,0.1094,0.1609,0.0611,2,2,2,2
91,152,πέρσαι,Ancient_Greek,NOUN,93,no,1.2525,-1.4139,0.6335,0.2097,0.0468,0.2307,3,3,3,2
92,153,οὐκ,Ancient_Greek,ADV,35,no,1.3047,-0.7957,-1.2314,0.2114,0.0844,0.0327,5,4,3,2
93,154,ὡς,Ancient_Greek,ADV,37,no,3.857,-1.5432,0.4265,0.2942,0.0389,0.2087,5,4,3,2
94,156,πρῶτον,Ancient_Greek,ADJ,226,no,0.5371,-1.6709,0.269,0.1865,0.0312,0.192,3,3,3,2
95,157,τοῦτο,Ancient_Greek,DET,214,no,6.0137,-0.3632,0.4805,0.3641,0.1108,0.2145,5,4,3,2
96,2204,χρηστήριον,Ancient_Greek,NOUN,367,no,0.2831,-0.7955,-0.2603,0.1782,0.0845,0.1358,3,3,3,2
97,159,μετὰ,Ancient_Greek,ADV,96,no,0.221,-0.4649,-0.6817,0.1762,0.1046,0.0911,3,3,3,2
98,160,ταῦτα,Ancient_Greek,DET,192,no,4.886,-0.3962,-0.2637,0.3276,0.1088,0.1354,5,4,3,2
99,161,ἑλλήνων,Ancient_Greek,NOUN,146,no,-0.0187,0.2757,-1.5131,0.1684,0.1496,0.0028,3,3,3,2
100,163,οὐ,Ancient_Greek,ADV,31,no,2.6222,-0.2912,-1.0178,0.2541,0.1151,0.0554,5,4,3,2
101,164,ἔχουσι,Ancient_Greek,VERB,343,no,1.7279,-0.461,-0.9812,0.2251,0.1048,0.0593,5,4,3,2
102,173,δ’,Ancient_Greek,ADV,51,no,1.3904,-0.7916,-1.1804,0.2141,0.0847,0.0381,5,4,3,2
103,175,οὗτοι,Ancient_Greek,DET,234,no,2.3947,-1.5767,0.3056,0.2467,0.0369,0.1959,3,3,3,2
104,178,πρὸς,Ancient_Greek,ADP,32,no,2.9966,0.1665,-1.1458,0.2663,0.143,0.0418,5,4,3,2
105,179,ἕλληνας,Ancient_Greek,NOUN,340,no,0.2151,-1.1649,0.8764,0.176,0.062,0.2565,3,3,3,2
106,8374,κλεομένεα,Ancient_Greek,PROPN,487,no,-0.944,-0.8233,1.1938,0.1384,0.0828,0.2902,3,3,3,2
107,189,ἐνθεῦτεν,Ancient_Greek,ADV,159,no,-0.1911,-1.3406,1.7625,0.1628,0.0513,0.3506,3,3,3,2
108,191,εἵνεκεν,Ancient_Greek,ADP,288,no,-1.8119,0.5397,-0.9415,0.1102,0.1657,0.0635,2,2,2,2
109,196,βασιλέα,Ancient_Greek,NOUN,128,no,2.689,-0.4387,-0.7295,0.2563,0.1062,0.086,5,4,3,2
110,200,δίκας,Ancient_Greek,NOUN,427,no,-2.5309,1.1064,-0.6609,0.0869,0.2002,0.0933,2,2,2,2
111,203,τοὺς,Ancient_Greek,PRON,116,no,-0.0703,-0.7331,-0.1269,0.1667,0.0882,0.15,3,3,3,2
112,205,οὐδὲ,Ancient_Greek,CCONJ,279,no,-3.4966,1.8394,0.0622,0.0556,0.2448,0.17,2,2,2,2
113,2258,λακεδαιμόνιοι,Ancient_Greek,ADJ,179,no,-0.8747,-0.1382,-0.2932,0.1406,0.1245,0.1323,3,3,3,2
114,8403,κλεομένης,Ancient_Greek,PROPN,245,no,-0.5041,-0.8612,0.1917,0.1527,0.0805,0.1838,3,3,3,2
115,2264,πάντων,Ancient_Greek,ADJ,375,no,-1.6486,0.1583,-1.2363,0.1155,0.1425,0.0322,2,2,2,2
116,216,ταῦτα,Ancient_Greek,DET,192,no,-2.1234,0.6038,-0.9659,0.1001,0.1696,0.0609,2,2,2,2
117,2269,ὧδε,Ancient_Greek,ADV,164,no,-0.7124,-0.3522,-1.4439,0.1459,0.1114,0.0101,2,2,2,2
118,221,ἐκ,Ancient_Greek,ADP,23,no,2.5065,0.9813,-1.0192,0.2504,0.1926,0.0552,5,4,3,2
119,223,γυναῖκα,Ancient_Greek,NOUN,193,no,2.0454,-1.1899,-0.4531,0.2354,0.0604,0.1153,5,4,3,2
120,226,ὅτι,Ancient_Greek,SCONJ,97,no,-2.4051,0.7737,-0.72,0.091,0.18,0.087,2,2,2,2
121,231,αὐτοῦ,Ancient_Greek,PRON,70,no,1.8954,0.195,-0.8107,0.2305,0.1447,0.0774,5,4,3,2
122,233,τοῖσι,Ancient_Greek,PRON,137,no,-0.768,0.0085,-0.1945,0.1441,0.1334,0.1428,3,3,3,2
