,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,3,حصول,Arabic,NOUN,282,no,0.8751,-0.9575,-0.4657,0.1974,0.099,0.1306,3,2,2,2
1,4,شركة,Arabic,NOUN,219,no,-0.2389,-0.2594,-0.1313,0.159,0.1458,0.1714,5,4,3,2
2,6,على,Arabic,ADP,8,no,7.9181,2.0424,-0.1767,0.4404,0.3001,0.1659,2,1,1,1
3,2058,حيث,Arabic,CCONJ,76,no,-2.9475,2.2428,-0.6184,0.0655,0.3135,0.1119,4,3,3,2
4,12,الالمانية,Arabic,ADJ,446,no,-3.0378,1.4586,0.0962,0.0624,0.2609,0.1992,4,3,3,2
5,13,15,Arabic,NUM,16,no,3.3178,-0.3888,-0.5426,0.2817,0.1371,0.1212,3,2,2,2
6,2061,تشرين,Arabic,NOUN,200,no,1.3472,0.4271,0.0386,0.2137,0.1918,0.1922,3,2,2,2
7,15,7,Arabic,NUM,68,no,1.5285,-1.7742,0.4881,0.2199,0.0443,0.2471,3,2,2,2
8,2062,اكتوبر,Arabic,NOUN,407,no,-4.5826,4.034,-0.4432,0.0091,0.4335,0.1333,4,3,3,2
9,2067,طهران,Arabic,NOUN,295,no,0.3508,-1.3892,0.4887,0.1793,0.0701,0.2472,5,4,3,2
10,21,صحيفة,Arabic,NOUN,175,no,0.6985,-0.3435,-1.3784,0.1913,0.1402,0.0191,3,2,2,2
11,22,الاحد,Arabic,NOUN,153,no,-0.4125,-0.6446,-0.4671,0.153,0.12,0.1304,5,4,3,2
12,26,في,Arabic,ADP,2,no,21.9502,11.4572,2.809,0.9244,0.931,0.5307,1,1,1,1
13,27,عدد,Arabic,NOUN,105,no,3.1381,-1.4671,-0.3568,0.2755,0.0649,0.1439,3,2,2,2
14,28,ها,Arabic,PRON,10,no,10.109,2.6514,0.408,0.5159,0.3409,0.2373,2,1,1,1
15,30,غدا,Arabic,NOUN,217,no,-2.2143,1.3582,-1.3763,0.0908,0.2542,0.0193,5,4,3,2
16,32,ان,Arabic,PART,373,no,4.2164,0.6908,-0.514,0.3127,0.2095,0.1247,3,2,2,2
17,2081,القاهرة,Arabic,NOUN,419,no,-0.0962,-1.3659,1.407,0.1639,0.0717,0.3594,5,4,3,2
18,37,المجموعة,Arabic,NOUN,273,no,-1.0448,0.5454,-1.3795,0.1312,0.1997,0.0189,5,4,3,2
19,38,الاميركية,Arabic,ADJ,106,no,-1.8714,1.1683,-1.2471,0.1026,0.2415,0.0351,5,4,3,2
20,41,ل,Arabic,CCONJ,178,no,14.7481,5.8227,1.2294,0.676,0.5534,0.3377,2,1,1,1
21,43,2,Arabic,NUM,50,no,1.1739,-2.3048,1.4569,0.2077,0.0087,0.3655,3,2,2,2
22,44,عبر,Arabic,ADP,322,no,-1.9236,1.2749,-1.0585,0.1008,0.2486,0.0582,4,3,3,2
23,45,شراء,Arabic,NOUN,471,no,-0.03,-0.4503,-0.6979,0.1662,0.133,0.1022,5,4,3,2
24,2091,ادارة,Arabic,NOUN,436,no,-1.1907,-0.2011,0.608,0.1261,0.1497,0.2618,5,4,3,2
25,52,و,Arabic,CCONJ,1,no,24.1404,12.4875,3.6661,1.0,1.0,0.6354,1,1,1,1
26,2104,موعد,Arabic,NOUN,451,no,0.2911,-0.5256,-1.144,0.1772,0.128,0.0477,3,2,2,2
27,56,الماضي,Arabic,ADJ,35,no,-1.3862,0.4012,-1.0491,0.1194,0.1901,0.0593,5,4,3,2
28,58,الدولة,Arabic,NOUN,110,no,-1.4143,0.8533,-1.5345,0.1184,0.2204,0.0,5,4,3,2
29,59,عن,Arabic,ADP,12,no,3.8902,-0.2642,-0.938,0.3014,0.1455,0.0729,3,2,2,2
30,60,مجموعة,Arabic,NOUN,74,no,2.6442,-0.8396,-1.0857,0.2584,0.1069,0.0548,3,2,2,2
31,61,التي,Arabic,DET,11,no,-0.1655,-0.4361,-1.0083,0.1615,0.134,0.0643,3,2,2,2
32,64,الى,Arabic,ADP,9,no,11.748,4.2837,0.4692,0.5725,0.4503,0.2448,2,1,1,1
33,67,1,Arabic,NUM,140,no,0.3012,-1.2091,0.4561,0.1776,0.0822,0.2432,3,2,2,2
34,73,كانت,Arabic,AUX,343,no,2.8067,-0.3135,-1.1764,0.264,0.1422,0.0438,3,2,2,2
35,79,الاخيرة,Arabic,ADJ,162,no,-1.353,0.0983,-0.093,0.1205,0.1698,0.1761,5,4,3,2
36,2128,مشاركة,Arabic,NOUN,271,no,2.8727,-1.7752,-0.4697,0.2663,0.0442,0.1301,3,2,2,2
37,83,مليون,Arabic,NUM,240,no,-2.5447,1.8929,-0.9285,0.0794,0.29,0.074,4,3,3,2
38,4179,28,Arabic,NUM,233,no,0.8444,-1.1188,-0.0759,0.1963,0.0882,0.1782,3,2,2,2
39,2141,صفوف,Arabic,NOUN,366,no,-1.3062,-0.5535,2.2934,0.1221,0.1261,0.4677,5,4,3,2
40,94,من,Arabic,ADP,4,no,17.5302,7.6841,1.9157,0.772,0.6781,0.4215,2,1,1,1
41,95,وزير,Arabic,NOUN,40,no,4.8679,-0.7006,-0.59,0.3351,0.1162,0.1154,3,2,2,2
42,96,الدفاع,Arabic,NOUN,188,no,0.7725,-2.2595,2.2466,0.1939,0.0118,0.462,5,4,3,2
43,93,طلب,Arabic,NOUN,498,no,1.1071,-0.8549,-0.838,0.2054,0.1059,0.0851,3,2,2,2
44,4192,انقاذ,Arabic,NOUN,280,no,0.9411,-1.0492,-0.6531,0.1997,0.0929,0.1077,3,2,2,2
