,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,2,եմ,Armenian,AUX,9,no,5.028,1.2079,-0.1362,0.4592,0.8262,0.1352,4,3,3,2
1,5,ու,Armenian,CCONJ,3,no,12.8634,-6.3195,1.8043,0.8145,0.268,0.3845,3,2,2,2
2,14,նրանց,Armenian,PRON,81,no,-3.2713,-1.1826,-0.1714,0.0828,0.6489,0.1307,2,1,1,1
3,16,այլ,Armenian,CCONJ,120,no,0.9258,0.831,-0.6432,0.2731,0.7982,0.0701,5,4,3,2
4,2066,այնպես,Armenian,ADV,284,no,-1.2996,0.5199,0.443,0.1722,0.7752,0.2096,2,1,1,1
5,18,ուր,Armenian,ADV,260,no,-0.4294,0.7755,-0.0948,0.2117,0.7941,0.1406,5,4,3,2
6,20,այլևս,Armenian,ADV,206,no,-0.9315,0.1747,-0.9052,0.1889,0.7496,0.0364,2,1,1,1
7,2067,մյուս,Armenian,DET,113,no,-0.8289,1.4209,1.2536,0.1936,0.842,0.3138,2,1,1,1
8,22,չէր,Armenian,AUX,40,no,2.0162,1.8039,-0.7718,0.3226,0.8704,0.0536,5,4,3,2
9,23,այլ,Armenian,CCONJ,120,no,-0.8148,0.3726,0.0822,0.1942,0.7642,0.1633,2,1,1,1
10,2071,տարի,Armenian,NOUN,101,no,2.5161,-0.3153,-0.8308,0.3453,0.7132,0.046,5,4,3,2
11,26,իրենց,Armenian,PRON,265,no,-2.3446,-0.8745,-0.6445,0.1248,0.6718,0.0699,2,1,1,1
12,28,պիտի,Armenian,AUX,124,no,-2.7462,-0.4213,-0.1942,0.1066,0.7054,0.1278,2,1,1,1
13,31,նույն,Armenian,DET,205,no,-2.704,-0.967,-0.4842,0.1085,0.6649,0.0905,2,1,1,1
14,6175,ուղղությամբ,Armenian,NOUN,437,no,-1.4763,-0.1694,-0.8553,0.1642,0.724,0.0429,2,1,1,1
15,34,որ,Armenian,PART,35,no,10.4102,-2.772,0.0238,0.7033,0.5311,0.1558,3,2,2,2
16,2084,չէին,Armenian,AUX,374,no,-0.6418,0.6827,-0.9584,0.202,0.7872,0.0296,2,1,1,1
17,39,էր,Armenian,AUX,4,no,11.3654,-2.727,0.5944,0.7466,0.5344,0.2291,3,2,2,2
18,2087,բերել,Armenian,VERB,245,no,3.4841,2.0001,0.3014,0.3892,0.8849,0.1915,5,4,3,2
19,4138,խորհրդային,Armenian,ADJ,330,no,-2.5074,-0.6363,-0.524,0.1174,0.6894,0.0854,2,1,1,1
20,43,այս,Armenian,PRON,448,no,-2.9206,-0.9601,-0.3491,0.0987,0.6654,0.1079,2,1,1,1
21,44,այժմ,Armenian,ADV,333,no,-0.6257,1.3102,0.1166,0.2028,0.8338,0.1677,2,1,1,1
22,2093,ասել,Armenian,VERB,343,no,1.0505,2.2969,1.083,0.2788,0.9069,0.2919,5,4,3,2
