,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,2050,журы,Belarusian,NOUN,129,no,-2.8327,1.3144,-0.5339,0.0619,0.3468,0.5548,1,1,1,1
1,3,хоча,Belarusian,VERB,254,no,2.3133,0.0838,-0.3455,0.2698,0.2615,0.5722,4,3,3,2
2,5,у,Belarusian,ADP,3,no,16.5153,7.2088,-0.7918,0.8433,0.755,0.5309,3,2,2,2
3,6,беларускую,Belarusian,ADJ,290,no,-2.6601,0.4121,0.9244,0.0689,0.2843,0.6898,2,1,1,1
4,4104,добры,Belarusian,ADJ,73,no,1.4556,-0.3176,-0.1581,0.2351,0.2337,0.5896,4,3,3,2
5,6155,дакументальнага,Belarusian,ADJ,188,no,-3.5168,1.7019,-0.6476,0.0343,0.3736,0.5442,1,1,1,1
6,6162,фестывалю,Belarusian,NOUN,442,no,-0.4394,0.2237,0.8238,0.1586,0.2712,0.6805,2,1,1,1
7,22,эканомікі,Belarusian,NOUN,487,no,-3.3055,1.5725,-0.6102,0.0429,0.3646,0.5477,1,1,1,1
8,23,беларусі,Belarusian,PROPN,13,no,7.6628,1.4525,-0.8306,0.4858,0.3563,0.5273,5,4,3,2
9,27,беларускай,Belarusian,ADJ,58,no,-0.739,-1.0467,-0.6704,0.1465,0.1832,0.5421,4,3,3,2
10,2075,год,Belarusian,NOUN,116,no,3.6223,-1.045,0.5836,0.3226,0.1834,0.6582,5,4,3,2
11,29,ў,Belarusian,ADP,2,no,15.9411,6.756,-0.6761,0.8201,0.7236,0.5416,3,2,2,2
12,6175,сяргей,Belarusian,PROPN,213,no,-0.2942,-0.3504,-0.2399,0.1645,0.2315,0.582,4,3,3,2
13,32,сакавіка,Belarusian,NOUN,169,no,-0.878,-0.9536,-1.9801,0.1409,0.1897,0.4209,4,3,3,2
14,36,аб,Belarusian,ADP,61,no,-0.2793,-0.6057,0.0309,0.1651,0.2138,0.6071,4,3,3,2
15,38,з,Belarusian,ADP,5,no,10.2597,3.1909,-0.6573,0.5907,0.4767,0.5433,5,4,3,2
16,42,і,Belarusian,PART,17,no,20.3957,10.7467,-1.5314,1.0,1.0,0.4624,3,2,2,2
17,6186,крысцін,Belarusian,PROPN,434,no,-0.4541,0.2658,-1.5006,0.158,0.2741,0.4653,4,3,3,2
18,44,як,Belarusian,ADV,26,no,3.0348,-0.4046,0.6646,0.2989,0.2277,0.6657,5,4,3,2
19,6187,экам,Belarusian,PROPN,433,no,-4.0079,2.0411,-0.7449,0.0145,0.3971,0.5352,1,1,1,1
20,49,адным,Belarusian,DET,403,no,2.3596,-1.5278,0.328,0.2716,0.1499,0.6346,4,3,3,2
21,53,з'яўляецца,Belarusian,VERB,494,no,-1.4288,-0.048,0.8204,0.1186,0.2524,0.6801,2,1,1,1
22,6199,фільмы,Belarusian,NOUN,120,no,-0.1492,0.6157,0.7023,0.1703,0.2984,0.6692,2,1,1,1
23,56,замежнай,Belarusian,ADJ,495,no,-2.8327,1.3144,-0.5339,0.0619,0.3468,0.5548,1,1,1,1
24,6204,2,Belarusian,NUM,220,no,-2.2741,0.7887,0.1802,0.0845,0.3104,0.6209,2,1,1,1
25,4157,хворага,Belarusian,NOUN,318,no,-2.4467,0.8628,-0.0254,0.0775,0.3155,0.6018,2,1,1,1
26,62,кампаніі,Belarusian,NOUN,312,no,-0.313,1.1839,-0.1041,0.1637,0.3377,0.5946,2,1,1,1
27,6212,віншуем,Belarusian,VERB,341,no,0.0116,-0.8227,-0.3086,0.1768,0.1988,0.5756,4,3,3,2
28,69,па,Belarusian,ADP,11,no,1.6541,0.3147,1.2395,0.2431,0.2775,0.7189,4,3,3,2
29,6214,ўсіх,Belarusian,DET,350,no,-2.5211,0.6102,0.4337,0.0745,0.298,0.6443,2,1,1,1
30,2119,пакуль,Belarusian,ADV,345,no,-3.2336,1.5278,-0.5974,0.0458,0.3615,0.5489,1,1,1,1
31,4170,ведаеце,Belarusian,VERB,414,no,2.6674,-1.0133,0.258,0.2841,0.1856,0.6281,5,4,3,2
32,77,акрамя,Belarusian,ADP,404,no,-2.7833,0.153,1.5215,0.0639,0.2663,0.745,2,1,1,1
33,6222,вынікі,Belarusian,NOUN,447,no,-2.1306,0.6399,0.037,0.0903,0.3001,0.6076,2,1,1,1
34,81,мае,Belarusian,VERB,142,no,3.9278,-1.1883,0.0035,0.335,0.1734,0.6045,5,4,3,2
35,82,свае,Belarusian,DET,152,no,-2.021,0.081,1.1213,0.0947,0.2613,0.708,2,1,1,1
36,6228,разы,Belarusian,NOUN,453,no,0.0344,-1.3332,-0.3176,0.1777,0.1634,0.5748,4,3,3,2
37,86,расіі,Belarusian,PROPN,477,no,0.5761,-2.9794,-2.2688,0.1996,0.0494,0.3942,4,3,3,2
38,87,зша,Belarusian,PROPN,144,no,3.5024,-1.7823,-0.6119,0.3178,0.1323,0.5475,5,4,3,2
39,91,паводле,Belarusian,ADP,184,no,-3.4109,1.6297,-0.6271,0.0386,0.3686,0.5461,1,1,1,1
