,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,в,Bulgarian,ADP,5,no,-14.2235,4.9011,1.6018,0.3454,0.5286,0.4245,1,1,1,1
1,5,ще,Bulgarian,AUX,13,no,-3.8924,-0.0762,-0.8343,0.7023,0.1955,0.0912,5,4,3,2
2,2054,продължи,Bulgarian,VERB,416,no,-0.6106,-1.1721,-0.3052,0.8156,0.1222,0.1636,5,4,3,2
3,6,се,Bulgarian,PRON,4,no,-2.347,-0.2862,-0.6887,0.7557,0.1815,0.1111,5,4,3,2
4,9,въпроси,Bulgarian,NOUN,250,no,-1.0063,-1.0474,-0.5842,0.802,0.1305,0.1254,5,4,3,2
5,12,път,Bulgarian,NOUN,94,no,-3.0682,-1.374,-0.8863,0.7307,0.1087,0.0841,5,4,3,2
6,13,изглежда,Bulgarian,VERB,176,no,-0.2118,-0.5503,-0.5468,0.8294,0.1638,0.1306,3,3,3,2
7,14,го,Bulgarian,PRON,17,no,-0.6041,-0.3141,-0.9425,0.8159,0.1796,0.0764,5,4,3,2
8,15,беше,Bulgarian,AUX,24,no,-1.459,-1.1638,-0.6987,0.7863,0.1227,0.1098,5,4,3,2
9,4112,армия,Bulgarian,NOUN,150,no,-1.6305,-1.8174,0.5879,0.7804,0.079,0.2858,5,4,3,2
10,17,за,Bulgarian,ADP,6,no,-15.357,6.0946,1.9132,0.3062,0.6084,0.4671,1,1,1,1
11,19,той,Bulgarian,PRON,15,no,-5.6228,0.5233,-0.6284,0.6425,0.2356,0.1194,5,4,3,2
12,20,не,Bulgarian,PART,9,no,-6.5103,1.6326,-0.1044,0.6118,0.3099,0.1911,4,4,3,2
13,2070,своя,Bulgarian,DET,392,no,3.9215,3.0744,-0.3726,0.9722,0.4063,0.1544,2,2,2,2
14,23,наистина,Bulgarian,ADV,144,no,2.2961,1.0664,-0.5932,0.916,0.272,0.1242,2,2,2,2
15,24,това,Bulgarian,DET,55,no,-6.9372,0.5971,0.1335,0.5971,0.2406,0.2236,4,4,3,2
16,26,ние,Bulgarian,PRON,63,no,-0.3414,-0.9133,-0.4588,0.8249,0.1395,0.1426,3,3,3,2
17,27,разбира,Bulgarian,VERB,218,no,-1.6474,-1.3465,-0.5936,0.7798,0.1105,0.1242,5,4,3,2
18,28,можем,Bulgarian,VERB,375,no,-0.2124,-1.5189,0.5259,0.8294,0.099,0.2773,3,3,3,2
19,29,да,Bulgarian,AUX,3,no,-7.1751,1.5224,-0.4727,0.5889,0.3025,0.1407,5,4,3,2
20,31,с,Bulgarian,ADP,10,no,-7.7786,0.5752,-0.1561,0.568,0.2391,0.184,5,4,3,2
21,2082,една,Bulgarian,NUM,139,no,-1.6914,-1.1539,-0.3754,0.7783,0.1234,0.154,5,4,3,2
22,37,им,Bulgarian,PRON,47,no,3.0011,2.0005,-0.8901,0.9404,0.3345,0.0836,2,2,2,2
23,39,е,Bulgarian,AUX,7,no,-10.4585,3.6266,0.5835,0.4754,0.4433,0.2852,1,1,1,1
24,40,цялата,Bulgarian,ADJ,307,no,1.7738,0.8079,-0.7903,0.898,0.2547,0.0972,2,2,2,2
25,42,тия,Bulgarian,DET,238,no,1.7891,0.401,-0.3836,0.8985,0.2274,0.1529,3,3,3,2
26,43,думи,Bulgarian,NOUN,379,no,-1.2152,-0.3615,0.6809,0.7947,0.1764,0.2985,4,4,3,2
27,44,на,Bulgarian,ADP,1,no,-24.2219,11.9465,4.5101,0.0,1.0,0.8224,1,1,1,1
28,49,вече,Bulgarian,ADV,59,no,-0.5877,-0.9947,-0.7753,0.8164,0.134,0.0993,5,4,3,2
29,51,ето,Bulgarian,PART,382,no,1.3406,-0.4839,1.0184,0.883,0.1682,0.3447,3,3,3,2
30,53,си,Bulgarian,PART,168,no,1.3153,0.3644,-1.0472,0.8822,0.225,0.0621,3,3,3,2
31,58,ли,Bulgarian,PART,18,no,-3.5737,0.1665,-1.0759,0.7133,0.2117,0.0582,5,4,3,2
32,59,можеш,Bulgarian,VERB,252,no,-1.3945,-1.3882,-0.4543,0.7886,0.1077,0.1432,5,4,3,2
33,60,си,Bulgarian,PART,168,no,-0.8629,0.1052,-1.4286,0.8069,0.2076,0.0099,5,4,3,2
34,4157,промяна,Bulgarian,NOUN,437,no,-0.6399,-0.8615,-1.0206,0.8146,0.143,0.0657,3,3,3,2
