,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,el,Catalan,PRON,388,no,14.1995,5.7491,1.0211,0.537,0.4245,0.3559,1,1,1,1
1,2051,programa,Catalan,NOUN,183,no,1.1441,-1.2075,-0.4102,0.1674,0.0637,0.1813,3,3,2,2
2,2052,marc,Catalan,NOUN,281,no,0.1317,-1.0147,0.3462,0.1387,0.0737,0.2736,3,3,2,2
3,7,ha,Catalan,VERB,94,no,-0.973,0.7093,-1.4735,0.1075,0.1631,0.0516,5,4,3,2
4,9,la,Catalan,PRON,88,no,8.2476,2.4321,-0.2794,0.3685,0.2525,0.1972,1,1,1,1
5,11,a,Catalan,ADP,4,no,20.0257,9.2448,2.8108,0.702,0.6058,0.5742,1,1,1,1
6,12,quatre,Catalan,NUM,87,no,0.1905,-0.8043,-0.7686,0.1404,0.0846,0.1376,3,3,2,2
7,13,anys,Catalan,NOUN,36,no,4.1469,-0.0106,-0.9213,0.2524,0.1258,0.1189,3,3,2,2
8,14,d',Catalan,ADP,7,no,10.6547,3.9577,0.2212,0.4367,0.3316,0.2583,1,1,1,1
9,17,i,Catalan,CCONJ,5,no,15.3679,6.4348,1.3505,0.5701,0.4601,0.3961,1,1,1,1
10,18,una,Catalan,PRON,312,no,1.6869,-0.0287,-0.9327,0.1828,0.1248,0.1175,3,3,2,2
11,2067,policia,Catalan,PROPN,493,no,-0.5986,-0.8058,1.4253,0.1181,0.0845,0.4052,3,3,2,2
12,20,de,Catalan,ADP,1,no,30.5521,16.8455,6.3007,1.0,1.0,1.0,2,2,1,1
13,2070,fiscal,Catalan,NOUN,275,no,-0.8813,-0.0838,0.5321,0.1101,0.122,0.2962,3,3,2,2
14,23,pessetes,Catalan,NOUN,37,no,1.502,-1.4564,-0.582,0.1775,0.0508,0.1603,3,3,2,2
15,22,milions,Catalan,NOUN,55,no,1.9587,-1.6946,-0.7729,0.1905,0.0384,0.137,3,3,2,2
16,24,per,Catalan,ADP,9,no,11.7302,4.0951,0.4252,0.4671,0.3387,0.2832,1,1,1,1
17,2074,guàrdia,Catalan,PROPN,241,no,1.3392,-0.4343,0.4878,0.1729,0.1038,0.2908,3,3,2,2
18,2075,civil,Catalan,PROPN,185,no,-4.4605,4.14,-0.537,0.0087,0.341,0.1658,4,4,3,2
19,28,haver,Catalan,AUX,164,no,-2.8983,1.8176,0.1146,0.053,0.2206,0.2453,5,4,3,2
20,29,se,Catalan,PRON,40,no,-2.994,1.99,-0.125,0.0503,0.2295,0.2161,5,4,3,2
21,31,els,Catalan,PRON,399,no,5.1769,1.1937,-1.1125,0.2816,0.1882,0.0956,3,3,2,2
22,4128,diumenge,Catalan,NOUN,289,no,-0.8896,0.5119,-0.8157,0.1098,0.1529,0.1318,5,4,3,2
23,33,públics,Catalan,ADJ,470,no,-4.445,4.1283,-0.5344,0.0092,0.3404,0.1661,4,4,3,2
24,34,que,Catalan,SCONJ,13,no,2.9327,0.9318,-1.5724,0.218,0.1746,0.0395,3,3,2,2
25,36,seva,Catalan,DET,35,no,-1.3003,0.2946,-0.4435,0.0982,0.1416,0.1772,5,4,3,2
26,37,relació,Catalan,NOUN,318,no,-0.5941,-0.5117,0.52,0.1182,0.0998,0.2948,3,3,2,2
27,38,amb,Catalan,ADP,15,no,5.4485,0.713,-0.7868,0.2893,0.1633,0.1353,3,3,2,2
28,39,les,Catalan,DET,12,no,1.642,0.3917,-1.4082,0.1815,0.1466,0.0595,3,3,2,2
29,40,empreses,Catalan,NOUN,469,no,0.3399,-1.1631,0.4143,0.1446,0.066,0.2819,3,3,2,2
30,42,zona,Catalan,NOUN,108,no,0.704,-1.5438,0.2958,0.155,0.0462,0.2674,3,3,2,2
31,43,en,Catalan,ADP,10,no,10.2867,3.1633,0.1574,0.4263,0.2904,0.2505,1,1,1,1
32,46,serveis,Catalan,NOUN,86,no,2.32,-0.4415,-0.752,0.2007,0.1034,0.1396,3,3,2,2
33,49,sentència,Catalan,NOUN,497,no,-1.2309,0.5341,-0.6798,0.1002,0.154,0.1484,5,4,3,2
34,50,qual,Catalan,PRON,96,no,1.252,-2.0911,0.2756,0.1705,0.0179,0.265,3,3,2,2
35,51,tingut,Catalan,VERB,267,no,2.8036,0.1068,-1.3968,0.2144,0.1319,0.0609,3,3,2,2
36,52,accés,Catalan,NOUN,139,no,1.3467,-1.7809,-0.2287,0.1731,0.0339,0.2034,3,3,2,2
37,2099,diferents,Catalan,DET,117,no,-1.7308,0.5818,-0.1869,0.086,0.1565,0.2085,5,4,3,2
38,60,president,Catalan,NOUN,99,no,2.666,-0.9205,-0.8424,0.2105,0.0786,0.1286,3,3,2,2
39,63,girona,Catalan,PROPN,56,no,1.8948,-1.7693,-0.2716,0.1887,0.0345,0.1982,3,3,2,2
40,64,moment,Catalan,NOUN,152,no,0.6721,-1.0917,-0.1501,0.154,0.0697,0.213,3,3,2,2
41,2111,garantir,Catalan,VERB,417,no,0.8723,0.4171,-0.3199,0.1597,0.1479,0.1923,3,3,2,2
42,65,fets,Catalan,NOUN,116,no,1.0406,-1.2723,-0.4678,0.1645,0.0603,0.1743,3,3,2,2
43,68,pere,Catalan,PROPN,346,no,-1.532,0.8463,0.209,0.0916,0.1702,0.2568,5,4,3,2
44,73,com,Catalan,SCONJ,25,no,2.8042,-0.7217,-1.1076,0.2144,0.0889,0.0962,3,3,2,2
45,2122,altra,Catalan,DET,429,no,0.2068,-0.6,-0.7398,0.1409,0.0952,0.1411,3,3,2,2
46,76,generalitat,Catalan,PROPN,46,no,2.0163,-1.2474,-0.6582,0.1921,0.0616,0.151,3,3,2,2
47,77,van,Catalan,AUX,34,no,-2.4997,0.4943,1.8493,0.0642,0.152,0.4569,5,4,3,2
48,78,ser,Catalan,AUX,41,no,-2.296,1.2168,0.0968,0.07,0.1894,0.2431,5,4,3,2
49,80,l',Catalan,PRON,485,no,4.2008,0.9075,-1.0499,0.254,0.1734,0.1032,3,3,2,2
