,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,2048,全國,Chinese,NOUN,296,no,-1.493,0.5014,-1.1137,0.0894,0.1557,0.1317,2,2,1,1
1,4,只,Chinese,ADV,207,no,-1.4073,-0.229,1.6796,0.0918,0.1195,0.4857,2,2,1,1
2,5,是,Chinese,VERB,22,no,12.0256,4.4822,1.4866,0.4727,0.3527,0.4613,4,4,3,2
3,6,二,Chinese,NUM,199,no,-1.1098,-0.2084,0.109,0.1003,0.1205,0.2867,1,1,1,1
4,8,一,Chinese,NUM,3,no,7.8798,0.5034,-0.2926,0.3551,0.1558,0.2358,3,3,2,2
5,9,做,Chinese,VERB,332,no,1.7792,-1.2806,-0.0555,0.1822,0.0674,0.2658,3,3,2,2
6,2058,宣布,Chinese,VERB,403,no,1.5758,-1.1063,-0.6879,0.1764,0.0761,0.1857,3,3,2,2
7,11,但,Chinese,ADV,38,no,0.9416,-1.2296,0.2603,0.1584,0.07,0.3059,1,1,1,1
8,2056,各,Chinese,DET,230,no,-1.0831,-0.1317,0.4577,0.101,0.1243,0.3309,1,1,1,1
9,13,他們,Chinese,PRON,127,no,-0.0421,-0.8187,0.2173,0.1305,0.0903,0.3004,1,1,1,1
10,14,代表,Chinese,VERB,345,no,0.4822,-0.9326,-0.4419,0.1454,0.0847,0.2169,3,3,2,2
11,15,的,Chinese,PART,1,no,30.6242,17.5574,3.8112,1.0,1.0,0.7559,5,4,3,2
12,16,是,Chinese,VERB,22,no,4.3214,-0.1928,-0.8838,0.2543,0.1213,0.1609,3,3,2,2
13,17,你,Chinese,PRON,413,no,-1.9956,0.8918,0.1953,0.0752,0.175,0.2976,2,2,1,1
14,4117,北,Chinese,NOUN,370,no,-2.8633,1.2657,0.1643,0.0506,0.1935,0.2937,2,2,1,1
15,22,著,Chinese,AUX,64,no,-3.3269,1.2769,4.0196,0.0374,0.194,0.7823,2,2,1,1
16,23,給,Chinese,VERB,406,no,-1.7917,0.6669,0.3409,0.0809,0.1638,0.3161,1,1,1,1
17,24,不同,Chinese,ADJ,95,no,1.2481,-0.946,-0.2983,0.1671,0.084,0.2351,3,3,2,2
18,4120,自,Chinese,VERB,378,no,-4.1318,2.352,0.4998,0.0146,0.2473,0.3362,2,2,1,1
19,27,最後,Chinese,NOUN,190,no,-1.9359,0.4682,1.2994,0.0768,0.154,0.4375,2,2,1,1
20,28,決定,Chinese,VERB,353,no,2.936,-1.9984,0.5228,0.215,0.0319,0.3391,3,3,2,2
21,30,自己,Chinese,PRON,111,no,0.0681,-0.7991,0.0289,0.1337,0.0913,0.2765,1,1,1,1
22,2079,參加,Chinese,VERB,328,no,3.0985,-1.7031,0.5108,0.2196,0.0465,0.3376,3,3,2,2
23,32,其,Chinese,PRON,39,no,0.9427,-0.7828,-0.9394,0.1585,0.0921,0.1538,3,3,2,2
24,39,由,Chinese,ADP,218,no,8.1463,0.2012,-0.0506,0.3627,0.1408,0.2665,3,3,2,2
25,41,負責,Chinese,VERB,182,no,1.8518,-1.0851,-0.6462,0.1842,0.0771,0.191,3,3,2,2
26,43,後來,Chinese,NOUN,227,no,-1.9501,0.291,0.7363,0.0764,0.1452,0.3662,2,2,1,1
