,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,6,u,Croatian,ADP,2,no,13.9809,-6.2622,-2.1381,0.5527,0.5096,0.5969,4,3,3,2
1,7,makedoniji,Croatian,PROPN,122,no,0.9223,0.8096,0.4301,0.1712,0.8802,0.8783,3,2,2,2
2,8,neki,Croatian,DET,221,no,-2.7058,-1.3829,0.6576,0.0652,0.7653,0.9033,2,1,1,1
3,10,da,Croatian,SCONJ,11,no,5.5944,-0.0586,0.1402,0.3077,0.8347,0.8466,4,3,3,2
4,11,je,Croatian,AUX,1,no,12.7604,-4.474,-1.7893,0.5171,0.6033,0.6351,4,3,3,2
5,16,na,Croatian,ADP,4,no,9.4503,-3.2944,-0.7776,0.4204,0.6651,0.746,4,3,3,2
6,18,medija,Croatian,NOUN,225,no,-0.492,0.3083,0.806,0.1298,0.8539,0.9195,2,1,1,1
7,20,dok,Croatian,SCONJ,70,no,-3.4227,-2.0438,0.5037,0.0442,0.7307,0.8864,2,1,1,1
8,21,drugi,Croatian,ADJ,176,no,-0.581,0.7652,-0.7025,0.1272,0.8779,0.7542,2,1,1,1
9,22,kako,Croatian,ADV,117,no,6.4267,-0.0387,-0.2197,0.332,0.8357,0.8071,4,3,3,2
10,24,o,Croatian,ADP,13,no,0.8763,-0.3118,0.3912,0.1698,0.8214,0.8741,3,2,2,2
11,6176,festival,Croatian,NOUN,207,no,-2.0268,-1.1546,1.082,0.085,0.7772,0.9498,2,1,1,1
12,37,godina,Croatian,NOUN,53,no,6.1296,-1.7838,0.3529,0.3233,0.7443,0.8699,4,3,3,2
13,2085,posto,Croatian,ADV,69,no,5.6985,0.244,0.2009,0.3107,0.8505,0.8532,4,3,3,2
14,2087,godini,Croatian,NOUN,183,no,-0.9201,0.0829,0.188,0.1173,0.8421,0.8518,2,1,1,1
15,39,zbog,Croatian,ADP,46,no,0.0274,0.0141,1.0744,0.145,0.8385,0.9489,2,1,1,1
16,4137,2007.,Croatian,ADJ,306,no,-3.9758,-2.7287,-0.1585,0.028,0.6948,0.8138,1,1,1,1
17,42,i,Croatian,PART,404,no,29.2877,-15.9866,-7.5857,1.0,0.0,0.0,5,4,3,2
18,2092,zajednice,Croatian,NOUN,301,no,2.2353,0.5048,0.9394,0.2095,0.8642,0.9342,3,2,2,2
19,2093,kosovu,Croatian,PROPN,120,no,1.0126,-0.0572,1.0129,0.1738,0.8348,0.9422,3,2,2,2
20,8236,droutsas,Croatian,PROPN,418,no,-2.0762,0.4428,-1.7255,0.0835,0.861,0.6421,2,1,1,1
21,47,koji,Croatian,DET,14,no,4.0442,0.9456,0.5281,0.2624,0.8873,0.8891,3,2,2,2
22,2095,zajednica,Croatian,NOUN,408,no,0.9921,1.7858,0.1779,0.1732,0.9313,0.8507,3,2,2,2
