,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,2048,výrobců,Czech,NOUN,381,no,1.7808,-0.41,1.1113,0.2584,0.2344,0.9173,5,4,3,2
1,3,než,Czech,SCONJ,50,no,2.1037,-1.0039,0.2494,0.2704,0.1935,0.8017,4,3,3,2
2,5,faxu,Czech,NOUN,470,no,-2.7768,1.2902,0.436,0.0893,0.3513,0.8268,2,1,1,1
3,7,především,Czech,ADV,87,no,-0.6664,-0.7603,-0.2157,0.1676,0.2103,0.7394,5,4,3,2
4,2058,možné,Czech,ADJ,204,no,2.6531,-0.2672,0.6389,0.2908,0.2442,0.854,4,3,3,2
5,13,může,Czech,VERB,60,no,8.0774,0.8828,-1.0165,0.4922,0.3233,0.6321,3,2,2,2
6,14,být,Czech,AUX,45,no,-0.4086,-1.1437,-0.231,0.1772,0.1839,0.7374,5,4,3,2
7,16,ecm,Czech,NOUN,391,no,-4.8269,2.7047,-0.867,0.0132,0.4486,0.6521,1,1,1,1
8,18,peníze,Czech,NOUN,196,no,2.1727,-1.3922,0.659,0.273,0.1668,0.8567,4,3,3,2
9,4115,management,Czech,NOUN,325,no,0.8301,-0.888,-0.1593,0.2232,0.2015,0.747,5,4,3,2
10,2069,tatra,Czech,PROPN,433,no,-0.2492,-1.2636,-0.0064,0.1831,0.1756,0.7675,5,4,3,2
11,23,je,Czech,PRON,133,no,6.1806,1.4489,0.4156,0.4218,0.3622,0.824,3,2,2,2
12,24,tento,Czech,DET,175,no,-4.6388,2.5865,-0.7681,0.0202,0.4405,0.6654,1,1,1,1
13,31,dobře,Czech,ADV,416,no,-3.8764,2.1514,-0.4043,0.0485,0.4105,0.7141,1,1,1,1
14,2081,celého,Czech,ADJ,500,no,-3.4058,1.6099,0.1649,0.0659,0.3733,0.7904,2,1,1,1
15,34,na,Czech,ADP,3,no,16.9029,8.8806,-2.8528,0.8198,0.8734,0.3859,3,2,2,2
16,36,a,Czech,ADJ,354,no,0.4811,-2.0825,-1.6729,0.2102,0.1193,0.5441,5,4,3,2
17,37,4,Czech,NUM,79,no,1.8517,-2.4768,-2.0078,0.2611,0.0922,0.4992,5,4,3,2
18,38,při,Czech,ADP,21,no,0.2825,-0.7941,0.9501,0.2028,0.2079,0.8957,5,4,3,2
19,8234,dem,Czech,NOUN,444,no,-2.2553,0.5257,0.4312,0.1086,0.2987,0.8261,2,1,1,1
20,43,3,Czech,NUM,51,no,3.7386,-1.2167,-1.2664,0.3311,0.1789,0.5986,4,3,3,2
21,42,zhruba,Czech,ADV,163,no,-2.2654,-0.5739,-0.5393,0.1082,0.2231,0.696,2,1,1,1
22,46,podle,Czech,ADP,44,no,-0.6535,-0.4103,0.9201,0.1681,0.2343,0.8916,5,4,3,2
23,48,se,Czech,ADP,63,no,0.3453,-1.9039,-0.2881,0.2052,0.1316,0.7297,5,4,3,2
24,55,za,Czech,ADP,13,no,6.6855,2.6777,-0.3134,0.4405,0.4467,0.7263,4,3,3,2
25,56,10,Czech,NUM,97,no,5.3789,-0.2313,-1.2507,0.392,0.2466,0.6007,4,3,3,2
26,57,až,Czech,CCONJ,151,no,0.9905,-1.9126,-0.8264,0.2291,0.131,0.6576,5,4,3,2
27,58,30,Czech,NUM,132,no,3.4123,-0.773,-0.1712,0.319,0.2094,0.7454,4,3,3,2
28,2104,dalším,Czech,ADJ,420,no,-1.7128,0.4573,0.8676,0.1288,0.294,0.8846,5,4,3,2
29,60,ve,Czech,ADP,19,no,1.3212,-0.5625,0.741,0.2414,0.2239,0.8676,5,4,3,2
30,4157,firmě,Czech,NOUN,200,no,0.288,-0.0426,0.6277,0.203,0.2596,0.8525,5,4,3,2
31,62,to,Czech,PART,366,no,10.2108,1.5261,-1.4285,0.5714,0.3675,0.5768,3,2,2,2
32,65,protože,Czech,SCONJ,93,no,-1.2088,-0.4983,0.3961,0.1475,0.2283,0.8214,2,1,1,1
33,66,doba,Czech,NOUN,497,no,-0.9326,0.4023,1.1578,0.1577,0.2902,0.9235,5,4,3,2
34,67,přenosu,Czech,NOUN,408,no,-0.7408,0.0801,1.2496,0.1648,0.2681,0.9358,5,4,3,2
35,68,více,Czech,ADV,67,no,6.6105,0.6648,-0.034,0.4377,0.3083,0.7638,3,2,2,2
36,72,přístroje,Czech,NOUN,158,no,2.6567,0.9699,0.5492,0.291,0.3293,0.8419,4,3,3,2
37,2121,lidé,Czech,NOUN,286,no,1.4758,-1.4375,0.3239,0.2471,0.1637,0.8117,5,4,3,2
38,74,i,Czech,CCONJ,9,no,10.8864,4.9079,-1.102,0.5964,0.6001,0.6206,3,2,2,2
39,75,tak,Czech,ADV,32,no,3.2226,-0.772,0.0956,0.312,0.2094,0.7811,4,3,3,2
40,73,ale,Czech,CCONJ,17,no,3.8578,-1.1528,0.2567,0.3355,0.1833,0.8027,4,3,3,2
41,77,informace,Czech,NOUN,284,no,-0.4307,-0.3861,0.6082,0.1764,0.236,0.8498,5,4,3,2
42,79,navíc,Czech,ADV,180,no,-1.3228,-0.9354,-1.4372,0.1432,0.1982,0.5757,5,4,3,2
43,2129,platební,Czech,ADJ,258,no,-3.2676,1.5535,0.2174,0.0711,0.3694,0.7975,2,1,1,1
44,84,lze,Czech,VERB,135,no,3.2675,-0.1652,0.8541,0.3136,0.2512,0.8828,4,3,3,2
45,6231,rozkaz,Czech,NOUN,455,no,-1.9625,-0.5338,-1.9035,0.1195,0.2258,0.5132,5,4,3,2
46,93,přenosová,Czech,ADJ,462,no,-4.5652,2.5176,-0.7153,0.0229,0.4357,0.6724,1,1,1,1
47,94,rychlost,Czech,NOUN,278,no,0.4202,-0.5507,-1.8307,0.2079,0.2247,0.5229,4,3,3,2
48,95,pro,Czech,ADP,11,no,5.576,1.1979,0.339,0.3993,0.3449,0.8138,3,2,2,2
49,99,zařízení,Czech,NOUN,148,no,0.3286,-1.4637,-0.4053,0.2045,0.1619,0.714,5,4,3,2
50,100,o,Czech,ADJ,98,no,7.3495,1.2238,-0.2438,0.4651,0.3467,0.7356,3,2,2,2
51,102,dnes,Czech,ADV,310,no,0.3489,-1.3774,-0.2347,0.2053,0.1678,0.7369,5,4,3,2
52,107,jeho,Czech,DET,71,no,-1.4285,0.2921,0.6552,0.1393,0.2826,0.8561,5,4,3,2
53,109,má,Czech,VERB,42,no,12.9427,4.8523,-2.3539,0.6728,0.5963,0.4528,3,2,2,2
54,110,z,Czech,ADP,10,no,6.4082,1.7206,0.295,0.4302,0.3809,0.8079,3,2,2,2
55,2160,letech,Czech,NOUN,201,no,0.5569,-0.378,1.6655,0.213,0.2366,0.9916,5,4,3,2
56,119,vám,Czech,PRON,251,no,-4.3614,2.3992,-0.6145,0.0304,0.4276,0.686,1,1,1,1
57,123,nutné,Czech,ADJ,316,no,1.6274,-1.1485,0.7822,0.2527,0.1835,0.8732,5,4,3,2
58,129,v,Czech,ADP,2,no,5.4412,1.5562,0.2639,0.3943,0.3696,0.8037,3,2,2,2
59,2177,ročně,Czech,ADV,436,no,-2.4368,-0.4165,-0.8311,0.1019,0.2339,0.6569,2,1,1,1
60,132,jen,Czech,PART,38,no,0.7532,-0.0146,1.5908,0.2203,0.2615,0.9815,5,4,3,2
61,133,jako,Czech,SCONJ,33,no,2.3726,-0.3968,0.7671,0.2804,0.2353,0.8711,4,3,3,2
62,136,aby,Czech,SCONJ,35,no,-1.274,-0.2176,0.4248,0.1451,0.2476,0.8253,2,1,1,1
63,137,by,Czech,AUX,16,no,0.0082,-0.8032,1.066,0.1926,0.2073,0.9112,5,4,3,2
64,2187,společnost,Czech,NOUN,153,no,2.9495,0.2862,0.0692,0.3018,0.2822,0.7776,4,3,3,2
65,144,mezinárodní,Czech,ADJ,161,no,-2.3741,0.8512,0.58,0.1042,0.3211,0.8461,2,1,1,1
66,2197,prodat,Czech,VERB,468,no,-0.4783,0.9523,-0.4563,0.1746,0.3281,0.7072,2,1,1,1
67,150,který,Czech,DET,49,no,2.1596,-0.1441,0.1312,0.2725,0.2526,0.7859,4,3,3,2
68,4249,nad,Czech,ADP,129,no,-1.7486,-1.1031,-1.8711,0.1274,0.1867,0.5175,5,4,3,2
69,156,jaké,Czech,DET,292,no,-2.2118,0.1541,0.1124,0.1102,0.2731,0.7834,2,1,1,1
70,157,přístroj,Czech,NOUN,297,no,-1.9635,2.248,-0.1296,0.1195,0.4172,0.751,2,1,1,1
71,163,pak,Czech,ADV,84,no,0.6558,-1.4449,0.3244,0.2167,0.1632,0.8118,5,4,3,2
72,2211,roky,Czech,NOUN,300,no,0.7819,0.6578,-0.049,0.2214,0.3078,0.7618,4,3,3,2
73,166,provozu,Czech,NOUN,315,no,-0.198,-0.5628,0.3965,0.185,0.2238,0.8215,5,4,3,2
74,167,však,Czech,CCONJ,29,no,2.8669,-1.1336,0.6735,0.2988,0.1846,0.8586,4,3,3,2
75,170,kvalitu,Czech,NOUN,242,no,1.617,-0.9896,0.7189,0.2524,0.1945,0.8647,5,4,3,2
76,172,s,Czech,NOUN,64,no,1.8445,-0.2855,0.7815,0.2608,0.2429,0.8731,4,3,3,2
77,173,tím,Czech,DET,83,no,3.5984,-1.3463,0.0481,0.3259,0.1699,0.7748,4,3,3,2
78,176,a,Czech,ADJ,354,no,21.7585,10.7211,-5.0203,1.0,1.0,0.0954,3,2,2,2
79,177,všechny,Czech,DET,170,no,-0.0004,-0.8137,0.3244,0.1923,0.2066,0.8118,5,4,3,2
80,178,po,Czech,ADP,25,no,1.4567,-0.1921,1.3342,0.2464,0.2493,0.9472,5,4,3,2
81,180,spojení,Czech,NOUN,434,no,-0.7741,-0.6603,0.5557,0.1636,0.2171,0.8428,2,1,1,1
82,182,pokud,Czech,SCONJ,76,no,-2.4744,-2.0876,-5.3893,0.1005,0.119,0.0459,5,4,3,2
83,190,přesto,Czech,ADV,301,no,-1.707,0.0696,0.398,0.129,0.2673,0.8217,2,1,1,1
84,191,potom,Czech,ADV,333,no,-1.1699,-0.2463,0.6236,0.1489,0.2456,0.8519,2,1,1,1
85,193,že,Czech,SCONJ,7,no,6.1404,0.9001,-0.6136,0.4203,0.3245,0.6861,4,3,3,2
86,201,až,Czech,CCONJ,151,no,0.4354,-0.3034,1.7284,0.2085,0.2417,1.0,5,4,3,2
87,2250,výrobě,Czech,NOUN,375,no,-1.3754,0.1522,0.8787,0.1413,0.273,0.8861,5,4,3,2
88,202,k,Czech,ADP,14,no,2.3173,1.2475,0.2585,0.2784,0.3484,0.803,4,3,3,2
89,204,proto,Czech,CCONJ,88,no,-0.6506,-1.9033,-1.6739,0.1682,0.1316,0.5439,5,4,3,2
90,207,něco,Czech,PRON,373,no,-0.9922,-1.2661,-0.8601,0.1555,0.1755,0.653,5,4,3,2
91,208,víc,Czech,ADV,282,no,1.3129,-2.1124,-0.7216,0.2411,0.1173,0.6716,5,4,3,2
92,225,případě,Czech,NOUN,114,no,2.5618,-1.2487,0.5109,0.2874,0.1767,0.8368,4,3,3,2
93,229,jsou,Czech,VERB,111,no,0.36,-0.9404,0.6977,0.2057,0.1979,0.8618,5,4,3,2
94,2279,číslo,Czech,NOUN,355,no,0.9081,-1.0184,0.841,0.2261,0.1925,0.881,5,4,3,2
95,4329,odborný,Czech,ADJ,298,no,-4.6717,2.5773,-0.7668,0.0189,0.4398,0.6655,1,1,1,1
96,4330,veletrh,Czech,NOUN,208,no,0.6354,-0.107,-0.8888,0.2159,0.2552,0.6492,4,3,3,2
97,244,ten,Czech,DET,267,no,0.5074,-0.4417,0.7467,0.2112,0.2322,0.8684,5,4,3,2
98,245,jste,Czech,AUX,127,no,-4.3711,2.4099,-0.6228,0.0301,0.4283,0.6848,1,1,1,1
99,4347,13,Czech,NUM,159,no,-2.2337,-0.0906,-1.1547,0.1094,0.2563,0.6135,5,4,3,2
100,252,přístrojů,Czech,NOUN,479,no,-0.3132,-0.6315,0.4141,0.1807,0.2191,0.8238,5,4,3,2
101,254,samozřejmě,Czech,ADV,305,no,-1.5434,-3.2937,-5.732,0.1351,0.036,0.0,5,4,3,2
102,256,fax,Czech,NOUN,28,no,2.2382,-0.3848,0.6489,0.2754,0.2361,0.8553,4,3,3,2
103,257,velmi,Czech,ADV,141,no,-4.4418,2.4533,-0.6591,0.0275,0.4313,0.68,1,1,1,1
