,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,på,Danish,ADP,7,no,-10.5527,-4.2497,-1.5757,0.2857,0.3619,0.6394,4,3,2,2
1,3,har,Danish,VERB,42,no,-2.8388,0.7532,1.0183,0.6421,0.8214,0.9726,5,4,3,2
2,6,til,Danish,ADV,191,no,-9.9104,-3.9616,-1.3408,0.3154,0.3883,0.6696,4,3,2,2
3,2056,mill.,Danish,NOUN,392,no,1.0436,0.6399,-0.6719,0.8214,0.811,0.7555,2,2,1,1
4,8,i,Danish,ADP,1,no,-14.9618,-8.1774,-2.8656,0.082,0.0011,0.4737,4,3,2,2
5,2057,50,Danish,NUM,418,no,2.2447,0.5154,-2.0667,0.8769,0.7996,0.5763,2,2,1,1
6,11,af,Danish,ADP,8,no,-6.2194,-1.0002,1.0339,0.4859,0.6604,0.9746,5,4,3,2
7,12,at,Danish,SCONJ,12,no,-7.1183,-0.2528,0.5787,0.4444,0.729,0.9161,5,4,3,2
8,16,går,Danish,NOUN,188,no,-4.1391,0.3989,0.862,0.582,0.7889,0.9525,5,4,3,2
9,17,ind,Danish,ADV,66,no,-1.9382,1.7262,0.0042,0.6837,0.9108,0.8423,5,4,3,2
10,18,de,Danish,PRON,27,no,-0.8508,-0.8096,0.9077,0.7339,0.6779,0.9584,3,2,1,1
11,22,eller,Danish,CCONJ,49,no,-0.8999,0.4042,0.6674,0.7316,0.7894,0.9275,3,2,1,1
12,23,slet,Danish,ADV,283,no,3.431,-2.1903,0.7494,0.9317,0.5511,0.9381,2,2,1,1
13,24,og,Danish,CCONJ,2,no,-15.2731,-7.7635,-2.9557,0.0677,0.0391,0.4622,4,3,2,2
14,25,ret,Danish,ADV,389,no,2.2021,-0.5935,-0.2083,0.8749,0.6977,0.8151,2,2,1,1
15,28,mere,Danish,ADJ,176,no,-1.2593,1.2473,-0.1365,0.715,0.8668,0.8243,3,2,1,1
16,29,mindre,Danish,ADJ,322,no,0.7646,-0.1554,0.7835,0.8085,0.738,0.9425,2,2,1,1
17,30,grad,Danish,NOUN,478,no,1.7926,-0.4334,0.4608,0.856,0.7124,0.901,2,2,1,1
18,32,som,Danish,ADV,429,no,-1.6671,0.6981,1.1018,0.6962,0.8164,0.9833,5,4,3,2
19,33,en,Danish,PRON,240,no,-0.7769,-0.6613,1.0702,0.7373,0.6915,0.9793,3,2,1,1
20,2081,over,Danish,ADV,278,no,2.2717,-0.3185,-0.2028,0.8782,0.723,0.8158,2,2,1,1
21,36,det,Danish,DET,24,no,-16.7377,-8.1891,-3.5567,0.0,0.0,0.385,4,3,2,2
22,37,under,Danish,ADP,114,no,1.5353,-0.2476,0.1339,0.8441,0.7295,0.859,2,2,1,1
23,44,med,Danish,ADV,107,no,-4.266,1.1345,0.3806,0.5761,0.8565,0.8907,5,4,3,2
24,45,hele,Danish,ADJ,94,no,1.6029,-0.6991,0.8049,0.8473,0.688,0.9452,2,2,1,1
25,2094,steder,Danish,NOUN,265,no,0.0486,-0.0969,0.8724,0.7755,0.7433,0.9539,3,2,1,1
26,46,det,Danish,DET,24,no,-0.9527,-0.4104,0.8416,0.7292,0.7145,0.9499,3,2,1,1
27,51,med,Danish,ADV,107,no,-7.1354,-1.3796,0.6221,0.4436,0.6255,0.9217,5,4,3,2
28,52,børn,Danish,NOUN,151,no,-2.7858,0.7067,0.7368,0.6445,0.8172,0.9365,5,4,3,2
29,56,har,Danish,VERB,42,no,-12.1337,-5.0394,-2.0966,0.2127,0.2893,0.5725,4,3,2,2
30,2105,ske,Danish,VERB,495,no,-0.4602,0.6678,0.6776,0.752,0.8136,0.9289,3,2,1,1
31,57,selv,Danish,ADV,120,no,0.554,1.4785,-0.9297,0.7988,0.8881,0.7224,2,2,1,1
32,58,tre,Danish,NUM,98,no,0.6211,-0.0516,0.7146,0.8019,0.7475,0.9336,2,2,1,1
33,60,er,Danish,VERB,29,no,-8.1395,-1.6569,0.8181,0.3972,0.6001,0.9469,5,4,3,2
34,61,så,Danish,VERB,212,no,-4.4739,0.1493,1.1498,0.5665,0.766,0.9895,5,4,3,2
35,63,for,Danish,ADV,159,no,-8.3526,-2.9831,-1.0271,0.3874,0.4782,0.7099,5,4,3,2
36,66,den,Danish,PRON,48,no,-3.1385,0.9949,0.9484,0.6282,0.8436,0.9636,5,4,3,2
37,67,egen,Danish,ADJ,254,no,4.5094,-3.3228,0.5249,0.9815,0.447,0.9092,1,1,1,1
38,2114,1990,Danish,NUM,480,no,2.4585,0.7311,-2.9912,0.8868,0.8194,0.4576,2,2,1,1
39,2117,som,Danish,ADV,429,no,2.0748,0.5838,-1.5699,0.8691,0.8059,0.6402,2,2,1,1
40,70,hun,Danish,PRON,40,no,-2.8841,1.1475,0.9915,0.64,0.8577,0.9692,5,4,3,2
41,2118,netop,Danish,ADV,329,no,2.5579,1.1735,-3.4884,0.8914,0.8601,0.3937,2,2,1,1
42,72,år,Danish,NOUN,37,no,-10.2528,-4.9551,-1.6257,0.2996,0.2971,0.633,4,3,2,2
43,75,sin,Danish,DET,47,no,2.3257,-0.5892,0.3822,0.8807,0.6981,0.8909,2,2,1,1
44,2128,gælder,Danish,VERB,366,no,0.7348,0.5979,-0.2084,0.8072,0.8072,0.8151,2,2,1,1
45,81,ville,Danish,AUX,138,no,0.8522,0.8886,0.054,0.8126,0.8339,0.8488,2,2,1,1
46,82,mand,Danish,NOUN,139,no,-1.5011,0.4811,0.6575,0.7039,0.7964,0.9263,3,2,1,1
47,83,have,Danish,AUX,187,no,-5.3011,0.3866,0.722,0.5283,0.7878,0.9346,5,4,3,2
