,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,dat,Dutch,DET,166,no,5.8429,-0.0129,-0.0155,0.4558,0.7412,0.1812,5,4,3,2
1,2,is,Dutch,VERB,97,no,6.7394,-0.9767,-0.2485,0.4931,0.6577,0.1524,5,4,3,2
2,7,over,Dutch,ADP,30,no,2.7086,-0.0811,-1.179,0.3256,0.7353,0.0372,3,2,2,2
3,8,zes,Dutch,NUM,242,no,-0.4097,0.9593,0.0532,0.196,0.8253,0.1897,3,2,2,2
4,9,maanden,Dutch,NOUN,250,no,1.0458,0.1442,-0.8759,0.2565,0.7548,0.0747,3,2,2,2
5,11,dat,Dutch,DET,166,no,6.0854,-0.5846,-0.3717,0.4659,0.6917,0.1371,5,4,3,2
6,12,de,Dutch,PROPN,73,no,13.581,-5.4739,3.3335,0.7774,0.2684,0.5958,4,3,3,2
7,2062,betekent,Dutch,VERB,386,no,0.9456,1.2298,-0.2867,0.2523,0.8488,0.1476,3,2,2,2
8,17,in,Dutch,ADP,5,no,15.6781,-6.4401,4.006,0.8646,0.1847,0.679,4,3,3,2
9,19,regering,Dutch,NOUN,108,no,3.4591,0.999,-0.3827,0.3568,0.8288,0.1358,3,2,2,2
10,20,van,Dutch,PROPN,50,no,18.9363,-8.5736,5.1512,1.0,0.0,0.8208,4,3,3,2
11,22,kan,Dutch,VERB,281,no,-0.3768,0.9069,-0.2983,0.1973,0.8208,0.1462,3,2,2,2
12,23,volgens,Dutch,ADP,91,no,-0.736,0.0951,-0.343,0.1824,0.7505,0.1407,3,2,2,2
13,2071,ben,Dutch,AUX,207,no,-2.9067,-0.5299,1.1888,0.0922,0.6964,0.3303,1,1,1,1
14,25,premier,Dutch,NOUN,493,no,-1.4187,-0.1238,-0.2689,0.154,0.7316,0.1498,2,1,1,1
15,2074,stelde,Dutch,VERB,436,no,1.2172,0.9291,-0.7776,0.2636,0.8227,0.0869,3,2,2,2
16,27,nog,Dutch,ADV,34,no,5.2943,-0.1979,-0.3929,0.433,0.7252,0.1345,5,4,3,2
17,2075,doen,Dutch,VERB,165,no,5.4301,-0.3966,-0.348,0.4387,0.708,0.1401,5,4,3,2
18,28,worden,Dutch,VERB,354,no,-2.3844,-0.0956,0.2749,0.1139,0.734,0.2172,2,1,1,1
19,30,met,Dutch,ADP,11,no,4.6081,-0.0936,-0.486,0.4045,0.7342,0.123,3,2,2,2
20,2078,b.,Dutch,PROPN,397,no,-2.9829,2.6623,5.272,0.089,0.9728,0.8357,1,1,1,1
21,32,niet,Dutch,ADV,16,no,7.0289,-0.867,-0.0362,0.5051,0.6672,0.1786,5,4,3,2
22,2080,groningen,Dutch,PROPN,124,no,0.5673,1.4301,-0.1431,0.2366,0.8661,0.1654,3,2,2,2
23,33,nieuwe,Dutch,ADJ,83,no,-2.9072,-1.1456,-0.2708,0.0922,0.6431,0.1496,2,1,1,1
24,35,zei,Dutch,VERB,154,no,0.2028,0.8154,-0.5908,0.2214,0.8129,0.11,3,2,2,2
25,36,dit,Dutch,PRON,89,no,-1.1217,-0.0013,-0.5779,0.1664,0.7422,0.1116,2,1,1,1
26,39,op,Dutch,ADP,7,no,10.6777,-3.6852,2.1718,0.6568,0.4232,0.452,5,4,3,2
27,41,politieke,Dutch,ADJ,205,no,-3.2351,-1.6561,-0.6102,0.0786,0.5989,0.1076,2,1,1,1
28,43,uit,Dutch,ADP,23,no,2.4266,0.568,-1.0546,0.3139,0.7915,0.0526,3,2,2,2
29,49,vrijdag,Dutch,PROPN,416,no,-2.1059,1.2588,2.9374,0.1255,0.8513,0.5467,1,1,1,1
30,51,partij,Dutch,NOUN,162,no,0.7392,0.9212,-0.4952,0.2437,0.822,0.1218,3,2,2,2
31,54,als,Dutch,SCONJ,18,no,4.1165,0.2347,-0.9016,0.3841,0.7626,0.0715,3,2,2,2
32,55,wordt,Dutch,VERB,358,no,-2.3279,0.5801,2.0486,0.1163,0.7925,0.4367,1,1,1,1
33,57,het,Dutch,PRON,15,no,6.1255,-0.2578,-0.113,0.4676,0.72,0.1691,5,4,3,2
34,62,alleen,Dutch,ADV,123,no,-0.4127,0.5555,-0.6878,0.1959,0.7904,0.098,3,2,2,2
35,64,en,Dutch,CCONJ,6,no,17.5566,-7.7384,4.6692,0.9427,0.0723,0.7611,4,3,3,2
36,66,maken,Dutch,VERB,106,no,8.7625,-3.3886,1.5566,0.5772,0.4489,0.3758,5,4,3,2
37,67,er,Dutch,PRON,144,no,5.3829,-0.2246,-0.381,0.4367,0.7228,0.136,5,4,3,2
38,68,deel,Dutch,NOUN,230,no,1.4321,2.0208,0.3553,0.2725,0.9172,0.2271,3,2,2,2
39,71,niets,Dutch,PRON,141,no,-0.9656,0.0539,-0.4771,0.1729,0.747,0.1241,2,1,1,1
40,72,vindt,Dutch,VERB,390,no,-0.5629,-0.1539,-1.1398,0.1896,0.729,0.042,2,1,1,1
41,73,beter,Dutch,ADJ,391,no,0.7875,1.1545,-0.5812,0.2457,0.8422,0.1112,3,2,2,2
42,76,die,Dutch,DET,61,no,7.3142,-0.6658,0.2356,0.517,0.6846,0.2123,5,4,3,2
43,79,tussen,Dutch,ADP,86,no,-0.798,0.271,-0.6136,0.1798,0.7658,0.1072,2,1,1,1
44,80,het,Dutch,PRON,15,no,8.1478,-0.9382,0.4193,0.5516,0.6611,0.235,5,4,3,2
45,2129,gekregen,Dutch,VERB,383,no,1.7861,0.4545,-0.8007,0.2872,0.7816,0.084,3,2,2,2
46,82,kleine,Dutch,ADJ,136,no,-2.0992,-0.449,-0.126,0.1258,0.7034,0.1675,2,1,1,1
47,85,we,Dutch,PRON,62,no,0.5151,1.5833,0.029,0.2344,0.8794,0.1867,3,2,2,2
48,86,hebben,Dutch,VERB,94,no,6.5407,-1.0007,-0.0845,0.4848,0.6556,0.1727,5,4,3,2
49,87,een,Dutch,NUM,90,no,8.2882,-1.9194,0.4343,0.5575,0.5761,0.2369,5,4,3,2
50,89,nodig,Dutch,ADJ,488,no,-0.1411,1.2102,-0.0307,0.2071,0.8471,0.1793,3,2,2,2
51,90,voor,Dutch,ADP,10,no,7.5522,-1.1731,-0.1137,0.5269,0.6407,0.169,5,4,3,2
52,97,zij,Dutch,PRON,60,no,-0.1222,0.6498,-0.8856,0.2079,0.7985,0.0735,3,2,2,2
53,98,buiten,Dutch,ADP,261,no,-1.7784,-0.1897,-0.1977,0.1391,0.7259,0.1587,2,1,1,1
54,99,gehouden,Dutch,VERB,189,no,2.6872,0.2968,-0.9582,0.3247,0.768,0.0645,3,2,2,2
55,101,denken,Dutch,VERB,387,no,0.4304,0.4029,-0.9458,0.2309,0.7772,0.0661,3,2,2,2
