,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,al,English,PROPN,38,no,-0.4687,0.5889,-0.1935,0.1917,0.8311,0.875,3,3,3,2
1,4097,death,English,NOUN,196,no,-0.2228,1.066,-0.6281,0.2009,0.8615,0.8422,3,3,3,2
2,5,american,English,ADJ,257,no,-3.0829,-0.1426,-2.6145,0.0941,0.7844,0.6921,1,1,1,1
3,6,forces,English,NOUN,248,no,1.7336,0.4178,0.5541,0.274,0.8202,0.9315,5,4,3,2
4,7,killed,English,VERB,468,no,0.4451,0.7238,0.8818,0.2259,0.8397,0.9563,3,3,3,2
5,2056,to,English,SCONJ,395,no,-5.0692,-4.082,0.9945,0.02,0.5334,0.9648,1,1,1,1
6,4103,today,English,NOUN,323,no,-1.1615,-0.154,0.7842,0.1659,0.7837,0.9489,3,3,3,2
7,12,the,English,DET,1,no,14.7401,-7.8593,-2.9853,0.7596,0.2927,0.6641,2,2,2,2
8,2061,media,English,NOUN,197,no,1.0693,0.9341,0.3921,0.2492,0.8531,0.9193,3,3,3,2
9,14,at,English,ADP,29,no,0.1051,0.0567,0.4296,0.2132,0.7971,0.9221,3,3,3,2
10,16,in,English,ADV,343,no,8.7491,-2.5956,-0.1658,0.5359,0.6281,0.8771,5,4,3,2
11,18,of,English,SCONJ,124,no,14.1749,-7.3557,-2.7945,0.7385,0.3248,0.6785,2,2,2,2
12,2069,since,English,ADP,411,no,-2.4007,-0.404,-0.1893,0.1196,0.7678,0.8753,1,1,1,1
13,22,border,English,NOUN,493,no,-0.4209,0.7775,-0.0086,0.1935,0.8431,0.889,3,3,3,2
14,25,this,English,PRON,54,no,0.9518,1.039,0.2128,0.2448,0.8597,0.9057,3,3,3,2
15,27,a,English,DET,5,no,5.5586,-0.7302,0.2995,0.4168,0.747,0.9123,5,4,3,2
16,4123,orders,English,NOUN,291,no,-2.399,-0.9906,0.8541,0.1197,0.7304,0.9542,1,1,1,1
