,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,iga,Estonian,DET,116,no,2.3182,-0.3739,0.5408,0.8989,0.7362,0.7335,4,4,3,2
1,2049,vähemalt,Estonian,ADV,293,no,1.0805,-0.0387,0.7684,0.8469,0.7604,0.7547,4,4,3,2
2,4,tuli,Estonian,VERB,192,no,-5.3605,0.0251,0.0387,0.5764,0.765,0.6868,2,2,1,1
3,2053,maja,Estonian,NOUN,122,no,-0.534,0.4308,0.0494,0.7791,0.7944,0.6878,5,4,3,2
4,8,eesti,Estonian,ADJ,49,no,-4.7135,-1.2012,-0.4686,0.6035,0.6764,0.6397,2,2,1,1
5,9,ekspressi,Estonian,PROPN,361,no,2.6032,-0.1217,0.7289,0.9108,0.7544,0.751,4,4,3,2
6,10,teada,Estonian,VERB,170,no,-2.9438,1.4702,0.7345,0.6779,0.8695,0.7515,2,2,1,1
7,11,on,Estonian,VERB,61,no,-15.4538,-7.1903,-0.8748,0.1524,0.2433,0.6019,1,1,1,1
8,2060,sinna,Estonian,ADV,231,no,1.6621,1.3268,2.1057,0.8713,0.8592,0.879,4,4,3,2
9,14,hansapanga,Estonian,PROPN,137,no,0.6865,-1.9257,0.5935,0.8303,0.624,0.7384,4,4,3,2
10,17,mis,Estonian,PRON,15,no,-5.7096,0.5531,-0.1707,0.5617,0.8032,0.6674,2,2,1,1
11,19,kaks,Estonian,NUM,104,no,0.9151,0.1706,1.1992,0.8399,0.7756,0.7947,4,4,3,2
12,20,aastat,Estonian,NOUN,59,no,-2.4507,-0.4075,0.0943,0.6986,0.7338,0.692,5,4,3,2
13,21,tagasi,Estonian,ADV,93,no,1.188,0.2696,1.1039,0.8514,0.7827,0.7858,4,4,3,2
14,22,suvel,Estonian,NOUN,404,no,0.4009,-0.018,0.8401,0.8183,0.7619,0.7613,4,4,3,2
15,23,ja,Estonian,CCONJ,2,no,-19.0833,-10.5547,-1.6059,0.0,0.0,0.534,1,1,1,1
16,24,mille,Estonian,PRON,42,no,-0.1427,-1.3778,0.8138,0.7955,0.6636,0.7589,4,4,3,2
17,28,ligi,Estonian,ADV,196,no,1.6025,0.1904,-0.4171,0.8688,0.777,0.6445,5,4,3,2
18,29,miljardi,Estonian,NUM,407,no,2.6732,-0.6205,0.2469,0.9138,0.7184,0.7062,3,3,2,2
19,30,krooni,Estonian,NOUN,39,no,-7.6744,-2.6193,-0.505,0.4792,0.5738,0.6363,2,2,1,1
20,4124,alles,Estonian,ADV,159,no,0.4594,0.4434,-0.1864,0.8208,0.7953,0.6659,5,4,3,2
21,33,raha,Estonian,NOUN,37,no,-4.955,0.5778,-0.1788,0.5934,0.805,0.6666,2,2,1,1
22,34,see,Estonian,DET,31,no,-9.6477,-3.2866,-0.4518,0.3963,0.5256,0.6412,1,1,1,1
23,35,oli,Estonian,VERB,223,no,-5.1389,0.3679,0.3302,0.5857,0.7898,0.7139,2,2,1,1
24,36,rohkem,Estonian,ADV,82,no,-4.3579,0.897,-0.1153,0.6185,0.8281,0.6725,2,2,1,1
25,37,kui,Estonian,ADV,166,no,-9.4604,-1.9099,-0.2009,0.4042,0.6251,0.6646,2,2,1,1
26,39,protsenti,Estonian,NOUN,408,no,0.865,0.8487,-1.1272,0.8378,0.8246,0.5785,5,4,3,2
27,40,kogu,Estonian,DET,80,no,-0.3462,0.2296,0.2159,0.787,0.7798,0.7033,5,4,3,2
28,44,suurem,Estonian,ADJ,331,no,-2.4892,2.2502,-0.5642,0.6969,0.9259,0.6308,5,4,3,2
29,45,osa,Estonian,NOUN,97,no,-4.1574,-0.8262,-0.4371,0.6269,0.7035,0.6426,2,2,1,1
30,48,eesti,Estonian,ADJ,49,no,1.6384,0.4755,-1.0615,0.8703,0.7976,0.5846,5,4,3,2
31,4146,suhtes,Estonian,ADP,307,no,2.6717,-0.9786,0.0422,0.9137,0.6925,0.6872,3,3,2,2
32,50,järgi,Estonian,ADP,180,no,3.2634,-1.321,-0.2171,0.9386,0.6677,0.6631,3,3,2,2
33,56,aga,Estonian,ADV,34,no,-4.7715,1.1582,-0.2233,0.6011,0.847,0.6625,2,2,1,1
34,57,kindlasti,Estonian,ADV,198,no,-0.2015,0.7906,0.2915,0.793,0.8204,0.7103,5,4,3,2
35,59,kes,Estonian,PRON,16,no,-3.9326,1.7963,-0.245,0.6363,0.8931,0.6605,2,2,1,1
36,12348,anne,Estonian,PROPN,441,no,3.2381,-1.4731,-0.6837,0.9375,0.6567,0.6197,3,3,2,2
37,60,tegelikult,Estonian,ADV,123,no,-0.1676,1.0897,0.6227,0.7945,0.842,0.7411,5,4,3,2
38,63,selleks,Estonian,PRON,358,no,-0.0425,1.9856,-0.3122,0.7997,0.9068,0.6542,5,4,3,2
39,64,et,Estonian,SCONJ,3,no,-14.2106,-5.9023,-0.6683,0.2047,0.3364,0.6211,1,1,1,1
40,2112,auto,Estonian,NOUN,464,no,0.7752,-0.2818,0.6988,0.8341,0.7428,0.7482,4,4,3,2
41,66,oleks,Estonian,AUX,33,no,-1.3337,1.1971,1.0779,0.7455,0.8498,0.7834,5,4,3,2
42,69,vastu,Estonian,ADV,279,no,1.1858,-0.5329,0.579,0.8513,0.7247,0.7371,4,4,3,2
43,71,kuid,Estonian,CCONJ,25,no,-3.1683,1.2644,1.1801,0.6684,0.8547,0.7929,2,2,1,1
44,72,isegi,Estonian,ADV,87,no,-0.2727,0.4809,0.2402,0.79,0.798,0.7056,5,4,3,2
45,74,ei,Estonian,ADV,177,no,-5.8284,0.4232,0.4145,0.5567,0.7938,0.7218,2,2,1,1
46,75,jõudnud,Estonian,VERB,353,no,-3.7888,1.0861,0.6873,0.6424,0.8418,0.7471,2,2,1,1
47,76,kohe,Estonian,ADV,233,no,-0.0069,1.1232,0.3689,0.8012,0.8444,0.7175,5,4,3,2
48,12362,hille,Estonian,PROPN,157,no,0.1461,0.2338,1.1613,0.8076,0.7801,0.7912,4,4,3,2
49,78,tunnistab,Estonian,VERB,413,no,-0.585,0.1186,1.1018,0.7769,0.7718,0.7857,4,4,3,2
50,80,meie,Estonian,PRON,71,no,1.4203,-0.0544,0.6659,0.8611,0.7593,0.7451,4,4,3,2
51,82,liiga,Estonian,ADV,213,no,1.7188,1.6934,2.5197,0.8737,0.8857,0.9175,4,4,3,2
52,2131,siin,Estonian,ADV,131,no,-1.7755,2.1795,0.8509,0.7269,0.9208,0.7623,5,4,3,2
53,89,juht,Estonian,NOUN,313,no,0.0571,0.897,0.0092,0.8039,0.8281,0.6841,5,4,3,2
54,2138,ongi,Estonian,AUX,240,no,3.4921,-1.5851,-0.707,0.9482,0.6486,0.6175,3,3,2,2
55,92,ütleb,Estonian,VERB,51,no,-5.2626,0.1267,-0.7403,0.5805,0.7724,0.6144,2,2,1,1
56,98,siis,Estonian,ADV,13,no,-6.0771,0.3749,-0.2334,0.5463,0.7903,0.6615,2,2,1,1
