,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,6,aina,Finnish,ADV,79,no,-2.7618,-0.9517,-0.0003,0.7393,0.1554,0.2258,5,4,3,2
1,2055,meille,Finnish,PRON,149,no,-0.6953,-1.1403,-0.4026,0.8158,0.1443,0.1817,5,4,3,2
2,8,ja,Finnish,CCONJ,1,no,-22.7479,13.453,3.8613,0.0,1.0,0.6492,4,3,2,2
3,8200,koskevan,Finnish,VERB,467,no,2.3027,-0.0495,-0.6862,0.9267,0.2083,0.1506,2,2,1,1
4,13,vähän,Finnish,ADV,78,no,-3.5262,-1.2194,0.5984,0.7111,0.1397,0.2914,5,4,3,2
5,2063,suuri,Finnish,ADJ,422,no,0.5258,-0.2519,0.0089,0.8609,0.1964,0.2268,3,2,1,1
6,16,kuin,Finnish,ADV,339,no,-3.9922,0.3968,-0.2746,0.6938,0.2345,0.1957,5,4,3,2
7,17,silloin,Finnish,ADV,114,no,-1.4101,-1.4491,0.1495,0.7893,0.1262,0.2422,5,4,3,2
8,19,kun,Finnish,SCONJ,8,no,-5.9322,0.9629,-0.5242,0.6221,0.2677,0.1684,5,4,3,2
9,2071,teemme,Finnish,VERB,483,no,-2.5435,-1.8566,0.0342,0.7474,0.1023,0.2296,5,4,3,2
10,23,kerran,Finnish,ADV,127,no,-2.418,0.17,-0.991,0.7521,0.2212,0.1172,5,4,3,2
11,27,kuinka,Finnish,ADV,112,no,1.4508,-0.2164,-0.6368,0.8952,0.1985,0.156,2,2,1,1
12,2078,valo,Finnish,NOUN,322,no,2.2338,0.8162,-0.1846,0.9241,0.2591,0.2056,2,2,1,1
13,32,vaikka,Finnish,ADV,453,no,0.9613,-0.413,-0.8472,0.8771,0.187,0.1329,2,2,1,1
14,2082,emme,Finnish,AUX,95,no,0.4335,-2.0889,0.1928,0.8575,0.0887,0.247,3,2,1,1
15,36,on,Finnish,VERB,169,no,-13.2721,5.6782,1.0601,0.3505,0.5441,0.3421,4,3,2,2
16,2085,koskaan,Finnish,ADV,106,no,-0.8679,-1.4698,-0.3042,0.8094,0.125,0.1925,5,4,3,2
17,38,se,Finnish,PRON,5,no,-12.9878,5.068,1.4026,0.3611,0.5084,0.3796,4,3,2,2
18,41,että,Finnish,CCONJ,206,no,-15.0321,6.7522,1.3455,0.2854,0.6071,0.3734,4,3,2,2
19,46,vai,Finnish,CCONJ,325,no,1.7693,-0.123,-0.6346,0.9069,0.204,0.1562,2,2,1,1
20,51,tekee,Finnish,VERB,201,no,-4.3366,-0.4384,0.0717,0.6811,0.1855,0.2337,5,4,3,2
21,56,sen,Finnish,PRON,10,no,-7.472,1.5795,0.3266,0.5651,0.3038,0.2616,5,4,3,2
22,58,sekä,Finnish,CCONJ,42,no,-1.0021,0.6217,-0.9244,0.8044,0.2477,0.1245,5,4,3,2
23,59,eri,Finnish,ADJ,100,no,0.1282,-0.3648,0.0686,0.8462,0.1898,0.2333,3,2,1,1
24,2109,välillä,Finnish,ADP,484,no,2.014,-0.2354,-0.7398,0.916,0.1974,0.1447,2,2,1,1
25,62,onneksi,Finnish,ADV,316,no,3.5053,1.6157,0.6465,0.9712,0.3059,0.2967,1,1,1,1
26,2111,niille,Finnish,PRON,353,no,-0.2944,-1.2823,0.7361,0.8306,0.136,0.3065,3,2,1,1
27,64,ei,Finnish,ADV,312,no,-8.5567,1.5356,0.4746,0.525,0.3012,0.2779,5,4,3,2
28,63,sitä,Finnish,PRON,14,no,-7.3941,1.0087,0.2561,0.568,0.2703,0.2539,5,4,3,2
29,66,vaiheessa,Finnish,NOUN,203,no,-1.4098,-0.3861,-0.3963,0.7893,0.1886,0.1824,5,4,3,2
30,2113,näyttää,Finnish,VERB,327,no,-1.4336,-1.0636,-0.51,0.7885,0.1488,0.1699,5,4,3,2
31,75,oli,Finnish,VERB,330,no,-4.6485,-0.5619,0.0023,0.6695,0.1782,0.2261,5,4,3,2
32,77,niin,Finnish,CCONJ,442,no,-5.5935,-0.0348,0.2719,0.6346,0.2092,0.2556,5,4,3,2
33,79,ihmiset,Finnish,NOUN,159,no,2.69,1.2362,0.5775,0.941,0.2837,0.2891,1,1,1,1
34,2130,esille,Finnish,ADV,479,no,3.4441,1.5797,0.6367,0.9689,0.3038,0.2956,1,1,1,1
35,87,mukaan,Finnish,ADV,288,no,1.7875,0.3892,-0.3954,0.9076,0.234,0.1825,2,2,1,1
36,96,käytännössä,Finnish,NOUN,342,no,1.5816,-0.4878,-0.7836,0.9,0.1826,0.1399,2,2,1,1
37,99,toisen,Finnish,PRON,463,no,1.8854,0.3713,-0.1755,0.9112,0.233,0.2066,2,2,1,1
38,2149,vuonna,Finnish,NOUN,158,no,0.601,1.7027,-0.9576,0.8637,0.311,0.1208,2,2,1,1
39,105,kaikkia,Finnish,PRON,427,no,2.841,1.0623,0.0167,0.9466,0.2735,0.2277,2,2,1,1
40,108,vuoksi,Finnish,ADP,86,no,1.3724,-0.5065,-0.8925,0.8923,0.1815,0.128,2,2,1,1
41,2163,löytyy,Finnish,VERB,473,no,-2.6978,-1.1839,0.2487,0.7417,0.1418,0.2531,5,4,3,2
