,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,les,French,PRON,184,no,3.9069,0.5326,0.1492,0.2601,0.8711,0.5579,5,4,3,2
1,4,sont,French,AUX,26,no,-1.0523,-0.6759,0.442,0.1194,0.8065,0.5943,2,2,2,2
2,2055,20,French,NUM,237,no,-1.2063,-0.0594,-0.4982,0.115,0.8395,0.4775,2,2,2,2
3,8,dans,French,ADP,14,no,6.8041,-1.3314,1.2038,0.3423,0.7714,0.6889,5,4,3,2
4,9,ce,French,PRON,58,no,-0.1585,0.0702,2.2419,0.1448,0.8464,0.8178,5,4,3,2
5,2058,province,French,NOUN,395,no,0.3161,2.5068,-2.5912,0.1582,0.9768,0.2176,5,4,3,2
6,11,qu',French,ADV,397,no,0.1993,0.8046,-0.5647,0.1549,0.8857,0.4692,5,4,3,2
7,12,on,French,PRON,46,no,-2.8204,-1.696,0.9008,0.0692,0.7519,0.6513,3,2,2,2
8,16,comme,French,SCONJ,115,no,-1.5386,-1.0465,0.9968,0.1056,0.7867,0.6632,2,2,2,2
9,17,la,French,PRON,246,no,8.4079,-1.3335,-0.0126,0.3878,0.7713,0.5378,5,4,3,2
10,20,l',French,PRON,166,no,5.1275,-0.3497,0.8408,0.2947,0.8239,0.6438,5,4,3,2
11,21,œuvre,French,NOUN,294,no,1.3653,1.5977,0.9193,0.188,0.9281,0.6535,5,4,3,2
12,2070,joueur,French,NOUN,296,no,1.0851,1.1482,0.0352,0.18,0.9041,0.5438,5,4,3,2
13,22,est,French,VERB,133,no,9.8146,-3.1676,-0.2637,0.4277,0.6732,0.5066,4,3,3,2
14,23,située,French,VERB,81,no,2.3066,1.6395,-0.3584,0.2147,0.9304,0.4949,5,4,3,2
15,25,de,French,DET,75,no,29.9854,-15.7493,-2.2977,1.0,0.0,0.254,1,1,1,1
16,28,le,French,PRON,67,no,13.7312,-5.633,-0.2121,0.5388,0.5413,0.513,1,1,1,1
17,29,château,French,NOUN,134,no,2.0955,1.3671,0.3551,0.2087,0.9158,0.5835,5,4,3,2
18,2078,village,French,NOUN,223,no,1.2257,2.0051,0.272,0.184,0.9499,0.5732,5,4,3,2
19,2079,km,French,NOUN,325,no,0.8206,0.8757,-0.4295,0.1725,0.8895,0.486,5,4,3,2
20,2081,côté,French,NOUN,298,no,1.0421,1.3076,1.7389,0.1788,0.9126,0.7553,5,4,3,2
21,36,a,French,ADP,220,no,-2.5855,-1.5795,1.0671,0.0759,0.7581,0.6719,3,2,2,2
22,37,fait,French,AUX,187,no,5.1398,-1.6464,-0.1444,0.2951,0.7546,0.5214,4,3,3,2
23,38,elle,French,PRON,30,no,1.1278,0.5877,0.8185,0.1812,0.8741,0.641,5,4,3,2
24,2087,première,French,ADJ,79,no,0.7401,1.4223,0.7363,0.1702,0.9187,0.6308,5,4,3,2
25,40,est,French,VERB,133,no,4.0014,1.0436,-0.8084,0.2628,0.8985,0.439,5,4,3,2
26,41,plus,French,ADV,24,no,5.8368,-0.4821,-0.8109,0.3149,0.8169,0.4387,4,3,3,2
27,42,en,French,PRON,101,no,13.7777,-5.2816,-0.9428,0.5402,0.5601,0.4223,1,1,1,1
28,4139,15,French,NUM,367,no,-0.8582,-0.1481,0.554,0.1249,0.8347,0.6082,2,2,2,2
29,39,n',French,ADV,34,no,-0.3303,0.5016,0.3219,0.1399,0.8695,0.5793,5,4,3,2
30,45,auprès,French,ADV,364,no,-1.9964,-1.3064,0.1807,0.0926,0.7728,0.5618,2,2,2,2
31,46,communauté,French,NOUN,229,no,0.9913,0.8475,-0.1144,0.1774,0.888,0.5252,5,4,3,2
32,49,et,French,CCONJ,7,no,13.3699,-5.6066,-0.3567,0.5286,0.5427,0.4951,1,1,1,1
33,51,particulier,French,ADJ,475,no,-4.1637,-3.7047,-2.1276,0.0311,0.6444,0.2752,3,2,2,2
34,4148,sud-est,French,NOUN,423,no,0.2216,1.4078,0.2332,0.1555,0.918,0.5683,5,4,3,2
35,52,toutefois,French,ADV,197,no,-4.7027,-4.078,-2.0188,0.0158,0.6245,0.2887,3,2,2,2
36,59,que,French,PRON,157,no,2.6064,0.6201,-0.1224,0.2232,0.8758,0.5242,5,4,3,2
