,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,de,Galician,ADP,1,no,-34.4993,19.0405,5.0531,0.0,1.0,0.5349,2,1,1,1
1,2,novo,Galician,ADJ,240,no,0.9192,-0.2257,1.2511,0.884,0.0912,0.2345,5,4,3,2
2,2049,españa,Galician,PROPN,179,no,-0.4504,-1.1336,0.8705,0.8498,0.0484,0.2044,3,2,2,2
3,5,se,Galician,SCONJ,98,no,-3.0236,-0.4231,-1.383,0.7856,0.0819,0.0264,3,2,2,2
4,6,unha,Galician,PRON,389,no,-4.2539,-0.0241,-1.0431,0.7549,0.1007,0.0532,3,2,2,2
5,2055,durante,Galician,ADP,78,no,1.2394,0.5149,-0.5971,0.892,0.1262,0.0885,5,4,3,2
6,9,entre,Galician,ADP,25,no,-0.0442,0.4977,-1.3286,0.86,0.1254,0.0307,3,2,2,2
7,10,o,Galician,PRON,91,no,-12.0693,4.4821,0.4722,0.5598,0.3133,0.173,1,1,1,1
8,11,nivel,Galician,NOUN,131,no,-2.497,-1.4771,-0.5242,0.7988,0.0322,0.0942,3,2,2,2
9,12,acceso,Galician,NOUN,295,no,-0.6831,-1.1161,-0.2447,0.844,0.0492,0.1163,3,2,2,2
10,13,a,Galician,PRON,234,no,-15.1989,5.6364,1.0055,0.4817,0.3678,0.2151,1,1,1,1
11,14,a,Galician,PRON,234,no,-9.7535,2.2644,-0.5993,0.6176,0.2087,0.0883,3,2,2,2
12,15,internet,Galician,PROPN,411,no,-0.5037,-1.234,0.7631,0.8485,0.0437,0.1959,3,2,2,2
13,16,e,Galician,CCONJ,5,no,-16.1948,6.333,1.1211,0.4569,0.4006,0.2242,1,1,1,1
14,18,características,Galician,NOUN,233,no,-0.8218,-1.2011,-0.7929,0.8406,0.0452,0.073,3,2,2,2
15,20,os,Galician,PRON,68,no,-4.8013,0.4289,-1.3793,0.7413,0.1221,0.0267,3,2,2,2
16,22,que,Galician,SCONJ,12,no,-5.2462,-0.3656,-1.0175,0.7301,0.0846,0.0553,3,2,2,2
17,24,xa,Galician,ADV,40,no,1.1326,0.8771,-1.3451,0.8894,0.1433,0.0294,5,4,3,2
18,28,importante,Galician,ADJ,77,no,-1.959,-1.0843,-1.1137,0.8122,0.0507,0.0477,3,2,2,2
19,29,sobre,Galician,ADP,27,no,-1.8222,-0.9787,-1.0975,0.8156,0.0557,0.0489,3,2,2,2
20,31,datos,Galician,NOUN,96,no,-0.628,-0.6836,-0.8555,0.8454,0.0696,0.0681,3,2,2,2
21,32,anteriores,Galician,ADJ,438,no,0.9485,0.6913,-0.7439,0.8848,0.1345,0.0769,5,4,3,2
22,34,en,Galician,ADP,4,no,-18.443,7.5946,1.6177,0.4008,0.4601,0.2635,1,1,1,1
23,35,esta,Galician,DET,24,no,-1.2175,-1.1082,-0.8691,0.8307,0.0496,0.067,3,2,2,2
24,36,situación,Galician,NOUN,196,no,-1.5132,-1.101,-0.8545,0.8233,0.05,0.0681,3,2,2,2
25,37,as,Galician,DET,9,no,-2.6049,-0.4077,-1.4449,0.7961,0.0827,0.0215,3,2,2,2
26,41,súa,Galician,DET,22,no,-0.6131,-0.3809,-0.8862,0.8458,0.0839,0.0656,3,2,2,2
27,42,capacidade,Galician,NOUN,355,no,-0.3885,-0.9084,-0.1905,0.8514,0.059,0.1206,3,2,2,2
28,44,real,Galician,ADJ,406,no,1.6711,1.1413,-1.1315,0.9028,0.1557,0.0463,5,4,3,2
29,45,para,Galician,ADP,15,no,-4.0654,0.5407,-1.4403,0.7596,0.1274,0.0219,3,2,2,2
30,51,mercado,Galician,NOUN,146,no,-1.7952,-1.8075,0.0287,0.8163,0.0166,0.1379,3,2,2,2
31,53,fronte,Galician,NOUN,266,no,1.6493,0.8993,-0.5043,0.9023,0.1443,0.0958,5,4,3,2
32,56,máis,Galician,ADV,21,no,-2.4165,-1.1304,-1.0504,0.8008,0.0486,0.0527,3,2,2,2
33,60,aqueles,Galician,DET,171,no,1.9369,1.253,-0.9659,0.9094,0.161,0.0593,5,4,3,2
34,62,hai,Galician,VERB,92,no,-0.6571,-0.196,-1.5696,0.8447,0.0926,0.0116,3,2,2,2
35,2111,habitantes,Galician,NOUN,298,no,-0.7719,-1.432,0.2733,0.8418,0.0343,0.1572,3,2,2,2
36,67,menos,Galician,ADV,118,no,-0.5914,-1.2462,0.2585,0.8463,0.0431,0.1561,3,2,2,2
37,68,que,Galician,SCONJ,12,no,-3.8146,-0.5732,-1.2964,0.7659,0.0749,0.0332,3,2,2,2
38,73,medidas,Galician,NOUN,191,no,0.3894,-0.4818,0.3513,0.8708,0.0792,0.1634,5,4,3,2
39,76,contaminación,Galician,NOUN,315,no,1.0061,-0.142,1.1675,0.8862,0.0952,0.2279,5,4,3,2
40,78,está,Galician,VERB,459,no,3.4956,1.0113,5.7411,0.9483,0.1496,0.5892,5,4,3,2
41,80,aínda,Galician,ADV,50,no,-0.394,-1.2343,0.5323,0.8513,0.0437,0.1777,3,2,2,2
42,81,cando,Galician,PRON,49,no,1.3361,1.1658,-1.4005,0.8944,0.1569,0.025,5,4,3,2
43,86,custo,Galician,NOUN,417,no,0.1222,-0.1389,-0.7488,0.8641,0.0953,0.0765,5,4,3,2
44,87,estes,Galician,DET,60,no,-0.3241,-0.2548,-1.2374,0.853,0.0899,0.0379,3,2,2,2
45,90,número,Galician,NOUN,42,no,-2.9423,-1.1871,-0.8911,0.7877,0.0459,0.0652,3,2,2,2
46,94,ver,Galician,VERB,332,no,-1.6668,-1.1568,-0.9686,0.8195,0.0473,0.0591,3,2,2,2
47,4191,base,Galician,NOUN,249,no,-0.6406,-1.1693,0.3739,0.8451,0.0467,0.1652,3,2,2,2
48,96,2,Galician,NUM,81,no,-1.3214,-1.6476,-0.0959,0.8281,0.0242,0.1281,3,2,2,2
49,95,táboa,Galician,NOUN,359,no,0.5937,-0.3672,0.4728,0.8759,0.0846,0.173,3,2,2,2
50,100,un,Galician,PRON,380,no,-5.616,0.5252,-1.0227,0.7209,0.1267,0.0548,3,2,2,2
51,2152,operacións,Galician,NOUN,436,no,1.1158,0.6468,-0.5757,0.8889,0.1324,0.0902,5,4,3,2
52,111,desenvolvemento,Galician,NOUN,69,no,-2.1399,-2.0571,0.0929,0.8077,0.0049,0.143,3,2,2,2
53,113,lexislación,Galician,NOUN,405,no,-0.7488,-0.817,-0.4157,0.8424,0.0633,0.1028,3,2,2,2
54,114,estado,Galician,NOUN,65,no,-2.4075,-1.2906,-0.7608,0.801,0.041,0.0755,3,2,2,2
55,122,só,Galician,ADV,57,no,0.2996,-0.4475,-0.1339,0.8686,0.0808,0.1251,3,2,2,2
56,4219,índice,Galician,NOUN,500,no,-0.7098,-0.6649,-0.7901,0.8434,0.0705,0.0732,3,2,2,2
57,124,esa,Galician,DET,384,no,2.8539,1.9875,-0.5985,0.9323,0.1956,0.0884,4,3,3,2
58,125,mesma,Galician,DET,207,no,2.1842,1.0876,0.957,0.9156,0.1532,0.2113,5,4,3,2
59,2175,renda,Galician,NOUN,496,no,0.5622,0.0779,-0.2887,0.8751,0.1056,0.1128,5,4,3,2
60,128,proceso,Galician,NOUN,101,no,-1.1534,-1.3192,-0.2974,0.8323,0.0397,0.1122,3,2,2,2
61,2177,decreto,Galician,NOUN,495,no,0.6488,0.0343,-0.3995,0.8773,0.1035,0.1041,5,4,3,2
62,130,forestal,Galician,ADJ,424,no,3.2604,1.9616,0.823,0.9425,0.1944,0.2007,4,3,3,2
63,132,leva,Galician,VERB,432,no,0.502,-0.0421,-0.4863,0.8736,0.0999,0.0972,5,4,3,2
64,134,por,Galician,ADP,11,no,-6.8813,0.2834,-0.9232,0.6893,0.1153,0.0627,3,2,2,2
65,135,entidades,Galician,NOUN,183,no,-2.3514,0.4071,0.371,0.8024,0.1211,0.165,3,2,2,2
66,2186,poidan,Galician,VERB,439,no,4.0799,1.6765,4.7092,0.9629,0.181,0.5077,5,4,3,2
67,146,con,Galician,ADP,16,no,-5.5416,1.1087,-1.2618,0.7228,0.1542,0.036,3,2,2,2
68,2198,principais,Galician,ADJ,442,no,1.9551,1.1175,-1.0458,0.9099,0.1546,0.053,5,4,3,2
69,152,ten,Galician,VERB,71,no,-3.5176,-0.8406,-1.0158,0.7733,0.0622,0.0554,3,2,2,2
70,2201,economía,Galician,NOUN,444,no,-0.842,-1.7352,0.8911,0.8401,0.02,0.2061,3,2,2,2
71,157,pode,Galician,VERB,51,no,2.2772,1.0699,0.1206,0.9179,0.1524,0.1452,5,4,3,2
72,2207,especialmente,Galician,ADV,287,no,2.3992,1.109,2.0667,0.921,0.1542,0.2989,5,4,3,2
73,4256,11,Galician,NUM,499,no,0.6146,-0.5007,1.3006,0.8764,0.0783,0.2384,5,4,3,2
74,160,cada,Galician,DET,33,no,-0.1644,-0.055,-1.5331,0.857,0.0993,0.0145,3,2,2,2
75,164,todos,Galician,DET,90,no,2.3027,1.619,-1.0971,0.9186,0.1783,0.049,5,4,3,2
76,165,centros,Galician,NOUN,216,no,-1.0783,-1.2577,-0.4245,0.8342,0.0426,0.1021,3,2,2,2
77,166,xestión,Galician,NOUN,125,no,-2.0127,-1.4987,-0.3258,0.8109,0.0312,0.1099,3,2,2,2
78,168,sistemas,Galician,NOUN,202,no,-2.1194,-1.3799,-0.7077,0.8082,0.0368,0.0797,3,2,2,2
79,170,instalacións,Galician,NOUN,244,no,-1.3022,-1.3882,-0.3367,0.8286,0.0364,0.109,3,2,2,2
80,187,son,Galician,AUX,29,no,-0.2927,-0.3445,-1.4451,0.8538,0.0856,0.0215,3,2,2,2
81,189,galicia,Galician,PROPN,26,no,-2.2079,-1.3666,-0.7562,0.806,0.0374,0.0759,3,2,2,2
82,197,xunta,Galician,NOUN,284,no,-0.066,-0.7404,0.1157,0.8594,0.067,0.1448,3,2,2,2
83,198,tres,Galician,NOUN,184,no,-1.3152,-1.2713,-0.3944,0.8283,0.0419,0.1045,3,2,2,2
84,2246,baixo,Galician,ADP,492,no,5.286,5.5381,-1.0264,0.993,0.3631,0.0546,4,3,3,2
85,201,concellos,Galician,NOUN,463,no,-0.4325,-0.9534,-0.2494,0.8503,0.0569,0.1159,3,2,2,2
86,202,catro,Galician,NOUN,288,no,-1.0035,-1.6609,0.5651,0.836,0.0235,0.1803,3,2,2,2
87,206,ter,Galician,VERB,38,no,-4.359,-0.6912,-1.1008,0.7523,0.0693,0.0487,3,2,2,2
88,209,actual,Galician,ADJ,371,no,3.0133,2.2728,-0.8473,0.9363,0.2091,0.0687,4,3,3,2
89,210,calidade,Galician,NOUN,222,no,-1.0823,-1.3675,-0.3336,0.8341,0.0374,0.1093,3,2,2,2
90,211,augas,Galician,NOUN,114,no,-1.4433,-1.8169,0.0573,0.8251,0.0162,0.1402,3,2,2,2
91,214,cara,Galician,NOUN,397,no,0.6579,-0.6279,2.4539,0.8775,0.0723,0.3295,5,4,3,2
92,2262,hoxe,Galician,ADV,454,no,3.6409,3.1378,-1.1693,0.952,0.2499,0.0433,4,3,3,2
93,2271,presentación,Galician,NOUN,299,no,-0.1047,-0.7403,0.5544,0.8585,0.067,0.1795,3,2,2,2
94,223,todo,Galician,DET,80,no,-0.5867,-1.4996,0.4951,0.8464,0.0312,0.1748,3,2,2,2
95,224,isto,Galician,PRON,112,no,0.7491,0.5837,-1.1888,0.8798,0.1294,0.0417,5,4,3,2
96,226,plan,Galician,NOUN,220,no,-0.7277,-0.9405,-0.304,0.8429,0.0575,0.1116,3,2,2,2
97,227,5,Galician,NUM,282,no,0.1184,-0.6254,0.0189,0.864,0.0724,0.1371,3,2,2,2
98,228,anos,Galician,NOUN,39,no,-2.9006,-1.3597,-0.8267,0.7887,0.0378,0.0703,3,2,2,2
99,230,traballo,Galician,NOUN,70,no,-1.5747,-1.6495,-0.2458,0.8218,0.0241,0.1162,3,2,2,2
100,231,centro,Galician,NOUN,251,no,-0.3192,-1.4458,1.3312,0.8531,0.0337,0.2408,3,2,2,2
101,239,consellería,Galician,NOUN,460,no,0.6678,-0.0935,0.2084,0.8778,0.0975,0.1521,5,4,3,2
102,4337,construcción,Galician,NOUN,494,no,-0.7042,0.8401,3.2701,0.8435,0.1415,0.394,3,2,2,2
103,242,emprego,Galician,NOUN,132,no,-1.0386,-1.3666,-0.4873,0.8352,0.0374,0.0972,3,2,2,2
104,243,relacións,Galician,NOUN,281,no,-0.0666,-0.6454,0.2269,0.8594,0.0714,0.1536,3,2,2,2
105,241,sociais,Galician,ADJ,325,no,1.7058,0.7098,-0.2791,0.9037,0.1354,0.1136,5,4,3,2
106,245,me,Galician,PRON,102,no,1.968,1.1749,0.5275,0.9102,0.1573,0.1773,5,4,3,2
107,246,os,Galician,PRON,68,no,3.467,2.0116,1.5877,0.9476,0.1968,0.2611,5,4,3,2
108,248,artigo,Galician,NOUN,53,no,-1.1894,-1.2547,-0.4866,0.8314,0.0427,0.0972,3,2,2,2
109,250,tempo,Galician,NOUN,162,no,-0.5866,-1.0638,0.2797,0.8464,0.0517,0.1577,3,2,2,2
110,2300,horas,Galician,NOUN,230,no,-0.9233,-1.0387,-0.1096,0.838,0.0529,0.127,3,2,2,2
111,255,depende,Galician,VERB,446,no,1.2114,0.9772,-1.5831,0.8913,0.148,0.0106,5,4,3,2
112,256,cantidade,Galician,NOUN,215,no,-2.4167,-1.2947,-0.7486,0.8008,0.0408,0.0765,3,2,2,2
113,257,pesca,Galician,NOUN,448,no,1.2842,-0.6269,3.759,0.8931,0.0723,0.4326,5,4,3,2
114,258,necesidade,Galician,NOUN,193,no,-0.5477,-0.9847,0.0864,0.8474,0.0554,0.1425,3,2,2,2
115,261,ou,Galician,CCONJ,18,no,-3.9391,-0.702,-1.0554,0.7628,0.0688,0.0523,3,2,2,2
116,2313,impacto,Galician,NOUN,457,no,-0.7239,-1.0443,-0.1469,0.843,0.0526,0.124,3,2,2,2
117,268,outra,Galician,DET,82,no,0.6468,-0.0691,0.04,0.8772,0.0986,0.1388,5,4,3,2
118,269,parte,Galician,NOUN,41,no,-3.6626,-0.7172,-1.1474,0.7697,0.0681,0.045,3,2,2,2
119,270,nosa,Galician,DET,305,no,2.6088,1.5962,-0.2926,0.9262,0.1772,0.1125,4,3,3,2
120,2320,elementos,Galician,NOUN,265,no,-0.3818,-0.9214,-0.3113,0.8516,0.0584,0.1111,3,2,2,2
121,277,relación,Galician,NOUN,116,no,-1.4597,-1.5667,-0.3205,0.8247,0.028,0.1103,3,2,2,2
122,2327,quen,Galician,PRON,414,no,1.708,1.2131,-0.6015,0.9037,0.1591,0.0881,5,4,3,2
123,287,social,Galician,ADJ,85,no,1.0005,0.4552,-1.1468,0.8861,0.1234,0.045,5,4,3,2
124,292,2003,Galician,NUM,236,no,1.9278,0.5957,1.8309,0.9092,0.13,0.2803,5,4,3,2
125,294,la,Galician,NOUN,310,no,0.9262,-0.267,1.4686,0.8842,0.0893,0.2517,5,4,3,2
126,296,el,Galician,PRON,175,no,1.4263,-0.6263,4.4313,0.8967,0.0723,0.4858,5,4,3,2
127,312,dito,Galician,VERB,351,no,2.4699,1.7417,-1.0298,0.9227,0.184,0.0543,4,3,3,2
128,313,resultado,Galician,NOUN,262,no,-0.6225,-0.8057,-0.7865,0.8456,0.0639,0.0735,3,2,2,2
129,2366,incremento,Galician,NOUN,159,no,-1.9916,-1.01,-0.9236,0.8114,0.0543,0.0627,3,2,2,2
130,320,gastos,Galician,NOUN,395,no,0.3393,0.1776,-0.85,0.8696,0.1103,0.0685,5,4,3,2
131,328,procedemento,Galician,NOUN,420,no,0.7265,-0.5721,2.4633,0.8792,0.0749,0.3303,5,4,3,2
132,2376,información,Galician,NOUN,143,no,-1.7561,-1.5545,-0.3059,0.8173,0.0286,0.1115,3,2,2,2
133,2378,tendo,Galician,VERB,423,no,-0.9587,-0.851,-0.9783,0.8372,0.0617,0.0584,3,2,2,2
134,331,antes,Galician,ADV,166,no,0.6612,0.0652,-0.4345,0.8776,0.105,0.1013,5,4,3,2
135,332,meses,Galician,NOUN,297,no,2.4256,1.6946,-1.0671,0.9216,0.1818,0.0513,5,4,3,2
136,2381,pois,Galician,SCONJ,247,no,3.1061,2.7851,-1.0522,0.9386,0.2333,0.0525,4,3,3,2
137,334,desde,Galician,ADP,75,no,2.3013,1.2939,-0.3227,0.9185,0.1629,0.1102,4,3,3,2
138,335,data,Galician,NOUN,421,no,0.697,-0.9104,2.6806,0.8785,0.0589,0.3474,5,4,3,2
139,336,solicitude,Galician,NOUN,349,no,0.4136,-0.9804,2.2233,0.8714,0.0556,0.3113,5,4,3,2
140,2384,carácter,Galician,NOUN,225,no,-0.6319,-1.3012,0.2586,0.8453,0.0405,0.1561,3,2,2,2
141,329,deberá,Galician,VERB,134,no,3.4788,1.9497,1.8367,0.9479,0.1939,0.2808,5,4,3,2
142,339,calquera,Galician,DET,168,no,0.2041,-0.5124,-0.6706,0.8662,0.0777,0.0827,3,2,2,2
143,345,outros,Galician,DET,46,no,0.8582,0.3104,-1.0363,0.8825,0.1165,0.0538,5,4,3,2
144,346,competencia,Galician,NOUN,445,no,0.0162,-0.8532,0.9386,0.8615,0.0616,0.2098,3,2,2,2
145,353,sistema,Galician,NOUN,99,no,-2.0346,-1.4749,-0.4762,0.8103,0.0323,0.098,3,2,2,2
146,354,formación,Galician,NOUN,267,no,-0.3062,-1.0389,0.1291,0.8534,0.0529,0.1458,3,2,2,2
147,358,comunidade,Galician,NOUN,135,no,-1.784,-1.5773,-0.5276,0.8166,0.0275,0.094,3,2,2,2
148,362,creación,Galician,NOUN,326,no,-1.2459,-1.2049,-0.7611,0.83,0.0451,0.0755,3,2,2,2
149,363,unidade,Galician,NOUN,257,no,-0.233,-1.5859,2.0794,0.8553,0.0271,0.2999,5,4,3,2
150,2417,goberno,Galician,NOUN,368,no,0.6928,-1.0574,3.2619,0.8784,0.052,0.3934,5,4,3,2
151,373,gran,Galician,ADJ,304,no,2.2695,1.2975,-0.3434,0.9177,0.1631,0.1085,4,3,3,2
152,378,pública,Galician,ADJ,399,no,3.6754,3.1076,-0.9795,0.9528,0.2485,0.0583,4,3,3,2
153,381,zona,Galician,NOUN,462,no,0.5444,-0.4057,1.1324,0.8747,0.0828,0.2251,5,4,3,2
154,385,puntos,Galician,NOUN,303,no,-0.1817,-0.4761,-0.1563,0.8566,0.0794,0.1233,3,2,2,2
155,386,básicos,Galician,ADJ,479,no,3.2646,2.0176,0.6695,0.9426,0.1971,0.1885,4,3,3,2
156,387,principios,Galician,NOUN,415,no,-1.1328,-1.113,-0.4059,0.8328,0.0494,0.1036,3,2,2,2
157,388,mes,Galician,NOUN,416,no,0.5466,-0.3394,0.9427,0.8747,0.0859,0.2101,5,4,3,2
158,397,distribución,Galician,NOUN,333,no,-1.1845,-2.1601,1.0441,0.8315,0.0,0.2181,3,2,2,2
159,4493,distintos,Galician,ADJ,451,no,3.8049,3.0387,-0.4378,0.9561,0.2452,0.1011,4,3,3,2
160,400,á,Galician,NOUN,48,no,-2.7529,-1.0988,-0.9958,0.7924,0.0501,0.057,3,2,2,2
161,402,vez,Galician,NOUN,105,no,-1.1356,-1.1417,-0.6735,0.8327,0.048,0.0824,3,2,2,2
162,406,foi,Galician,VERB,418,no,2.1538,2.0338,-1.231,0.9148,0.1978,0.0384,5,4,3,2
163,407,necesario,Galician,ADJ,245,no,1.4858,1.116,-1.2076,0.8982,0.1545,0.0402,5,4,3,2
164,410,debido,Galician,VERB,273,no,0.3837,-0.8482,1.0938,0.8707,0.0619,0.2221,3,2,2,2
165,412,este,Galician,DET,23,no,-1.391,-0.3813,-1.2615,0.8264,0.0839,0.036,3,2,2,2
166,413,caso,Galician,NOUN,36,no,-2.759,-0.8351,-1.251,0.7922,0.0625,0.0368,3,2,2,2
167,414,non,Galician,PART,17,no,-2.1594,-0.9523,-1.1335,0.8072,0.057,0.0461,3,2,2,2
168,417,segundo,Galician,ADJ,408,no,0.9337,0.2385,-0.1545,0.8844,0.1131,0.1234,5,4,3,2
169,2468,canto,Galician,PRON,470,no,0.8996,-0.4476,1.566,0.8835,0.0808,0.2594,5,4,3,2
170,420,así,Galician,ADV,31,no,-0.6989,-0.8414,-0.3789,0.8436,0.0622,0.1057,3,2,2,2
171,422,toda,Galician,DET,339,no,2.4258,0.9275,1.2481,0.9216,0.1456,0.2343,5,4,3,2
172,421,mesmo,Galician,ADV,213,no,3.1117,2.336,-0.9941,0.9388,0.2121,0.0571,4,3,3,2
173,424,empresa,Galician,NOUN,113,no,-1.7031,-1.4738,-0.5246,0.8186,0.0324,0.0942,3,2,2,2
174,427,público,Galician,ADJ,316,no,1.8807,0.5207,0.6302,0.908,0.1264,0.1854,5,4,3,2
175,429,o,Galician,PRON,91,no,3.0172,2.2938,-0.9162,0.9364,0.2101,0.0633,4,3,3,2
176,430,sexa,Galician,AUX,109,no,0.9231,-0.138,1.0424,0.8841,0.0954,0.218,5,4,3,2
177,434,materia,Galician,NOUN,271,no,-0.968,-1.3966,-0.1076,0.8369,0.036,0.1271,3,2,2,2
178,435,laboral,Galician,ADJ,466,no,3.4784,2.4809,0.0838,0.9479,0.2189,0.1423,4,3,3,2
179,450,tipos,Galician,NOUN,269,no,-0.3259,-0.2824,-1.2656,0.853,0.0886,0.0357,3,2,2,2
180,451,producción,Galician,NOUN,268,no,-0.7689,-1.5013,0.7839,0.8419,0.0311,0.1976,3,2,2,2
181,452,nacional,Galician,ADJ,314,no,1.1353,0.4005,-0.5857,0.8894,0.1208,0.0894,5,4,3,2
182,456,obxecto,Galician,NOUN,227,no,-1.392,-1.3136,-0.4887,0.8263,0.0399,0.097,3,2,2,2
183,462,nova,Galician,ADJ,89,no,0.7802,0.1413,-0.9225,0.8806,0.1086,0.0628,5,4,3,2
184,463,lei,Galician,NOUN,45,no,-2.4054,-1.1912,-0.8224,0.8011,0.0457,0.0707,3,2,2,2
185,464,xeral,Galician,ADJ,64,no,-0.1792,-0.6571,-0.7258,0.8566,0.0709,0.0783,3,2,2,2
186,467,todas,Galician,DET,88,no,3.0491,2.5482,-1.2363,0.9372,0.2221,0.038,4,3,3,2
187,468,aquelas,Galician,DET,426,no,2.3515,1.7354,0.2223,0.9198,0.1837,0.1532,5,4,3,2
188,470,poden,Galician,VERB,103,no,2.4907,1.715,-1.0821,0.9233,0.1828,0.0502,5,4,3,2
189,471,ser,Galician,VERB,100,no,2.5517,1.5377,0.5051,0.9248,0.1744,0.1756,5,4,3,2
190,2520,unha,Galician,PRON,389,no,0.2712,-0.267,-0.1184,0.8679,0.0893,0.1263,5,4,3,2
191,473,como,Galician,SCONJ,59,no,-2.6453,-0.5933,-1.5107,0.7951,0.0739,0.0163,3,2,2,2
192,2522,cidade,Galician,NOUN,270,no,-1.4998,-1.4738,-0.2481,0.8237,0.0324,0.1161,3,2,2,2
193,474,dende,Galician,ADP,201,no,2.3201,1.2026,-0.055,0.919,0.1586,0.1313,4,3,3,2
