,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,2,der,German,PRON,79,no,-14.9219,-7.1215,0.0829,0.0,0.0,0.2905,4,3,3,2
1,3,neuen,German,ADJ,75,no,1.2195,0.5743,-1.6449,0.7943,0.7281,0.1147,2,1,1,1
2,4,firma,German,NOUN,171,no,-2.3486,1.0365,-0.6354,0.6187,0.7719,0.2175,3,2,2,2
3,5,steht,German,VERB,221,no,-4.1648,-1.055,0.622,0.5293,0.574,0.3454,5,4,3,2
4,6,unter,German,ADP,52,no,1.3874,0.9752,0.4317,0.8025,0.7661,0.326,2,1,1,1
5,7,anderem,German,PRON,146,no,2.1441,-0.2746,0.2108,0.8398,0.6478,0.3036,2,1,1,1
6,4108,ibm,German,PROPN,296,no,2.1001,0.0953,-1.3551,0.8376,0.6828,0.1442,2,1,1,1
7,13,anbieter,German,NOUN,138,no,-4.7197,-0.0358,-0.0613,0.502,0.6704,0.2759,5,4,3,2
8,14,von,German,ADP,6,no,-10.8875,-4.9064,0.145,0.1985,0.2096,0.2969,4,3,3,2
9,16,für,German,ADP,8,no,-7.8029,-1.2616,-0.5279,0.3503,0.5544,0.2284,5,4,3,2
10,18,und,German,CCONJ,5,no,-12.1719,-5.0005,1.0206,0.1353,0.2007,0.386,4,3,3,2
11,19,telekommunikation,German,NOUN,130,no,0.601,1.5232,1.8805,0.7638,0.8179,0.4735,2,1,1,1
12,23,20,German,NUM,347,no,1.0986,0.1146,-0.3231,0.7883,0.6846,0.2492,2,1,1,1
13,24,millionen,German,NOUN,51,no,-1.3168,0.0877,0.4288,0.6695,0.6821,0.3258,3,2,2,2
14,26,bis,German,ADP,98,no,-0.0533,1.511,1.0214,0.7316,0.8168,0.3861,3,2,2,2
15,4122,suse,German,PROPN,445,no,2.0931,-0.3873,-0.8018,0.8372,0.6371,0.2005,2,1,1,1
16,2075,namen,German,NOUN,418,no,-0.5753,1.3695,-0.2353,0.7059,0.8034,0.2582,3,2,2,2
17,28,in,German,ADP,3,no,-7.1504,-1.9038,-0.9776,0.3824,0.4937,0.1826,5,4,3,2
18,29,dem,German,PRON,195,no,-6.1802,-0.8987,-0.5199,0.4301,0.5888,0.2292,5,4,3,2
19,31,des,German,DET,17,no,0.8696,0.402,0.1329,0.777,0.7118,0.2956,2,1,1,1
20,2079,kbit/s,German,NOUN,313,no,0.4772,0.9102,-0.7578,0.7577,0.7599,0.205,3,2,2,2
