,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,ה,Hebrew,SCONJ,18,no,25.4554,-12.233,-3.7999,1.0,0.0,0.2393,2,1,1,1
1,2,קהל,Hebrew,NOUN,240,no,-1.2512,0.2959,-1.9959,0.12,0.8635,0.487,4,3,3,2
2,4,סוף,Hebrew,NOUN,339,no,0.2438,0.862,0.1172,0.1693,0.9026,0.7771,4,3,3,2
3,2053,בתוך,Hebrew,ADP,430,no,-2.44,-1.2007,0.1052,0.0808,0.7604,0.7754,4,3,3,2
4,2054,ברית,Hebrew,NOUN,194,no,-1.8509,0.2223,-3.327,0.1002,0.8585,0.3042,4,3,3,2
5,7,יהודים,Hebrew,NOUN,56,no,3.2743,1.7736,0.4239,0.2691,0.9654,0.8192,3,2,2,2
6,6,ו,Hebrew,CCONJ,3,no,17.2423,-6.6951,-1.8257,0.7294,0.3817,0.5103,2,1,1,1
7,4103,עלו,Hebrew,VERB,481,no,-0.6164,-0.2961,0.9077,0.1409,0.8227,0.8856,4,3,3,2
8,10,_הוא,Hebrew,PRON,7,no,5.4477,0.0225,0.8722,0.3407,0.8447,0.8808,3,2,2,2
9,9,ב_,Hebrew,ADP,25,no,-1.7254,-0.215,-0.045,0.1044,0.8283,0.7548,5,4,3,2
10,11,עד,Hebrew,ADP,84,no,-0.137,-0.2563,1.2211,0.1567,0.8255,0.9287,4,3,3,2
11,15,אנשי,Hebrew,NOUN,132,no,2.6832,1.1087,0.5978,0.2496,0.9196,0.8431,3,2,2,2
12,18,אל,Hebrew,NOUN,479,no,-1.6365,-0.9401,1.1883,0.1073,0.7784,0.9242,5,4,3,2
13,21,ל_,Hebrew,ADP,19,no,-1.2129,-0.2177,0.7213,0.1213,0.8281,0.86,5,4,3,2
14,23,ראשונה,Hebrew,ADJ,465,no,-1.2216,-0.1062,-0.6021,0.121,0.8358,0.6783,4,3,3,2
15,28,גם,Hebrew,ADV,20,no,4.5832,0.6407,0.7997,0.3122,0.8873,0.8708,3,2,2,2
16,29,כאשר,Hebrew,SCONJ,66,no,-2.001,-0.8994,0.9711,0.0953,0.7812,0.8943,5,4,3,2
17,34,ב,Hebrew,ADP,2,no,22.1269,-10.0771,-2.8358,0.8903,0.1486,0.3717,2,1,1,1
18,35,ה_,Hebrew,DET,8,no,9.3245,-2.1374,0.0749,0.4685,0.6958,0.7713,1,1,1,1
19,38,על,Hebrew,ADP,12,no,9.2322,-2.5799,0.1901,0.4654,0.6653,0.7871,1,1,1,1
20,45,כש,Hebrew,ADP,393,no,-3.5112,-2.711,0.5101,0.0455,0.6563,0.831,5,4,3,2
21,47,_של_,Hebrew,ADP,6,no,-1.6454,-0.5381,0.8351,0.107,0.8061,0.8757,5,4,3,2
22,48,_הם,Hebrew,PRON,14,no,5.3132,0.1519,0.7838,0.3363,0.8536,0.8686,3,2,2,2
23,50,כדי,Hebrew,ADP,48,no,-2.7898,-1.6324,-0.3698,0.0693,0.7306,0.7102,4,3,3,2
24,52,ערבי,Hebrew,ADJ,338,no,-1.1055,0.1353,-0.5353,0.1248,0.8525,0.6875,4,3,3,2
25,2100,עבר,Hebrew,NOUN,411,no,0.5148,1.5487,-0.7548,0.1782,0.9499,0.6574,4,3,3,2
26,56,את,Hebrew,ADP,10,no,11.7165,-3.6197,-0.3869,0.5473,0.5937,0.7079,1,1,1,1
27,61,כש,Hebrew,ADP,393,no,-2.2254,-1.2897,0.979,0.0879,0.7543,0.8954,4,3,3,2
28,63,ל,Hebrew,ADP,5,no,16.4295,-6.3024,-1.4549,0.7026,0.4088,0.5612,2,1,1,1
29,65,הוא,Hebrew,AUX,44,no,2.1814,0.2993,1.2866,0.2331,0.8638,0.9376,3,2,2,2
30,2114,רעיון,Hebrew,NOUN,232,no,0.1497,0.8597,0.1707,0.1662,0.9024,0.7844,4,3,3,2
31,68,לא,Hebrew,ADV,13,no,5.8874,-0.4533,0.8626,0.3552,0.8119,0.8794,3,2,2,2
32,4167,משק,Hebrew,NOUN,380,no,-0.4695,1.0167,-1.6443,0.1458,0.9132,0.5352,4,3,3,2
33,71,ש,Hebrew,SCONJ,4,no,10.0574,-3.53,-0.0095,0.4926,0.5998,0.7597,1,1,1,1
