,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,fögnuður,Icelandic,NOUN,450,no,-1.2157,0.4734,0.6529,0.1761,0.8504,0.3363,5,4,3,2
1,2,verður,Icelandic,VERB,182,no,3.9259,0.6613,-0.2977,0.3566,0.8605,0.2095,2,2,1,1
2,3,þessa,Icelandic,DET,57,no,0.7648,0.1428,-1.2212,0.2456,0.8326,0.0864,4,4,3,2
3,4,heims,Icelandic,NOUN,98,no,0.5363,0.331,-0.8704,0.2376,0.8427,0.1332,4,4,3,2
4,5,sá,Icelandic,VERB,303,no,5.4521,-0.1333,-0.6471,0.4102,0.8177,0.1629,2,2,1,1
5,2054,börn,Icelandic,NOUN,460,no,-0.7152,0.4113,0.1466,0.1936,0.847,0.2688,5,4,3,2
6,7,er,Icelandic,AUX,8,no,11.7342,-3.6909,0.4011,0.6308,0.6263,0.3027,2,2,1,1
7,9,maður,Icelandic,NOUN,88,no,2.1195,1.0594,-0.5025,0.2932,0.8819,0.1822,4,4,3,2
8,11,engla,Icelandic,NOUN,246,no,0.2709,0.2171,-0.8136,0.2283,0.8366,0.1407,4,4,3,2
9,13,á,Icelandic,VERB,500,no,4.9247,-0.7765,-1.3752,0.3917,0.7831,0.0659,2,2,1,1
10,15,sinni,Icelandic,PRON,126,no,-2.1704,-0.605,-0.5268,0.1425,0.7923,0.179,5,4,3,2
11,19,menn,Icelandic,NOUN,40,no,4.839,0.1667,-0.5306,0.3887,0.8339,0.1785,2,2,1,1
12,20,þeir,Icelandic,DET,453,no,-3.4792,-0.0095,2.7379,0.0966,0.8244,0.6143,3,3,2,2
13,22,bera,Icelandic,VERB,291,no,3.7235,0.8421,-0.1335,0.3495,0.8702,0.2314,2,2,1,1
14,24,og,Icelandic,ADV,46,no,22.249,-15.3281,5.6308,1.0,0.0,1.0,1,1,1,1
15,26,yfir,Icelandic,ADP,80,no,-0.0575,0.4873,-0.4992,0.2167,0.8511,0.1827,4,4,3,2
16,28,mönnum,Icelandic,NOUN,56,no,4.3534,0.2569,-0.6376,0.3716,0.8387,0.1642,2,2,1,1
17,29,þeir,Icelandic,DET,453,no,3.288,0.692,-0.6549,0.3342,0.8621,0.1619,2,2,1,1
18,30,eru,Icelandic,AUX,32,no,0.7925,0.3437,-0.9561,0.2466,0.8434,0.1217,4,4,3,2
19,32,að,Icelandic,ADP,26,no,5.0324,0.5625,0.1272,0.3955,0.8552,0.2662,2,2,1,1
20,33,þjóna,Icelandic,VERB,487,no,1.0409,1.4036,0.1577,0.2553,0.9004,0.2702,4,4,3,2
21,34,guði,Icelandic,PROPN,42,no,4.7528,0.4276,-0.4312,0.3856,0.8479,0.1917,2,2,1,1
22,2082,gerir,Icelandic,VERB,394,no,1.3523,1.7362,0.5654,0.2662,0.9183,0.3246,4,4,3,2
23,36,sínum,Icelandic,PRON,55,no,-0.9547,0.0544,-0.6246,0.1852,0.8278,0.1659,5,4,3,2
24,37,öllum,Icelandic,DET,47,no,0.7218,0.6351,-0.4985,0.2441,0.8591,0.1827,4,4,3,2
25,35,skapera,Icelandic,NOUN,467,no,-2.3643,-1.2374,-1.1434,0.1357,0.7583,0.0968,3,3,2,2
26,39,með,Icelandic,ADP,24,no,2.3355,-0.1052,-1.2653,0.3008,0.8192,0.0805,4,4,3,2
27,42,þeirri,Icelandic,DET,200,no,-2.5349,-0.6735,-0.0644,0.1297,0.7887,0.2406,3,3,2,2
