,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,2050,amici,Italian,NOUN,366,no,1.3218,-1.9925,0.8187,0.1818,0.0154,0.3357,4,4,3,2
1,4,da,Italian,ADP,10,no,11.9115,4.6623,0.4764,0.4863,0.3516,0.2988,1,1,1,1
2,2053,sa,Italian,VERB,326,no,0.6636,-0.7097,-0.9763,0.1629,0.0802,0.1424,4,4,3,2
3,5,la,Italian,PRON,77,no,6.8272,2.0801,-1.274,0.3401,0.2212,0.1103,1,1,1,1
4,2055,appena,Italian,ADV,330,no,-4.7054,3.6521,1.2525,0.0086,0.3006,0.3824,3,3,2,2
5,8,allarme,Italian,NOUN,444,no,-3.5893,2.3136,0.1207,0.0407,0.233,0.2605,3,3,2,2
6,9,a,Italian,ADP,4,no,17.7076,8.3454,1.0469,0.6529,0.5376,0.3602,1,1,1,1
7,6153,intensità,Italian,NOUN,486,no,0.2313,-0.5119,-0.6382,0.1505,0.0902,0.1788,4,4,3,2
8,13,una,Italian,PRON,255,no,3.3697,0.3612,-1.7144,0.2407,0.1343,0.0629,5,4,3,2
9,15,ha,Italian,VERB,58,no,-0.3167,-0.4205,-1.2856,0.1347,0.0948,0.1091,4,4,3,2
10,17,essere,Italian,AUX,49,no,-0.768,-0.1418,-0.4698,0.1218,0.1089,0.1969,4,4,3,2
11,19,per,Italian,ADP,16,no,8.1122,2.5953,-0.9672,0.3771,0.2472,0.1434,1,1,1,1
12,20,fuga,Italian,NOUN,247,no,1.9104,-2.1117,0.3784,0.1988,0.0094,0.2883,5,4,3,2
13,21,di,Italian,ADP,1,no,29.7822,17.4982,2.7126,1.0,1.0,0.5396,2,2,1,1
14,25,in,Italian,ADP,5,no,10.7179,3.491,-0.4714,0.452,0.2924,0.1968,1,1,1,1
15,27,che,Italian,ADP,405,no,3.8835,-0.523,-0.3819,0.2555,0.0897,0.2064,5,4,3,2
16,30,i,Italian,DET,7,no,2.0541,-0.0681,-0.8471,0.2029,0.1126,0.1563,5,4,3,2
17,32,vita,Italian,NOUN,87,no,3.4424,-1.1848,-0.1083,0.2428,0.0562,0.2359,5,4,3,2
18,35,uno,Italian,DET,183,no,4.7772,-0.2151,-0.0582,0.2812,0.1052,0.2413,5,4,3,2
19,39,l',Italian,PRON,64,no,3.2149,0.4996,-1.3482,0.2363,0.1413,0.1024,5,4,3,2
20,40,opera,Italian,NOUN,297,no,1.5677,-1.0865,-0.6906,0.1889,0.0612,0.1732,5,4,3,2
21,43,hanno,Italian,VERB,351,no,-1.0932,0.1855,-1.8681,0.1124,0.1254,0.0464,3,3,2,2
22,44,fatto,Italian,NOUN,403,no,6.429,2.0919,0.542,0.3287,0.2217,0.3059,1,1,1,1
23,46,uno,Italian,DET,183,no,-4.6503,3.6098,1.265,0.0102,0.2984,0.3837,3,3,2,2
24,49,d',Italian,ADP,36,no,0.0405,-0.2045,-1.1251,0.145,0.1057,0.1264,4,4,3,2
25,51,e,Italian,CCONJ,6,no,13.2196,5.6754,1.0111,0.5239,0.4028,0.3564,1,1,1,1
26,56,è,Italian,VERB,44,no,8.156,2.6266,0.4785,0.3783,0.2488,0.299,1,1,1,1
27,57,il,Italian,DET,2,no,8.0279,1.7137,-0.6892,0.3746,0.2026,0.1733,1,1,1,1
28,2106,neppure,Italian,ADV,442,no,-3.0135,1.745,-0.3264,0.0572,0.2042,0.2124,3,3,2,2
29,8252,fabiana,Italian,PROPN,383,no,-1.9629,0.4565,-2.1,0.0874,0.1391,0.0214,3,3,2,2
30,64,ha,Italian,VERB,58,no,5.4552,0.3717,-0.4817,0.3007,0.1349,0.1957,5,4,3,2
31,65,forma,Italian,NOUN,416,no,1.9964,-1.8554,-0.0434,0.2012,0.0223,0.2428,5,4,3,2
32,70,le,Italian,PRON,171,no,0.5347,-0.0133,-1.0032,0.1592,0.1154,0.1395,4,4,3,2
33,72,si,Italian,PRON,15,no,1.5495,-0.6288,-1.0561,0.1884,0.0843,0.1338,4,4,3,2
34,2124,dice,Italian,VERB,100,no,2.0844,-0.9176,-0.0818,0.2038,0.0697,0.2387,5,4,3,2
35,77,anni,Italian,NOUN,27,no,8.5897,2.6698,1.0718,0.3908,0.2509,0.3629,1,1,1,1
36,86,didoni,Italian,PROPN,206,no,0.0834,-1.1616,1.5778,0.1462,0.0574,0.4174,4,4,3,2
37,87,20,Italian,NUM,340,no,-2.2156,1.124,-1.0339,0.0802,0.1729,0.1362,3,3,2,2
38,88,chilometri,Italian,NOUN,262,no,1.6707,-0.8494,-0.9779,0.1919,0.0732,0.1422,5,4,3,2
39,89,marcia,Italian,NOUN,184,no,1.9236,-1.0297,-0.1618,0.1991,0.0641,0.2301,5,4,3,2
40,90,fiona,Italian,PROPN,355,no,0.194,-1.1606,0.9765,0.1494,0.0574,0.3527,4,4,3,2
41,94,oro,Italian,NOUN,233,no,-0.9651,0.3599,-1.236,0.1161,0.1343,0.1144,3,3,2,2
42,99,michele,Italian,PROPN,268,no,-0.1637,-1.208,0.9141,0.1391,0.0551,0.3459,4,4,3,2
43,103,con,Italian,ADP,19,no,4.1283,0.8239,-1.2947,0.2625,0.1577,0.1081,5,4,3,2
44,104,titolo,Italian,NOUN,402,no,0.7081,-0.9456,-0.0276,0.1642,0.0683,0.2445,4,4,3,2
45,105,km,Italian,NOUN,208,no,1.8006,-1.512,0.0689,0.1956,0.0397,0.2549,5,4,3,2
46,107,de,Italian,PROPN,288,no,-1.0767,-0.2815,0.7358,0.1129,0.1019,0.3268,4,4,3,2
47,110,stato,Italian,PROPN,225,no,-0.1966,-0.3368,-0.7388,0.1382,0.0991,0.168,4,4,3,2
48,111,poi,Italian,ADV,47,no,0.7581,-1.4486,0.0031,0.1656,0.0429,0.2479,5,4,3,2
49,114,finito,Italian,VERB,478,no,0.5907,-0.2031,-0.9556,0.1608,0.1058,0.1446,4,4,3,2
50,117,ora,Italian,ADV,123,no,-0.4204,-0.3918,-0.2374,0.1318,0.0963,0.222,4,4,3,2
51,118,italiana,Italian,ADJ,191,no,-0.4129,-0.3979,-0.0603,0.132,0.096,0.241,4,4,3,2
52,119,grazie,Italian,NOUN,350,no,-0.3695,-0.6002,0.8465,0.1332,0.0858,0.3387,4,4,3,2
53,126,femminile,Italian,ADJ,386,no,-4.5489,3.5356,1.2876,0.0131,0.2947,0.3862,3,3,2,2
54,127,un,Italian,DET,11,no,3.634,0.6341,-1.5545,0.2483,0.1481,0.0801,5,4,3,2
55,2178,arrivato,Italian,VERB,390,no,1.7575,-1.2668,-0.2046,0.1944,0.0521,0.2255,5,4,3,2
56,4227,sarajevo,Italian,PROPN,470,no,-0.4487,-0.9464,0.8593,0.1309,0.0683,0.34,4,4,3,2
57,133,subito,Italian,ADV,220,no,-3.3879,2.2674,0.456,0.0465,0.2306,0.2966,3,3,2,2
58,136,visto,Italian,VERB,289,no,1.2898,-1.2764,-0.2285,0.1809,0.0516,0.2229,5,4,3,2
59,2185,nostro,Italian,ADJ,317,no,-4.8485,3.7631,1.2203,0.0045,0.3062,0.3789,3,3,2,2
60,2186,inviato,Italian,NOUN,398,no,0.3663,0.9064,0.3754,0.1544,0.1619,0.2879,5,4,3,2
61,139,grande,Italian,ADJ,72,no,1.1573,-1.177,-0.3715,0.1771,0.0566,0.2075,5,4,3,2
62,4236,karadzic,Italian,PROPN,266,no,0.4137,-0.7369,-0.1195,0.1557,0.0789,0.2347,4,4,3,2
