,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,3,잘,Korean,ADV,26,no,-3.1766,-0.5039,-0.0551,0.6219,0.314,0.1551,2,2,2,2
1,5,하면,Korean,SCONJ,72,no,-5.5854,1.2849,0.3822,0.5045,0.496,0.2078,1,1,1,1
2,6,어느,Korean,DET,93,no,0.7703,-0.4751,-0.6429,0.8141,0.317,0.0843,5,4,3,2
3,9,수,Korean,NOUN,1,no,-8.8839,1.0928,0.0136,0.3439,0.4765,0.1634,1,1,1,1
4,10,있다,Korean,AUX,22,no,-11.2083,3.3429,1.4399,0.2307,0.7054,0.3352,1,1,1,1
5,12,사람이,Korean,NOUN,21,no,-8.5816,2.5029,0.5197,0.3586,0.62,0.2243,1,1,1,1
6,13,스스로,Korean,ADV,157,no,3.1226,1.1908,0.2795,0.9286,0.4865,0.1954,3,3,3,2
7,4110,어린,Korean,ADJ,374,no,3.2074,1.2237,0.2865,0.9328,0.4898,0.1962,3,3,3,2
8,8206,만난,Korean,VERB,385,no,0.9223,1.8252,-0.0862,0.8215,0.551,0.1514,4,4,3,2
9,19,여기에,Korean,ADV,305,no,1.9954,-1.9262,6.843,0.8737,0.1693,0.9859,3,3,3,2
10,25,더,Korean,ADV,35,no,-2.3238,-0.1827,0.0533,0.6634,0.3467,0.1682,2,2,2,2
11,29,않는다,Korean,AUX,77,no,3.4884,1.4056,0.3427,0.9464,0.5083,0.203,3,3,3,2
12,37,않는,Korean,AUX,127,no,3.4884,1.4056,0.3427,0.9464,0.5083,0.203,3,3,3,2
13,4134,때문입니다,Korean,VERB,183,no,2.4677,0.677,-0.1754,0.8967,0.4342,0.1406,5,4,3,2
14,38,것과,Korean,CCONJ,187,no,-3.3967,-1.3475,0.1912,0.6111,0.2282,0.1848,2,2,2,2
15,2087,물이,Korean,NOUN,381,no,1.8549,-0.3956,-0.3607,0.8669,0.3251,0.1183,5,4,3,2
16,39,같다,Korean,ADJ,119,no,-2.4016,-2.0717,-0.2563,0.6596,0.1545,0.1309,2,2,2,2
17,47,있어서,Korean,SCONJ,109,no,-0.6056,0.0345,-0.8437,0.7471,0.3688,0.0601,2,2,2,2
18,6195,어머니는,Korean,NOUN,423,no,2.2985,2.6017,0.2866,0.8885,0.63,0.1963,4,4,3,2
19,53,마련이다,Korean,VERB,413,no,-0.3357,-1.3711,0.5881,0.7602,0.2258,0.2326,2,2,2,2
20,56,못한,Korean,AUX,251,no,3.7504,1.552,0.3915,0.9592,0.5232,0.2089,3,3,3,2
21,8251,역사적,Korean,NOUN,158,no,2.695,1.1623,-0.1351,0.9078,0.4836,0.1455,5,4,3,2
22,64,그런,Korean,VERB,244,no,0.5477,-0.4665,-0.8032,0.8032,0.3178,0.065,5,4,3,2
23,67,한다,Korean,VERB,23,no,1.4748,-1.1558,-0.6518,0.8484,0.2477,0.0832,5,4,3,2
24,69,되면,Korean,SCONJ,238,no,1.129,-0.5272,-0.6052,0.8315,0.3117,0.0889,5,4,3,2
25,70,이러한,Korean,VERB,19,no,-1.3812,-0.5106,-1.0277,0.7093,0.3134,0.038,2,2,2,2
26,74,할,Korean,AUX,65,no,2.4447,0.0745,-0.2508,0.8956,0.3729,0.1315,5,4,3,2
27,75,것이,Korean,NOUN,5,no,-12.317,4.2447,0.593,0.1767,0.7972,0.2332,1,1,1,1
28,77,하지만,Korean,SCONJ,493,no,-0.4462,-2.3228,2.0597,0.7548,0.129,0.4098,2,2,2,2
29,80,보면,Korean,SCONJ,79,no,-3.0535,-0.9665,-0.05,0.6278,0.267,0.1557,2,2,2,2
30,81,꼭,Korean,ADV,148,no,0.772,0.041,-0.7054,0.8142,0.3695,0.0768,5,4,3,2
31,83,않다,Korean,AUX,169,no,3.7504,1.552,0.3915,0.9592,0.5232,0.2089,3,3,3,2
32,86,그,Korean,PRON,410,no,-12.1543,6.2383,0.8367,0.1846,1.0,0.2625,1,1,1,1
33,10330,독자에게,Korean,ADV,478,no,2.4082,-0.4061,-0.3179,0.8938,0.324,0.1235,5,4,3,2
34,90,당시의,Korean,NOUN,320,no,2.326,0.6903,-0.1801,0.8898,0.4355,0.14,5,4,3,2
35,98,이,Korean,PRON,235,no,-3.5645,1.3211,0.3821,0.603,0.4997,0.2078,4,4,3,2
36,100,또,Korean,CCONJ,274,no,-1.9741,0.5102,2.3413,0.6804,0.4172,0.4437,4,4,3,2
37,101,만큼,Korean,NOUN,280,no,-0.2068,-0.6664,0.5617,0.7665,0.2975,0.2294,2,2,2,2
38,105,무엇보다도,Korean,ADV,304,no,2.4882,-0.2703,-0.2884,0.8977,0.3378,0.127,5,4,3,2
39,111,때문이다,Korean,VERB,31,no,-2.6386,-1.8111,0.4803,0.6481,0.181,0.2196,2,2,2,2
40,122,줄,Korean,NOUN,154,no,0.6433,-0.5774,-0.7673,0.8079,0.3066,0.0693,5,4,3,2
41,2174,원인이,Korean,NOUN,264,no,-3.102,0.2741,1.7951,0.6255,0.3932,0.3779,4,4,3,2
42,126,다시,Korean,ADV,43,no,1.2161,0.1806,-0.627,0.8358,0.3837,0.0862,5,4,3,2
43,10367,작품의,Korean,NOUN,51,no,-1.2607,0.7977,0.7019,0.7152,0.4465,0.2463,4,4,3,2
44,129,더욱,Korean,ADV,111,no,-0.7612,-1.4321,0.3245,0.7395,0.2196,0.2008,2,2,2,2
45,10370,일은,Korean,NOUN,404,no,0.1974,-1.3399,-0.8996,0.7862,0.229,0.0534,2,2,2,2
46,6276,작품이,Korean,NOUN,302,no,1.2775,0.2478,-0.5222,0.8388,0.3905,0.0988,5,4,3,2
47,133,위해,Korean,SCONJ,76,no,-2.0512,-0.207,0.3567,0.6767,0.3442,0.2047,2,2,2,2
48,134,얼마나,Korean,ADV,160,no,0.9397,-0.7513,-0.6781,0.8223,0.2889,0.0801,5,4,3,2
49,4232,위대한,Korean,VERB,387,no,1.574,-1.1004,-0.6393,0.8532,0.2533,0.0847,5,4,3,2
50,2184,항상,Korean,ADV,233,no,3.7204,1.5376,0.3856,0.9577,0.5217,0.2082,3,3,3,2
51,140,서로,Korean,ADV,192,no,3.2436,1.2556,0.2985,0.9345,0.4931,0.1977,3,3,3,2
52,141,먼저,Korean,ADV,113,no,2.4425,0.6728,-0.1762,0.8955,0.4338,0.1405,5,4,3,2
