,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,unde,Latin,ADV,52,no,-0.4146,1.5141,-0.4894,0.7956,0.9418,0.7124,4,3,3,2
1,2,et,Latin,ADV,137,no,1.7474,-0.9448,0.9821,0.8638,0.8162,0.8926,1,1,1,1
2,3,philosophus,Latin,NOUN,278,no,3.4115,-1.8471,-0.2604,0.9163,0.7701,0.7404,2,1,1,1
3,4,dicit,Latin,VERB,256,no,0.1603,0.2212,0.77,0.8138,0.8758,0.8667,4,3,3,2
4,6,esse,Latin,NOUN,18,no,-12.7313,-6.1812,-2.1852,0.4071,0.5487,0.5046,3,2,2,2
5,7,operationem,Latin,NOUN,432,no,0.1152,0.5262,0.1497,0.8124,0.8914,0.7907,4,3,3,2
6,10,perfectio,Latin,NOUN,170,no,-2.4975,0.6987,1.0191,0.7299,0.9002,0.8972,4,3,3,2
7,11,autem,Latin,CCONJ,6,no,-6.9531,-0.3243,0.6246,0.5894,0.8479,0.8488,5,4,3,2
8,12,operationis,Latin,NOUN,410,no,1.5078,-0.7546,0.5089,0.8563,0.8259,0.8347,1,1,1,1
9,13,dependet,Latin,VERB,325,no,-2.4416,1.0848,0.7002,0.7317,0.9199,0.8581,4,3,3,2
10,14,ex,Latin,ADP,9,no,-2.369,-0.1017,1.4643,0.734,0.8593,0.9517,4,3,3,2
11,2063,productionem,Latin,NOUN,486,no,1.917,-1.0589,1.3048,0.8692,0.8104,0.9322,1,1,1,1
12,2066,necessitatem,Latin,NOUN,143,no,-0.3732,0.9657,0.0071,0.7969,0.9138,0.7732,4,3,3,2
13,19,genere,Latin,NOUN,437,no,0.624,0.4735,-0.2779,0.8284,0.8887,0.7383,1,1,1,1
14,21,ut,Latin,ADV,335,no,-1.9375,1.5564,0.0853,0.7476,0.944,0.7828,4,3,3,2
15,22,scilicet,Latin,CCONJ,186,no,1.3219,-0.2865,0.4261,0.8504,0.8499,0.8245,1,1,1,1
16,23,sit,Latin,AUX,17,no,-10.8187,-3.1238,0.2112,0.4675,0.7049,0.7982,3,2,2,2
17,2072,uoluntatem,Latin,NOUN,129,no,-0.3193,0.9081,0.0238,0.7986,0.9109,0.7753,4,3,3,2
18,25,in,Latin,ADP,3,no,-6.2441,-1.434,1.4616,0.6118,0.7912,0.9514,5,4,3,2
19,26,ipso,Latin,DET,115,no,-1.2866,1.7798,-0.5031,0.7681,0.9554,0.7107,4,3,3,2
20,30,per,Latin,ADP,7,no,-2.9084,-0.0527,1.4496,0.717,0.8618,0.9499,4,3,3,2
21,31,quam,Latin,PRON,159,no,0.7289,0.5369,0.1002,0.8317,0.8919,0.7846,1,1,1,1
22,32,non,Latin,PART,2,no,-14.7213,-7.7414,-2.9566,0.3444,0.469,0.4101,3,2,2,2
23,33,fit,Latin,VERB,121,no,-3.3458,0.6405,0.9364,0.7032,0.8972,0.887,5,4,3,2
24,34,aliud,Latin,DET,77,no,-4.0863,1.3776,-0.1396,0.6798,0.9349,0.7552,5,4,3,2
25,35,praeter,Latin,ADP,138,no,2.3725,-0.6214,-0.0054,0.8836,0.8328,0.7717,2,1,1,1
26,37,sicut,Latin,ADV,373,no,-4.1576,0.7736,0.6703,0.6776,0.904,0.8544,5,4,3,2
27,39,et,Latin,ADV,137,no,-13.9974,-7.1901,-2.4263,0.3672,0.4972,0.4751,3,2,2,2
28,41,huiusmodi,Latin,DET,162,no,0.1653,0.4011,0.5561,0.8139,0.885,0.8405,4,3,3,2
29,42,enim,Latin,ADV,13,no,-4.3042,0.6185,0.8283,0.673,0.8961,0.8738,5,4,3,2
30,43,sunt,Latin,AUX,20,no,-8.426,-2.2204,0.7707,0.5429,0.7511,0.8667,3,2,2,2
31,2093,intellectu,Latin,NOUN,199,no,-0.0514,0.1927,0.7178,0.8071,0.8743,0.8603,4,3,3,2
32,45,eorum,Latin,PRON,192,no,-0.1345,0.785,0.1216,0.8045,0.9046,0.7872,4,3,3,2
33,2095,agunt,Latin,VERB,382,no,-0.0069,0.771,0.4514,0.8085,0.9039,0.8276,1,1,1,1
34,46,quorum,Latin,PRON,253,no,1.1472,-0.3857,0.6733,0.8449,0.8448,0.8548,1,1,1,1
35,48,possunt,Latin,VERB,187,no,-2.4225,0.8645,0.7802,0.7323,0.9087,0.8679,4,3,3,2
36,50,quia,Latin,SCONJ,36,no,-2.3726,1.4844,0.3994,0.7339,0.9403,0.8213,4,3,3,2
37,52,ad,Latin,ADP,11,no,-3.8271,-0.1851,1.4586,0.688,0.855,0.951,5,4,3,2
38,53,aliquod,Latin,DET,182,no,1.0256,1.1702,-1.4262,0.8411,0.9243,0.5976,4,3,3,2
