,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,6,viņa,Latvian,PRON,10,no,-13.0786,4.4491,1.5001,0.3636,0.4748,0.4131,2,2,1,1
1,2055,šāda,Latvian,DET,463,no,3.9981,2.2941,0.7427,0.9795,0.3368,0.3125,3,3,2,2
2,9,kā,Latvian,PART,248,no,1.5549,0.4215,-0.6701,0.8914,0.2169,0.1247,3,3,2,2
3,10,viņas,Latvian,PRON,50,no,-0.3776,0.1312,-1.245,0.8217,0.1983,0.0483,5,4,3,2
4,11,vīrs,Latvian,NOUN,224,no,-1.0001,-0.7314,0.1306,0.7993,0.1431,0.2311,4,4,3,2
5,13,ir,Latvian,VERB,24,no,-5.8328,0.3026,-0.0612,0.6249,0.2093,0.2057,2,2,1,1
6,2061,āda,Latvian,NOUN,316,no,0.2875,0.6673,-0.0456,0.8457,0.2326,0.2077,5,4,3,2
7,15,pār,Latvian,ADP,178,no,2.8111,0.6063,-0.4403,0.9367,0.2287,0.1553,3,3,2,2
8,17,un,Latvian,CCONJ,1,no,-23.1578,12.6512,3.1776,0.0,1.0,0.636,1,1,1,1
9,2069,cilvēkam,Latvian,NOUN,396,no,3.4735,1.9263,0.7353,0.9606,0.3132,0.3115,3,3,2,2
10,2072,ādas,Latvian,NOUN,450,no,1.9054,0.847,0.0163,0.9041,0.2441,0.2159,3,3,2,2
11,2074,dienu,Latvian,NOUN,143,no,-0.229,-0.1302,-0.5087,0.8271,0.1816,0.1462,5,4,3,2
12,27,rokas,Latvian,NOUN,113,no,0.0819,-0.2593,-0.2013,0.8383,0.1733,0.187,5,4,3,2
13,2085,tā,Latvian,DET,122,no,1.3076,0.4225,-0.7427,0.8825,0.217,0.1151,3,3,2,2
14,38,rokām,Latvian,NOUN,221,no,-0.3056,-1.0553,-1.413,0.8243,0.1223,0.026,5,4,3,2
15,39,ar,Latvian,ADP,3,no,-5.4664,2.17,-0.9979,0.6382,0.3289,0.0812,2,2,1,1
16,41,uz,Latvian,ADP,4,no,-5.9838,2.7088,-0.793,0.6195,0.3634,0.1084,2,2,1,1
17,4139,tādā,Latvian,DET,369,no,1.4078,0.3412,-0.8243,0.8861,0.2117,0.1043,3,3,2,2
18,49,acis,Latvian,NOUN,124,no,1.4019,0.3259,-0.4221,0.8859,0.2108,0.1577,3,3,2,2
19,51,savā,Latvian,DET,182,no,2.2117,0.8891,-0.3878,0.9151,0.2468,0.1623,3,3,2,2
20,2100,tika,Latvian,AUX,289,no,2.8664,2.9103,-0.0009,0.9387,0.3763,0.2137,5,4,3,2
21,60,no,Latvian,ADP,7,no,-5.7264,2.6979,-0.7057,0.6288,0.3627,0.12,2,2,1,1
22,2108,izskatījās,Latvian,VERB,256,no,-1.1963,-1.2916,-0.3448,0.7922,0.1072,0.168,4,4,3,2
23,65,2,Latvian,NUM,375,no,0.6672,-1.5865,2.6545,0.8594,0.0883,0.5665,5,4,3,2
24,2115,sieviete,Latvian,NOUN,355,no,-0.8856,-0.9455,-0.0816,0.8034,0.1293,0.2029,4,4,3,2
25,73,bet,Latvian,CCONJ,11,no,-8.6801,0.7881,0.6973,0.5222,0.2404,0.3064,2,2,1,1
26,4177,šķita,Latvian,VERB,235,no,-1.5162,-1.0761,0.1153,0.7806,0.121,0.2291,4,4,3,2
27,82,tur,Latvian,ADV,57,no,-2.943,-1.7512,-0.1105,0.7292,0.0778,0.1991,4,4,3,2
28,83,kur,Latvian,ADV,51,no,-2.7366,-0.9704,-0.817,0.7366,0.1278,0.1052,4,4,3,2
29,2136,cilvēks,Latvian,NOUN,169,no,-2.8909,-2.0681,0.5905,0.7311,0.0575,0.2922,4,4,3,2
30,2137,vīrietis,Latvian,NOUN,346,no,-1.6386,0.1594,-0.208,0.7762,0.2001,0.1862,5,4,3,2
31,90,pēc,Latvian,ADP,23,no,-1.3349,-0.5442,-0.3761,0.7872,0.155,0.1638,4,4,3,2
32,6241,garām,Latvian,ADV,490,no,3.5198,1.9594,0.7335,0.9623,0.3154,0.3113,3,3,2,2
33,98,pret,Latvian,ADP,92,no,0.7656,-0.3926,-1.2722,0.8629,0.1648,0.0447,5,4,3,2
34,103,par,Latvian,ADP,8,no,-3.8479,0.3788,-0.9371,0.6965,0.2141,0.0893,4,4,3,2
35,2157,šodien,Latvian,ADV,257,no,0.0728,-0.6608,-0.2672,0.838,0.1476,0.1783,5,4,3,2
36,122,lai,Latvian,PART,250,no,-1.1088,-1.0234,-0.7884,0.7953,0.1244,0.109,4,4,3,2
37,125,jautājumu,Latvian,NOUN,173,no,-2.7822,-1.0689,-0.5564,0.735,0.1214,0.1399,4,4,3,2
38,126,kam,Latvian,PRON,135,no,0.4446,-0.7711,0.6707,0.8514,0.1405,0.3029,5,4,3,2
39,127,būt,Latvian,AUX,87,no,2.0101,-1.9685,5.2696,0.9078,0.0638,0.914,5,4,3,2
40,129,to,Latvian,DET,71,no,-7.7102,1.5124,-0.0683,0.5572,0.2867,0.2047,2,2,1,1
41,2180,noteikt,Latvian,VERB,331,no,1.1748,-0.162,0.7381,0.8777,0.1795,0.3119,5,4,3,2
42,2181,jūsu,Latvian,PRON,332,no,2.2771,1.0053,-0.2542,0.9175,0.2543,0.18,3,3,2,2
43,139,savu,Latvian,DET,46,no,0.3294,-0.4299,-0.7043,0.8472,0.1624,0.1202,5,4,3,2
44,143,kaut,Latvian,SCONJ,492,no,1.7213,0.4998,-0.604,0.8974,0.2219,0.1335,3,3,2,2
45,144,arī,Latvian,SCONJ,493,no,2.9216,0.7511,-0.3955,0.9407,0.238,0.1612,3,3,2,2
46,145,zina,Latvian,VERB,321,no,-1.123,-0.9502,-0.7431,0.7948,0.1291,0.115,4,4,3,2
47,146,ka,Latvian,SCONJ,5,no,-6.2335,0.0493,-0.1092,0.6105,0.1931,0.1993,2,2,1,1
48,148,nāves,Latvian,NOUN,240,no,-0.5249,-0.9089,-0.5778,0.8164,0.1317,0.137,4,4,3,2
49,2197,vienīgi,Latvian,PART,484,no,3.3835,1.8701,0.7363,0.9574,0.3096,0.3116,3,3,2,2
50,2198,kura,Latvian,DET,411,no,3.5923,2.0082,0.7345,0.9649,0.3185,0.3114,3,3,2,2
51,150,otra,Latvian,NUM,365,no,0.9399,0.0978,-0.7977,0.8692,0.1962,0.1078,5,4,3,2
52,2210,iespējams,Latvian,VERB,218,no,-2.1826,-1.5937,-0.5486,0.7566,0.0878,0.1409,4,4,3,2
53,2213,gandrīz,Latvian,ADV,167,no,1.3053,0.517,-0.826,0.8824,0.223,0.104,3,3,2,2
54,4267,arvien,Latvian,ADV,201,no,-0.1496,-1.2566,0.223,0.8299,0.1094,0.2434,4,4,3,2
55,172,daudz,Latvian,ADV,84,no,-2.77,-0.7124,-0.548,0.7354,0.1443,0.141,4,4,3,2
56,2224,paliek,Latvian,VERB,260,no,-2.7035,-1.6174,0.0509,0.7378,0.0863,0.2206,4,4,3,2
57,180,tas,Latvian,PRON,15,no,-8.6693,0.5838,1.0109,0.5226,0.2273,0.3481,2,2,1,1
58,181,ko,Latvian,PRON,26,no,-3.9414,-0.3643,-0.2702,0.6932,0.1666,0.1779,2,2,1,1
59,183,cilvēki,Latvian,NOUN,186,no,0.1518,-1.1302,0.4381,0.8408,0.1175,0.272,5,4,3,2
60,185,mums,Latvian,PRON,100,no,-2.492,-0.9081,-0.7481,0.7454,0.1317,0.1144,4,4,3,2
61,186,ļoti,Latvian,ADV,66,no,-1.7532,0.6773,-0.4787,0.7721,0.2333,0.1502,5,4,3,2
62,188,mūsu,Latvian,PRON,222,no,1.6234,0.2741,-0.8573,0.8939,0.2074,0.0999,3,3,2,2
63,195,pirms,Latvian,ADV,366,no,1.1204,-0.0203,0.184,0.8757,0.1886,0.2382,5,4,3,2
64,2245,kāju,Latvian,NOUN,299,no,0.385,-0.4582,-0.206,0.8492,0.1606,0.1864,5,4,3,2
65,198,gadu,Latvian,NOUN,284,no,1.4758,0.4038,-0.6602,0.8886,0.2158,0.1261,3,3,2,2
66,204,pasaulē,Latvian,NOUN,402,no,-0.4388,-0.4633,-0.2114,0.8195,0.1602,0.1857,5,4,3,2
67,205,pirmo,Latvian,ADJ,393,no,0.8845,-0.0269,-0.0703,0.8672,0.1882,0.2044,5,4,3,2
68,208,kādā,Latvian,DET,283,no,3.8081,2.1527,0.7375,0.9727,0.3277,0.3118,3,3,2,2
69,211,kad,Latvian,ADV,30,no,-2.3674,-1.3177,-0.7967,0.7499,0.1055,0.1079,4,4,3,2
70,213,zem,Latvian,ADP,158,no,1.1738,-0.1226,-0.8629,0.8777,0.182,0.0991,5,4,3,2
71,217,ūdeni,Latvian,NOUN,353,no,0.7833,-0.2216,-0.7803,0.8636,0.1757,0.1101,5,4,3,2
72,225,ūdens,Latvian,NOUN,141,no,-0.8622,-1.1621,-0.4505,0.8042,0.1155,0.1539,4,4,3,2
73,228,krāsu,Latvian,NOUN,343,no,2.1062,-0.6937,-1.3113,0.9113,0.1455,0.0395,3,3,2,2
74,231,līdz,Latvian,ADP,60,no,3.5198,1.9594,0.7335,0.9623,0.3154,0.3113,3,3,2,2
75,232,tam,Latvian,PRON,55,no,-3.6053,0.6528,-0.7504,0.7053,0.2317,0.1141,2,2,1,1
76,233,vēl,Latvian,PART,473,no,-3.7096,-0.8033,-0.1755,0.7015,0.1385,0.1905,2,2,1,1
77,241,šo,Latvian,DET,61,no,0.4904,-0.0817,-1.1238,0.853,0.1847,0.0645,5,4,3,2
78,2291,sievietes,Latvian,NOUN,205,no,-0.4959,-0.4697,-0.1543,0.8174,0.1598,0.1933,5,4,3,2
