,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,2053,100,Lithuanian,NUM,445,no,2.5228,-1.206,0.7222,0.9342,0.8089,0.8764,1,1,1,1
1,5,vadovų,Lithuanian,NOUN,305,no,-1.1126,1.3534,-0.651,0.8314,0.9312,0.7092,2,2,1,1
2,7,siekiant,Lithuanian,VERB,227,no,-0.461,1.3161,0.4151,0.8498,0.9294,0.839,3,3,2,2
3,9,ir,Lithuanian,PART,5,no,-30.4908,-18.1375,-5.8098,0.0,0.0,0.0812,5,4,3,2
4,4107,būtina,Lithuanian,ADJ,165,no,-3.5444,1.7372,-0.2456,0.7626,0.9495,0.7586,3,3,2,2
5,2063,vis,Lithuanian,CCONJ,307,no,4.2654,-2.6292,-0.6245,0.9836,0.7409,0.7125,1,1,1,1
6,16,kitų,Lithuanian,PRON,87,no,-2.124,1.3568,0.4437,0.8027,0.9313,0.8425,3,3,2,2
7,19,mokslo,Lithuanian,NOUN,107,no,-1.8816,1.2263,-0.5064,0.8096,0.9251,0.7268,3,3,2,2
8,22,asmenų,Lithuanian,NOUN,237,no,-1.8832,1.3051,0.8231,0.8096,0.9288,0.8887,3,3,2,2
9,23,darbo,Lithuanian,NOUN,72,no,-2.3059,0.7212,1.0287,0.7976,0.901,0.9137,3,3,2,2
10,25,kitas,Lithuanian,PRON,179,no,0.2831,-0.3269,1.3331,0.8709,0.8509,0.9508,2,2,1,1
11,6177,straipsnis,Lithuanian,NOUN,299,no,-1.2203,0.6113,-1.2923,0.8283,0.8957,0.6312,2,2,1,1
12,34,švietimo,Lithuanian,NOUN,378,no,-0.6626,2.3936,-2.3256,0.8441,0.9809,0.5054,2,2,1,1
13,35,kultūros,Lithuanian,NOUN,13,no,-5.7307,-0.2651,-0.2828,0.7007,0.8538,0.7541,4,3,2,2
14,2081,gyventojų,Lithuanian,NOUN,178,no,-1.5428,0.9712,0.7253,0.8192,0.9129,0.8768,3,3,2,2
15,33,seimo,Lithuanian,NOUN,432,no,4.5615,-2.8262,-0.6527,0.9919,0.7315,0.709,1,1,1,1
16,2086,politikos,Lithuanian,NOUN,41,no,-4.2478,-0.0458,0.1235,0.7426,0.8643,0.8035,4,3,2,2
17,2085,viešosios,Lithuanian,ADJ,287,no,3.1651,-1.6473,0.2749,0.9524,0.7878,0.8219,1,1,1,1
