,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,3,good,Naija,ADJ,120,no,1.0008,1.1559,0.4192,0.2956,0.7588,0.858,2,2,1,1
1,4,morning,Naija,NOUN,196,no,-0.3553,-0.5586,1.0945,0.2327,0.6126,0.9401,2,2,1,1
2,7,how,Naija,ADV,69,no,3.1095,1.452,0.8459,0.3934,0.784,0.9099,4,4,3,2
3,8,you,Naija,PRON,7,no,7.9894,-0.6657,-0.0054,0.6198,0.6035,0.8064,5,4,3,2
4,9,dey,Naija,VERB,25,no,15.7013,-7.6969,-6.2108,0.9775,0.0041,0.0522,3,3,2,2
5,10,now,Naija,ADV,29,no,5.3285,-0.0426,0.968,0.4964,0.6566,0.9247,5,4,3,2
6,12,i,Naija,PRON,1,no,9.4292,-1.5693,-0.5788,0.6866,0.5264,0.7367,5,4,3,2
7,13,fine,Naija,ADJ,240,no,-0.6359,0.5775,0.0547,0.2197,0.7095,0.8137,2,2,1,1
8,14,your,Naija,ADJ,395,no,-0.6056,-1.6845,1.4039,0.2211,0.5166,0.9777,2,2,1,1
9,15,night,Naija,NOUN,258,no,-0.91,-0.6305,1.0053,0.207,0.6065,0.9293,2,2,1,1
10,16,we,Naija,PRON,15,no,5.766,0.1695,0.7301,0.5166,0.6747,0.8958,5,4,3,2
11,17,thank,Naija,VERB,352,no,-2.9065,-0.5393,-0.6426,0.1144,0.6142,0.729,1,1,1,1
12,18,god,Naija,PROPN,63,no,1.66,1.0213,0.7066,0.3262,0.7473,0.893,4,4,3,2
13,19,hope,Naija,VERB,450,no,-3.1379,-1.6851,-0.2666,0.1037,0.5166,0.7747,1,1,1,1
14,20,sey,Naija,SCONJ,8,no,8.8866,-1.12,-0.2813,0.6614,0.5647,0.7729,5,4,3,2
15,22,sleep,Naija,VERB,229,no,0.0835,0.9564,0.1504,0.2531,0.7418,0.8254,2,2,1,1
16,23,well,Naija,ADV,57,no,0.5452,0.2528,0.7725,0.2745,0.6818,0.901,2,2,1,1
17,26,my,Naija,PRON,17,no,3.0235,-1.635,1.409,0.3894,0.5208,0.9784,2,2,1,1
18,27,sister,Naija,NOUN,124,no,2.0765,0.6995,0.6639,0.3455,0.7199,0.8878,4,4,3,2
19,28,o,Naija,PART,24,no,4.6457,0.4772,0.9681,0.4647,0.7009,0.9248,5,4,3,2
20,29,una,Naija,PRON,93,no,0.1535,1.0034,0.186,0.2563,0.7458,0.8297,2,2,1,1
21,30,get,Naija,VERB,31,no,11.5258,-4.7931,-3.8225,0.7838,0.2516,0.3425,3,3,2,2
22,31,light,Naija,NOUN,337,no,-2.0362,-1.0569,0.6004,0.1548,0.5701,0.8801,2,2,1,1
23,32,for,Naija,AUX,191,no,5.6729,-2.1652,0.8527,0.5123,0.4756,0.9107,5,4,3,2
24,33,area,Naija,NOUN,310,no,-0.766,-0.1775,0.6209,0.2137,0.6451,0.8826,2,2,1,1
25,34,last,Naija,ADJ,134,no,-2.2008,-1.1482,0.7235,0.1471,0.5623,0.895,1,1,1,1
26,35,no,Naija,DET,424,no,7.9892,-0.6524,0.0806,0.6198,0.6046,0.8169,5,4,3,2
27,36,wetin,Naija,PRON,47,no,3.3865,1.9098,0.4347,0.4063,0.823,0.8599,4,4,3,2
28,37,happen,Naija,VERB,167,no,0.4688,0.2605,0.8598,0.2709,0.6824,0.9116,2,2,1,1
29,39,na,Naija,AUX,4,no,10.2406,-2.2391,-0.6593,0.7242,0.4693,0.7269,5,4,3,2
30,42,dese,Naija,DET,268,no,-3.4597,-2.0853,0.1394,0.0887,0.4824,0.824,1,1,1,1
31,43,people,Naija,NOUN,64,no,4.4152,-0.1924,1.1118,0.454,0.6438,0.9422,5,4,3,2
32,44,hear,Naija,VERB,132,no,2.5951,2.0049,0.327,0.3696,0.8311,0.8468,4,4,3,2
33,45,de,Naija,PRON,19,no,4.5954,1.2807,0.6427,0.4624,0.7694,0.8852,4,4,3,2
34,46,dey,Naija,VERB,25,no,9.0485,-1.2289,-0.8731,0.6689,0.5555,0.701,5,4,3,2
35,48,di,Naija,DET,3,no,7.1517,-5.0615,-2.4829,0.5809,0.2287,0.5053,3,3,2,2
36,49,tin,Naija,NOUN,244,no,-0.0897,0.1303,0.9205,0.245,0.6713,0.919,2,2,1,1
37,50,tire,Naija,VERB,246,no,0.5025,0.8529,0.4552,0.2725,0.7329,0.8624,2,2,1,1
38,51,me,Naija,PRON,11,no,9.051,-1.4991,-0.7889,0.669,0.5324,0.7112,5,4,3,2
39,54,just,Naija,ADV,32,no,4.4021,1.0654,0.8749,0.4534,0.751,0.9134,4,4,3,2
40,55,am,Naija,PRON,12,no,5.101,0.0815,1.0488,0.4858,0.6672,0.9346,5,4,3,2
41,57,but,Naija,CCONJ,45,no,3.7368,1.577,0.7036,0.4225,0.7947,0.8926,4,4,3,2
42,58,go,Naija,VERB,14,no,9.1949,-1.4877,-0.4415,0.6757,0.5334,0.7534,5,4,3,2
43,59,bring,Naija,VERB,202,no,2.0032,0.6608,0.97,0.3421,0.7166,0.925,4,4,3,2
44,60,big,Naija,ADJ,193,no,-1.8708,-0.9855,0.6971,0.1624,0.5762,0.8918,2,2,1,1
45,63,our,Naija,PRON,78,no,-0.1765,-0.8854,1.3281,0.241,0.5847,0.9685,2,2,1,1
46,65,in,Naija,ADP,59,no,1.13,-0.8715,1.5023,0.3016,0.5859,0.9897,2,2,1,1
47,66,fact,Naija,NOUN,164,no,-3.2253,-0.2246,-1.6975,0.0996,0.6411,0.6008,2,2,1,1
48,67,dat,Naija,SCONJ,155,no,0.6337,-1.0841,1.4395,0.2786,0.5678,0.9821,2,2,1,1
49,68,anoder,Naija,DET,200,no,-2.3537,-1.468,0.8202,0.14,0.5351,0.9068,1,1,1,1
50,69,again,Naija,ADV,105,no,0.3863,0.4987,0.7549,0.2671,0.7027,0.8988,2,2,1,1
51,70,so,Naija,SCONJ,152,no,7.2494,-0.1917,0.0709,0.5855,0.6439,0.8157,5,4,3,2
52,72,much,Naija,ADJ,287,no,-1.6008,0.3709,-0.4365,0.175,0.6918,0.754,2,2,1,1
53,74,give,Naija,VERB,55,no,8.9937,-3.308,-2.9594,0.6664,0.3782,0.4474,3,3,2,2
54,75,seven,Naija,NUM,308,no,-2.0788,-1.4671,0.8755,0.1528,0.5352,0.9135,1,1,1,1
55,76,thousand,Naija,NUM,224,no,-2.627,-1.241,0.2629,0.1274,0.5544,0.839,1,1,1,1
56,78,wey,Naija,SCONJ,18,no,5.6288,0.5205,0.5779,0.5103,0.7046,0.8773,5,4,3,2
57,79,see,Naija,VERB,49,no,7.5932,-0.4614,-0.104,0.6014,0.6209,0.7945,5,4,3,2
58,81,person,Naija,NOUN,86,no,3.9123,0.7486,1.0283,0.4307,0.724,0.9321,4,4,3,2
59,82,manage,Naija,VERB,264,no,-0.1258,1.4344,-0.2787,0.2434,0.7825,0.7732,2,2,1,1
60,85,help,Naija,VERB,117,no,2.8952,1.1333,0.8934,0.3835,0.7568,0.9157,4,4,3,2
61,86,us,Naija,PRON,68,no,0.7622,0.5464,0.902,0.2846,0.7068,0.9167,2,2,1,1
62,88,e,Naija,PRON,10,no,6.2589,-0.2644,0.7912,0.5395,0.6377,0.9033,5,4,3,2
63,89,one,Naija,DET,100,no,-0.613,0.0749,0.5987,0.2208,0.6666,0.8799,2,2,1,1
64,90,soup,Naija,NOUN,121,no,1.5245,0.4156,1.0708,0.3199,0.6957,0.9372,2,2,1,1
65,91,like,Naija,VERB,97,no,1.9879,0.9841,0.7654,0.3414,0.7441,0.9001,4,4,3,2
66,92,dat,Naija,SCONJ,155,no,-0.3271,0.4417,0.4137,0.234,0.6979,0.8574,2,2,1,1
67,95,bin,Naija,AUX,209,no,-1.7046,0.2792,-0.2899,0.1701,0.684,0.7719,1,1,1,1
68,96,teach,Naija,VERB,139,no,3.2171,1.5614,0.7486,0.3984,0.7933,0.8981,4,4,3,2
69,97,make,Naija,SCONJ,162,no,5.7889,0.432,0.2439,0.5177,0.6971,0.8367,5,4,3,2
70,98,sense,Naija,NOUN,185,no,-1.8842,0.2764,-0.5378,0.1618,0.6838,0.7417,2,2,1,1
71,101,know,Naija,VERB,44,no,6.4466,-0.0658,0.2012,0.5482,0.6546,0.8315,5,4,3,2
72,102,like,Naija,VERB,97,no,4.4171,0.7359,0.8285,0.4541,0.723,0.9078,4,4,3,2
73,103,too,Naija,ADV,110,no,-0.2581,0.0308,0.7109,0.2372,0.6628,0.8935,2,2,1,1
74,105,banga,Naija,NOUN,218,no,-1.6104,-0.6918,0.6,0.1745,0.6012,0.88,2,2,1,1
75,108,come,Naija,AUX,163,no,10.9652,-4.3126,-3.7345,0.7578,0.2926,0.3532,3,3,2,2
76,109,and,Naija,CCONJ,35,no,5.2004,-0.4183,0.9334,0.4904,0.6246,0.9205,5,4,3,2
77,110,do,Naija,VERB,22,no,12.8401,-5.4284,-4.9372,0.8448,0.1974,0.207,3,3,2,2
78,112,abi,Naija,CCONJ,406,no,-2.6623,0.7032,-1.8324,0.1257,0.7202,0.5844,2,2,1,1
79,113,meh,Naija,SCONJ,181,no,1.5298,1.7017,0.3457,0.3202,0.8053,0.8491,4,4,3,2
80,114,fit,Naija,AUX,54,no,3.2235,1.7321,0.6099,0.3987,0.8079,0.8812,4,4,3,2
81,115,tell,Naija,VERB,37,no,7.7152,-0.5029,-0.1235,0.6071,0.6173,0.7921,5,4,3,2
82,116,take,Naija,SCONJ,400,no,8.8457,-1.4234,-0.4597,0.6595,0.5389,0.7512,5,4,3,2
83,117,cook,Naija,VERB,136,no,1.5784,0.9411,0.7617,0.3224,0.7404,0.8997,4,4,3,2
84,118,junior,Naija,ADJ,418,no,-4.0156,-1.2804,-1.4013,0.0629,0.5511,0.6368,1,1,1,1
85,119,small,Naija,ADJ,66,no,0.8586,0.2311,1.0538,0.289,0.6799,0.9352,2,2,1,1
86,120,say,Naija,VERB,27,no,8.8609,-1.2427,-0.9854,0.6602,0.5543,0.6873,5,4,3,2
87,124,after,Naija,ADP,140,no,-1.142,-0.7277,0.7854,0.1962,0.5982,0.9026,2,2,1,1
88,125,come,Naija,AUX,163,no,0.9313,1.8075,0.0095,0.2924,0.8143,0.8082,2,2,1,1
89,126,pound,Naija,VERB,369,no,-1.6462,-0.1482,0.0687,0.1728,0.6476,0.8154,1,1,1,1
90,128,when,Naija,ADV,70,no,4.3056,0.7077,0.9817,0.4489,0.7205,0.9264,4,4,3,2
91,131,den,Naija,ADV,116,no,-0.0443,0.3613,0.5663,0.2471,0.691,0.8759,2,2,1,1
92,132,put,Naija,VERB,61,no,6.7023,-0.554,0.5665,0.5601,0.613,0.8759,5,4,3,2
93,134,inside,Naija,ADP,85,no,-0.7114,-0.3217,0.7144,0.2162,0.6328,0.8939,2,2,1,1
94,136,teacher,Naija,NOUN,328,no,-0.9171,0.1768,0.2879,0.2067,0.6753,0.8421,2,2,1,1
95,138,which,Naija,DET,161,no,-1.2838,-0.7759,1.0105,0.1897,0.5941,0.9299,2,2,1,1
96,139,as,Naija,ADP,36,no,3.9593,0.7127,1.1435,0.4328,0.721,0.9461,4,4,3,2
97,140,food,Naija,NOUN,114,no,0.4915,0.877,0.4708,0.272,0.735,0.8643,2,2,1,1
98,142,use,Naija,VERB,88,no,3.1313,0.3698,1.0854,0.3944,0.6917,0.939,4,4,3,2
99,143,to,Naija,ADP,23,no,5.2706,-0.1283,1.1061,0.4937,0.6493,0.9415,5,4,3,2
100,144,eat,Naija,VERB,80,no,2.679,1.2186,0.9144,0.3735,0.7641,0.9182,4,4,3,2
101,146,starch,Naija,NOUN,269,no,-0.863,0.2768,0.2502,0.2092,0.6838,0.8375,2,2,1,1
102,147,or,Naija,CCONJ,99,no,-0.4601,-0.3839,0.7571,0.2279,0.6275,0.8991,2,2,1,1
103,148,eba,Naija,NOUN,241,no,-1.9499,-0.8443,0.5097,0.1588,0.5882,0.869,2,2,1,1
104,154,go,Naija,VERB,14,no,16.1869,-7.7444,-6.64,1.0,0.0,0.0,3,3,2,2
105,155,one,Naija,DET,100,no,4.7687,0.4098,0.7803,0.4704,0.6952,0.9019,5,4,3,2
106,156,pass,Naija,VERB,129,no,2.2671,1.6756,0.5262,0.3544,0.8031,0.8711,4,4,3,2
107,157,dis,Naija,PRON,279,no,1.533,-1.0059,1.421,0.3203,0.5745,0.9798,2,2,1,1
108,158,before,Naija,ADP,104,no,0.6199,0.8477,0.5205,0.278,0.7325,0.8703,2,2,1,1
109,159,here,Naija,ADV,112,no,0.5777,1.287,0.3299,0.276,0.7699,0.8472,2,2,1,1
110,161,why,Naija,ADV,147,no,0.8355,1.3229,0.2961,0.288,0.773,0.8431,2,2,1,1
111,162,drink,Naija,NOUN,447,no,-0.9856,1.266,-0.7714,0.2035,0.7681,0.7133,2,2,1,1
112,164,who,Naija,PRON,199,no,-0.1181,0.6847,0.4332,0.2437,0.7186,0.8597,2,2,1,1
113,165,sha,Naija,PART,166,no,-1.0146,-0.2891,0.6557,0.2021,0.6356,0.8868,2,2,1,1
114,167,sweet,Naija,ADJ,350,no,-1.9025,-0.5902,0.0953,0.161,0.6099,0.8187,2,2,1,1
115,168,any,Naija,DET,138,no,-1.5255,-1.0226,0.9767,0.1784,0.573,0.9258,1,1,1,1
116,172,issue,Naija,NOUN,429,no,-1.9724,-0.7894,0.3882,0.1577,0.5929,0.8543,2,2,1,1
117,173,wan,Naija,VERB,41,no,8.5699,-1.1073,-0.9761,0.6467,0.5658,0.6884,5,4,3,2
118,174,cut,Naija,VERB,325,no,-0.2436,0.51,0.3684,0.2379,0.7037,0.8519,2,2,1,1
119,175,tomorrow,Naija,NOUN,259,no,-1.9099,-0.4942,0.2491,0.1606,0.6181,0.8374,1,1,1,1
120,177,make,Naija,SCONJ,162,no,3.0134,1.2101,0.8063,0.389,0.7634,0.9051,4,4,3,2
121,178,because,Naija,SCONJ,53,no,2.878,1.6155,0.6471,0.3827,0.7979,0.8857,4,4,3,2
122,179,don,Naija,AUX,30,no,4.1203,0.3151,1.0804,0.4403,0.6871,0.9384,5,4,3,2
123,180,dem,Naija,PRON,34,no,3.62,1.1309,0.894,0.4171,0.7566,0.9158,4,4,3,2
124,182,even,Naija,ADV,42,no,3.3501,1.122,0.9063,0.4046,0.7559,0.9172,4,4,3,2
125,183,money,Naija,NOUN,51,no,3.2321,0.6646,1.0117,0.3991,0.7169,0.9301,4,4,3,2
126,184,pay,Naija,VERB,168,no,2.2998,1.7534,0.5499,0.3559,0.8097,0.8739,4,4,3,2
127,185,wahala,Naija,NOUN,205,no,-2.0676,0.0239,-0.5011,0.1533,0.6623,0.7462,2,2,1,1
128,186,everywhere,Naija,ADV,384,no,-2.1002,1.4042,-1.9941,0.1518,0.7799,0.5647,2,2,1,1
129,188,no,Naija,DET,424,no,1.0238,1.1081,0.5502,0.2967,0.7547,0.874,2,2,1,1
130,189,pray,Naija,VERB,204,no,1.841,1.7246,0.3758,0.3346,0.8072,0.8528,4,4,3,2
131,190,make,Naija,SCONJ,162,no,0.0302,0.9156,0.2573,0.2506,0.7383,0.8384,2,2,1,1
132,191,if,Naija,SCONJ,26,no,5.1179,0.24,0.8658,0.4866,0.6807,0.9123,5,4,3,2
