,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,2,og,Norwegian,CCONJ,2,no,-18.5288,10.1951,3.8095,0.0,1.0,0.4614,5,4,3,2
1,4,på,Norwegian,SCONJ,95,no,0.171,-0.9097,-0.1409,0.7776,0.1927,0.1155,3,2,2,2
2,9,sto,Norwegian,VERB,295,no,-1.1988,-0.4226,-0.6688,0.7206,0.2281,0.0693,3,2,2,2
3,10,på,Norwegian,SCONJ,95,no,-4.8743,1.2478,-0.9208,0.5678,0.3495,0.0472,4,3,3,2
4,12,under,Norwegian,ADP,93,no,2.2705,1.1316,-1.4327,0.8649,0.3411,0.0024,2,1,1,1
5,13,den,Norwegian,PROPN,428,no,-1.13,0.5283,-1.2721,0.7235,0.2972,0.0165,3,2,2,2
6,17,til,Norwegian,SCONJ,32,no,-9.1814,4.8153,1.1379,0.3887,0.6089,0.2275,5,4,3,2
7,23,mette-marit,Norwegian,PROPN,293,no,1.2703,-0.5819,1.1523,0.8233,0.2165,0.2287,2,1,1,1
8,34,som,Norwegian,ADP,42,no,-6.6006,-0.2426,-0.0832,0.496,0.2412,0.1206,4,3,3,2
9,35,er,Norwegian,VERB,63,no,-13.1723,6.419,2.0786,0.2227,0.7255,0.3098,5,4,3,2
10,4133,jarstein,Norwegian,PROPN,356,no,2.6197,0.8541,-0.5528,0.8794,0.3209,0.0794,1,1,1,1
11,37,norsk,Norwegian,ADJ,153,no,0.3788,-0.5078,-0.2978,0.7862,0.2219,0.1018,2,1,1,1
12,2085,lite,Norwegian,ADJ,338,no,1.6669,0.212,-0.1775,0.8398,0.2742,0.1123,2,1,1,1
13,40,med,Norwegian,SCONJ,131,no,-7.6078,1.5311,-0.444,0.4541,0.3701,0.089,4,3,3,2
14,4141,1,Norwegian,NUM,447,no,4.4311,-0.4118,6.965,0.9547,0.2289,0.7377,2,1,1,1
15,52,det,Norwegian,DET,23,no,-17.0617,8.6479,3.9648,0.061,0.8875,0.475,5,4,3,2
