,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,ꙇ,Old_Church_Slavonic,ADV,227,no,19.6242,9.8281,2.7968,0.9993,0.9417,0.4778,5,4,3,2
1,2050,рѫцѣ,Old_Church_Slavonic,NOUN,204,no,-0.378,-0.3726,-0.6745,0.2007,0.1645,0.0834,3,2,1,1
2,3,въ,Old_Church_Slavonic,ADP,5,no,6.1757,3.4781,-0.3517,0.4623,0.4579,0.1201,5,4,3,2
3,4,корабь,Old_Church_Slavonic,NOUN,486,no,-2.9632,1.3324,-0.4222,0.0975,0.2944,0.1121,1,1,1,1
4,5,и҃съ,Old_Church_Slavonic,PROPN,23,no,4.9456,-0.7938,0.6063,0.4132,0.1324,0.2289,4,3,2,2
5,7,приде,Old_Church_Slavonic,VERB,61,no,8.45,1.8035,0.1523,0.5531,0.3303,0.1773,4,3,2,2
6,8,свои,Old_Church_Slavonic,ADJ,148,no,-1.1441,-0.2759,-0.5487,0.1701,0.1719,0.0977,3,2,1,1
7,9,градъ,Old_Church_Slavonic,NOUN,182,no,-0.2337,-0.2544,-0.4128,0.2065,0.1735,0.1131,3,2,1,1
8,12,емоу,Old_Church_Slavonic,PRON,11,no,4.3758,-0.5215,-0.3455,0.3905,0.1532,0.1208,4,3,2,2
9,15,на,Old_Church_Slavonic,ADP,7,no,5.5552,3.0679,-0.3842,0.4376,0.4266,0.1164,5,4,3,2
10,18,видѣвъ,Old_Church_Slavonic,VERB,171,no,2.355,0.6849,0.289,0.3098,0.2451,0.1929,2,2,1,1
11,19,вѣрѫ,Old_Church_Slavonic,NOUN,202,no,-2.5657,1.0968,-0.7052,0.1134,0.2765,0.0799,3,2,1,1
12,20,ихъ,Old_Church_Slavonic,PRON,53,no,0.1121,-0.2463,-0.4688,0.2203,0.1741,0.1068,3,2,1,1
13,21,рече,Old_Church_Slavonic,VERB,10,no,14.0443,6.8504,1.6286,0.7765,0.7148,0.3451,5,4,3,2
14,2072,ѭже,Old_Church_Slavonic,PRON,384,no,-4.2125,2.9501,0.7412,0.0476,0.4177,0.2442,1,1,1,1
15,26,сѧ,Old_Church_Slavonic,PRON,4,no,0.7259,-0.8142,-1.1071,0.2448,0.1309,0.0342,4,3,2,2
