,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,за,Old_East_Slavic,ADP,32,no,2.9382,-0.3168,0.9445,0.2071,0.8438,0.95,4,3,2,2
1,4,ѡц҃ь,Old_East_Slavic,NOUN,81,no,6.4645,-1.0188,0.3242,0.302,0.8112,0.8759,3,2,2,2
2,5,наших,Old_East_Slavic,ADJ,479,no,-1.5649,-0.5408,0.7297,0.0859,0.8334,0.9243,2,1,1,1
3,12,мѧ,Old_East_Slavic,PRON,108,no,-3.0138,-1.3413,-0.9204,0.0469,0.7962,0.7274,2,1,1,1
4,14,своего,Old_East_Slavic,ADJ,146,no,-1.489,0.1624,-0.8957,0.0879,0.8661,0.7303,4,3,2,2
5,27,море,Old_East_Slavic,NOUN,188,no,0.3505,1.0487,0.2891,0.1374,0.9073,0.8717,4,3,2,2
6,2080,ходити,Old_East_Slavic,VERB,349,no,-1.7276,-0.4771,0.4847,0.0815,0.8364,0.8951,2,1,1,1
7,2083,бо,Old_East_Slavic,ADV,11,no,5.2029,0.7848,0.0169,0.268,0.8951,0.8392,4,3,2,2
8,2084,б҃а,Old_East_Slavic,NOUN,69,no,1.154,1.3156,-0.0389,0.1591,0.9198,0.8326,4,3,2,2
9,39,ѿ,Old_East_Slavic,ADP,8,no,5.6868,-0.5009,0.5378,0.2811,0.8353,0.9014,3,2,2,2
10,43,съ,Old_East_Slavic,ADP,25,no,-0.7212,0.0498,0.7535,0.1086,0.8609,0.9272,2,1,1,1
11,44,его,Old_East_Slavic,PRON,36,no,2.4077,0.3597,0.9455,0.1928,0.8753,0.9501,4,3,2,2
12,6192,сеже,Old_East_Slavic,DET,348,no,-2.4763,-0.7045,-0.9225,0.0613,0.8258,0.7271,2,1,1,1
13,50,и,Old_East_Slavic,NUM,213,no,32.3989,-18.4586,-5.0436,1.0,0.0,0.2352,5,4,3,2
14,54,поидох,Old_East_Slavic,VERB,185,no,-0.0309,0.9898,-1.1134,0.1272,0.9046,0.7043,4,3,2,2
15,55,на,Old_East_Slavic,ADP,5,no,9.4163,-3.6727,0.1841,0.3814,0.6877,0.8592,3,2,2,2
16,59,в,Old_East_Slavic,NUM,206,no,6.2661,-1.5734,0.5445,0.2966,0.7854,0.9022,3,2,2,2
17,60,манастырь,Old_East_Slavic,NOUN,106,no,1.3342,1.5158,0.0615,0.1639,0.9291,0.8446,4,3,2,2
18,61,къ,Old_East_Slavic,ADP,24,no,-1.0172,-0.6964,0.7799,0.1006,0.8262,0.9303,2,1,1,1
19,4158,роди,Old_East_Slavic,VERB,219,no,3.1433,0.1754,0.3316,0.2126,0.8667,0.8768,4,3,2,2
20,4159,с҃тополкъ,Old_East_Slavic,PROPN,231,no,-0.2045,0.8928,-0.2735,0.1225,0.9001,0.8046,4,3,2,2
21,6210,старець,Old_East_Slavic,NOUN,372,no,-1.2434,-0.3131,0.9355,0.0945,0.844,0.9489,2,1,1,1
22,70,ѹ,Old_East_Slavic,ADP,104,no,-1.8174,-0.114,-0.6245,0.0791,0.8533,0.7627,2,1,1,1
23,72,сѧ,Old_East_Slavic,PRON,4,no,0.5555,0.5804,0.671,0.1429,0.8856,0.9173,4,3,2,2
24,4168,тѣмь,Old_East_Slavic,ADJ,374,no,-2.5698,-1.6279,0.6572,0.0588,0.7828,0.9157,2,1,1,1
25,4171,посемь,Old_East_Slavic,ADV,437,no,0.1656,1.5468,-1.2467,0.1325,0.9305,0.6884,4,3,2,2
26,76,ис,Old_East_Slavic,ADP,118,no,-3.2619,-2.1958,0.8683,0.0402,0.7564,0.9409,2,1,1,1
27,79,с,Old_East_Slavic,PRON,170,no,1.4314,-0.1534,0.8676,0.1665,0.8514,0.9408,4,3,2,2
28,82,ко,Old_East_Slavic,ADP,70,no,-1.701,-0.1951,-0.1514,0.0822,0.8495,0.8192,2,1,1,1
