,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,lors,Old_French,ADV,66,no,-1.0866,0.8455,0.7021,0.7598,0.8493,0.92,4,3,3,2
1,3,en,Old_French,PRON,412,no,-3.769,-1.0785,1.105,0.6613,0.7259,0.971,5,4,3,2
2,4,une,Old_French,DET,45,no,0.1652,0.0756,0.684,0.8057,0.7999,0.9178,4,3,3,2
3,6,le,Old_French,PRON,20,no,-1.5202,-0.1854,1.0151,0.7438,0.7832,0.9596,4,3,3,2
4,7,chevalier,Old_French,NOUN,81,no,-5.6613,-0.324,0.3199,0.5918,0.7743,0.8717,5,4,3,2
5,8,qui,Old_French,PRON,8,no,-8.4073,-1.0393,-0.1956,0.4909,0.7284,0.8066,3,2,2,2
6,9,ses,Old_French,DET,87,no,2.0526,-0.812,0.739,0.875,0.743,0.9247,2,1,1,1
7,10,armes,Old_French,NOUN,190,no,-0.7565,-0.216,1.162,0.7719,0.7812,0.9782,4,3,3,2
8,11,en,Old_French,PRON,412,no,-3.0792,0.5653,0.734,0.6866,0.8313,0.9241,5,4,3,2
9,12,avoit,Old_French,VERB,104,no,1.8091,0.6273,-1.0119,0.8661,0.8353,0.7034,2,1,1,1
10,4106,coi,Old_French,PRON,371,no,2.0583,-0.2347,-0.1323,0.8752,0.78,0.8146,2,1,1,1
11,2058,chief,Old_French,NOUN,299,no,0.1418,0.406,0.444,0.8049,0.8211,0.8874,4,3,3,2
12,17,quant,Old_French,SCONJ,19,no,-2.6653,1.4519,0.2353,0.7018,0.8882,0.861,5,4,3,2
13,18,cil,Old_French,DET,389,no,-5.6971,-0.0491,0.4352,0.5905,0.7919,0.8863,5,4,3,2
14,19,le,Old_French,PRON,20,no,-2.5,1.4052,0.3385,0.7078,0.8852,0.8741,5,4,3,2
15,20,vit,Old_French,VERB,137,no,-5.8651,0.3675,-0.1124,0.5843,0.8186,0.8171,5,4,3,2
16,21,venir,Old_French,VERB,199,no,-3.3006,1.0318,0.3282,0.6785,0.8612,0.8728,5,4,3,2
17,22,si,Old_French,ADV,4,no,-8.299,-1.5834,0.1221,0.4949,0.6935,0.8467,3,2,2,2
18,23,nel,Old_French,PRON,198,no,2.6559,-0.4057,-0.6937,0.8972,0.769,0.7436,2,1,1,1
19,25,pas,Old_French,ADV,97,no,-0.2966,1.1829,0.2555,0.7888,0.8709,0.8636,4,3,3,2
20,2073,letres,Old_French,NOUN,478,no,1.137,0.5814,-0.5487,0.8414,0.8323,0.7619,4,3,3,2
21,27,ainz,Old_French,ADV,162,no,1.5302,1.0462,-1.441,0.8558,0.8621,0.6491,2,1,1,1
22,28,li,Old_French,PRON,15,no,-3.7019,0.0155,1.0271,0.6637,0.796,0.9611,5,4,3,2
23,29,dist,Old_French,VERB,55,no,-7.4031,-0.623,-0.2035,0.5278,0.7551,0.8056,3,2,2,2
24,33,toi,Old_French,PRON,172,no,-1.3521,0.9252,0.7362,0.75,0.8544,0.9244,4,3,3,2
25,34,de,Old_French,ADP,3,no,-12.1275,-6.5488,-2.807,0.3543,0.3751,0.4765,3,2,2,2
26,35,moi,Old_French,PRON,77,no,-2.6311,0.1046,1.0577,0.703,0.8018,0.965,5,4,3,2
27,36,lancelot,Old_French,PROPN,54,no,-5.2738,0.8349,0.0144,0.606,0.8486,0.8331,5,4,3,2
28,37,car,Old_French,CCONJ,37,no,-3.1701,1.287,0.2884,0.6832,0.8776,0.8678,5,4,3,2
29,38,tu,Old_French,PRON,47,no,-0.7606,1.9928,-0.4393,0.7717,0.9228,0.7758,4,3,3,2
30,39,es,Old_French,AUX,408,no,2.727,0.1011,-1.5536,0.8998,0.8015,0.6349,2,1,1,1
31,40,morz,Old_French,VERB,270,no,-2.1258,0.348,0.8675,0.7216,0.8174,0.941,5,4,3,2
32,41,se,Old_French,SCONJ,43,no,-1.4495,0.7581,0.9805,0.7464,0.8437,0.9552,4,3,3,2
33,42,ne,Old_French,CCONJ,21,no,-4.4216,-0.1048,0.7536,0.6373,0.7883,0.9266,5,4,3,2
34,43,te,Old_French,PRON,115,no,2.8321,-0.4372,-0.6493,0.9036,0.767,0.7492,2,1,1,1
35,47,vient,Old_French,VERB,188,no,-3.7486,0.5063,0.8246,0.662,0.8275,0.9355,5,4,3,2
36,50,et,Old_French,CCONJ,1,no,-21.777,-12.3979,-6.576,0.0,0.0,0.0,3,2,2,2
37,51,fiert,Old_French,VERB,404,no,0.0738,1.7425,-1.1243,0.8024,0.9068,0.6892,4,3,3,2
38,52,durement,Old_French,ADV,277,no,2.5324,-0.1901,-0.7368,0.8926,0.7829,0.7382,2,1,1,1
39,53,qu',Old_French,CCONJ,116,no,-4.5014,0.0386,0.688,0.6344,0.7975,0.9183,5,4,3,2
40,54,il,Old_French,PRON,2,no,-11.7447,-3.3978,-1.1284,0.3684,0.5772,0.6886,3,2,2,2
41,56,l',Old_French,PRON,44,no,0.8345,-0.386,1.0697,0.8303,0.7703,0.9665,4,3,3,2
42,57,escu,Old_French,NOUN,460,no,1.0094,1.3672,-1.6366,0.8367,0.8827,0.6244,4,3,3,2
43,59,mes,Old_French,ADV,108,no,-3.2657,0.9995,0.5901,0.6797,0.8591,0.9059,5,4,3,2
44,62,son,Old_French,DET,34,no,0.2965,0.0192,0.8085,0.8105,0.7963,0.9335,4,3,3,2
45,63,pooir,Old_French,NOUN,301,no,-0.2782,1.0047,0.0307,0.7894,0.8595,0.8352,4,3,3,2
46,64,i,Old_French,ADV,26,no,-1.9153,0.7416,0.9095,0.7293,0.8426,0.9463,4,3,3,2
47,65,met,Old_French,VERB,223,no,-2.8109,0.5743,0.7864,0.6964,0.8319,0.9307,5,4,3,2
