,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,در,Persian,NOUN,370,no,9.7527,-2.7734,0.0436,0.5745,0.6013,0.7762,4,3,3,2
1,3,این,Persian,PRON,27,no,5.4564,-1.4941,0.8762,0.4138,0.6965,0.8765,4,3,3,2
2,2052,گوش,Persian,NOUN,402,no,-2.2546,-0.8779,-0.0442,0.1255,0.7424,0.7656,2,1,1,1
3,7,و,Persian,CCONJ,1,no,21.1319,-10.8495,-5.106,1.0,0.0,0.1554,3,2,2,2
4,14,کردن,Persian,NOUN,85,no,2.6584,0.9935,0.9464,0.3092,0.8817,0.885,5,4,3,2
5,19,شد,Persian,AUX,176,no,11.942,-4.6517,-2.0749,0.6563,0.4614,0.5208,3,2,2,2
6,25,ملی,Persian,ADJ,396,no,-3.4623,-3.3118,1.515,0.0803,0.5612,0.9535,1,1,1,1
7,26,انتخابات,Persian,NOUN,283,no,-0.8857,0.1577,0.1949,0.1766,0.8195,0.7944,2,1,1,1
8,2074,جدول,Persian,NOUN,377,no,-2.6725,-1.7336,0.7584,0.1098,0.6787,0.8623,2,1,1,1
9,27,اخیر,Persian,ADJ,254,no,-2.5956,-1.099,0.0604,0.1127,0.7259,0.7782,2,1,1,1
10,28,را,Persian,ADP,4,no,8.6163,-2.2823,0.2379,0.532,0.6378,0.7996,4,3,3,2
11,31,تاریخ,Persian,NOUN,309,no,-0.1685,0.1059,0.7644,0.2035,0.8156,0.863,5,4,3,2
12,32,انقلاب,Persian,NOUN,240,no,-0.4578,0.2959,0.1616,0.1926,0.8298,0.7904,2,1,1,1
13,34,افزود,Persian,VERB,198,no,1.1879,1.1714,0.5999,0.2542,0.895,0.8432,5,4,3,2
14,36,مردم,Persian,NOUN,40,no,2.5387,0.7799,1.0593,0.3047,0.8658,0.8986,5,4,3,2
15,39,نظام,Persian,NOUN,163,no,1.1721,0.689,1.009,0.2536,0.859,0.8925,5,4,3,2
16,40,اسلامی,Persian,PROPN,189,no,-2.7625,-1.3477,-0.1054,0.1065,0.7074,0.7582,2,1,1,1
17,41,به,Persian,ADP,2,no,14.3668,-6.6075,-2.6375,0.747,0.3158,0.4529,3,2,2,2
18,45,همین,Persian,DET,68,no,-1.6828,-0.9366,0.9805,0.1468,0.738,0.8891,2,1,1,1
19,46,خاطر,Persian,NOUN,150,no,1.8697,2.0394,0.2259,0.2797,0.9596,0.7981,5,4,3,2
20,47,دشمنان,Persian,NOUN,470,no,-0.592,0.6024,-0.3571,0.1876,0.8526,0.7279,2,1,1,1
21,48,جمهوری,Persian,PROPN,346,no,-2.0189,-1.1328,0.6516,0.1343,0.7234,0.8495,2,1,1,1
22,49,اسلامی,Persian,PROPN,189,no,-3.6414,-1.8834,-0.3463,0.0736,0.6675,0.7291,1,1,1,1
23,50,با,Persian,ADP,8,no,5.9369,-1.2163,0.761,0.4318,0.7172,0.8626,4,3,3,2
24,51,تمام,Persian,ADJ,315,no,1.143,0.7685,0.9674,0.2525,0.865,0.8875,5,4,3,2
25,52,توان,Persian,NOUN,466,no,-1.3164,0.6867,-1.3547,0.1605,0.8589,0.6076,2,1,1,1
26,2093,هیچ,Persian,DET,71,no,-3.318,-2.1365,0.719,0.0857,0.6487,0.8576,1,1,1,1
27,54,آن,Persian,DET,26,no,6.1145,0.3451,0.3993,0.4384,0.8334,0.819,4,3,3,2
28,57,اجرای,Persian,NOUN,258,no,0.6752,0.6192,0.7629,0.235,0.8538,0.8629,5,4,3,2
29,60,ایران,Persian,PROPN,45,no,2.2086,1.101,0.6056,0.2924,0.8897,0.8439,5,4,3,2
30,2109,کمتر,Persian,ADJ,365,no,0.363,0.8448,0.6238,0.2233,0.8706,0.8461,5,4,3,2
31,63,از,Persian,ADP,5,no,12.8489,-5.8909,-2.2508,0.6903,0.3692,0.4996,3,2,2,2
32,64,جای,Persian,NOUN,87,no,3.3044,1.5567,0.4233,0.3333,0.9236,0.8219,5,4,3,2
