,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,o,Portuguese,PRON,55,no,-11.5585,4.0036,0.7083,0.5367,0.3117,0.3453,1,1,1,1
1,2,objetivo,Portuguese,NOUN,243,no,-1.1661,-1.152,-1.2044,0.8283,0.0612,0.0559,5,4,3,2
2,3,de,Portuguese,ADP,1,no,-30.6839,18.1672,5.0351,0.0,1.0,1.0,2,1,1,1
3,2052,informou,Portuguese,VERB,250,no,1.2743,0.8524,-1.005,0.8968,0.1586,0.0861,4,3,3,2
4,4,os,Portuguese,DET,6,no,-1.8129,-0.182,-0.7873,0.8102,0.1083,0.119,5,4,3,2
5,5,principais,Portuguese,ADJ,214,no,3.2343,2.049,0.1253,0.9518,0.2167,0.2571,3,2,2,2
6,7,a,Portuguese,PRON,252,no,-10.215,3.1304,0.3591,0.5744,0.2693,0.2925,1,1,1,1
7,8,cidade,Portuguese,NOUN,73,no,-2.5751,-1.6135,-0.2635,0.7888,0.0387,0.1983,5,4,3,2
8,9,é,Portuguese,VERB,25,no,-2.9424,0.5222,-1.0663,0.7785,0.1425,0.0768,5,4,3,2
9,2057,nota,Portuguese,NOUN,465,no,-0.3298,-1.0423,1.3514,0.8518,0.0665,0.4426,4,3,3,2
10,10,que,Portuguese,ADP,215,no,-5.8501,0.4204,-0.7391,0.6969,0.1376,0.1263,5,4,3,2
11,2061,tinha,Portuguese,VERB,228,no,-1.205,-0.723,-1.2378,0.8272,0.082,0.0509,5,4,3,2
12,14,sair,Portuguese,VERB,392,no,-1.9572,-1.1334,-1.4389,0.8061,0.0621,0.0204,5,4,3,2
13,16,e,Portuguese,CCONJ,5,no,-12.5952,5.9731,0.2064,0.5076,0.4074,0.2694,1,1,1,1
14,18,a,Portuguese,PRON,252,no,-11.9045,3.8741,0.7085,0.527,0.3054,0.3454,1,1,1,1
15,19,cada,Portuguese,DET,128,no,1.3367,0.3579,-0.4108,0.8986,0.1345,0.176,4,3,3,2
16,4117,vem,Portuguese,AUX,490,no,4.9511,4.0644,-1.5622,1.0,0.3147,0.0018,3,2,2,2
17,23,em,Portuguese,ADP,4,no,-19.0,9.1984,1.9889,0.3279,0.5642,0.5391,1,1,1,1
