,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,5,la,Romanian,ADP,2,no,-8.4649,-2.8994,-0.2737,0.3986,0.6236,0.7934,2,2,1,1
1,6,fântână,Romanian,NOUN,337,no,1.2141,1.5811,-1.7158,0.7986,0.951,0.6283,5,4,3,2
2,2054,ies,Romanian,VERB,487,no,0.7745,0.5535,0.0034,0.7804,0.8759,0.8252,5,4,3,2
3,8,că,Romanian,SCONJ,8,no,-12.0389,-3.1275,-1.0602,0.2509,0.607,0.7033,2,2,1,1
4,9,eu,Romanian,PRON,21,no,-6.3757,-1.063,0.4346,0.4849,0.7578,0.8745,2,2,1,1
5,10,nu,Romanian,ADV,6,no,-10.7174,-2.2269,-0.9553,0.3055,0.6728,0.7154,2,2,1,1
6,11,l-,Romanian,PRON,79,no,1.1531,0.9402,-0.6976,0.796,0.9042,0.7449,3,3,2,2
7,12,oi,Romanian,NOUN,423,no,-0.6112,1.2955,-0.138,0.7231,0.9301,0.809,3,3,2,2
8,13,pune,Romanian,VERB,193,no,-5.25,-0.1829,0.1534,0.5314,0.8221,0.8423,2,2,1,1
9,14,-n,Romanian,ADP,19,no,-2.0815,-0.5299,0.6774,0.6624,0.7968,0.9023,3,3,2,2
10,17,am,Romanian,VERB,98,no,-3.8336,0.7816,0.1961,0.59,0.8926,0.8472,2,2,1,1
11,19,pe,Romanian,ADP,9,no,-6.4776,-1.6666,0.1002,0.4807,0.7137,0.8362,2,2,1,1
12,21,și,Romanian,PRON,207,no,-17.084,-9.5334,-5.6041,0.0424,0.1389,0.183,1,1,1,1
13,22,apoi,Romanian,ADV,248,no,3.5203,0.0499,-2.1207,0.8939,0.8391,0.5819,5,4,3,2
14,24,mai,Romanian,ADV,20,no,-7.1573,-1.101,0.216,0.4526,0.755,0.8495,2,2,1,1
15,25,odată,Romanian,ADV,404,no,2.1403,-0.3306,-0.0398,0.8368,0.8113,0.8202,5,4,3,2
16,26,când,Romanian,ADV,27,no,-4.4266,1.4118,0.0262,0.5655,0.9386,0.8278,2,2,1,1
17,30,s-,Romanian,PART,86,no,2.9322,-0.5022,-0.5553,0.8696,0.7988,0.7612,5,4,3,2
