,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,2,a,Scottish_Gaelic,ADJ,388,no,4.7643,0.0536,1.2513,0.3542,0.1879,0.9696,4,3,3,2
1,3,chaidh,Scottish_Gaelic,VERB,50,no,7.7243,1.1801,0.5315,0.4588,0.2576,0.8842,4,3,3,2
2,4,do,Scottish_Gaelic,DET,170,no,1.6141,-0.1695,1.3119,0.2429,0.1742,0.9768,5,4,3,2
3,5,sibh,Scottish_Gaelic,PRON,83,no,1.932,-1.3342,0.6295,0.2541,0.1022,0.8958,5,4,3,2
4,6,an-diugh,Scottish_Gaelic,ADV,161,no,-0.2789,-0.6389,0.2784,0.176,0.1451,0.8542,5,4,3,2
5,4098,as,Scottish_Gaelic,AUX,181,no,-0.196,-0.3555,0.3092,0.1789,0.1627,0.8579,5,4,3,2
6,9,cha,Scottish_Gaelic,AUX,419,no,0.6788,-0.9408,0.4929,0.2098,0.1265,0.8797,5,4,3,2
7,10,robh,Scottish_Gaelic,VERB,15,no,16.4157,7.9083,-3.7507,0.7659,0.6734,0.3764,3,2,2,2
8,11,i,Scottish_Gaelic,PRON,19,no,5.0406,-0.1438,1.1475,0.364,0.1757,0.9573,4,3,3,2
9,12,ach,Scottish_Gaelic,PART,144,no,-0.4975,-0.7514,-0.2356,0.1683,0.1382,0.7933,5,4,3,2
10,13,gu,Scottish_Gaelic,PRON,485,no,-1.4125,0.1302,-0.0056,0.136,0.1927,0.8205,2,1,1,1
11,14,math,Scottish_Gaelic,ADJ,180,no,-0.3317,-0.9178,-0.6698,0.1741,0.1279,0.7418,5,4,3,2
12,17,fhèin,Scottish_Gaelic,PRON,45,no,0.2402,-0.4477,0.4527,0.1943,0.157,0.8749,5,4,3,2
13,19,fhuair,Scottish_Gaelic,VERB,92,no,6.8366,0.5697,0.8009,0.4274,0.2199,0.9162,4,3,3,2
14,20,sinn,Scottish_Gaelic,PRON,49,no,2.8092,-0.8869,1.0445,0.2851,0.1298,0.9451,5,4,3,2
15,22,air,Scottish_Gaelic,ADV,199,no,9.5126,3.9439,-1.2021,0.522,0.4284,0.6787,4,3,3,2
16,24,math,Scottish_Gaelic,ADJ,180,no,0.902,-1.5348,0.0248,0.2177,0.0898,0.8241,5,4,3,2
17,25,de,Scottish_Gaelic,ADP,25,no,0.5826,-0.0124,1.0041,0.2064,0.1839,0.9403,5,4,3,2
18,26,iad,Scottish_Gaelic,PRON,6,no,9.5553,2.367,0.2515,0.5235,0.3309,0.851,4,3,3,2
19,27,ach,Scottish_Gaelic,PART,144,no,3.6417,-1.478,0.6003,0.3145,0.0933,0.8924,5,4,3,2
20,28,b',Scottish_Gaelic,PART,231,no,-0.5638,0.1197,0.8697,0.1659,0.192,0.9243,5,4,3,2
21,30,am,Scottish_Gaelic,NOUN,356,no,-2.5965,1.5429,0.7933,0.0941,0.28,0.9153,2,1,1,1
22,32,bho,Scottish_Gaelic,ADP,76,no,-0.2426,0.2287,1.0015,0.1773,0.1988,0.94,5,4,3,2
23,33,mu,Scottish_Gaelic,ADV,446,no,-1.6186,2.0435,-1.647,0.1287,0.3109,0.6259,2,1,1,1
24,34,dheireadh,Scottish_Gaelic,ADV,442,no,-5.0321,4.4372,1.0847,0.0081,0.4589,0.9498,1,1,1,1
25,35,thall,Scottish_Gaelic,ADV,207,no,-0.2952,-2.0548,-2.0414,0.1754,0.0576,0.5791,2,1,1,1
26,37,bha,Scottish_Gaelic,VERB,8,no,23.0414,13.192,-6.9252,1.0,1.0,0.0,3,2,2,2
27,38,cho,Scottish_Gaelic,ADV,81,no,-1.325,0.6871,0.547,0.139,0.2271,0.8861,2,1,1,1
28,40,'s,Scottish_Gaelic,SCONJ,175,no,6.1735,0.1037,0.5425,0.404,0.191,0.8855,4,3,3,2
29,41,thàinig,Scottish_Gaelic,VERB,94,no,4.8695,-0.4135,1.0008,0.3579,0.1591,0.9399,4,3,3,2
30,42,an,Scottish_Gaelic,PROPN,323,no,4.933,1.3597,1.1666,0.3602,0.2687,0.9595,4,3,3,2
31,46,rinn,Scottish_Gaelic,VERB,111,no,4.2922,-0.3299,0.9665,0.3375,0.1642,0.9358,4,3,3,2
32,47,suas,Scottish_Gaelic,ADV,117,no,1.0462,-0.8335,0.8719,0.2228,0.1331,0.9246,5,4,3,2
33,50,an,Scottish_Gaelic,PROPN,323,no,4.4431,0.0407,1.0575,0.3429,0.1872,0.9466,4,3,3,2
34,51,uair,Scottish_Gaelic,ADV,287,no,-2.7419,0.5517,-1.0709,0.089,0.2187,0.6942,2,1,1,1
35,52,sin,Scottish_Gaelic,ADV,153,no,-2.8041,-0.8497,-3.716,0.0868,0.1321,0.3805,2,1,1,1
36,53,gur,Scottish_Gaelic,AUX,112,no,-0.4446,-0.5165,0.0854,0.1701,0.1527,0.8313,5,4,3,2
37,54,e,Scottish_Gaelic,PRON,1,no,13.035,5.5569,-2.4864,0.6464,0.5281,0.5264,3,2,2,2
38,55,gun,Scottish_Gaelic,ADP,89,no,-0.7832,-0.606,-0.0058,0.1582,0.1472,0.8205,5,4,3,2
39,56,rachadh,Scottish_Gaelic,VERB,434,no,0.6639,-0.9943,0.3926,0.2093,0.1232,0.8678,5,4,3,2
40,4150,mis',Scottish_Gaelic,PRON,439,no,-0.1931,-1.2535,-0.6548,0.179,0.1072,0.7436,5,4,3,2
41,57,gu,Scottish_Gaelic,PRON,485,no,1.4996,-0.3231,1.3284,0.2388,0.1647,0.9787,5,4,3,2
42,59,bh',Scottish_Gaelic,VERB,82,no,3.5241,-0.1438,1.2511,0.3104,0.1757,0.9696,5,4,3,2
43,60,aig,Scottish_Gaelic,ADP,10,no,3.3933,-0.202,1.2181,0.3058,0.1722,0.9656,5,4,3,2
44,2109,saoghal,Scottish_Gaelic,NOUN,383,no,-0.4138,-1.0105,-0.6,0.1712,0.1222,0.7501,5,4,3,2
45,64,d’,Scottish_Gaelic,PART,191,no,-3.508,1.1245,-0.94,0.0619,0.2541,0.7097,2,1,1,1
46,65,togail,Scottish_Gaelic,NOUN,415,no,0.9026,-1.5614,0.019,0.2178,0.0881,0.8235,5,4,3,2
47,66,an,Scottish_Gaelic,PROPN,323,no,3.1098,0.4928,1.3444,0.2957,0.2151,0.9806,5,4,3,2
48,67,dè,Scottish_Gaelic,PRON,72,no,1.9474,-1.8461,0.2612,0.2547,0.0705,0.8522,5,4,3,2
49,2116,bheireadh,Scottish_Gaelic,VERB,453,no,0.0231,-0.6295,0.2778,0.1867,0.1457,0.8541,5,4,3,2
50,68,a',Scottish_Gaelic,PROPN,276,no,0.3456,-0.3195,0.855,0.1981,0.1649,0.9226,5,4,3,2
51,69,dol,Scottish_Gaelic,NOUN,78,no,4.2617,-0.2951,0.9767,0.3364,0.1664,0.937,4,3,3,2
52,70,thu,Scottish_Gaelic,PRON,28,no,3.424,-0.5748,1.1331,0.3068,0.1491,0.9556,5,4,3,2
53,71,mi,Scottish_Gaelic,PRON,17,no,4.4151,-0.0976,1.2055,0.3419,0.1786,0.9642,4,3,3,2
54,72,shuas,Scottish_Gaelic,ADV,145,no,0.2423,-1.8673,-1.0106,0.1944,0.0692,0.7014,5,4,3,2
55,73,ann,Scottish_Gaelic,ADV,110,no,1.2679,-0.3553,1.0526,0.2307,0.1627,0.946,5,4,3,2
56,75,[placename],Scottish_Gaelic,PROPN,54,no,5.3829,0.6994,1.0583,0.3761,0.2279,0.9467,4,3,3,2
57,76,na,Scottish_Gaelic,PROPN,483,no,-0.7715,0.8654,1.1654,0.1586,0.2381,0.9594,5,4,3,2
58,74,am,Scottish_Gaelic,NOUN,356,no,-2.4943,1.2402,0.3509,0.0977,0.2613,0.8628,2,1,1,1
59,79,[name],Scottish_Gaelic,PROPN,22,no,5.5334,-0.226,0.8813,0.3814,0.1707,0.9257,4,3,3,2
60,80,tha,Scottish_Gaelic,VERB,7,no,20.2884,10.9089,-5.4954,0.9027,0.8589,0.1695,3,2,2,2
61,81,m',Scottish_Gaelic,DET,333,no,-3.5563,2.3388,0.7528,0.0602,0.3292,0.9105,2,1,1,1
62,85,mo,Scottish_Gaelic,DET,157,no,-4.8189,4.2888,1.0865,0.0156,0.4497,0.95,1,1,1,1
63,88,chan,Scottish_Gaelic,AUX,155,no,-1.2562,-0.5602,-0.5656,0.1415,0.15,0.7541,2,1,1,1
64,89,rud,Scottish_Gaelic,NOUN,100,no,4.6892,-0.1749,1.0623,0.3515,0.1738,0.9472,4,3,3,2
65,90,sin,Scottish_Gaelic,ADV,153,no,6.3334,1.6271,-0.7688,0.4096,0.2852,0.73,4,3,3,2
66,91,idir,Scottish_Gaelic,ADV,99,no,1.1046,-2.0208,-0.3701,0.2249,0.0597,0.7773,5,4,3,2
67,92,gheibh,Scottish_Gaelic,VERB,182,no,2.7506,-0.5915,1.2453,0.283,0.1481,0.9689,5,4,3,2
68,95,co-dhiubh,Scottish_Gaelic,ADV,74,no,3.0512,-1.4697,0.733,0.2937,0.0938,0.9081,5,4,3,2
69,4192,t-iasg,Scottish_Gaelic,NOUN,491,no,-1.1389,-0.4028,-0.3484,0.1456,0.1597,0.7799,5,4,3,2
70,96,bhi,Scottish_Gaelic,VERB,335,no,0.2111,-0.6243,0.607,0.1933,0.146,0.8932,5,4,3,2
71,98,ma,Scottish_Gaelic,ADP,463,no,-1.0105,-1.2639,-1.5601,0.1502,0.1065,0.6362,5,4,3,2
72,100,tu,Scottish_Gaelic,PRON,113,no,-1.8321,0.7209,0.5554,0.1211,0.2292,0.8871,2,1,1,1
73,101,bhith,Scottish_Gaelic,NOUN,64,no,5.9227,0.5512,1.0728,0.3951,0.2187,0.9484,4,3,3,2
74,102,dèanamh,Scottish_Gaelic,NOUN,135,no,2.7196,-1.2532,0.8516,0.282,0.1072,0.9222,5,4,3,2
75,103,a,Scottish_Gaelic,ADJ,388,no,2.2172,1.2315,-0.2836,0.2642,0.2608,0.7876,2,1,1,1
76,2151,sgeulachd,Scottish_Gaelic,NOUN,233,no,0.6581,-0.7164,0.6215,0.2091,0.1404,0.8949,5,4,3,2
77,104,h-uile,Scottish_Gaelic,DET,132,no,-4.7051,4.2116,1.0879,0.0196,0.4449,0.9502,1,1,1,1
78,106,a-staigh,Scottish_Gaelic,ADV,103,no,0.8392,-1.6194,0.0471,0.2155,0.0845,0.8268,5,4,3,2
79,107,bhios,Scottish_Gaelic,VERB,261,no,0.6957,-0.3426,1.0652,0.2104,0.1635,0.9475,5,4,3,2
80,108,mise,Scottish_Gaelic,PRON,115,no,1.7174,-1.3276,0.7234,0.2465,0.1026,0.907,5,4,3,2
81,110,ge-tà,Scottish_Gaelic,ADV,268,no,-0.7052,-1.0043,-0.693,0.1609,0.1226,0.739,2,1,1,1
82,112,leòr,Scottish_Gaelic,ADV,178,no,-0.9291,-0.438,-0.4176,0.153,0.1576,0.7717,2,1,1,1
83,113,a',Scottish_Gaelic,PROPN,276,no,-1.49,0.7552,0.6701,0.1332,0.2313,0.9007,2,1,1,1
84,117,mar,Scottish_Gaelic,ADP,97,no,1.6005,-2.0493,0.0106,0.2424,0.058,0.8225,5,4,3,2
85,118,an,Scottish_Gaelic,PROPN,323,no,-0.9274,-0.6128,-0.2484,0.1531,0.1468,0.7917,5,4,3,2
86,120,còrr,Scottish_Gaelic,NOUN,244,no,-0.3014,-0.8992,-0.279,0.1752,0.1291,0.7881,5,4,3,2
87,125,dìreach,Scottish_Gaelic,ADV,86,no,1.7554,-1.3378,0.5001,0.2479,0.102,0.8805,5,4,3,2
88,126,mu,Scottish_Gaelic,ADV,446,no,-0.0514,0.0631,0.8466,0.184,0.1885,0.9216,5,4,3,2
89,127,dhà,Scottish_Gaelic,NUM,410,no,-2.6163,1.4871,0.6408,0.0934,0.2765,0.8972,2,1,1,1
90,129,dhà,Scottish_Gaelic,NUM,410,no,-0.4329,-0.4488,0.2191,0.1706,0.1569,0.8472,5,4,3,2
91,130,mar,Scottish_Gaelic,ADP,97,no,-2.3419,0.8042,0.2012,0.1031,0.2343,0.8451,2,1,1,1
92,131,sineach,Scottish_Gaelic,PRON,257,no,-1.2852,-0.1631,-0.4435,0.1404,0.1746,0.7686,2,1,1,1
93,133,ri,Scottish_Gaelic,PART,149,no,-1.2782,0.0324,0.3613,0.1407,0.1866,0.8641,5,4,3,2
94,134,ràdh,Scottish_Gaelic,NOUN,80,no,2.8864,-1.4589,0.6804,0.2878,0.0945,0.9019,5,4,3,2
95,135,do,Scottish_Gaelic,DET,170,no,-1.4553,-0.6181,-0.6683,0.1344,0.1464,0.742,2,1,1,1
96,138,ach,Scottish_Gaelic,PART,144,no,-0.7581,0.212,0.5488,0.1591,0.1977,0.8863,5,4,3,2
97,140,fear,Scottish_Gaelic,NOUN,59,no,6.3243,1.6364,-1.011,0.4093,0.2858,0.7013,4,3,3,2
98,2189,alasdair,Scottish_Gaelic,PROPN,362,no,-3.1187,1.1251,-0.5768,0.0757,0.2542,0.7528,2,1,1,1
99,141,dhe,Scottish_Gaelic,ADP,171,no,-3.0527,1.4096,0.2561,0.078,0.2718,0.8516,2,1,1,1
100,143,ag,Scottish_Gaelic,PART,29,no,-0.103,-0.3951,0.7044,0.1822,0.1602,0.9047,5,4,3,2
101,144,bheil,Scottish_Gaelic,VERB,43,no,9.0831,2.3831,0.4189,0.5068,0.3319,0.8709,4,3,3,2
102,2194,adhart,Scottish_Gaelic,NOUN,425,no,-1.9627,0.1939,-0.4635,0.1165,0.1966,0.7662,2,1,1,1
103,147,airson,Scottish_Gaelic,ADP,75,no,1.9055,-1.1047,0.8292,0.2532,0.1164,0.9195,5,4,3,2
104,148,a-màireach,Scottish_Gaelic,ADV,421,no,-1.532,0.2027,0.1169,0.1317,0.1972,0.8351,2,1,1,1
105,149,so,Scottish_Gaelic,CCONJ,471,no,-1.5942,-1.9438,-3.1644,0.1295,0.0645,0.446,2,1,1,1
106,151,nì,Scottish_Gaelic,VERB,467,no,-0.5659,-0.5775,-0.1804,0.1659,0.1489,0.7998,5,4,3,2
107,153,dhol,Scottish_Gaelic,NOUN,156,no,2.8688,-0.5811,1.1788,0.2872,0.1487,0.961,5,4,3,2
108,154,a,Scottish_Gaelic,ADJ,388,no,-0.8008,0.4723,0.792,0.1576,0.2138,0.9151,5,4,3,2
109,157,naoi,Scottish_Gaelic,NUM,376,no,-2.2767,0.593,-0.289,0.1054,0.2213,0.7869,2,1,1,1
110,158,nuair,Scottish_Gaelic,SCONJ,55,no,0.9847,-1.7467,-0.0056,0.2207,0.0767,0.8205,5,4,3,2
111,159,cur,Scottish_Gaelic,NOUN,123,no,3.1072,-1.3698,0.6352,0.2957,0.1,0.8965,5,4,3,2
112,160,leth,Scottish_Gaelic,NOUN,363,no,-0.8326,-0.3302,0.1297,0.1564,0.1642,0.8366,2,1,1,1
113,162,son,Scottish_Gaelic,ADP,407,no,-2.4271,0.6824,-0.3859,0.1001,0.2268,0.7754,2,1,1,1
114,165,falbh,Scottish_Gaelic,ADV,214,no,1.1719,-1.0036,0.6362,0.2273,0.1226,0.8966,5,4,3,2
115,166,àite,Scottish_Gaelic,NOUN,91,no,4.3565,0.1259,1.2171,0.3398,0.1924,0.9655,4,3,3,2
116,167,an,Scottish_Gaelic,PROPN,323,no,0.1902,-0.3142,0.6119,0.1926,0.1652,0.8938,5,4,3,2
117,168,cumail,Scottish_Gaelic,NOUN,213,no,1.943,-0.7781,0.9298,0.2545,0.1365,0.9315,5,4,3,2
118,169,a's,Scottish_Gaelic,ADP,122,no,-1.9166,0.394,-0.0584,0.1181,0.209,0.8143,2,1,1,1
119,171,a-neist,Scottish_Gaelic,ADV,402,no,-2.1736,-0.0579,-1.1908,0.1091,0.1811,0.68,2,1,1,1
120,173,tuigsinn,Scottish_Gaelic,NOUN,400,no,-0.5188,-1.5474,-1.5615,0.1675,0.089,0.636,5,4,3,2
