,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,2049,odsto,Serbian,ADV,57,no,-0.2573,-0.8008,0.3354,0.1427,0.0865,0.2346,3,2,2,2
1,6,u,Serbian,ADP,2,no,12.0142,5.5019,0.6631,0.5089,0.4289,0.2711,4,3,3,2
2,7,makedoniji,Serbian,PROPN,120,no,0.6279,-0.8294,-0.4662,0.1691,0.0849,0.1453,3,2,2,2
3,2056,pitanja,Serbian,NOUN,185,no,0.9216,-0.3146,-1.0493,0.1779,0.1129,0.0804,3,2,2,2
4,2055,zajednice,Serbian,NOUN,273,no,2.6289,-0.8414,-0.7438,0.2289,0.0843,0.1144,3,2,2,2
5,2058,zajednica,Serbian,NOUN,465,no,1.7024,-1.7168,-0.1878,0.2012,0.0367,0.1763,3,2,2,2
6,11,je,Serbian,AUX,1,no,13.8639,4.9358,1.7365,0.5641,0.3982,0.3906,4,3,3,2
7,10,da,Serbian,SCONJ,4,no,9.9275,3.7463,0.8225,0.4467,0.3336,0.2889,4,3,3,2
8,8,neki,Serbian,DET,271,no,-2.8358,1.312,-0.5162,0.0658,0.2013,0.1398,2,1,1,1
9,4111,unmik-a,Serbian,PROPN,474,no,-3.0145,1.2656,-0.0237,0.0605,0.1988,0.1946,2,1,1,1
10,16,na,Serbian,ADP,6,no,9.1805,3.9407,-0.0221,0.4244,0.3441,0.1948,4,3,3,2
11,18,medija,Serbian,NOUN,236,no,-3.5904,2.1134,-0.6197,0.0433,0.2448,0.1282,2,1,1,1
12,20,ali,Serbian,CCONJ,28,no,1.0849,-1.1271,-0.5324,0.1828,0.0688,0.138,3,2,2,2
13,21,drugi,Serbian,ADJ,136,no,-1.6207,-0.1383,1.4322,0.102,0.1225,0.3568,2,1,1,1
14,2070,mogu,Serbian,VERB,302,no,2.5012,-1.2225,-0.3977,0.225,0.0636,0.153,3,2,2,2
15,4119,severu,Serbian,NOUN,472,no,-2.4597,1.1467,-0.7076,0.077,0.1923,0.1184,2,1,1,1
16,23,o,Serbian,ADP,13,no,-0.2519,0.382,-1.1641,0.1429,0.1508,0.0676,2,1,1,1
17,36,godina,Serbian,NOUN,52,no,4.2806,0.4506,-1.0374,0.2781,0.1545,0.0817,3,2,2,2
18,38,zbog,Serbian,ADP,46,no,-0.6545,-0.1685,-0.8947,0.1309,0.1209,0.0976,2,1,1,1
19,2087,subotu,Serbian,NOUN,349,no,-1.3072,-0.2779,0.3458,0.1114,0.1149,0.2358,2,1,1,1
20,41,i,Serbian,CCONJ,3,no,28.4713,16.0126,3.829,1.0,1.0,0.6237,5,4,3,2
21,2093,pomoć,Serbian,NOUN,227,no,0.313,-0.7208,-1.123,0.1598,0.0908,0.0722,3,2,2,2
22,46,koji,Serbian,DET,12,no,3.578,-1.0785,-0.282,0.2572,0.0714,0.1658,3,2,2,2
23,4143,srpskih,Serbian,ADJ,394,no,-3.004,1.1812,0.2567,0.0608,0.1942,0.2258,2,1,1,1
24,4141,suda,Serbian,NOUN,209,no,-0.2864,-0.4851,-0.4261,0.1419,0.1037,0.1498,2,1,1,1
25,51,mogla,Serbian,VERB,228,no,3.0244,-0.7447,-0.4501,0.2407,0.0895,0.1471,3,2,2,2
26,52,bi,Serbian,AUX,14,no,-1.7228,-0.0655,0.8631,0.099,0.1265,0.2934,2,1,1,1
27,55,kažu,Serbian,VERB,192,no,0.8938,-0.9284,-0.5749,0.1771,0.0796,0.1332,3,2,2,2
28,57,toj,Serbian,DET,411,no,-4.7381,3.3759,0.0917,0.009,0.3134,0.2075,1,1,1,1
29,61,bivši,Serbian,ADJ,162,no,-1.8107,0.5159,-0.7097,0.0964,0.158,0.1182,2,1,1,1
30,66,četiri,Serbian,NUM,203,no,-1.6335,0.3201,-0.5554,0.1017,0.1474,0.1354,2,1,1,1
31,68,drugih,Serbian,ADJ,221,no,-1.7083,0.4601,-0.8627,0.0994,0.155,0.1012,2,1,1,1
32,69,preduzeća,Serbian,NOUN,405,no,0.6856,-0.7005,-0.4877,0.1709,0.0919,0.1429,3,2,2,2
33,73,14.,Serbian,ADJ,404,no,-2.6256,0.6293,0.4531,0.0721,0.1642,0.2477,2,1,1,1
34,74,marta,Serbian,NOUN,131,no,0.9953,-0.6035,-0.1727,0.1801,0.0972,0.178,3,2,2,2
35,2130,četvrtak,Serbian,NOUN,96,no,1.713,-0.9035,-0.0582,0.2015,0.0809,0.1908,3,2,2,2
36,86,dve,Serbian,NUM,90,no,1.7403,-0.403,-0.8079,0.2023,0.1081,0.1073,3,2,2,2
37,87,do,Serbian,ADP,24,no,1.1771,0.3013,-0.6684,0.1855,0.1464,0.1228,3,2,2,2
38,89,tv,Serbian,NOUN,439,no,-4.5935,3.2706,0.0836,0.0133,0.3077,0.2066,1,1,1,1
39,91,su,Serbian,AUX,8,no,3.0018,0.1845,-1.0967,0.24,0.14,0.0751,3,2,2,2
40,92,zato,Serbian,SCONJ,368,no,-2.0272,0.9446,-1.036,0.0899,0.1813,0.0819,2,1,1,1
41,93,što,Serbian,SCONJ,44,no,-2.77,1.6011,-0.8215,0.0678,0.217,0.1058,2,1,1,1
42,94,nisu,Serbian,AUX,144,no,-2.7661,1.358,-0.7895,0.0679,0.2038,0.1093,2,1,1,1
43,99,obaveze,Serbian,NOUN,488,no,-3.6277,2.1407,-0.6178,0.0422,0.2463,0.1284,2,1,1,1
44,100,prema,Serbian,ADP,38,no,-1.6807,0.5825,-1.2321,0.1003,0.1617,0.06,2,1,1,1
45,2153,grčki,Serbian,ADJ,487,no,-2.8376,-0.5825,5.0261,0.0657,0.0984,0.757,2,1,1,1
46,2154,zaštitu,Serbian,NOUN,254,no,0.4977,-1.3289,0.7173,0.1653,0.0578,0.2771,3,2,2,2
47,107,za,Serbian,ADP,7,no,10.2588,3.5917,0.7489,0.4565,0.3252,0.2807,4,3,3,2
48,108,koje,Serbian,DET,26,no,-0.0201,-0.7768,-0.4336,0.1498,0.0878,0.149,3,2,2,2
49,114,ne,Serbian,PART,21,no,1.4332,-1.3711,-0.0616,0.1932,0.0555,0.1904,3,2,2,2
50,119,zakona,Serbian,NOUN,202,no,-0.3071,-0.0831,-1.1201,0.1412,0.1255,0.0725,2,1,1,1
51,121,rekla,Serbian,VERB,85,no,1.6811,-0.6199,-0.9408,0.2006,0.0963,0.0925,3,2,2,2
52,125,makedonije,Serbian,PROPN,140,no,1.0179,-1.5869,0.2046,0.1808,0.0438,0.22,3,2,2,2
