,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,kde,Slovak,ADV,155,no,0.0282,0.4951,-0.8757,0.8167,0.7976,0.3331,2,2,1,1
1,2,tá,Slovak,DET,130,no,2.4881,-0.7078,0.1219,0.9171,0.7123,0.4198,2,2,1,1
2,7,prečo,Slovak,ADV,132,no,0.8358,0.3826,-0.7195,0.8497,0.7896,0.3466,2,2,1,1
3,8,to,Slovak,DET,6,no,-14.8727,-5.7314,1.2128,0.2084,0.3561,0.5146,5,4,3,2
4,2056,nemám,Slovak,VERB,308,no,-1.2114,0.4713,-1.2678,0.7661,0.7959,0.299,2,2,1,1
5,2058,pocit,Slovak,NOUN,101,no,-4.1729,-0.0346,0.6019,0.6452,0.76,0.4615,3,3,2,2
6,11,je,Slovak,VERB,41,no,-5.6691,-1.5573,0.2185,0.5841,0.6521,0.4282,4,4,3,2
7,15,aby,Slovak,SCONJ,33,no,-0.1639,0.6418,-1.0524,0.8089,0.808,0.3177,2,2,1,1
8,16,sa,Slovak,PRON,1,no,-4.3094,0.2781,-0.4901,0.6396,0.7822,0.3666,3,3,2,2
9,17,ľudia,Slovak,NOUN,289,no,0.8079,0.2651,-0.232,0.8485,0.7813,0.389,2,2,1,1
10,18,mohli,Slovak,VERB,291,no,-2.0488,0.8444,-0.1826,0.7319,0.8224,0.3933,3,3,2,2
11,8207,tvárou,Slovak,NOUN,362,no,2.5218,0.0317,-1.924,0.9185,0.7647,0.2419,2,2,1,1
12,2068,čo,Slovak,SCONJ,311,no,3.5806,-1.5622,0.6204,0.9617,0.6517,0.4631,1,1,1,1
13,23,nás,Slovak,PRON,52,no,-3.1227,1.1654,-0.1944,0.6881,0.8451,0.3923,3,3,2,2
14,25,z,Slovak,ADP,12,no,-4.5865,-0.5796,-1.0223,0.6283,0.7214,0.3203,3,3,2,2
15,6176,slnku,Slovak,NOUN,484,no,1.7516,-0.1624,-0.2153,0.887,0.751,0.3905,2,2,1,1
16,2092,ňu,Slovak,PRON,364,no,1.6898,0.0444,-0.6889,0.8845,0.7657,0.3493,2,2,1,1
17,2093,ona,Slovak,PRON,365,no,-0.3805,1.2456,0.5892,0.8,0.8508,0.4604,3,3,2,2
18,2094,mňa,Slovak,PRON,53,no,-4.5824,-0.6101,-0.1494,0.6285,0.7192,0.3962,3,3,2,2
19,47,sú,Slovak,VERB,167,no,2.2557,2.2902,6.7967,0.9076,0.9249,1.0,3,3,2,2
20,49,na,Slovak,ADP,3,no,-19.0194,-10.7533,0.4341,0.0392,0.0,0.4469,5,4,3,2
21,2098,otvorila,Slovak,VERB,299,no,-1.4273,0.965,-0.2605,0.7573,0.8309,0.3865,3,3,2,2
